,Open,High,Low,Close,Volume
2020-05-07 09:15:00,1895.0,1919.2,1889.45,1897.8,8007
2020-05-08 09:15:00,1908.0,1938.95,1873.0,1876.95,20724
2020-05-11 09:15:00,1894.95,1938.25,1883.75,1904.55,20122
2020-05-12 09:15:00,1890.0,1925.5,1875.0,1920.4,20852
2020-05-13 09:15:00,1985.1,2020.0,1920.0,1930.55,44225
2020-05-14 09:15:00,1928.0,1968.95,1880.0,1902.6,29744
2020-05-15 09:15:00,1912.0,1932.0,1886.75,1925.25,13893
2020-05-18 09:15:00,1934.9,1934.95,1850.35,1857.35,79811
2020-05-19 09:15:00,1875.0,1907.45,1860.0,1888.6,123108
2020-05-20 09:15:00,1872.0,1918.7,1865.0,1903.7,19525
2020-05-21 09:15:00,1955.0,2025.0,1881.0,1909.3,77297
2020-05-22 09:15:00,1925.0,2008.25,1880.0,1993.55,194719
2020-05-26 09:15:00,2000.0,2010.0,1967.0,1992.1,15860
2020-05-27 09:15:00,1992.0,2030.4,1950.0,2003.7,15851
2020-05-28 09:15:00,2000.05,2019.95,1976.0,1993.75,29663
2020-05-29 09:15:00,1982.95,2008.9,1966.1,2000.6,41290
2020-06-01 09:15:00,2010.6,2145.0,2010.6,2066.0,46027
2020-06-02 09:15:00,2084.0,2205.0,2012.0,2188.2,77370
2020-06-03 09:15:00,2250.0,2370.0,2209.95,2277.65,90820
2020-06-04 09:15:00,2308.65,2350.0,2200.0,2241.6,36981
2020-06-05 09:15:00,2280.0,2493.8,2232.55,2440.05,103625
2020-06-08 09:15:00,2539.0,2583.1,2486.0,2500.15,116655
2020-06-09 09:15:00,2525.0,2548.95,2501.0,2503.4,105811
2020-06-10 09:15:00,2497.0,2531.2,2440.8,2468.95,62721
2020-06-11 09:15:00,2483.0,2484.45,2402.0,2416.65,33512
2020-06-12 09:15:00,2251.0,2379.5,2215.0,2349.4,81026
2020-06-15 09:15:00,2385.0,2385.0,2280.0,2318.55,39449
2020-06-16 09:15:00,2379.0,2380.0,2283.8,2317.4,93404
2020-06-17 09:15:00,2324.0,2373.85,2285.0,2349.05,56419
2020-06-18 09:15:00,2369.0,2420.0,2349.8,2403.1,51687
2020-06-19 09:15:00,2467.35,2569.95,2412.65,2527.25,102066
2020-06-22 09:15:00,2578.65,2775.0,2569.45,2739.1,73903
2020-06-23 09:15:00,2800.0,2984.9,2760.1,2918.95,158949
2020-06-24 09:15:00,3000.0,3005.0,2815.0,2838.75,88119
2020-06-25 09:15:00,2820.0,2890.0,2650.0,2682.7,115607
2020-06-26 09:15:00,2691.3,2825.0,2683.5,2705.05,69325
2020-06-29 09:15:00,2723.0,2770.0,2605.0,2622.65,64120
2020-06-30 09:15:00,2640.0,2654.8,2525.25,2543.0,59150
2020-07-01 09:15:00,2587.0,2599.55,2534.0,2570.15,56481
2020-07-02 09:15:00,2610.0,2639.0,2570.8,2586.35,50667
2020-07-03 09:15:00,2592.95,2617.95,2536.0,2546.5,64130
2020-07-06 09:15:00,2565.0,2669.95,2565.0,2654.45,98296
2020-07-07 09:15:00,2684.0,2888.0,2668.0,2852.9,182357
2020-07-08 09:15:00,2884.5,2897.95,2762.3,2799.85,103002
2020-07-09 09:15:00,2819.0,2839.0,2745.15,2772.15,82881
2020-07-10 09:15:00,2768.0,2825.0,2707.35,2732.75,88996
2020-07-13 09:15:00,2765.0,2765.0,2681.2,2723.25,128517
2020-07-14 09:15:00,2716.0,2716.0,2610.0,2637.25,58959
2020-07-15 09:15:00,2674.95,2684.95,2600.0,2606.25,82215
2020-07-16 09:15:00,2630.0,2630.0,2552.1,2590.3,120716
2020-07-17 09:15:00,2602.5,2648.0,2598.95,2638.8,24481
2020-07-20 09:15:00,2660.0,2745.0,2642.9,2716.05,63512
2020-07-21 09:15:00,2758.0,2787.0,2652.0,2700.4,57334
2020-07-22 09:15:00,2705.0,2771.4,2622.0,2660.15,78711
2020-07-23 09:15:00,2665.0,2690.0,2651.2,2672.05,31608
2020-07-24 09:15:00,2665.0,2684.95,2651.0,2674.9,24151
2020-07-27 09:15:00,2689.7,2695.35,2666.1,2682.05,29928
2020-07-28 09:15:00,2688.7,2744.9,2680.35,2721.25,61778
2020-07-29 09:15:00,2729.0,2750.0,2665.95,2697.85,145859
2020-07-30 15:01:48,2719.0,2719.0,2627.3,2650.0,32556
