,Open,High,Low,Close,Volume
2020-04-16 09:15:00,40.6,46.85,38.7,43.1,356300
2020-04-17 09:15:00,45.0,45.85,42.4,43.45,80994
2020-04-20 09:15:00,44.5,50.7,43.0,47.8,566195
2020-04-21 09:15:00,47.0,47.1,43.85,45.65,93066
2020-04-22 09:15:00,53.4,53.4,48.05,51.65,947233
2020-04-23 09:15:00,52.0,57.0,49.2,54.9,643388
2020-04-24 09:15:00,54.0,55.0,52.15,54.05,120565
2020-04-27 09:15:00,54.5,56.95,51.1,55.6,161524
2020-04-28 09:15:00,56.2,56.5,54.4,55.15,82574
2020-04-29 09:15:00,54.2,57.5,53.5,56.35,129583
2020-04-30 09:15:00,58.0,61.95,57.05,61.5,478255
2020-05-04 09:15:00,61.4,61.4,56.5,57.15,69592
2020-05-05 09:15:00,58.9,60.3,54.0,54.25,70907
2020-05-06 09:15:00,56.7,56.7,53.65,54.25,19457
2020-05-07 09:15:00,56.4,56.4,53.2,55.3,49527
2020-05-08 09:15:00,57.0,60.8,54.8,59.6,362334
2020-05-11 09:15:00,58.25,60.5,57.55,58.3,99160
2020-05-12 09:15:00,58.0,64.1,57.2,63.6,242273
2020-05-13 09:15:00,65.3,67.65,60.2,61.05,235111
2020-05-14 09:15:00,61.05,66.85,59.45,63.9,208285
2020-05-15 09:15:00,64.05,66.1,64.0,65.2,79060
2020-05-18 09:15:00,67.0,67.0,60.05,62.7,56811
2020-05-19 09:15:00,62.8,64.8,60.05,60.4,42863
2020-05-20 09:15:00,60.5,61.95,58.05,58.55,44189
2020-05-21 09:15:00,58.25,63.0,58.05,61.2,177180
2020-05-22 09:15:00,61.0,61.75,60.4,60.95,43262
2020-05-26 09:15:00,61.35,61.95,58.55,59.25,27766
2020-05-27 09:15:00,59.05,61.5,59.05,59.95,28975
2020-05-28 09:15:00,59.35,61.3,57.0,58.35,61665
2020-05-29 09:15:00,58.4,61.3,57.3,58.6,39089
2020-06-01 09:15:00,59.95,63.9,59.0,61.75,134382
2020-06-02 09:15:00,62.9,63.75,60.85,62.4,40922
2020-06-03 09:15:00,62.5,65.4,61.15,64.25,179810
2020-06-04 09:15:00,67.5,70.45,64.0,68.65,537902
2020-06-05 09:15:00,71.9,74.0,69.0,72.3,291866
2020-06-08 09:15:00,75.0,75.0,69.0,69.8,139716
2020-06-09 09:15:00,70.0,70.4,66.0,67.0,115746
2020-06-10 09:15:00,67.05,70.0,66.15,67.75,70809
2020-06-11 09:15:00,69.45,69.45,65.0,65.55,108046
2020-06-12 09:15:00,63.55,65.85,63.1,65.1,108255
2020-06-15 09:15:00,65.95,70.65,64.0,69.1,160389
2020-06-16 09:15:00,71.5,73.9,69.0,71.15,228568
2020-06-17 09:15:00,71.6,78.25,64.4,78.1,664268
2020-06-18 09:15:00,78.9,81.0,74.15,76.2,282853
2020-06-19 09:15:00,78.95,83.0,75.25,76.05,498679
2020-06-22 09:15:00,76.3,78.9,73.3,74.4,155008
2020-06-23 09:15:00,75.5,75.8,73.05,73.55,112688
2020-06-24 09:15:00,73.05,77.45,72.3,75.95,236909
2020-06-25 09:15:00,74.8,79.9,73.0,75.65,249534
2020-06-26 09:15:00,77.0,78.8,75.0,77.35,176375
2020-06-29 09:15:00,76.5,77.0,73.85,75.3,88152
2020-06-30 09:15:00,76.0,77.95,73.5,74.75,171817
2020-07-01 09:15:00,75.05,76.9,75.0,76.45,109385
2020-07-02 09:15:00,75.2,79.9,75.2,79.1,163834
2020-07-03 09:15:00,80.15,82.8,78.25,80.75,270397
2020-07-06 09:15:00,82.45,83.95,78.0,78.5,195167
2020-07-07 09:15:00,78.5,80.05,76.0,78.15,120135
2020-07-08 09:15:00,78.2,80.8,77.65,79.8,96573
2020-07-09 09:15:00,78.25,81.7,78.25,78.7,91220
2020-07-10 15:29:53,79.35,81.1,77.4,79.3,127809
