,Open,High,Low,Close,Volume
2020-04-16 09:15:00,77.45,77.45,70.15,74.0,634
2020-04-17 09:15:00,76.9,77.7,71.0,76.6,831
2020-04-20 09:15:00,80.0,80.0,73.0,75.5,1462
2020-04-21 09:15:00,77.0,77.0,71.75,75.25,395
2020-04-22 09:15:00,71.5,76.95,71.5,76.9,831
2020-04-23 09:15:00,76.2,76.2,73.1,73.1,605
2020-04-24 09:15:00,70.05,76.45,69.45,75.15,1407
2020-04-27 09:15:00,76.9,76.9,71.4,71.4,914
2020-04-28 09:15:00,68.0,73.7,67.85,72.95,422
2020-04-29 09:15:00,73.55,73.55,69.35,72.9,992
2020-04-30 09:15:00,75.9,75.9,69.5,73.0,489
2020-05-04 09:15:00,73.1,73.1,69.35,69.4,560
2020-05-05 09:15:00,69.4,70.0,65.95,68.35,760
2020-05-06 09:15:00,65.05,68.35,65.05,68.0,54
2020-05-07 09:15:00,71.25,71.25,66.0,68.0,568
2020-05-08 09:15:00,65.05,70.9,65.05,70.0,23
2020-05-11 09:15:00,70.0,70.0,69.95,70.0,12
2020-05-12 09:15:00,68.1,72.1,68.1,71.55,1016
2020-05-13 09:15:00,74.95,75.1,68.6,75.1,1583
2020-05-14 09:15:00,78.6,78.6,72.1,76.05,93
2020-05-15 09:15:00,72.75,77.0,72.75,77.0,472
2020-05-18 09:15:00,74.7,80.85,74.7,80.85,1044
2020-05-19 09:15:00,84.7,84.85,84.7,84.85,706
2020-05-20 09:15:00,89.0,89.05,89.0,89.05,95
2020-05-21 09:15:00,93.5,93.5,93.5,93.5,145
2020-05-22 09:15:00,93.5,93.5,93.5,93.5,0
2020-05-26 09:15:00,103.05,103.05,94.25,102.1,1332
2020-05-27 09:15:00,107.0,107.2,102.1,107.15,2758
2020-05-28 09:15:00,112.4,112.5,107.1,112.5,2381
2020-05-29 09:15:00,117.4,117.4,109.0,109.75,1146
2020-06-01 09:15:00,114.5,114.5,104.5,109.0,217
2020-06-02 09:15:00,113.8,113.8,104.55,109.5,416
2020-06-03 09:15:00,113.9,113.9,109.0,112.0,603
2020-06-04 09:15:00,116.35,116.5,106.4,107.85,1797
2020-06-05 09:15:00,105.05,112.85,102.5,109.15,3183
2020-06-08 09:15:00,113.0,114.6,110.0,112.95,2041
2020-06-09 09:15:00,114.5,114.5,107.35,113.9,1750
2020-06-10 09:15:00,114.5,119.55,109.05,119.55,4240
2020-06-11 09:15:00,125.5,125.5,114.0,125.45,2437
2020-06-12 09:15:00,123.9,123.95,119.2,119.4,623
2020-06-15 09:15:00,122.75,123.0,113.5,118.55,2123
2020-06-16 09:15:00,120.8,124.0,114.0,116.0,1315
2020-06-17 09:15:00,121.0,121.8,118.0,119.5,3426
2020-06-18 09:15:00,125.2,125.45,114.05,121.95,6564
2020-06-19 09:15:00,128.0,128.0,118.3,123.6,2765
2020-06-22 09:15:00,124.0,128.95,117.7,121.45,961
2020-06-23 09:15:00,127.4,127.4,119.3,126.75,4125
2020-06-24 09:15:00,133.0,133.0,122.05,128.0,2442
2020-06-25 09:15:00,133.4,133.4,123.35,130.8,2051
2020-06-26 09:15:00,134.4,134.9,124.3,125.15,8812
2020-06-29 09:15:00,125.15,126.75,120.0,125.55,1108
2020-06-30 09:15:00,128.6,128.6,120.05,123.9,614
2020-07-01 09:15:00,125.9,126.15,119.05,125.5,1431
2020-07-02 09:15:00,128.0,128.0,122.15,127.0,1299
2020-07-03 09:15:00,126.0,128.95,123.05,126.3,1158
2020-07-06 09:15:00,120.5,130.7,120.5,124.25,1271
2020-07-07 09:15:00,118.25,129.8,118.25,123.75,1662
2020-07-08 09:15:00,123.7,128.75,123.7,125.15,1556
2020-07-09 09:15:00,127.9,127.9,123.65,125.9,908
2020-07-10 15:21:50,125.0,127.9,125.0,125.0,1772
