,Open,High,Low,Close,Volume
2002-07-01 00:00:00,1.29,1.56,1.17,1.2,4861540
2002-08-01 00:00:00,1.23,1.37,1.15,1.18,2071570
2002-09-01 00:00:00,1.23,1.23,1.13,1.14,992730
2002-10-01 00:00:00,1.18,1.18,0.96,0.96,1196910
2002-11-01 00:00:00,1.02,1.24,0.87,1.12,3160600
2002-12-01 00:00:00,1.13,1.23,1.1,1.13,2799190
2003-01-01 00:00:00,1.15,1.17,0.96,0.99,1198290
2003-02-01 00:00:00,1.01,1.21,0.97,1.13,1696230
2003-03-01 00:00:00,1.09,1.19,0.95,1.09,2726470
2003-04-01 00:00:00,1.09,1.1,0.98,1.02,1181790
2003-05-01 00:00:00,0.99,1.24,0.99,1.21,7009760
2003-06-01 00:00:00,1.2,1.5,1.2,1.36,14975970
2003-07-01 00:00:00,1.31,1.66,1.27,1.58,11076150
2003-08-01 00:00:00,1.57,1.87,1.46,1.77,7323760
2003-09-01 00:00:00,1.61,1.83,1.42,1.55,2826020
2003-10-01 00:00:00,1.56,1.76,1.52,1.68,6400600
2003-11-01 00:00:00,1.71,2.19,1.64,2.16,8993710
2003-12-01 00:00:00,2.23,3.01,1.83,2.75,10123710
2004-01-01 00:00:00,2.38,2.9,2.22,2.51,6856210
2004-02-01 00:00:00,2.57,2.92,2.41,2.85,7628120
2004-03-01 00:00:00,2.84,3.1,2.81,3.0,4512170
2004-04-01 00:00:00,3.03,4.44,3.0,4.36,11745980
2004-05-01 00:00:00,4.37,4.44,2.52,2.87,17346990
2004-06-01 00:00:00,2.96,3.1,2.49,2.85,4775370
2004-07-01 00:00:00,2.84,3.52,2.7,3.45,19249870
2004-08-01 00:00:00,3.48,4.47,3.38,4.22,44509730
2004-09-01 00:00:00,4.24,4.28,3.64,3.89,18625720
2004-10-01 00:00:00,3.9,4.18,3.61,3.78,11336320
2004-11-01 00:00:00,3.78,4.35,3.58,4.22,19000860
2004-12-01 00:00:00,4.1,5.41,4.1,5.36,20453490
2005-01-01 00:00:00,5.4,6.09,5.15,5.84,24328720
2005-02-01 00:00:00,5.9,7.26,5.77,6.74,33504000
2005-03-01 00:00:00,6.77,71.9,6.52,69.3,18501457
2005-04-01 00:00:00,69.95,72.0,55.0,56.8,10857612
2005-05-01 00:00:00,58.0,67.1,54.85,56.65,11522213
2005-06-01 00:00:00,57.5,64.35,54.0,63.1,20936100
2005-07-01 00:00:00,63.5,80.85,62.55,80.0,42133432
2005-08-01 00:00:00,80.5,95.7,78.8,89.5,44675277
2005-09-01 00:00:00,89.95,94.45,80.6,88.45,34352703
2005-10-01 00:00:00,89.3,91.65,79.0,83.7,12236214
2005-11-01 00:00:00,84.1,94.95,83.2,88.65,16523613
2005-12-01 00:00:00,89.5,117.3,82.6,116.45,56404862
2006-01-01 00:00:00,118.8,160.85,115.6,150.5,60302946
2006-02-01 00:00:00,150.0,158.8,140.05,152.6,31109049
2006-03-01 00:00:00,152.2,189.9,151.25,187.75,26946873
2006-04-01 00:00:00,188.0,202.6,155.1,190.4,14775011
2006-05-01 00:00:00,199.8,200.0,115.0,134.8,12932137
2006-06-01 00:00:00,139.0,139.0,89.5,119.8,20000288
2006-07-01 00:00:00,119.9,122.5,87.25,93.35,28310088
2006-08-01 00:00:00,93.9,122.4,88.55,89.35,153119220
2006-09-01 00:00:00,90.0,104.6,89.0,101.4,91961555
2006-10-01 00:00:00,101.5,115.45,98.05,103.2,83281406
2006-11-01 00:00:00,104.0,107.0,82.05,82.55,65667138
2006-12-01 00:00:00,83.25,94.35,76.3,84.35,65461441
2007-01-01 00:00:00,85.3,92.0,67.0,67.4,56083520
2007-02-01 00:00:00,67.5,69.5,50.0,59.15,91652085
2007-03-01 00:00:00,58.6,68.2,52.5,65.8,68591053
2007-04-01 00:00:00,65.0,75.65,61.2,61.65,64880455
2007-05-01 00:00:00,62.0,87.4,60.6,74.35,73820408
2007-06-01 00:00:00,75.5,82.0,65.55,76.35,71356589
2007-07-01 00:00:00,77.9,81.55,64.75,68.2,66482887
2007-08-01 00:00:00,67.4,67.7,49.8,59.05,36551995
2007-09-01 00:00:00,60.0,87.5,59.05,75.5,140773612
2007-10-01 00:00:00,75.5,92.5,60.0,80.2,140816338
2007-11-01 00:00:00,82.5,102.0,74.5,100.9,144723453
2007-12-01 00:00:00,104.95,119.9,97.8,113.0,161696823
2008-01-01 00:00:00,115.0,127.9,58.1,75.9,148839487
2008-02-01 00:00:00,76.95,101.65,73.25,93.65,145738067
2008-03-01 00:00:00,93.0,109.9,69.3,80.85,96572390
2008-04-01 00:00:00,81.0,109.8,80.0,103.45,69533299
2008-05-01 00:00:00,105.3,105.9,85.15,91.85,69693228
2008-06-01 00:00:00,92.0,94.8,71.0,79.65,79652915
2008-07-01 00:00:00,78.1,87.35,68.0,85.55,77745352
2008-08-01 00:00:00,84.95,98.9,83.5,92.35,189683111
2008-09-01 00:00:00,91.1,95.75,73.3,81.2,67135102
2008-10-01 00:00:00,81.25,82.9,35.55,42.7,55078213
2008-11-01 00:00:00,44.0,50.45,30.5,32.2,42021928
2008-12-01 00:00:00,33.3,52.1,29.3,49.75,56504333
2009-01-01 00:00:00,50.6,61.3,37.85,59.9,53516603
2009-02-01 00:00:00,59.0,62.3,46.0,47.3,52303691
2009-03-01 00:00:00,46.0,54.25,42.35,52.8,38205388
2009-04-01 00:00:00,53.5,78.4,52.05,69.9,79796413
2009-05-01 00:00:00,69.9,91.95,69.9,87.35,256063899
2009-06-01 00:00:00,82.0,115.0,82.0,105.3,160376816
2009-07-01 00:00:00,107.0,121.2,87.45,118.8,124857747
2009-08-01 00:00:00,119.75,127.8,109.3,116.85,124792731
2009-09-01 00:00:00,119.4,129.2,116.5,122.2,83788774
2009-10-01 00:00:00,122.5,168.0,118.25,149.05,143139672
2009-11-01 00:00:00,149.1,150.0,120.2,131.55,201860044
2009-12-01 00:00:00,132.35,148.4,127.35,132.75,70920599
2010-01-01 00:00:00,132.75,145.4,114.0,120.3,101078314
2010-02-01 00:00:00,119.55,126.5,100.1,105.55,51955200
2010-03-01 00:00:00,107.0,114.6,90.3,92.25,101512280
2010-04-01 00:00:00,92.2,99.6,80.7,96.7,74259611
2010-05-01 00:00:00,84.85,84.85,70.0,80.1,79139658
2010-06-01 00:00:00,79.9,87.25,75.55,84.45,52735848
2010-07-01 00:00:00,84.45,88.8,77.55,83.1,46425238
2010-08-01 00:00:00,83.15,89.9,80.5,83.8,29618980
2010-09-01 00:00:00,84.8,94.9,84.15,92.7,60215840
2010-10-01 00:00:00,93.5,95.9,82.6,84.4,28146544
2010-11-01 00:00:00,86.7,97.7,71.5,76.05,38682115
2010-12-01 00:00:00,77.0,91.4,69.05,87.9,43601520
2011-01-01 00:00:00,88.5,92.95,69.0,70.6,35657042
2011-02-01 00:00:00,70.6,77.4,62.5,66.0,39779799
2011-03-01 00:00:00,66.95,73.75,65.9,70.05,21247189
2011-04-01 00:00:00,70.5,77.6,70.0,74.4,24324408
2011-05-01 00:00:00,74.4,75.1,56.2,61.9,20597623
2011-06-01 00:00:00,62.05,64.6,56.25,62.4,23702407
2011-07-01 00:00:00,62.8,67.0,59.3,59.45,19810288
2011-08-01 00:00:00,60.0,60.5,51.55,54.4,27379464
2011-09-01 00:00:00,54.5,55.95,44.8,46.1,27408454
2011-10-01 00:00:00,46.1,56.65,43.5,53.55,36622942
2011-11-01 00:00:00,52.1,54.25,41.45,43.95,28210859
2011-12-01 00:00:00,44.65,45.4,32.55,33.75,23779358
2012-01-01 00:00:00,34.0,49.0,33.6,48.8,33071605
2012-02-01 00:00:00,49.0,55.0,46.4,51.7,26938152
2012-03-01 00:00:00,51.45,58.1,50.8,57.25,31257185
2012-04-01 00:00:00,57.5,66.9,50.5,55.0,19060301
2012-05-01 00:00:00,55.0,56.9,47.45,49.6,17005712
2012-06-01 00:00:00,49.75,52.0,46.85,51.75,17260665
2012-07-01 00:00:00,52.0,62.7,50.75,54.2,42625642
2012-08-01 00:00:00,54.15,69.1,53.75,67.15,53971556
2012-09-01 00:00:00,67.85,70.25,59.0,67.3,45656624
2012-10-01 00:00:00,67.3,74.55,64.25,68.25,24505325
2012-11-01 00:00:00,68.75,69.2,59.75,63.95,14192367
2012-12-01 00:00:00,64.1,65.0,45.7,49.35,22806616
2013-01-01 00:00:00,49.5,52.3,42.0,45.7,31789437
2013-02-01 00:00:00,45.6,54.4,44.7,47.55,21649029
2013-03-01 00:00:00,46.2,51.5,42.1,43.6,16080341
2013-04-01 00:00:00,43.4,53.85,43.4,48.1,27704093
2013-05-01 00:00:00,47.15,53.75,47.05,52.25,12151702
2013-06-01 00:00:00,47.65,48.95,37.8,38.9,8665284
2013-07-01 00:00:00,39.1,43.45,35.25,36.3,9698456
2013-08-01 00:00:00,36.3,41.2,34.5,35.95,4251368
2013-09-01 00:00:00,35.85,44.0,35.85,42.6,6987046
2013-10-01 00:00:00,42.6,48.65,40.55,41.15,10342276
2013-11-01 00:00:00,41.25,51.7,41.2,47.15,17103944
2013-12-01 00:00:00,47.4,49.3,42.65,46.0,11936731
2014-01-01 00:00:00,46.0,47.0,36.25,36.8,9522019
2014-02-01 00:00:00,36.85,48.0,36.85,46.65,10148887
2014-03-01 00:00:00,46.8,57.4,46.0,55.85,12820220
2014-04-01 00:00:00,56.15,60.9,54.0,56.85,13078304
2014-05-01 00:00:00,56.85,82.0,55.9,73.05,21035117
2014-06-01 00:00:00,73.3,87.95,73.15,83.1,48736301
2014-07-01 00:00:00,80.6,84.6,71.8,75.7,9364819
2014-08-01 00:00:00,76.0,78.2,65.1,71.95,11912887
2014-09-01 00:00:00,70.1,72.35,48.8,50.0,13356030
2014-10-01 00:00:00,50.4,57.5,50.0,54.9,15215345
2014-11-01 00:00:00,55.9,74.2,53.55,59.8,29288444
2014-12-01 00:00:00,59.6,63.7,54.0,59.65,18454388
2015-01-01 00:00:00,60.25,65.2,59.15,61.75,18648300
2015-02-01 00:00:00,62.0,66.4,55.2,60.6,7509539
2015-03-01 00:00:00,58.75,60.95,46.9,49.55,7245193
2015-04-01 00:00:00,50.95,54.25,45.55,45.95,11682060
