,Open,High,Low,Close,Volume
2018-03-26 00:00:00,499.0,499.0,455.0,469.05,103093515.0
2018-04-02 00:00:00,474.9,517.7,469.15,508.25,20503479.0
2018-04-09 00:00:00,508.8,540.8,496.05,528.65,10886252.0
2018-04-16 00:00:00,523.9,532.35,493.1,495.05,4271066.0
2018-04-23 00:00:00,496.0,522.95,481.75,506.45,12502956.0
2018-04-30 00:00:00,509.5,520.9,496.4,504.6,4721125.0
2018-05-07 00:00:00,507.0,508.0,480.25,484.35,3121844.0
2018-05-14 00:00:00,484.0,489.8,473.5,479.55,3045039.0
2018-05-21 00:00:00,474.0,500.0,463.2,483.1,3140666.0
2018-05-28 00:00:00,486.7,488.5,463.1,475.1,1497397.0
2018-06-04 00:00:00,479.0,503.6,456.15,498.1,5186458.0
2018-06-11 00:00:00,501.0,560.0,496.05,550.15,10773771.0
2018-06-18 00:00:00,548.05,557.9,532.0,536.1,2495681.0
2018-06-25 00:00:00,538.35,542.0,508.0,526.55,2954853.0
2018-07-02 00:00:00,530.0,567.8,523.0,544.3,2750636.0
2018-07-09 00:00:00,548.8,588.8,544.5,568.95,5106651.0
2018-07-16 00:00:00,558.25,706.8,544.55,687.4,15658771.0
2018-07-23 00:00:00,685.0,715.0,660.1,687.05,9095567.0
2018-07-30 00:00:00,690.4,719.8,682.6,698.7,4232326.0
2018-08-06 00:00:00,704.35,741.8,671.75,702.7,6210449.0
2018-08-13 00:00:00,699.8,711.45,680.55,703.9,2848733.0
2018-08-20 00:00:00,707.95,709.65,612.0,674.6,7802784.0
2018-08-27 00:00:00,681.65,704.1,672.7,694.8,4582753.0
2018-09-03 00:00:00,694.05,696.0,616.7,658.65,14646891.0
2018-09-10 00:00:00,660.0,665.9,598.0,625.3,3843650.0
2018-09-17 00:00:00,623.8,633.0,545.05,569.6,6291805.0
2018-09-24 00:00:00,575.0,580.45,531.0,565.25,5997659.0
2018-10-01 00:00:00,475.55,498.8,422.1,458.8,24557169.0
2018-10-08 00:00:00,464.0,521.35,456.3,467.8,13196684.0
2018-10-15 00:00:00,480.0,482.0,405.0,416.3,4748553.0
2018-10-22 00:00:00,425.0,425.0,368.1,380.45,7952662.0
2018-10-29 00:00:00,385.55,449.0,381.05,426.85,6426129.0
2018-11-05 00:00:00,429.75,445.7,426.0,431.5,1746767.0
2018-11-12 00:00:00,432.0,489.9,418.1,476.2,3434758.0
2018-11-19 00:00:00,479.4,485.7,452.0,454.05,1390238.0
2018-11-26 00:00:00,455.8,498.2,442.05,483.65,3536166.0
2018-12-03 00:00:00,487.95,494.0,467.1,472.0,2424251.0
2018-12-10 00:00:00,462.0,541.1,462.0,533.8,8225821.0
2018-12-17 00:00:00,536.9,583.7,521.0,526.8,6481831.0
2018-12-24 00:00:00,529.5,557.65,506.0,535.85,4327765.0
2018-12-31 00:00:00,538.45,563.7,527.05,528.9,3789696.0
2019-01-07 00:00:00,540.0,542.0,450.8,454.4,26059893.0
2019-01-14 00:00:00,453.6,457.95,437.45,440.15,5398261.0
2019-01-21 00:00:00,442.0,442.0,407.1,424.45,5549095.0
2019-01-28 00:00:00,424.9,428.7,397.0,404.85,4161639.0
2019-02-04 00:00:00,409.6,468.95,400.1,464.75,6786017.0
2019-02-11 00:00:00,466.0,484.6,451.5,473.0,3529021.0
2019-02-18 00:00:00,476.0,497.75,458.0,483.45,2905932.0
2019-02-25 00:00:00,486.0,493.55,466.2,480.05,8569501.0
2019-03-04 00:00:00,480.05,508.0,480.0,502.15,3303062.0
2019-03-11 00:00:00,507.95,526.5,503.05,511.65,3870086.0
2019-03-18 00:00:00,508.0,508.0,487.45,501.85,2811371.0
2019-03-25 00:00:00,498.0,532.4,484.15,526.25,3712395.0
2019-04-01 00:00:00,528.5,557.7,520.3,548.15,3748290.0
2019-04-08 00:00:00,549.35,559.0,527.8,534.0,3072207.0
2019-04-15 00:00:00,535.0,577.4,522.6,567.95,2231509.0
2019-04-22 00:00:00,566.0,613.0,557.95,599.9,5862051.0
2019-04-29 00:00:00,599.9,636.3,581.05,622.5,7947446.0
2019-05-06 00:00:00,620.0,620.0,564.8,574.7,4994572.0
2019-05-13 00:00:00,571.4,575.45,536.15,561.0,2419213.0
2019-05-20 00:00:00,590.0,629.95,575.4,596.3,8193283.0
2019-05-27 00:00:00,596.95,604.85,586.3,591.7,3589095.0
2019-06-03 00:00:00,591.1,602.9,558.0,559.25,1566611.0
2019-06-10 00:00:00,566.8,568.9,532.3,538.65,2027732.0
2019-06-17 00:00:00,538.0,562.75,520.0,530.75,3672398.0
2019-06-24 00:00:00,531.4,548.0,525.0,538.75,1837686.0
2019-07-01 00:00:00,542.15,568.1,538.5,547.55,2081403.0
2019-07-08 00:00:00,538.1,563.9,522.0,560.05,2143734.0
2019-07-15 00:00:00,559.55,560.0,507.2,527.35,3337938.0
2019-07-22 00:00:00,530.0,530.0,432.0,490.2,7887116.0
2019-07-29 00:00:00,492.7,504.5,458.05,464.9,5998014.0
2019-08-05 00:00:00,460.0,502.0,455.85,499.45,3381342.0
2019-08-12 00:00:00,499.45,507.0,489.15,502.5,922451.0
2019-08-19 00:00:00,505.0,508.95,452.25,459.85,2591284.0
2019-08-26 00:00:00,484.0,497.65,455.15,469.6,3876394.0
2019-09-02 00:00:00,469.6,469.6,440.05,449.75,1596157.0
2019-09-09 00:00:00,452.0,463.2,437.0,455.15,3310145.0
2019-09-16 00:00:00,454.0,525.0,441.2,496.95,3283737.0
2019-09-23 00:00:00,504.3,538.4,488.0,498.85,4267082.0
2019-09-30 00:00:00,501.0,508.8,464.6,484.35,2136321.0
2019-10-07 00:00:00,488.0,607.95,469.05,583.5,13350801.0
2019-10-14 00:00:00,579.0,638.0,548.0,554.7,74811965.0
2019-10-21 00:00:00,554.7,604.7,551.7,592.15,10207137.0
2019-10-28 00:00:00,592.15,650.0,592.0,599.0,12959092.0
2019-11-04 00:00:00,598.0,605.3,548.5,550.8,6916575.0
2019-11-11 00:00:00,551.95,576.7,534.05,559.95,9071956.0
2019-11-18 00:00:00,564.0,564.2,505.05,526.75,13280012.0
2019-11-25 00:00:00,530.0,597.0,529.85,581.2,16596630.0
2019-12-02 00:00:00,582.0,588.5,551.4,562.55,7486061.0
2019-12-09 00:00:00,563.5,563.5,509.0,515.0,6228218.0
2019-12-16 00:00:00,516.0,526.4,457.0,516.8,29791348.0
2019-12-23 00:00:00,506.05,513.9,492.45,507.15,5820066.0
2019-12-30 00:00:00,509.0,516.15,495.1,506.15,6488892.0
2020-01-06 00:00:00,505.0,505.5,483.1,492.15,6847650.0
2020-01-13 00:00:00,495.8,526.0,473.8,481.0,21415587.0
2020-01-20 00:00:00,482.0,487.5,470.3,481.85,7489965.0
2020-01-27 00:00:00,478.4,484.4,435.0,440.75,9966591.0
2020-02-03 00:00:00,439.7,447.85,421.0,442.7,15096145.0
2020-02-10 00:00:00,444.7,481.2,437.15,452.55,15352246.0
2020-02-17 00:00:00,452.9,456.55,409.0,415.95,12063638.0
2020-02-24 00:00:00,414.7,425.95,370.0,383.5,38326321.0
2020-03-02 00:00:00,395.8,424.9,385.0,403.85,26315756.0
2020-03-09 00:00:00,394.4,402.0,271.0,327.55,24534871.0
2020-03-16 00:00:00,322.45,322.9,185.7,231.6,74952840.0
2020-03-23 00:00:00,208.45,269.5,152.2,249.55,84315943.0
2020-03-30 00:00:00,225.05,248.9,180.0,181.55,49990389.0
2020-04-06 00:00:00,181.55,209.05,164.3,192.25,95747710.0
2020-04-13 00:00:00,184.0,226.65,173.5,216.3,91614135.0
2020-04-20 00:00:00,223.0,229.7,183.6,198.45,71901131.0
2020-04-27 00:00:00,203.0,266.45,200.45,262.35,71377459.0
2020-05-04 00:00:00,245.0,263.9,222.15,240.0,69170651.0
2020-05-11 00:00:00,246.95,257.25,229.0,243.7,63383399.0
2020-05-18 00:00:00,243.7,244.6,195.4,202.95,77979919.0
2020-05-25 00:00:00,202.95,230.9,201.0,218.15,50883194.0
2020-06-01 00:00:00,225.0,261.4,223.0,247.7,72692012.0
2020-06-08 00:00:00,257.6,289.2,248.55,283.5,115909099.0
