,Open,High,Low,Close,Volume
2007-02-01 00:00:00,288.0,288.0,216.3,221.35,14981544
2007-03-01 00:00:00,222.0,239.8,158.25,169.8,6567587
2007-04-01 00:00:00,169.0,217.0,161.5,194.75,3690501
2007-05-01 00:00:00,195.0,208.7,178.0,183.95,1911069
2007-06-01 00:00:00,185.9,214.7,166.0,210.5,3633221
2007-07-01 00:00:00,210.8,274.9,209.25,235.7,5880081
2007-08-01 00:00:00,234.0,237.9,172.0,199.95,1558422
2007-09-01 00:00:00,202.0,252.0,200.3,231.75,899369
2007-10-01 00:00:00,231.75,239.5,197.2,200.5,790204
2007-11-01 00:00:00,203.5,224.8,190.0,206.8,546518
2007-12-01 00:00:00,210.0,286.0,206.3,269.9,1454517
2008-01-01 00:00:00,270.75,317.0,189.3,214.35,1048460
2008-02-01 00:00:00,225.05,236.0,180.0,217.0,1046491
2008-03-01 00:00:00,210.0,215.0,167.25,191.45,553683
2008-04-01 00:00:00,191.0,217.8,186.1,209.8,156315
2008-05-01 00:00:00,210.0,234.0,187.0,195.75,163302
2008-06-01 00:00:00,197.05,201.0,118.05,119.05,168282
2008-07-01 00:00:00,118.0,133.0,109.0,126.85,113190
2008-08-01 00:00:00,126.3,159.0,126.3,144.85,165909
2008-09-01 00:00:00,145.05,183.0,120.0,132.6,137777
2008-10-01 00:00:00,139.9,142.8,73.45,84.4,346555
2008-11-01 00:00:00,90.0,122.4,89.9,105.5,153465
2008-12-01 00:00:00,115.1,128.0,97.0,105.45,509762
2009-01-01 00:00:00,106.0,112.0,94.0,100.5,225598
2009-02-01 00:00:00,99.0,107.0,94.1,102.0,89787
2009-03-01 00:00:00,99.0,109.9,86.05,99.95,124513
2009-04-01 00:00:00,98.5,121.0,94.1,105.5,170751
2009-05-01 00:00:00,105.5,174.9,103.0,160.35,479897
2009-06-01 00:00:00,165.0,200.0,146.5,165.35,861232
2009-07-01 00:00:00,165.0,184.0,149.0,166.7,205868
2009-08-01 00:00:00,164.1,211.0,153.0,203.35,847975
2009-09-01 00:00:00,200.0,228.0,186.0,219.7,403079
2009-10-01 00:00:00,223.0,283.9,194.0,225.35,2166109
2009-11-01 00:00:00,222.0,255.0,203.05,237.2,492857
2009-12-01 00:00:00,240.0,281.0,231.4,248.8,2331442
2010-01-01 00:00:00,249.45,268.0,231.9,246.4,525865
2010-02-01 00:00:00,240.0,255.0,223.0,233.55,727432
2010-03-01 00:00:00,237.0,267.7,234.0,242.8,661576
2010-04-01 00:00:00,244.9,265.0,230.0,249.05,557066
2010-05-01 00:00:00,249.0,253.0,221.3,229.0,272916
2010-06-01 00:00:00,229.0,271.0,210.0,238.2,517193
2010-07-01 00:00:00,239.9,255.9,236.0,239.75,213075
2010-08-01 00:00:00,253.4,263.5,235.1,244.95,206888
2010-09-01 00:00:00,247.8,286.0,243.3,255.3,836115
2010-10-01 00:00:00,253.0,277.0,245.55,258.6,575492
2010-11-01 00:00:00,264.9,268.0,202.9,210.75,188812
2010-12-01 00:00:00,213.0,246.0,199.0,207.75,403646
2011-01-01 00:00:00,208.0,217.8,161.0,163.6,156540
2011-02-01 00:00:00,164.0,178.4,146.5,149.75,254746
2011-03-01 00:00:00,153.0,155.0,125.0,126.55,199594
2011-04-01 00:00:00,129.9,167.0,128.0,135.3,668674
2011-05-01 00:00:00,135.8,139.7,94.85,97.1,319291
2011-06-01 00:00:00,98.0,115.75,75.15,102.15,1564167
2011-07-01 00:00:00,101.45,143.8,101.4,127.4,944091
2011-08-01 00:00:00,128.5,134.7,103.2,119.95,264859
2011-09-01 00:00:00,117.0,133.0,113.0,113.9,210085
2011-10-01 00:00:00,118.0,118.9,107.05,110.85,269897
2011-11-01 00:00:00,110.0,113.9,91.75,94.25,109379
2011-12-01 00:00:00,94.5,102.95,72.55,75.2,71090
2012-01-01 00:00:00,77.7,99.0,76.5,86.1,73898
2012-02-01 00:00:00,91.0,124.8,85.4,97.4,476228
2012-03-01 00:00:00,98.0,99.0,79.0,86.4,103103
2012-04-01 00:00:00,89.1,96.9,82.1,85.05,43814
2012-05-01 00:00:00,85.0,91.05,63.0,63.65,457186
2012-06-01 00:00:00,68.5,68.5,54.4,61.15,326639
2012-07-01 00:00:00,61.75,65.7,43.0,52.35,347302
2012-08-01 00:00:00,54.3,56.0,48.1,49.0,173972
2012-09-01 00:00:00,54.7,61.7,49.25,58.2,181546
2012-10-01 00:00:00,61.3,73.9,57.05,58.65,477536
2012-11-01 00:00:00,59.0,67.4,48.65,52.15,310065
2012-12-01 00:00:00,52.5,56.0,47.9,48.2,262469
2013-01-01 00:00:00,49.4,58.6,41.3,41.45,208523
2013-02-01 00:00:00,43.75,46.0,35.45,37.35,141946
2013-03-01 00:00:00,37.35,40.35,29.3,30.65,107714
2013-04-01 00:00:00,31.8,38.0,29.0,31.5,76872
2013-05-01 00:00:00,31.5,34.5,24.4,26.85,84320
2013-06-01 00:00:00,27.0,27.9,19.25,20.85,63493
2013-07-01 00:00:00,20.6,31.2,19.8,21.8,92622
2013-08-01 00:00:00,20.75,23.6,18.0,23.5,23225
2013-09-01 00:00:00,24.65,36.6,22.5,36.55,74160
2013-10-01 00:00:00,37.9,38.0,29.0,31.75,66855
