,Open,High,Low,Close,Volume
2020-03-30 09:15:00,1.15,1.15,1.15,1.15,0.0
2020-03-30 10:15:00,1.15,1.15,1.15,1.15,100.0
2020-03-30 11:15:00,1.15,1.15,1.15,1.15,1.0
2020-03-30 14:15:00,1.15,1.15,1.15,1.15,1000.0
2020-03-31 09:15:00,1.1,1.1,1.1,1.1,0.0
2020-03-31 10:15:00,1.1,1.1,1.1,1.1,808.0
2020-03-31 11:15:00,1.1,1.1,1.1,1.1,130.0
2020-03-31 13:15:00,1.1,1.1,1.1,1.1,500.0
2020-04-01 09:15:00,1.05,1.05,1.05,1.05,0.0
2020-04-01 11:15:00,1.05,1.05,1.05,1.05,209.0
2020-04-01 13:15:00,1.05,1.05,1.05,1.05,923.0
2020-04-01 15:15:00,1.05,1.05,1.05,1.05,200.0
2020-04-03 09:15:00,1.0,1.0,1.0,1.0,1870.0
2020-04-03 10:15:00,1.0,1.0,1.0,1.0,1739.0
2020-04-03 11:15:00,1.0,1.0,1.0,1.0,1313.0
2020-04-03 12:15:00,1.0,1.0,1.0,1.0,2610.0
2020-04-07 09:15:00,1.0,1.0,0.95,0.95,80.0
2020-04-07 11:15:00,0.95,0.95,0.95,0.95,908.0
2020-04-07 12:15:00,0.95,0.95,0.95,0.95,4740.0
2020-04-07 13:15:00,1.0,1.05,0.95,0.95,1550.0
2020-04-07 15:15:00,0.95,0.95,0.95,0.95,309.0
2020-04-08 10:15:00,0.95,0.95,0.95,0.95,0.0
2020-04-08 11:15:00,1.0,1.0,1.0,1.0,4866.0
2020-04-08 12:15:00,1.0,1.0,1.0,1.0,4208.0
2020-04-08 13:15:00,1.0,1.0,1.0,1.0,2084.0
2020-04-09 09:15:00,1.0,1.05,1.0,1.05,913.0
2020-04-09 10:15:00,1.05,1.05,1.05,1.05,2799.0
2020-04-09 14:15:00,1.05,1.05,1.05,1.05,0.0
2020-04-13 09:15:00,1.1,1.1,1.1,1.1,0.0
2020-04-13 10:15:00,1.1,1.1,1.0,1.0,2000.0
2020-04-13 15:15:00,1.1,1.1,1.1,1.1,5.0
2020-04-15 09:15:00,1.1,1.1,1.1,1.1,0.0
2020-04-15 10:15:00,1.1,1.1,1.05,1.05,1974.0
2020-04-15 13:15:00,1.1,1.1,1.1,1.1,550.0
2020-04-16 09:15:00,1.1,1.1,1.1,1.1,315.0
2020-04-16 11:15:00,1.1,1.1,1.1,1.1,60.0
2020-04-16 12:15:00,1.1,1.1,1.1,1.1,2000.0
2020-04-17 09:15:00,1.1,1.15,1.1,1.15,1000.0
2020-04-17 10:15:00,1.15,1.15,1.05,1.05,14876.0
2020-04-17 11:15:00,1.15,1.15,1.1,1.1,13288.0
2020-04-17 14:15:00,1.15,1.15,1.15,1.15,618.0
2020-04-20 09:15:00,1.2,1.2,1.2,1.2,0.0
2020-04-20 14:15:00,1.2,1.2,1.2,1.2,1000.0
2020-04-21 09:15:00,1.25,1.25,1.25,1.25,0.0
2020-04-21 13:15:00,1.25,1.25,1.25,1.25,200.0
2020-04-22 10:15:00,1.3,1.3,1.3,1.3,0.0
2020-04-22 11:15:00,1.3,1.3,1.3,1.3,600.0
2020-04-22 12:15:00,1.3,1.3,1.3,1.3,1000.0
2020-04-22 13:15:00,1.3,1.3,1.3,1.3,500.0
2020-04-23 10:15:00,1.35,1.35,1.35,1.35,0.0
2020-04-24 09:15:00,1.4,1.4,1.4,1.4,511.0
2020-04-24 12:15:00,1.4,1.4,1.4,1.4,50.0
2020-04-24 14:15:00,1.4,1.4,1.4,1.4,5250.0
2020-04-27 09:15:00,1.45,1.45,1.45,1.45,0.0
2020-04-27 10:15:00,1.45,1.45,1.45,1.45,200.0
2020-04-27 14:15:00,1.45,1.45,1.45,1.45,100.0
2020-04-28 09:15:00,1.5,1.5,1.5,1.5,10298.0
2020-04-28 10:15:00,1.5,1.5,1.5,1.5,200.0
2020-04-28 14:15:00,1.5,1.5,1.5,1.5,200.0
2020-04-28 15:15:00,1.5,1.5,1.5,1.5,3197.0
2020-04-29 09:15:00,1.55,1.55,1.55,1.55,0.0
2020-04-29 10:15:00,1.55,1.55,1.55,1.55,1859.0
