,Open,High,Low,Close,Volume
2020-06-01 09:15:00,3.3,3.3,3.3,3.3,0.0
2020-06-01 11:45:00,3.3,3.3,3.3,3.3,400.0
2020-06-02 09:45:00,3.45,3.45,3.45,3.45,0.0
2020-06-02 10:15:00,3.45,3.45,3.45,3.45,145.0
2020-06-02 11:45:00,3.45,3.45,3.45,3.45,24.0
2020-06-02 12:45:00,3.45,3.45,3.45,3.45,8.0
2020-06-03 09:15:00,3.6,3.6,3.6,3.6,200.0
2020-06-03 09:45:00,3.6,3.6,3.45,3.45,43317.0
2020-06-03 10:15:00,3.45,3.6,3.3,3.3,7735.0
2020-06-03 10:45:00,3.3,3.55,3.3,3.3,20846.0
2020-06-03 11:15:00,3.5,3.5,3.5,3.5,7600.0
2020-06-03 11:45:00,3.4,3.45,3.3,3.45,13675.0
2020-06-03 12:15:00,3.45,3.45,3.4,3.45,2662.0
2020-06-03 12:45:00,3.45,3.45,3.45,3.45,10690.0
2020-06-03 13:15:00,3.55,3.55,3.55,3.55,1793.0
2020-06-03 13:45:00,3.55,3.55,3.55,3.55,31.0
2020-06-03 14:15:00,3.5,3.6,3.3,3.4,9424.0
2020-06-03 14:45:00,3.4,3.55,3.3,3.3,29018.0
2020-06-03 15:15:00,3.6,3.6,3.3,3.3,100.0
2020-06-04 09:15:00,3.45,3.45,3.2,3.2,14525.0
2020-06-04 09:45:00,3.2,3.25,3.2,3.25,69.0
2020-06-04 10:15:00,3.25,3.25,3.2,3.2,922.0
2020-06-04 10:45:00,3.2,3.35,3.2,3.35,903.0
2020-06-04 11:15:00,3.45,3.45,3.45,3.45,33035.0
2020-06-05 09:15:00,3.45,3.45,3.45,3.45,0.0
2020-06-05 09:45:00,3.45,3.45,3.45,3.45,5.0
2020-06-05 10:15:00,3.45,3.45,3.45,3.45,11815.0
2020-06-05 10:45:00,3.6,3.6,3.35,3.35,3409.0
2020-06-05 11:15:00,3.35,3.35,3.35,3.35,512.0
2020-06-05 11:45:00,3.6,3.6,3.6,3.6,2049.0
2020-06-05 12:15:00,3.6,3.6,3.6,3.6,1188.0
2020-06-05 12:45:00,3.6,3.6,3.6,3.6,500.0
2020-06-05 14:15:00,3.6,3.6,3.5,3.5,2155.0
2020-06-05 14:45:00,3.5,3.5,3.5,3.5,684.0
2020-06-05 15:15:00,3.55,3.55,3.55,3.55,1500.0
2020-06-08 09:15:00,3.7,3.7,3.7,3.7,250.0
2020-06-08 09:45:00,3.7,3.7,3.5,3.5,11000.0
2020-06-08 10:15:00,3.5,3.5,3.5,3.5,1490.0
2020-06-08 10:45:00,3.5,3.5,3.45,3.45,2417.0
2020-06-08 11:15:00,3.45,3.45,3.45,3.45,4900.0
2020-06-08 11:45:00,3.7,3.7,3.7,3.7,5500.0
2020-06-08 12:15:00,3.7,3.7,3.7,3.7,6750.0
