,Open,High,Low,Close,Volume
2020-06-29 09:37:00,3.5,3.5,3.5,3.5,0.0
2020-06-29 10:13:00,3.55,3.55,3.55,3.55,2000.0
2020-06-29 10:21:00,3.45,3.45,3.45,3.45,0.0
2020-06-29 10:33:00,3.65,3.65,3.65,3.65,500.0
2020-06-29 10:53:00,3.65,3.65,3.65,3.65,20.0
2020-06-29 10:57:00,3.65,3.65,3.65,3.65,290.0
2020-06-29 11:41:00,3.5,3.5,3.5,3.5,2000.0
2020-06-29 11:43:00,3.35,3.35,3.35,3.35,3250.0
2020-06-29 11:45:00,3.35,3.35,3.35,3.35,0.0
2020-06-29 11:49:00,3.35,3.35,3.35,3.35,0.0
2020-06-29 11:51:00,3.35,3.65,3.35,3.65,501.0
2020-06-29 12:07:00,3.65,3.65,3.65,3.65,3000.0
2020-06-29 12:53:00,3.65,3.65,3.65,3.65,1675.0
2020-06-29 12:57:00,3.35,3.35,3.35,3.35,0.0
2020-06-29 13:07:00,3.35,3.35,3.35,3.35,4.0
2020-06-29 13:09:00,3.65,3.65,3.65,3.65,498.0
2020-06-29 14:11:00,3.65,3.65,3.65,3.65,800.0
2020-06-29 14:23:00,3.65,3.65,3.65,3.65,650.0
2020-06-29 14:35:00,3.35,3.35,3.35,3.35,1475.0
2020-06-29 14:55:00,3.65,3.65,3.65,3.65,165.0
