,Open,High,Low,Close,Volume
2020-05-07 09:15:00,8.95,8.95,8.3,8.3,10200
2020-05-08 09:15:00,8.7,8.7,7.95,8.3,15179
2020-05-11 09:15:00,8.7,8.7,7.95,8.5,4903
2020-05-12 09:15:00,8.85,8.85,8.1,8.1,9818
2020-05-13 09:15:00,8.3,8.3,7.7,8.1,28327
2020-05-14 09:15:00,8.45,8.45,7.7,7.85,13431
2020-05-15 09:15:00,8.0,8.05,7.5,8.0,7897
2020-05-18 09:15:00,8.35,8.35,7.6,7.6,16887
2020-05-19 09:15:00,7.55,7.85,7.25,7.8,18307
2020-05-20 09:15:00,8.0,8.05,7.45,7.75,8983
2020-05-21 09:15:00,7.95,7.95,7.4,7.75,9370
2020-05-22 09:15:00,8.0,8.0,7.4,7.65,6172
2020-05-26 09:15:00,7.95,7.95,7.4,7.7,3930
2020-05-27 09:15:00,7.75,7.85,7.45,7.75,7886
2020-05-28 09:15:00,8.0,8.0,7.4,7.7,38179
2020-05-29 09:15:00,7.7,7.8,7.45,7.7,24362
2020-06-01 09:15:00,7.8,8.05,7.5,7.95,32362
2020-06-02 09:15:00,8.2,8.2,7.7,8.05,125283
2020-06-03 09:15:00,8.2,8.45,7.85,8.45,120769
2020-06-04 09:15:00,8.5,8.85,8.25,8.55,70123
2020-06-05 09:15:00,9.4,9.4,9.0,9.4,54449
2020-06-08 09:15:00,9.8,10.3,9.4,10.25,35763
2020-06-09 09:15:00,10.5,11.1,9.25,9.35,91160
2020-06-10 09:15:00,9.7,9.75,9.05,9.45,25500
2020-06-11 09:15:00,10.1,10.1,9.1,9.3,14509
2020-06-12 09:15:00,8.55,9.8,8.55,9.55,30026
2020-06-15 09:15:00,9.85,9.9,9.15,9.6,15876
2020-06-16 09:15:00,10.0,10.0,9.5,9.9,19674
2020-06-17 09:15:00,10.2,10.2,9.15,9.4,31022
2020-06-18 09:15:00,9.9,9.9,8.7,9.2,80114
2020-06-19 09:15:00,9.05,9.75,9.05,9.45,70554
2020-06-22 09:15:00,9.4,9.4,8.8,9.3,171302
2020-06-23 09:15:00,9.6,9.6,9.15,9.2,54427
2020-06-24 09:15:00,9.5,9.5,9.15,9.25,45799
2020-06-25 09:15:00,9.25,9.3,8.75,9.2,63812
2020-06-26 09:15:00,9.2,10.1,9.0,10.1,150280
2020-06-29 09:15:00,10.1,10.2,9.25,9.8,66726
2020-06-30 09:15:00,10.1,10.15,9.4,9.85,59600
2020-07-01 09:15:00,9.9,10.0,9.65,9.7,15205
2020-07-02 09:15:00,9.8,10.0,9.35,9.55,28226
2020-07-03 09:15:00,9.55,9.9,9.4,9.55,26435
2020-07-06 09:15:00,9.45,9.9,8.6,9.25,90377
2020-07-07 09:15:00,9.35,9.35,8.9,9.0,16447
2020-07-08 09:15:00,9.0,9.3,8.8,9.05,35109
2020-07-09 09:15:00,9.35,9.35,8.5,8.95,53667
2020-07-10 09:15:00,9.0,9.2,8.55,9.1,13486
2020-07-13 09:15:00,9.6,9.6,8.8,8.95,37828
2020-07-14 09:15:00,9.1,9.3,8.35,8.8,37302
2020-07-15 09:15:00,8.85,9.2,8.45,8.8,32218
2020-07-16 09:15:00,9.0,9.0,8.2,8.75,17023
2020-07-17 09:15:00,9.1,9.15,8.6,8.75,77952
2020-07-20 09:15:00,9.0,9.0,8.6,8.8,20123
2020-07-21 09:15:00,8.95,8.95,8.25,8.4,43709
2020-07-22 09:15:00,8.55,8.65,8.15,8.3,49521
2020-07-23 09:15:00,8.6,8.6,8.1,8.3,27899
2020-07-24 09:15:00,8.5,8.5,8.1,8.25,9431
2020-07-27 09:15:00,7.65,8.3,7.65,8.0,20593
2020-07-28 09:15:00,8.1,8.8,7.85,8.25,54320
2020-07-29 09:15:00,8.55,8.55,8.1,8.2,27227
2020-07-30 15:16:06,8.3,8.3,7.8,8.15,29546
