,Open,High,Low,Close,Volume
2020-07-30 09:18:00,8.3,8.3,8.3,8.3,0.0
2020-07-30 09:19:00,8.3,8.3,8.3,8.3,188.0
2020-07-30 09:21:00,8.3,8.3,8.3,8.3,0.0
2020-07-30 09:22:00,8.25,8.25,8.25,8.25,0.0
2020-07-30 09:27:00,7.8,7.8,7.8,7.8,2.0
2020-07-30 09:28:00,8.25,8.25,8.25,8.25,20.0
2020-07-30 09:30:00,8.25,8.25,8.25,8.25,0.0
2020-07-30 09:39:00,8.0,8.0,8.0,8.0,2000.0
2020-07-30 09:40:00,8.1,8.1,8.1,8.1,1000.0
2020-07-30 09:42:00,8.25,8.25,8.25,8.25,0.0
2020-07-30 09:50:00,8.25,8.25,8.25,8.25,190.0
2020-07-30 09:52:00,8.25,8.25,8.25,8.25,1153.0
2020-07-30 09:58:00,8.25,8.25,8.25,8.25,10.0
2020-07-30 10:06:00,8.25,8.25,8.25,8.25,80.0
2020-07-30 10:20:00,8.25,8.25,8.25,8.25,40.0
2020-07-30 10:38:00,8.0,8.0,8.0,8.0,4600.0
2020-07-30 10:39:00,8.2,8.2,8.2,8.2,0.0
2020-07-30 10:40:00,8.2,8.2,8.2,8.2,0.0
2020-07-30 10:51:00,8.05,8.05,8.05,8.05,990.0
2020-07-30 10:55:00,8.2,8.2,8.2,8.2,400.0
2020-07-30 11:00:00,8.05,8.05,8.05,8.05,200.0
2020-07-30 11:06:00,8.05,8.2,8.05,8.2,1300.0
2020-07-30 11:10:00,8.2,8.2,8.2,8.2,2000.0
2020-07-30 11:16:00,8.2,8.2,8.2,8.2,0.0
2020-07-30 11:17:00,8.2,8.2,8.2,8.2,38.0
2020-07-30 11:20:00,8.2,8.2,8.0,8.0,6180.0
2020-07-30 11:21:00,8.2,8.2,8.2,8.2,0.0
2020-07-30 11:28:00,8.05,8.2,8.05,8.2,3000.0
2020-07-30 11:29:00,8.2,8.2,8.2,8.2,0.0
2020-07-30 11:31:00,8.05,8.05,8.05,8.05,999.0
2020-07-30 12:06:00,8.15,8.2,8.15,8.2,810.0
2020-07-30 12:11:00,8.05,8.2,8.05,8.2,1911.0
2020-07-30 12:12:00,8.05,8.05,8.0,8.0,0.0
2020-07-30 12:13:00,7.95,8.15,7.95,8.15,590.0
2020-07-30 12:16:00,7.95,7.95,7.95,7.95,19.0
2020-07-30 12:27:00,8.1,8.1,8.1,8.1,2.0
2020-07-30 12:31:00,8.1,8.1,8.1,8.1,59.0
2020-07-30 12:56:00,8.0,8.0,8.0,8.0,2000.0
2020-07-30 13:02:00,8.0,8.0,8.0,8.0,0.0
2020-07-30 13:11:00,8.0,8.0,8.0,8.0,1962.0
2020-07-30 13:15:00,8.0,8.1,8.0,8.1,496.0
2020-07-30 13:16:00,8.1,8.1,8.1,8.1,0.0
2020-07-30 13:18:00,8.1,8.1,8.1,8.1,140.0
2020-07-30 13:46:00,8.15,8.15,8.1,8.1,630.0
2020-07-30 13:49:00,8.05,8.15,8.0,8.15,2764.0
2020-07-30 13:50:00,8.15,8.15,8.15,8.15,0.0
2020-07-30 14:45:00,8.0,8.15,8.0,8.15,200.0
2020-07-30 14:47:00,8.0,8.15,8.0,8.15,950.0
2020-07-30 15:14:00,8.1,8.1,8.1,8.1,20.0
2020-07-30 15:15:00,8.1,8.1,8.0,8.0,962.0
2020-07-30 15:16:06,8.15,8.15,8.15,8.15,0.0
