,Open,High,Low,Close,Volume
2020-05-18 09:15:00,37.7,38.3,35.65,35.85,249175
2020-05-19 09:15:00,36.0,36.35,35.55,36.15,162900
2020-05-20 09:15:00,35.65,36.6,35.6,35.85,174511
2020-05-21 09:15:00,36.25,37.4,35.6,36.3,190390
2020-05-22 09:15:00,36.3,36.8,35.8,36.1,110903
2020-05-26 09:15:00,37.05,37.6,36.35,37.3,120489
2020-05-27 09:15:00,37.6,38.9,37.2,38.15,304142
2020-05-28 09:15:00,38.15,40.05,37.6,40.05,754445
2020-05-29 09:15:00,42.0,42.05,39.95,40.85,484747
2020-06-01 09:15:00,41.9,42.25,40.9,41.8,313042
2020-06-02 09:15:00,41.95,43.85,41.4,43.6,1101804
2020-06-03 09:15:00,44.75,45.4,43.6,44.05,442258
2020-06-04 09:15:00,44.55,45.0,41.85,41.85,370473
2020-06-05 09:15:00,42.9,44.9,42.15,43.5,495756
2020-06-08 09:15:00,45.75,45.75,43.3,43.6,333267
2020-06-09 09:15:00,43.8,44.3,41.95,42.35,209924
2020-06-10 09:15:00,43.1,43.7,42.0,42.65,234327
2020-06-11 09:15:00,42.85,44.2,41.95,42.05,250065
2020-06-12 09:15:00,38.0,41.8,38.0,41.45,269281
2020-06-15 09:15:00,41.9,42.7,40.95,41.6,104338
2020-06-16 09:15:00,42.8,43.0,40.5,40.8,196726
2020-06-17 09:15:00,40.8,44.85,40.55,44.2,1848916
2020-06-18 09:15:00,44.9,48.6,44.35,48.6,1606254
2020-06-19 09:15:00,49.0,49.4,44.5,47.3,1176082
2020-06-22 09:15:00,50.35,51.7,48.3,50.2,1526328
2020-06-23 09:15:00,52.45,52.8,48.95,49.95,468025
2020-06-24 09:15:00,50.8,50.8,47.0,47.75,766120
2020-06-25 09:15:00,47.1,49.35,46.2,48.7,351940
2020-06-26 09:15:00,53.55,53.55,52.95,53.55,719244
2020-06-29 09:15:00,56.4,57.65,53.0,53.45,1250812
2020-06-30 09:15:00,54.3,55.15,52.05,52.55,428614
2020-07-01 09:15:00,52.6,56.6,52.6,54.75,962163
2020-07-02 09:15:00,55.75,56.8,53.85,54.2,469815
2020-07-03 09:15:00,54.55,56.35,54.2,55.35,398765
2020-07-06 09:15:00,56.8,56.8,55.6,56.05,1070799
2020-07-07 09:15:00,60.0,61.65,58.4,58.9,2284218
2020-07-08 09:15:00,60.05,61.8,58.45,58.7,1609660
2020-07-09 09:15:00,59.25,60.15,58.7,59.4,416704
2020-07-10 09:15:00,58.5,58.6,56.45,56.75,451118
2020-07-13 09:15:00,57.05,59.35,57.0,57.75,488257
2020-07-14 09:15:00,57.3,58.25,56.05,57.4,357249
2020-07-15 09:15:00,58.0,58.8,54.65,55.3,394834
2020-07-16 09:15:00,55.4,56.7,53.55,56.0,450758
2020-07-17 09:15:00,56.5,57.65,56.1,56.75,301096
2020-07-20 09:15:00,57.0,59.5,55.05,59.15,647068
2020-07-21 09:15:00,59.2,59.7,57.4,57.9,371203
2020-07-22 09:15:00,58.0,59.5,57.55,58.15,427763
2020-07-23 09:15:00,58.1,61.05,56.85,61.05,551157
2020-07-24 09:15:00,64.0,64.1,62.25,64.1,532912
2020-07-27 09:15:00,66.0,66.0,60.9,61.05,736829
2020-07-28 09:15:00,61.2,64.1,60.7,64.1,476341
2020-07-29 09:15:00,64.65,67.3,63.1,67.3,704536
2020-07-30 09:15:00,70.65,70.65,69.45,70.65,826875
2020-07-31 09:15:00,74.15,74.15,71.05,74.15,689183
2020-08-03 09:15:00,77.85,77.85,70.45,72.7,938849
2020-08-04 09:15:00,74.75,76.3,71.65,76.3,485594
2020-08-05 09:15:00,79.3,80.1,77.5,80.1,1032615
2020-08-06 09:15:00,83.5,84.1,80.1,84.1,679063
2020-08-07 09:15:00,86.0,87.7,79.9,80.0,1202182
2020-08-10 13:13:36,79.9,84.0,79.9,83.0,597379
