,Open,High,Low,Close,Volume
2020-04-16 09:15:00,268.0,288.4,265.5,284.5,426973
2020-04-17 09:15:00,293.75,312.0,286.1,307.85,2389268
2020-04-20 09:15:00,312.5,320.7,303.3,311.35,1221844
2020-04-21 09:15:00,300.2,302.85,285.0,291.3,329873
2020-04-22 09:15:00,291.3,294.9,285.25,290.9,186696
2020-04-23 09:15:00,293.0,317.0,293.0,312.25,776685
2020-04-24 09:15:00,299.95,304.9,290.0,292.2,319376
2020-04-27 09:15:00,299.0,299.5,287.95,289.85,263739
2020-04-28 09:15:00,295.0,313.0,286.4,309.45,808808
2020-04-29 09:15:00,312.5,325.8,306.5,313.55,1043579
2020-04-30 09:15:00,322.0,324.95,313.5,320.1,734522
2020-05-04 09:15:00,304.0,310.0,295.85,300.2,290175
2020-05-05 09:15:00,297.05,308.25,290.0,290.75,221646
2020-05-06 09:15:00,292.8,303.6,286.1,296.45,370446
2020-05-07 09:15:00,297.0,314.9,293.1,302.8,473717
2020-05-08 09:15:00,312.9,312.9,297.3,299.7,251482
2020-05-11 09:15:00,308.0,308.75,298.25,307.0,210591
2020-05-12 09:15:00,301.4,306.0,292.95,296.0,200292
2020-05-13 09:15:00,309.45,315.8,300.0,308.0,474375
2020-05-14 09:15:00,309.0,321.7,300.25,303.85,1175355
2020-05-15 09:15:00,303.85,306.95,294.0,295.7,297627
2020-05-18 09:15:00,295.7,296.95,274.0,277.05,291334
2020-05-19 09:15:00,278.1,287.9,273.6,278.4,280894
2020-05-20 09:15:00,278.45,285.45,275.25,284.25,286493
2020-05-21 09:15:00,285.45,292.0,281.3,285.0,246932
2020-05-22 09:15:00,284.5,287.6,267.35,274.05,294130
2020-05-26 09:15:00,275.2,279.85,270.3,271.35,176079
2020-05-27 09:15:00,271.7,278.4,268.4,275.75,228845
2020-05-28 09:15:00,277.9,285.9,276.05,282.2,495767
2020-05-29 09:15:00,283.4,290.0,271.0,277.25,429095
2020-06-01 09:15:00,280.0,295.0,279.95,291.7,725708
2020-06-02 09:15:00,292.0,309.0,289.1,305.25,589976
2020-06-03 09:15:00,308.5,325.8,308.5,315.15,1129923
2020-06-04 09:15:00,314.3,320.9,299.25,302.55,350300
2020-06-05 09:15:00,305.0,316.0,303.0,313.5,333089
2020-06-08 09:15:00,316.4,329.6,314.0,315.65,675484
2020-06-09 09:15:00,318.7,320.75,308.0,310.5,309696
2020-06-10 09:15:00,312.85,314.65,306.0,310.3,177581
2020-06-11 09:15:00,310.0,325.0,307.0,311.35,497410
2020-06-12 09:15:00,299.2,314.5,297.6,311.2,316164
2020-06-15 09:15:00,312.0,315.8,300.55,303.5,332099
2020-06-16 09:15:00,325.0,339.0,312.0,318.9,3925398
2020-06-17 09:15:00,320.0,335.4,315.5,332.4,1638217
2020-06-18 09:15:00,335.8,353.45,335.0,349.8,1518072
2020-06-19 09:15:00,356.9,365.65,346.7,360.05,972099
2020-06-22 09:15:00,365.0,375.0,361.1,368.5,577315
2020-06-23 09:15:00,367.9,371.0,351.45,363.05,644843
2020-06-24 09:15:00,369.8,370.0,361.45,367.7,470636
2020-06-25 09:15:00,360.1,368.9,356.55,361.5,420141
2020-06-26 09:15:00,363.9,365.0,351.4,354.4,321865
2020-06-29 09:15:00,350.0,352.75,340.1,343.3,254280
2020-06-30 09:15:00,343.45,360.0,332.0,337.85,580889
2020-07-01 09:15:00,337.9,349.9,331.15,345.7,506428
2020-07-02 09:15:00,349.45,366.8,347.25,358.6,833878
2020-07-03 09:15:00,359.95,360.25,349.2,353.35,450375
2020-07-06 09:15:00,354.05,375.5,353.35,371.05,1277477
2020-07-07 09:15:00,369.85,378.0,361.05,371.8,569403
2020-07-08 09:15:00,377.0,377.5,358.1,362.8,336731
2020-07-09 09:15:00,366.4,377.75,365.2,367.0,400120
2020-07-10 15:29:51,365.0,368.05,357.65,360.65,186490
