,Open,High,Low,Close,Volume
2020-06-29 09:15:00,103.85,103.85,102.05,103.6,0
2020-06-29 09:16:00,103.85,103.85,103.35,103.35,119253
2020-06-29 09:17:00,103.45,103.9,103.45,103.9,117193
2020-06-29 09:18:00,103.8,103.95,103.5,103.6,57905
2020-06-29 09:19:00,103.6,103.7,103.3,103.45,58723
2020-06-29 09:20:00,103.4,103.4,102.9,102.95,116718
2020-06-29 09:21:00,102.9,103.1,102.9,103.1,20818
2020-06-29 09:22:00,102.8,102.9,102.7,102.75,145367
2020-06-29 09:23:00,102.8,103.0,102.8,102.85,54770
2020-06-29 09:24:00,102.9,102.9,102.55,102.55,89108
2020-06-29 09:25:00,102.6,102.7,102.4,102.55,99881
2020-06-29 09:26:00,102.65,102.85,102.5,102.85,36927
2020-06-29 09:27:00,102.9,102.95,102.85,102.9,67576
2020-06-29 09:28:00,102.9,103.05,102.75,103.05,52924
2020-06-29 09:29:00,103.1,103.1,102.8,102.85,72969
2020-06-29 09:30:00,102.85,102.85,102.4,102.4,85200
2020-06-29 09:31:00,102.4,102.5,102.15,102.45,60665
2020-06-29 09:32:00,102.5,102.5,102.3,102.45,40908
2020-06-29 09:33:00,102.45,102.45,102.2,102.25,80718
2020-06-29 09:34:00,102.25,102.6,102.25,102.6,47352
2020-06-29 09:35:00,102.55,102.7,102.5,102.65,30365
2020-06-29 09:36:00,102.65,102.65,102.45,102.5,52782
2020-06-29 09:37:00,102.5,102.8,102.5,102.75,54139
2020-06-29 09:38:00,102.75,102.8,102.65,102.75,31433
2020-06-29 09:39:00,102.75,102.8,102.55,102.65,22959
2020-06-29 09:40:00,102.6,102.65,102.5,102.65,55726
2020-06-29 09:41:00,102.7,102.8,102.6,102.65,30577
2020-06-29 09:42:00,102.65,102.65,102.5,102.6,23614
2020-06-29 09:43:00,102.7,102.7,102.45,102.45,40952
2020-06-29 09:44:00,102.5,102.5,102.1,102.15,71614
2020-06-29 09:45:00,102.15,102.25,102.1,102.25,30926
2020-06-29 09:46:00,102.25,102.3,102.2,102.25,13311
2020-06-29 09:47:00,102.35,102.5,102.25,102.4,28385
2020-06-29 09:48:00,102.35,102.4,102.2,102.25,48255
2020-06-29 09:49:00,102.25,102.35,102.2,102.3,15176
2020-06-29 09:50:00,102.25,102.35,102.25,102.25,43843
2020-06-29 09:51:00,102.25,102.3,102.15,102.2,34444
2020-06-29 09:52:00,102.2,102.4,102.2,102.2,32605
2020-06-29 09:53:00,102.15,102.2,101.9,102.05,144082
2020-06-29 09:54:00,102.0,102.1,101.9,102.0,70346
2020-06-29 09:55:00,102.0,102.05,101.8,101.9,23216
2020-06-29 09:56:00,101.9,101.9,101.8,101.9,26874
2020-06-29 09:57:00,101.9,102.0,101.85,102.0,46794
2020-06-29 09:58:00,102.0,102.25,102.0,102.1,38781
2020-06-29 09:59:00,102.15,102.2,101.9,101.95,31240
2020-06-29 10:00:00,102.0,102.0,101.85,101.85,47343
2020-06-29 10:01:00,101.9,101.9,101.5,101.5,144157
2020-06-29 10:02:00,101.35,101.6,101.35,101.45,126653
2020-06-29 10:03:00,101.5,101.6,101.4,101.5,61626
2020-06-29 10:04:00,101.45,101.55,101.4,101.55,63335
2020-06-29 10:05:00,101.5,101.6,101.2,101.25,79422
2020-06-29 10:06:00,101.25,101.4,101.1,101.4,68623
2020-06-29 10:07:00,101.4,101.6,101.3,101.6,35722
2020-06-29 10:08:00,101.6,101.95,101.6,101.95,89871
2020-06-29 10:09:00,101.9,101.9,101.5,101.5,33671
2020-06-29 10:10:00,101.5,101.75,101.45,101.75,26424
2020-06-29 10:11:00,101.65,101.8,101.65,101.7,31767
2020-06-29 10:12:00,101.7,101.75,101.35,101.4,39228
2020-06-29 10:13:00,101.35,101.6,101.35,101.6,25540
2020-06-29 10:14:00,101.6,101.6,101.4,101.5,32604
2020-06-29 10:15:00,101.45,101.55,101.25,101.3,31779
2020-06-29 10:16:00,101.3,101.5,101.3,101.45,5640
2020-06-29 10:17:00,101.45,101.5,101.3,101.45,10792
2020-06-29 10:18:00,101.5,101.7,101.45,101.6,21083
2020-06-29 10:19:00,101.6,101.75,101.6,101.7,7705
2020-06-29 10:20:00,101.65,101.65,101.35,101.6,16972
2020-06-29 10:21:00,101.6,101.65,101.5,101.6,15686
2020-06-29 10:22:00,101.6,101.65,101.55,101.6,10203
2020-06-29 10:23:00,101.65,101.7,101.45,101.45,34579
2020-06-29 10:24:00,101.45,101.5,101.25,101.4,56847
2020-06-29 10:25:00,101.4,101.75,101.35,101.75,39175
2020-06-29 10:26:00,101.75,101.85,101.7,101.7,46690
2020-06-29 10:27:00,101.65,101.85,101.55,101.65,60773
2020-06-29 10:28:00,101.6,101.8,101.6,101.7,25812
2020-06-29 10:29:00,101.75,101.9,101.7,101.85,46566
2020-06-29 10:30:00,101.85,102.0,101.85,101.9,57076
2020-06-29 10:31:00,101.8,102.0,101.8,101.95,55498
2020-06-29 10:32:00,101.95,102.0,101.9,101.95,19414
2020-06-29 10:33:00,101.9,101.9,101.65,101.75,32966
2020-06-29 10:34:00,101.75,101.75,101.6,101.65,11001
2020-06-29 10:35:00,101.65,101.75,101.5,101.75,60563
2020-06-29 10:36:00,101.75,101.9,101.7,101.8,22104
2020-06-29 10:37:00,101.8,101.85,101.8,101.8,8142
2020-06-29 10:38:00,101.8,101.85,101.75,101.75,9284
2020-06-29 10:39:00,101.8,101.85,101.7,101.7,12669
2020-06-29 10:40:00,101.7,101.85,101.7,101.85,14275
2020-06-29 10:41:00,101.85,102.1,101.85,101.95,75678
2020-06-29 10:42:00,101.9,102.05,101.9,102.0,19763
2020-06-29 10:43:00,102.0,102.0,101.9,101.95,14983
2020-06-29 10:44:00,101.95,102.05,101.9,101.95,10408
2020-06-29 10:45:00,102.0,102.05,101.9,101.95,23254
2020-06-29 10:46:00,101.9,101.95,101.65,101.7,43079
