,Open,High,Low,Close,Volume
2010-07-01 00:00:00,435.6,500.77,432.93,465.95,15181846
2010-08-01 00:00:00,471.74,524.65,461.14,499.9,13028487
2010-09-01 00:00:00,500.97,579.51,496.05,567.11,13967463
2010-10-01 00:00:00,569.0,726.52,566.09,701.77,27254718
2010-11-01 00:00:00,706.15,821.11,608.98,721.22,39402550
2010-12-01 00:00:00,723.36,739.12,585.54,642.2,19372018
2011-01-01 00:00:00,645.07,653.33,509.23,586.41,22150647
2011-02-01 00:00:00,588.46,605.96,504.9,597.36,22492626
2011-03-01 00:00:00,602.75,624.93,574.84,609.12,23714091
2011-04-01 00:00:00,610.92,658.0,604.26,614.57,16037414
2011-05-01 00:00:00,621.33,621.33,452.28,529.27,28828816
2011-06-01 00:00:00,533.02,538.85,489.24,510.64,11481010
2011-07-01 00:00:00,513.71,530.1,443.53,446.4,15277825
2011-08-01 00:00:00,453.26,457.63,390.23,415.18,20512511
2011-09-01 00:00:00,423.01,443.43,396.84,431.91,13018837
2011-10-01 00:00:00,427.87,460.84,404.96,454.13,11553347
2011-11-01 00:00:00,450.34,483.26,401.32,419.31,14271415
2011-12-01 00:00:00,430.89,445.28,331.97,354.53,20316731
2012-01-01 00:00:00,355.99,471.64,351.23,457.24,17344836
2012-02-01 00:00:00,462.98,550.52,444.99,496.93,16153850
2012-03-01 00:00:00,490.22,520.03,430.35,462.79,15960611
2012-04-01 00:00:00,463.96,475.34,407.93,424.66,9914268
2012-05-01 00:00:00,424.03,430.4,355.85,391.1,15694761
2012-06-01 00:00:00,389.69,425.54,374.47,401.37,11248441
2012-07-01 00:00:00,400.73,427.39,334.3,356.19,20884374
2012-08-01 00:00:00,357.94,360.56,297.88,309.4,14137882
2012-09-01 00:00:00,314.27,443.39,301.18,419.65,25193108
2012-10-01 00:00:00,421.16,441.49,379.48,389.94,14528251
2012-11-01 00:00:00,392.86,455.15,388.62,451.85,17902378
2012-12-01 00:00:00,453.26,486.13,440.03,483.31,19099914
2013-01-01 00:00:00,486.23,518.42,449.8,467.94,20929127
2013-02-01 00:00:00,470.67,472.52,396.84,404.23,16055145
2013-03-01 00:00:00,407.59,430.25,346.27,373.55,15000070
2013-04-01 00:00:00,374.38,437.21,358.23,403.41,21651693
2013-05-01 00:00:00,403.41,444.8,372.62,400.73,27024350
2013-06-01 00:00:00,398.01,405.3,325.84,350.74,18684786
2013-07-01 00:00:00,350.16,376.42,239.32,266.41,27608317
2013-08-01 00:00:00,269.13,271.95,184.22,197.25,39149069
2013-09-01 00:00:00,198.91,247.05,185.29,215.39,60544752
2013-10-01 00:00:00,216.95,254.84,213.21,251.19,33781664
