,Open,High,Low,Close,Volume
2020-03-30 09:15:00,87.95,88.95,84.7,87.6,0.0
2020-03-30 10:15:00,87.55,89.5,86.95,88.85,1079756.0
2020-03-30 11:15:00,89.25,89.55,87.3,88.05,858464.0
2020-03-30 12:15:00,87.9,88.25,86.6,86.95,602491.0
2020-03-30 13:15:00,86.85,87.55,86.25,86.8,483217.0
2020-03-30 14:15:00,86.9,87.3,86.0,87.0,726185.0
2020-03-30 15:15:00,87.05,87.25,86.3,87.2,250815.0
2020-03-31 09:15:00,89.6,89.6,86.8,87.7,417417.0
2020-03-31 10:15:00,87.7,88.65,87.0,87.5,660160.0
2020-03-31 11:15:00,87.4,89.1,87.35,88.9,950151.0
2020-03-31 12:15:00,88.95,89.65,88.1,88.45,759754.0
2020-03-31 13:15:00,88.45,89.5,88.25,89.0,604749.0
2020-03-31 14:15:00,89.0,90.35,88.55,90.35,1337250.0
2020-03-31 15:15:00,90.4,92.1,90.1,90.5,747436.0
2020-04-01 09:15:00,91.75,91.75,89.6,90.45,281050.0
2020-04-01 10:15:00,90.45,91.05,89.5,89.6,1015834.0
2020-04-01 11:15:00,89.65,91.2,88.8,90.05,1388150.0
2020-04-01 12:15:00,90.1,90.6,89.2,89.3,746167.0
2020-04-01 13:15:00,89.3,89.5,88.25,89.4,502524.0
2020-04-01 14:15:00,89.2,90.8,89.1,90.1,942310.0
2020-04-01 15:15:00,90.1,90.55,89.95,90.2,310168.0
2020-04-03 09:15:00,88.8,88.8,86.3,87.2,135635.0
2020-04-03 10:15:00,87.15,87.2,84.7,85.25,1006910.0
2020-04-03 11:15:00,85.2,86.1,85.1,85.7,435435.0
2020-04-03 12:15:00,85.75,85.9,85.05,85.2,386871.0
2020-04-03 13:15:00,85.15,85.85,84.5,84.65,855492.0
2020-04-03 14:15:00,84.6,84.75,83.5,83.85,1056899.0
2020-04-03 15:15:00,83.85,84.95,83.85,84.5,465957.0
2020-04-07 09:15:00,87.05,87.75,83.7,83.85,530178.0
2020-04-07 10:15:00,83.8,85.45,83.3,85.35,980905.0
2020-04-07 11:15:00,85.2,85.75,84.3,84.7,696335.0
2020-04-07 12:15:00,84.7,87.85,84.7,87.2,1501240.0
2020-04-07 13:15:00,87.2,87.9,85.85,86.45,1177917.0
2020-04-07 14:15:00,86.45,87.2,86.05,86.85,737051.0
2020-04-07 15:15:00,86.95,87.1,86.35,86.8,387453.0
2020-04-08 09:15:00,85.2,90.95,84.65,90.9,738120.0
