,Open,High,Low,Close,Volume
2020-04-16 09:15:00,81.8,85.8,80.2,83.5,77958
2020-04-17 09:15:00,87.0,87.6,84.0,86.45,77018
2020-04-20 09:15:00,89.5,90.75,87.5,90.75,254419
2020-04-21 09:15:00,95.25,95.25,89.0,90.0,106025
2020-04-22 09:15:00,90.0,90.0,85.5,87.55,48396
2020-04-23 09:15:00,87.5,91.9,86.6,90.15,66416
2020-04-24 09:15:00,90.15,93.9,87.05,88.15,31524
2020-04-27 09:15:00,90.0,92.5,87.4,88.15,30624
2020-04-28 09:15:00,88.0,89.65,84.6,86.8,35842
2020-04-29 09:15:00,86.8,86.8,84.0,85.95,43218
2020-04-30 09:15:00,88.0,90.1,85.95,87.0,155561
2020-05-04 09:15:00,85.0,85.5,82.65,82.65,45443
2020-05-05 09:15:00,82.0,83.95,78.55,78.8,52856
2020-05-06 09:15:00,78.5,80.75,75.3,77.05,38128
2020-05-07 09:15:00,78.35,78.35,75.55,75.95,21838
2020-05-08 09:15:00,77.0,78.0,73.95,74.2,43682
2020-05-11 09:15:00,74.2,75.8,72.7,73.6,27118
2020-05-12 09:15:00,73.0,76.2,72.1,75.45,15087
2020-05-13 09:15:00,77.8,79.2,76.95,79.15,54101
2020-05-14 09:15:00,77.9,82.8,75.2,77.25,30805
2020-05-15 09:15:00,79.6,79.6,76.05,76.7,29319
2020-05-18 09:15:00,78.0,78.0,72.9,73.1,39537
2020-05-19 09:15:00,75.0,75.0,71.2,72.05,64473
2020-05-20 09:15:00,72.3,75.5,72.0,74.0,17601
2020-05-21 09:15:00,75.4,76.45,74.0,74.2,13075
2020-05-22 09:15:00,72.25,75.9,71.25,73.2,19913
2020-05-26 09:15:00,73.2,74.9,71.65,73.0,25059
2020-05-27 09:15:00,72.3,76.65,72.3,74.65,20351
2020-05-28 09:15:00,76.0,78.1,74.2,77.3,27572
2020-05-29 09:15:00,77.0,77.4,76.1,76.8,19983
2020-06-01 09:15:00,78.0,80.6,78.0,80.6,24363
2020-06-02 09:15:00,83.45,84.6,79.55,84.4,54332
2020-06-03 09:15:00,86.0,88.6,86.0,87.1,54137
2020-06-04 09:15:00,89.85,89.85,82.75,82.9,45509
2020-06-05 09:15:00,83.0,89.1,81.0,85.1,444662
2020-06-08 09:15:00,88.0,102.1,86.0,101.75,492625
2020-06-09 09:15:00,109.9,111.65,101.6,106.1,397654
2020-06-10 09:15:00,106.7,110.35,104.0,105.2,128667
2020-06-11 09:15:00,101.2,103.95,96.2,99.85,90964
2020-06-12 09:15:00,90.0,108.0,88.75,105.85,99010
2020-06-15 09:15:00,105.85,105.85,93.0,98.65,89641
2020-06-16 09:15:00,100.9,103.5,95.65,99.5,44753
2020-06-17 09:15:00,98.05,102.0,97.05,99.3,26657
2020-06-18 09:15:00,97.3,102.0,97.3,100.5,50893
2020-06-19 09:15:00,98.9,118.5,97.5,113.75,574299
2020-06-22 09:15:00,115.8,124.6,115.8,119.2,224388
2020-06-23 09:15:00,120.3,120.3,114.75,116.3,98042
2020-06-24 09:15:00,126.0,126.0,115.0,116.55,171433
2020-06-25 09:15:00,118.0,120.0,114.75,115.3,196799
2020-06-26 09:15:00,118.0,118.0,113.0,114.45,56907
2020-06-29 09:15:00,115.0,116.5,112.55,112.95,84232
2020-06-30 09:15:00,114.0,119.9,109.1,111.8,85453
2020-07-01 09:15:00,111.0,116.0,110.6,113.9,46434
2020-07-02 09:15:00,114.2,115.9,113.0,113.2,30041
2020-07-03 09:15:00,112.5,115.5,112.0,112.2,30136
2020-07-06 09:15:00,113.7,114.0,111.9,112.45,52579
2020-07-07 09:15:00,113.7,114.0,110.45,111.2,66241
2020-07-08 09:15:00,114.9,115.0,111.0,111.8,67814
2020-07-09 09:15:00,113.0,113.9,111.25,111.5,44253
2020-07-10 15:29:57,111.95,112.9,111.0,111.6,24841
