,Open,High,Low,Close,Volume
2015-02-02 00:00:00,15.9,15.9,13.6,14.55,200417
2015-02-09 00:00:00,14.0,15.5,13.5,14.5,121025
2015-02-16 00:00:00,14.5,16.5,13.1,15.95,802372
2015-02-23 00:00:00,16.0,16.9,14.6,15.2,1658373
2015-03-02 00:00:00,15.2,15.2,13.65,14.4,628726
2015-03-09 00:00:00,14.1,15.4,13.15,13.7,311887
2015-03-16 00:00:00,13.55,14.95,12.3,13.0,1307889
2015-03-23 00:00:00,12.3,12.3,8.35,9.75,1652645
2015-03-30 00:00:00,10.65,11.0,9.7,10.8,175139
2015-04-06 00:00:00,10.8,13.05,10.3,11.75,820534
2015-04-13 00:00:00,12.0,12.3,11.15,11.95,286846
2015-04-20 00:00:00,12.2,13.2,11.9,12.15,245506
2015-04-27 00:00:00,12.1,12.1,10.65,11.45,72742
2015-05-04 00:00:00,11.95,12.2,10.5,10.8,87080
2015-05-11 00:00:00,10.75,11.5,10.1,10.6,69900
2015-05-18 00:00:00,10.4,11.05,10.3,10.5,410294
2015-05-25 00:00:00,10.35,10.75,10.1,10.2,71378
2015-06-01 00:00:00,10.1,10.6,9.5,9.8,102539
2015-06-08 00:00:00,9.7,10.4,9.1,9.5,78156
2015-06-15 00:00:00,10.4,10.4,9.0,10.0,103401
2015-06-22 00:00:00,10.1,10.6,9.2,10.15,73872
2015-06-29 00:00:00,9.95,11.0,9.6,10.75,98376
2015-07-06 00:00:00,10.5,13.25,10.5,12.0,212214
2015-07-13 00:00:00,11.25,12.8,11.25,12.0,226212
2015-07-20 00:00:00,12.2,12.45,11.05,11.75,92144
2015-07-27 00:00:00,11.45,12.5,11.2,11.85,94879
2015-08-03 00:00:00,12.5,14.3,11.25,13.2,718906
2015-08-10 00:00:00,13.75,13.95,10.55,11.0,785968
2015-08-17 00:00:00,11.35,11.65,10.0,10.3,561678
2015-08-24 00:00:00,10.15,10.3,8.4,9.45,364590
2015-08-31 00:00:00,9.55,9.65,8.65,8.8,565557
2015-09-07 00:00:00,8.9,9.85,8.4,9.0,134177
2015-09-14 00:00:00,9.1,9.5,8.2,8.8,118049
2015-09-21 00:00:00,8.9,9.2,8.35,9.1,175949
2015-09-28 00:00:00,8.8,9.15,8.65,8.9,198405
2015-10-05 00:00:00,8.85,9.65,8.8,9.45,414598
2015-10-12 00:00:00,9.95,11.3,9.15,10.75,1181546
2015-10-19 00:00:00,10.55,10.95,10.0,10.35,206533
2015-10-26 00:00:00,10.2,10.7,8.9,10.35,184379
2015-11-02 00:00:00,10.2,10.3,9.25,9.6,158740
2015-11-09 00:00:00,9.6,10.4,9.35,10.0,72219
2015-11-16 00:00:00,10.0,11.6,9.7,11.05,562603
2015-11-23 00:00:00,11.2,15.8,10.9,15.4,4564102
2015-11-30 00:00:00,15.4,15.6,13.45,13.6,768329
2015-12-07 00:00:00,14.0,14.0,11.8,12.5,429094
2015-12-14 00:00:00,11.85,14.35,11.85,13.9,584549
2015-12-21 00:00:00,14.0,16.0,13.85,14.45,900087
2015-12-28 00:00:00,14.25,15.75,13.5,15.3,1103079
2016-01-04 00:00:00,15.4,17.9,14.55,15.3,3199917
2016-01-11 00:00:00,15.0,15.25,11.9,12.55,851854
2016-01-18 00:00:00,12.65,12.95,11.0,12.4,547150
2016-01-25 00:00:00,13.0,13.2,12.3,12.75,291319
2016-02-01 00:00:00,12.5,13.35,11.45,12.0,274226
2016-02-08 00:00:00,12.45,12.6,10.8,11.0,163934
2016-02-15 00:00:00,10.5,11.85,8.4,10.65,361344
2016-02-22 00:00:00,10.9,10.95,10.0,10.05,232843
2016-02-29 00:00:00,10.5,11.5,10.0,11.3,356908
2016-03-07 00:00:00,11.3,11.8,10.15,11.0,223122
2016-03-14 00:00:00,11.0,11.75,10.6,11.45,244176
2016-03-21 00:00:00,11.3,11.6,10.4,10.75,121993
2016-03-28 00:00:00,10.65,11.35,10.25,11.25,229747
2016-04-04 00:00:00,11.2,12.25,9.9,12.0,331783
2016-04-11 00:00:00,12.3,12.4,11.65,12.0,130098
2016-04-18 00:00:00,12.4,12.4,11.5,11.8,115441
2016-04-25 00:00:00,11.75,12.4,11.4,11.55,293514
2016-05-02 00:00:00,11.5,12.45,11.1,11.6,198781
2016-05-09 00:00:00,11.85,12.25,10.8,11.65,149779
2016-05-16 00:00:00,11.9,12.4,11.5,11.65,187624
2016-05-23 00:00:00,11.9,12.15,10.9,11.95,120804
2016-05-30 00:00:00,11.8,12.3,11.3,12.15,216618
2016-06-06 00:00:00,11.35,14.45,11.35,13.55,675408
2016-06-13 00:00:00,13.8,13.8,12.35,12.65,582451
2016-06-20 00:00:00,12.85,12.85,11.5,11.85,253754
2016-06-27 00:00:00,11.85,14.65,11.7,13.3,1075933
2016-07-04 00:00:00,13.8,14.7,13.1,13.7,907742
2016-07-11 00:00:00,13.95,14.75,13.0,13.75,584430
2016-07-18 00:00:00,13.45,13.95,13.05,13.45,303017
2016-07-25 00:00:00,13.2,14.05,12.95,13.05,378983
2016-08-01 00:00:00,13.1,13.5,12.1,12.3,309126
2016-08-08 00:00:00,12.6,13.0,11.95,12.4,381960
2016-08-15 00:00:00,12.4,13.4,12.4,12.9,294028
2016-08-22 00:00:00,13.0,13.25,12.4,12.6,395924
2016-08-29 00:00:00,12.85,12.9,12.0,12.25,346071
2016-09-05 00:00:00,12.25,14.3,12.0,13.25,801108
2016-09-12 00:00:00,12.95,13.3,12.35,12.55,453433
2016-09-19 00:00:00,12.55,13.2,12.4,12.75,634240
2016-09-26 00:00:00,12.75,13.6,12.0,12.6,687295
2016-10-03 00:00:00,12.95,13.35,12.5,12.65,319226
2016-10-10 00:00:00,12.95,13.2,12.5,12.75,327994
2016-10-17 00:00:00,12.75,15.85,12.75,14.85,1930905
2016-10-24 00:00:00,14.7,16.9,14.55,15.65,2553509
2016-10-31 00:00:00,15.65,17.45,14.3,14.8,1624349
2016-11-07 00:00:00,15.1,17.4,12.35,13.45,2371919
2016-11-14 00:00:00,13.45,13.5,11.9,12.25,373307
2016-11-21 00:00:00,12.3,12.95,11.9,12.9,264218
2016-11-28 00:00:00,13.0,13.5,12.65,13.0,232515
2016-12-05 00:00:00,13.3,14.0,12.75,13.3,374364
2016-12-12 00:00:00,13.45,13.55,13.05,13.25,182937
2016-12-19 00:00:00,12.9,13.45,12.1,12.4,147184
2016-12-26 00:00:00,12.25,12.55,11.85,12.35,201279
2017-01-02 00:00:00,12.5,13.55,12.0,13.15,265712
2017-01-09 00:00:00,13.1,14.9,12.6,14.45,750968
2017-01-16 00:00:00,14.45,14.65,13.05,13.8,385066
2017-01-23 00:00:00,14.0,14.15,13.4,13.6,159452
2017-01-30 00:00:00,13.45,13.7,13.0,13.35,323268
2017-02-06 00:00:00,13.3,13.8,12.65,13.3,279340
2017-02-13 00:00:00,13.4,13.6,12.4,12.95,327966
2017-02-20 00:00:00,12.7,13.2,12.4,12.55,192633
2017-02-27 00:00:00,12.8,13.05,11.05,12.65,339925
2017-03-06 00:00:00,12.85,13.0,12.4,12.5,169350
2017-03-13 00:00:00,12.5,13.1,12.2,12.4,186545
2017-03-20 00:00:00,12.5,12.75,12.0,12.25,213691
2017-03-27 00:00:00,12.35,12.5,11.65,12.25,350794
2017-04-03 00:00:00,12.45,13.5,11.7,12.7,485778
2017-04-10 00:00:00,12.75,14.9,12.75,13.65,1219724
2017-04-17 00:00:00,13.4,15.85,13.4,14.5,1813984
2017-04-24 00:00:00,14.9,16.35,14.15,15.95,1707339
2017-05-01 00:00:00,15.95,17.25,15.45,15.6,1635710
2017-05-08 00:00:00,15.6,15.95,14.75,14.95,804162
2017-05-15 00:00:00,15.25,15.5,14.2,14.4,405985
2017-05-22 00:00:00,14.75,14.75,13.1,13.7,546517
2017-05-29 00:00:00,14.2,14.2,12.15,12.65,662945
2017-06-05 00:00:00,12.9,13.1,12.05,12.85,569204
2017-06-12 00:00:00,12.9,13.4,12.5,13.25,435563
2017-06-19 00:00:00,13.5,13.6,12.55,12.9,317630
2017-06-26 00:00:00,12.9,15.3,12.55,15.1,2180391
2017-07-03 00:00:00,16.35,16.35,13.55,14.7,1859688
2017-07-10 00:00:00,14.7,15.95,14.5,14.8,1154070
2017-07-17 00:00:00,15.1,15.7,14.55,14.8,722238
2017-07-24 00:00:00,15.0,16.4,12.6,14.75,1558716
2017-07-31 00:00:00,15.45,15.45,14.4,14.95,642790
2017-08-07 00:00:00,14.95,15.2,12.5,13.1,1054129
2017-08-14 00:00:00,13.25,13.95,13.05,13.25,388049
2017-08-21 00:00:00,13.75,13.75,12.85,13.05,204303
2017-08-28 00:00:00,13.2,13.65,12.85,13.05,325412
2017-09-04 00:00:00,13.3,14.15,13.05,13.6,547634
2017-09-11 00:00:00,13.9,14.1,13.5,13.65,268878
2017-09-18 00:00:00,13.65,13.65,13.65,13.65,0
2017-09-25 00:00:00,13.65,13.65,13.65,13.65,0
2017-10-02 00:00:00,13.65,13.65,13.65,13.65,0
2017-10-09 00:00:00,13.65,13.65,13.65,13.65,0
2017-10-16 00:00:00,13.65,13.65,13.65,13.65,0
2017-10-23 00:00:00,13.65,13.65,13.65,13.65,0
2017-10-30 00:00:00,13.65,13.65,13.65,13.65,0
2017-11-06 00:00:00,13.65,13.65,13.65,13.65,0
2017-11-13 00:00:00,13.65,13.65,13.65,13.65,0
2017-11-20 00:00:00,13.65,13.65,13.65,13.65,0
2017-11-27 00:00:00,13.65,13.65,13.65,13.65,0
2017-12-04 00:00:00,13.65,13.65,13.65,13.65,0
2017-12-11 00:00:00,13.65,13.65,13.65,13.65,0
2017-12-18 00:00:00,13.65,13.65,13.65,13.65,0
2017-12-25 00:00:00,13.65,13.65,13.65,13.65,0
2018-01-01 00:00:00,13.65,13.65,13.65,13.65,0
2018-01-08 00:00:00,13.65,13.65,13.65,13.65,0
2018-01-15 00:00:00,13.65,13.65,13.65,13.65,0
2018-01-22 00:00:00,13.65,13.65,13.65,13.65,0
2018-01-29 00:00:00,13.65,13.65,13.65,13.65,0
2018-02-05 00:00:00,13.65,13.65,13.65,13.65,0
2018-02-12 00:00:00,13.65,13.65,13.65,13.65,0
2018-02-19 00:00:00,13.65,13.65,13.65,13.65,0
2018-02-26 00:00:00,13.65,13.65,13.65,13.65,0
2018-03-05 00:00:00,13.65,13.65,13.65,13.65,0
2018-03-12 00:00:00,13.65,13.65,13.65,13.65,0
2018-03-19 00:00:00,13.65,13.65,13.65,13.65,0
2018-03-26 00:00:00,13.65,13.65,13.65,13.65,0
2018-04-02 00:00:00,13.65,13.65,13.65,13.65,0
2018-04-09 00:00:00,13.65,13.65,13.65,13.65,0
2018-04-16 00:00:00,13.65,13.65,13.65,13.65,0
2018-04-23 00:00:00,13.65,13.65,13.65,13.65,0
2018-04-30 00:00:00,13.65,13.65,13.65,13.65,0
2018-05-07 00:00:00,13.65,13.65,13.65,13.65,0
2018-05-14 00:00:00,13.65,13.65,13.65,13.65,0
2018-05-21 00:00:00,13.65,13.65,13.65,13.65,0
2018-05-28 00:00:00,13.65,13.65,13.65,13.65,0
2018-06-04 00:00:00,13.65,13.65,13.65,13.65,0
2018-06-11 00:00:00,13.65,13.65,13.65,13.65,0
2018-06-18 00:00:00,13.65,13.65,13.65,13.65,0
2018-06-25 00:00:00,9.25,9.25,8.2,8.85,284138
2018-07-02 00:00:00,9.25,9.25,8.2,8.7,166488
2018-07-09 00:00:00,8.7,9.3,8.6,9.0,213623
2018-07-16 00:00:00,8.7,9.0,7.9,8.2,219231
2018-07-23 00:00:00,8.35,8.95,7.8,8.95,270761
2018-07-30 00:00:00,9.0,9.35,8.55,8.95,229019
2018-08-06 00:00:00,9.1,10.0,8.9,9.75,257752
2018-08-13 00:00:00,9.9,10.15,9.2,9.3,131081
2018-08-20 00:00:00,9.3,10.2,9.1,9.2,452342
2018-08-27 00:00:00,9.4,10.1,8.8,9.8,527599
2018-09-03 00:00:00,9.85,10.55,8.95,9.2,635271
2018-09-10 00:00:00,9.2,9.7,8.8,9.1,266844
2018-09-17 00:00:00,9.3,9.3,8.35,8.65,228187
2018-09-24 00:00:00,8.85,8.85,7.6,7.65,314004
2018-10-01 00:00:00,7.9,8.0,7.05,7.5,219972
2018-10-08 00:00:00,7.5,7.9,7.0,7.75,252763
2018-10-15 00:00:00,7.9,8.1,7.4,7.55,116035
2018-10-22 00:00:00,7.75,7.75,7.05,7.4,119340
2018-10-29 00:00:00,7.15,8.05,7.0,7.75,161050
2018-11-05 00:00:00,8.0,9.35,7.65,8.45,170857
2018-11-12 00:00:00,8.6,8.9,7.75,7.8,250962
2018-11-19 00:00:00,7.75,8.0,7.5,7.7,72161
2018-11-26 00:00:00,7.6,8.0,7.35,7.9,161828
2018-12-03 00:00:00,7.95,8.3,7.55,7.7,180753
2018-12-10 00:00:00,7.55,7.8,7.0,7.55,173564
2018-12-17 00:00:00,7.55,7.75,7.3,7.5,126870
2018-12-24 00:00:00,7.2,7.7,7.2,7.35,104541
2018-12-31 00:00:00,7.55,7.8,7.25,7.65,145382
2019-01-07 00:00:00,7.7,7.75,7.3,7.4,168591
2019-01-14 00:00:00,7.5,7.5,7.15,7.3,120476
2019-01-21 00:00:00,7.4,7.4,6.9,7.0,98757
2019-01-28 00:00:00,6.8,7.4,6.4,6.8,153257
2019-02-04 00:00:00,6.6,6.85,5.75,6.3,197305
2019-02-11 00:00:00,6.2,7.0,5.9,6.15,161050
2019-02-18 00:00:00,6.3,6.55,5.4,6.3,140626
2019-02-25 00:00:00,6.2,6.55,6.0,6.2,66453
2019-03-04 00:00:00,6.2,7.85,6.2,7.05,436790
2019-03-11 00:00:00,7.35,7.75,6.7,7.15,238354
2019-03-18 00:00:00,7.3,7.3,6.7,6.9,159016
2019-03-25 00:00:00,6.9,7.1,6.4,6.55,169805
2019-04-01 00:00:00,6.5,6.8,6.3,6.65,95394
2019-04-08 00:00:00,6.7,6.8,6.25,6.35,80711
2019-04-15 00:00:00,6.55,6.95,6.25,6.4,111721
2019-04-22 00:00:00,6.3,6.45,5.85,6.2,101053
2019-04-29 00:00:00,6.2,6.35,5.85,6.05,44727
2019-05-06 00:00:00,6.2,6.2,5.5,5.6,139581
2019-05-13 00:00:00,5.8,6.0,5.45,5.55,95618
2019-05-20 00:00:00,5.9,6.6,5.75,6.6,193999
2019-05-27 00:00:00,6.8,7.9,6.75,7.25,163733
2019-06-03 00:00:00,7.5,7.5,6.55,6.85,82797
2019-06-10 00:00:00,6.8,6.9,5.85,6.1,65239
2019-06-17 00:00:00,6.4,6.4,5.25,5.55,92145
2019-06-24 00:00:00,5.8,6.15,5.3,6.15,64453
2019-07-01 00:00:00,6.15,6.3,5.25,5.35,55939
2019-07-08 00:00:00,5.3,5.55,4.9,4.95,103476
2019-07-15 00:00:00,4.95,5.15,4.3,4.3,101117
2019-07-22 00:00:00,4.3,4.55,4.0,4.45,93405
2019-07-29 00:00:00,4.4,4.5,3.8,3.8,82341
2019-08-05 00:00:00,3.8,3.95,3.4,3.95,119349
2019-08-12 00:00:00,3.95,4.1,3.6,3.6,48343
2019-08-19 00:00:00,3.75,3.75,3.2,3.5,122524
2019-08-26 00:00:00,3.65,4.0,3.3,4.0,121473
2019-09-02 00:00:00,4.0,4.2,3.65,3.85,48719
2019-09-09 00:00:00,4.0,4.35,3.8,4.3,51337
