,Open,High,Low,Close,Volume
2010-02-01 00:00:00,452.1,471.9,412.45,439.4,31289771
2010-03-01 00:00:00,435.0,475.9,411.0,453.85,6990479
2010-04-01 00:00:00,455.0,474.5,429.0,434.8,499809
2010-05-01 00:00:00,435.0,445.0,385.0,411.5,731082
2010-06-01 00:00:00,409.9,424.0,367.0,375.6,1106597
2010-07-01 00:00:00,379.8,430.0,355.0,425.55,3278805
2010-08-01 00:00:00,432.0,469.0,391.2,428.4,7707997
2010-09-01 00:00:00,438.5,475.0,401.25,406.65,4607982
2010-10-01 00:00:00,408.8,455.1,355.55,419.55,7055638
2010-11-01 00:00:00,430.0,439.0,188.75,207.85,14965004
2010-12-01 00:00:00,218.25,251.85,183.1,194.3,8911427
2011-01-01 00:00:00,197.0,207.05,144.2,151.75,4488378
2011-02-01 00:00:00,153.15,159.5,100.0,109.55,25317149
2011-03-01 00:00:00,109.0,130.0,80.0,118.4,40668208
2011-04-01 00:00:00,119.0,122.4,85.0,96.95,21832395
2011-05-01 00:00:00,97.8,98.4,65.6,76.95,15377453
2011-06-01 00:00:00,77.45,83.65,67.4,70.55,15946465
2011-07-01 00:00:00,70.9,89.5,68.0,78.45,16281737
2011-08-01 00:00:00,79.55,80.0,59.65,60.1,8130228
2011-09-01 00:00:00,59.15,63.9,49.5,49.75,13755532
2011-10-01 00:00:00,50.95,74.3,45.4,71.95,12371149
2011-11-01 00:00:00,71.0,81.0,52.1,72.2,32458022
2011-12-01 00:00:00,73.95,74.8,45.05,49.45,9181865
2012-01-01 00:00:00,51.9,67.1,49.0,62.0,8988870
2012-02-01 00:00:00,62.25,103.0,57.4,81.5,28846209
2012-03-01 00:00:00,81.5,98.5,69.5,85.25,15756433
2012-04-01 00:00:00,86.8,91.5,72.55,73.75,5153286
2012-05-01 00:00:00,73.55,93.35,68.0,88.1,8981410
2012-06-01 00:00:00,87.65,93.4,78.0,81.35,2606599
2012-07-01 00:00:00,81.2,85.0,76.1,78.0,800012
2012-08-01 00:00:00,78.9,80.4,72.25,74.9,449758
2012-09-01 00:00:00,75.15,77.9,68.2,71.3,2069201
2012-10-01 00:00:00,71.95,121.7,71.0,98.05,35868349
2012-11-01 00:00:00,100.05,141.5,96.5,132.25,36236942
2012-12-01 00:00:00,133.45,164.5,128.3,156.6,35853931
2013-01-01 00:00:00,157.6,168.4,130.0,136.65,24320831
2013-02-01 00:00:00,137.8,141.4,68.4,70.8,56354570
2013-03-01 00:00:00,69.05,80.8,55.25,59.6,10814063
2013-04-01 00:00:00,60.35,68.25,57.55,64.05,7173216
2013-05-01 00:00:00,64.05,81.4,63.5,71.15,10391131
2013-06-01 00:00:00,71.3,79.4,48.8,52.7,5798660
2013-07-01 00:00:00,53.0,61.9,51.3,53.55,5269605
2013-08-01 00:00:00,53.15,61.35,49.55,54.4,3541561
2013-09-01 00:00:00,54.0,61.45,54.0,57.05,3039002
2013-10-01 00:00:00,56.0,70.5,56.0,61.25,8129296
2013-11-01 00:00:00,61.5,65.9,56.1,59.85,6324275
2013-12-01 00:00:00,59.6,64.0,54.25,59.45,8186565
2014-01-01 00:00:00,59.55,71.0,52.2,52.95,22415657
2014-02-01 00:00:00,52.25,53.75,47.7,48.85,4685464
2014-03-01 00:00:00,48.4,61.95,48.1,60.45,8377705
2014-04-01 00:00:00,60.6,79.4,57.95,69.2,16459601
2014-05-01 00:00:00,69.2,94.95,58.0,79.0,17915698
2014-06-01 00:00:00,79.2,116.25,79.0,105.65,34171866
2014-07-01 00:00:00,109.8,109.8,77.55,81.25,3600476
2014-08-01 00:00:00,80.95,85.4,69.6,80.35,4327321
2014-09-01 00:00:00,80.5,87.0,63.35,67.8,9878083
2014-10-01 00:00:00,67.1,68.7,59.1,67.85,6323283
2014-11-01 00:00:00,68.5,76.9,60.5,64.4,5644403
2014-12-01 00:00:00,64.5,69.95,50.65,69.95,8368022
2015-01-01 00:00:00,76.5,93.35,64.1,90.95,28633743
2015-02-01 00:00:00,91.0,98.35,78.55,81.7,13966659
2015-03-01 00:00:00,82.8,82.8,62.9,66.8,7823751
2015-04-01 00:00:00,67.0,76.0,58.4,63.75,13952807
2015-05-01 00:00:00,63.75,70.7,61.8,67.45,6282733
2015-06-01 00:00:00,67.3,69.4,55.6,59.45,5771402
2015-07-01 00:00:00,60.0,68.9,59.6,61.85,5793664
2015-08-01 00:00:00,62.15,71.45,47.0,54.9,8429625
2015-09-01 00:00:00,53.5,62.0,51.35,60.35,3421870
2015-10-01 00:00:00,60.9,73.75,59.1,61.8,7566785
2015-11-01 00:00:00,61.7,64.3,47.2,53.45,7233953
2015-12-01 00:00:00,53.7,59.35,50.85,56.2,4414936
2016-01-01 00:00:00,56.15,59.4,47.6,50.65,3272564
2016-02-01 00:00:00,51.05,52.55,35.8,37.25,3821442
2016-03-01 00:00:00,38.0,46.8,36.95,42.75,5615773
2016-04-01 00:00:00,42.7,53.2,42.5,50.9,6260190
2016-05-01 00:00:00,50.25,56.45,45.6,49.35,14079003
2016-06-01 00:00:00,49.95,53.7,41.6,51.35,11874308
2016-07-01 00:00:00,51.7,62.4,50.25,54.45,14855265
2016-08-01 00:00:00,54.7,56.0,48.4,49.6,6521451
2016-09-01 00:00:00,49.7,52.7,42.95,44.6,10828537
2016-10-01 00:00:00,44.65,52.35,44.65,48.05,12606148
2016-11-01 00:00:00,48.1,48.45,36.0,41.0,4928155
2016-12-01 00:00:00,41.1,41.8,35.0,36.15,3096414
2017-01-01 00:00:00,36.6,43.0,36.6,39.9,4047765
2017-02-01 00:00:00,39.7,45.6,39.7,41.45,4848073
2017-03-01 00:00:00,41.75,44.0,40.5,41.7,6341950
2017-04-01 00:00:00,42.0,53.95,41.45,47.1,19436273
2017-05-01 00:00:00,47.1,52.1,39.85,41.0,9832561
2017-06-01 00:00:00,41.3,46.7,38.2,38.7,9425490
2017-07-01 00:00:00,39.1,45.25,38.25,44.35,54078877
2017-08-01 00:00:00,44.6,44.6,32.15,36.9,13190571
2017-09-01 00:00:00,37.05,42.4,34.55,35.6,13677605
2017-10-01 00:00:00,35.6,40.95,32.6,38.0,18070496
2017-11-01 00:00:00,38.15,39.2,33.7,37.6,10185629
2017-12-01 00:00:00,37.65,57.9,34.25,57.9,30574571
2018-01-01 00:00:00,61.0,86.0,59.85,61.1,38443600
2018-02-01 00:00:00,62.9,64.15,48.8,58.1,17723807
2018-03-01 00:00:00,58.0,60.65,43.3,46.05,12479330
2018-04-01 00:00:00,47.75,72.5,47.1,64.7,42949930
2018-05-01 00:00:00,64.7,69.95,46.35,49.25,16016714
2018-06-01 00:00:00,49.05,50.4,35.4,41.9,8277311
2018-07-01 00:00:00,41.9,42.55,31.4,35.45,8785262
2018-08-01 00:00:00,35.45,35.9,28.35,28.95,14934603
2018-09-01 00:00:00,28.5,29.45,20.25,21.4,12218105
2018-10-01 00:00:00,21.4,22.4,15.85,20.3,12584756
2018-11-01 00:00:00,20.3,25.0,19.05,21.15,9671573
2018-12-01 00:00:00,21.65,29.8,20.3,28.3,19489410
2019-01-01 00:00:00,28.5,34.6,24.1,25.55,13832198
2019-02-01 00:00:00,26.0,26.8,19.6,20.4,2884645
2019-03-01 00:00:00,20.1,22.0,19.1,19.6,4466411
2019-04-01 00:00:00,20.0,20.75,14.3,14.65,7804112
2019-05-01 00:00:00,14.65,16.6,11.75,14.85,7295294
2019-06-01 00:00:00,14.8,15.4,12.25,13.05,5817289
2019-07-01 00:00:00,13.1,13.5,7.8,7.85,7438361
2019-08-01 00:00:00,8.15,8.45,5.9,6.05,11077808
2019-09-01 00:00:00,6.05,9.5,5.75,7.8,4246987
2019-10-01 00:00:00,7.7,7.95,5.95,7.9,3754391
2019-11-01 00:00:00,8.2,11.55,7.6,11.55,6057862
2019-12-01 00:00:00,12.1,12.5,8.55,10.95,4147016
2020-01-01 00:00:00,10.95,12.35,9.75,10.0,1971638
2020-02-01 00:00:00,9.95,10.05,7.5,7.6,1415522
2020-03-01 00:00:00,7.95,8.7,4.9,5.05,5797430
2020-04-01 00:00:00,5.15,5.15,3.65,4.2,14360199
2020-05-01 00:00:00,4.2,8.25,4.0,6.5,7814480
2020-06-01 00:00:00,6.65,9.35,6.55,7.35,8619301
2020-07-01 00:00:00,7.4,7.5,6.8,6.9,2768242
2020-07-10 15:29:54,6.95,7.0,6.65,6.8,255975
