,Open,High,Low,Close,Volume
2020-05-07 09:15:00,70.8,72.0,69.25,70.0,96335
2020-05-08 09:15:00,71.0,71.8,69.25,69.6,109639
2020-05-11 09:15:00,71.5,71.5,66.55,67.1,162853
2020-05-12 09:15:00,67.0,68.4,65.2,65.85,100759
2020-05-13 09:15:00,76.0,76.0,65.95,66.9,176491
2020-05-14 09:15:00,65.5,67.8,65.5,66.0,96674
2020-05-15 09:15:00,66.8,66.8,65.5,65.75,66288
2020-05-18 09:15:00,66.5,66.5,60.5,61.7,168756
2020-05-19 09:15:00,63.9,63.9,59.0,59.95,180785
2020-05-20 09:15:00,60.4,61.1,59.4,59.8,78997
2020-05-21 09:15:00,59.05,64.4,59.05,60.35,374588
2020-05-22 09:15:00,61.5,61.5,59.1,59.85,97939
2020-05-26 09:15:00,60.9,60.9,58.0,59.4,61406
2020-05-27 09:15:00,60.4,60.4,58.7,59.35,80552
2020-05-28 09:15:00,59.55,63.5,59.55,60.15,261067
2020-05-29 09:15:00,62.0,63.6,60.5,62.9,163440
2020-06-01 09:15:00,64.3,66.0,63.85,64.9,228540
2020-06-02 09:15:00,66.4,66.4,64.05,64.8,149197
2020-06-03 09:15:00,65.4,76.9,65.35,71.95,2673536
2020-06-04 09:15:00,75.9,75.9,72.25,74.8,601697
2020-06-05 09:15:00,75.0,81.05,75.0,78.8,1897284
2020-06-08 09:15:00,79.55,80.1,75.5,76.2,631067
2020-06-09 09:15:00,76.3,76.3,73.0,73.5,207473
2020-06-10 09:15:00,73.0,74.95,72.5,73.6,190499
2020-06-11 09:15:00,73.9,75.4,72.05,72.55,183450
2020-06-12 09:15:00,67.05,71.0,65.55,70.55,215764
2020-06-15 09:15:00,70.05,72.0,69.3,71.1,128983
2020-06-16 09:15:00,71.5,72.3,68.05,69.2,182927
2020-06-17 09:15:00,69.2,70.15,68.3,69.65,143743
2020-06-18 09:15:00,69.55,73.75,69.15,73.2,258346
2020-06-19 09:15:00,74.4,75.0,71.9,72.75,214044
2020-06-22 09:15:00,74.0,80.8,73.1,78.65,954431
2020-06-23 09:15:00,79.9,79.9,74.0,76.3,1096780
2020-06-24 09:15:00,78.0,79.0,76.0,76.35,675346
2020-06-25 09:15:00,76.55,76.75,75.0,76.1,314637
2020-06-26 09:15:00,77.5,79.1,77.05,77.75,360125
2020-06-29 09:15:00,78.0,78.0,75.0,75.2,174154
2020-06-30 09:15:00,76.1,78.9,73.5,74.1,178561
2020-07-01 09:15:00,74.4,75.1,73.2,74.1,125584
2020-07-02 09:15:00,75.1,75.5,74.15,74.75,95296
2020-07-03 09:15:00,74.75,78.75,74.75,77.15,518075
2020-07-06 09:15:00,78.35,78.35,75.0,75.85,252957
2020-07-07 09:15:00,76.05,76.6,74.2,76.1,210349
2020-07-08 09:15:00,77.95,78.7,76.25,77.6,431506
2020-07-09 09:15:00,78.75,87.0,78.75,85.6,2845550
2020-07-10 09:15:00,86.0,88.2,82.35,84.2,1743847
2020-07-13 09:15:00,85.0,85.25,79.1,80.35,676918
2020-07-14 09:15:00,81.35,83.5,78.6,79.3,567348
2020-07-15 09:15:00,81.0,81.9,79.1,79.95,390003
2020-07-16 09:15:00,80.4,80.4,76.2,77.9,272547
2020-07-17 09:15:00,78.7,79.0,77.1,77.95,166558
2020-07-20 09:15:00,78.75,79.0,77.8,78.1,144189
2020-07-21 09:15:00,78.6,78.75,77.25,77.65,153913
2020-07-22 09:15:00,78.6,79.9,76.55,78.3,190829
2020-07-23 09:15:00,78.6,79.8,77.1,78.65,698206
2020-07-24 09:15:00,78.6,78.6,76.7,77.15,110225
2020-07-27 09:15:00,77.7,77.7,74.1,74.5,177962
2020-07-28 09:15:00,74.3,75.2,72.3,73.25,166979
2020-07-29 09:15:00,73.4,74.8,73.4,74.3,110431
2020-07-30 14:47:17,74.9,75.9,73.0,73.35,95563
