,Open,High,Low,Close,Volume
2020-04-16 09:15:00,7.5,7.5,7.05,7.05,32
2020-04-17 09:15:00,7.05,7.4,7.05,7.3,236
2020-04-20 09:15:00,7.4,7.65,7.4,7.65,102
2020-04-21 09:15:00,7.3,7.6,7.3,7.3,7
2020-04-22 09:15:00,7.3,7.3,7.3,7.3,0
2020-04-23 09:15:00,7.3,7.3,7.3,7.3,0
2020-04-24 09:15:00,7.3,7.3,7.3,7.3,3
2020-04-27 09:15:00,7.1,7.1,7.1,7.1,14
2020-04-28 09:15:00,7.15,7.45,7.15,7.15,125
2020-04-29 09:15:00,7.5,7.5,7.5,7.5,120
2020-04-30 09:15:00,7.85,7.85,7.85,7.85,13
2020-05-04 09:15:00,8.0,8.0,7.5,7.55,1276
2020-05-05 09:15:00,7.3,7.3,7.25,7.25,5
2020-05-06 09:15:00,7.25,7.25,7.25,7.25,0
2020-05-07 09:15:00,7.6,7.6,7.0,7.0,700
2020-05-08 09:15:00,6.7,7.35,6.7,7.35,520
2020-05-11 09:15:00,7.5,7.5,7.5,7.5,78
2020-05-12 09:15:00,7.5,7.5,7.5,7.5,100
2020-05-13 09:15:00,7.15,7.15,7.15,7.15,1
2020-05-14 09:15:00,7.5,7.5,7.5,7.5,221
2020-05-15 09:15:00,7.5,7.5,7.5,7.5,0
2020-05-18 09:15:00,7.5,7.5,7.5,7.5,0
2020-05-19 09:15:00,7.5,7.5,7.35,7.45,389
2020-05-20 09:15:00,7.15,7.15,7.15,7.15,100
2020-05-21 09:15:00,7.35,7.35,6.8,7.3,660
2020-05-22 09:15:00,7.3,7.3,7.3,7.3,0
2020-05-26 09:15:00,7.3,7.3,7.3,7.3,100
2020-05-27 09:15:00,7.3,7.65,7.3,7.65,353
2020-05-28 09:15:00,7.65,7.65,7.65,7.65,59
2020-05-29 09:15:00,7.65,7.65,7.65,7.65,0
2020-06-01 09:15:00,7.65,7.65,7.65,7.65,0
2020-06-02 09:15:00,7.65,8.0,7.65,7.7,454
2020-06-03 09:15:00,8.0,8.05,8.0,8.05,597
2020-06-04 09:15:00,7.85,8.4,7.65,7.65,223
2020-06-05 09:15:00,7.65,7.65,7.65,7.65,0
2020-06-08 09:15:00,7.65,7.65,7.65,7.65,150
2020-06-09 09:15:00,7.65,8.0,7.4,8.0,635
2020-06-10 09:15:00,8.0,8.4,7.65,7.65,311
2020-06-11 09:15:00,7.65,8.0,7.65,8.0,108
2020-06-12 09:15:00,8.0,8.4,7.6,8.3,157
2020-06-15 09:15:00,7.9,7.9,7.9,7.9,71
2020-06-16 09:15:00,7.6,8.1,7.6,8.1,361
2020-06-17 09:15:00,7.7,8.0,7.7,8.0,894
2020-06-18 09:15:00,7.6,8.0,7.6,8.0,1565
2020-06-19 09:15:00,7.6,8.4,7.6,8.35,1165
2020-06-22 09:15:00,8.75,8.75,7.95,8.7,2446
2020-06-23 09:15:00,8.35,9.1,8.35,9.0,4916
2020-06-24 09:15:00,9.0,9.45,8.65,9.35,5254
2020-06-25 09:15:00,9.8,9.8,9.0,9.75,4199
2020-06-26 09:15:00,9.3,10.2,9.3,9.4,704
2020-06-29 09:15:00,9.4,9.85,9.4,9.85,314
2020-06-30 09:15:00,10.3,10.3,9.45,10.3,778
2020-07-01 09:15:00,10.3,10.3,10.3,10.3,3
2020-07-02 09:15:00,9.8,10.3,9.8,10.25,4381
2020-07-03 09:15:00,10.7,10.7,9.75,10.6,4640
2020-07-06 09:15:00,10.6,10.6,10.1,10.1,2653
2020-07-07 09:15:00,10.6,10.6,9.6,10.3,608
2020-07-08 09:15:00,9.8,10.3,9.8,9.8,207
2020-07-09 09:15:00,10.0,10.15,9.35,10.15,319
2020-07-10 14:09:04,10.15,10.45,10.15,10.45,65
