,Open,High,Low,Close,Volume
2020-04-16 09:15:00,0.45,0.45,0.45,0.45,961
2020-04-17 09:15:00,0.45,0.45,0.45,0.45,0
2020-04-20 09:15:00,0.45,0.45,0.45,0.45,0
2020-04-21 09:15:00,0.45,0.45,0.45,0.45,1440
2020-04-22 09:15:00,0.45,0.45,0.45,0.45,0
2020-04-23 09:15:00,0.45,0.45,0.45,0.45,0
2020-04-24 09:15:00,0.45,0.45,0.45,0.45,0
2020-04-27 09:15:00,0.5,0.5,0.5,0.5,21
2020-04-28 09:15:00,0.55,0.55,0.55,0.55,1500
2020-04-29 09:15:00,0.6,0.6,0.6,0.6,7900
2020-04-30 09:15:00,0.6,0.6,0.6,0.6,0
2020-05-04 09:15:00,0.6,0.6,0.6,0.6,0
2020-05-05 09:15:00,0.6,0.6,0.6,0.6,0
2020-05-06 09:15:00,0.6,0.6,0.6,0.6,0
2020-05-07 09:15:00,0.6,0.6,0.6,0.6,0
2020-05-08 09:15:00,0.6,0.6,0.6,0.6,0
2020-05-11 09:15:00,0.65,0.65,0.55,0.65,450
2020-05-12 09:15:00,0.65,0.65,0.65,0.65,0
2020-05-13 09:15:00,0.65,0.65,0.65,0.65,0
2020-05-14 09:15:00,0.7,0.7,0.7,0.7,100
2020-05-15 09:15:00,0.65,0.65,0.65,0.65,17
2020-05-18 09:15:00,0.65,0.65,0.65,0.65,0
2020-05-19 09:15:00,0.65,0.65,0.65,0.65,200
2020-05-20 09:15:00,0.65,0.65,0.65,0.65,0
2020-05-21 09:15:00,0.65,0.65,0.65,0.65,0
2020-05-22 09:15:00,0.65,0.65,0.65,0.65,100
2020-05-26 09:15:00,0.65,0.65,0.65,0.65,0
2020-05-27 09:15:00,0.65,0.65,0.65,0.65,0
2020-05-28 09:15:00,0.65,0.65,0.65,0.65,0
2020-05-29 09:15:00,0.65,0.65,0.65,0.65,0
2020-06-01 09:15:00,0.65,0.65,0.65,0.65,0
2020-06-02 09:15:00,0.65,0.65,0.65,0.65,0
2020-06-03 09:15:00,0.65,0.65,0.65,0.65,0
2020-06-04 09:15:00,0.65,0.65,0.65,0.65,705
2020-06-05 09:15:00,0.7,0.7,0.7,0.7,10
2020-06-08 09:15:00,0.7,0.7,0.7,0.7,20
2020-06-09 09:15:00,0.7,0.7,0.7,0.7,1
2020-06-10 09:15:00,0.7,0.7,0.7,0.7,0
2020-06-11 09:15:00,0.7,0.7,0.7,0.7,0
2020-06-12 09:15:00,0.7,0.7,0.7,0.7,0
2020-06-15 09:15:00,0.7,0.7,0.7,0.7,0
2020-06-16 09:15:00,0.7,0.7,0.7,0.7,0
2020-06-17 09:15:00,0.7,0.7,0.7,0.7,20
2020-06-18 09:15:00,0.7,0.7,0.7,0.7,0
2020-06-19 09:15:00,0.75,0.75,0.75,0.75,1530
2020-06-22 09:15:00,0.75,0.75,0.75,0.75,0
2020-06-23 09:15:00,0.75,0.75,0.75,0.75,0
2020-06-24 09:15:00,0.8,0.8,0.75,0.8,2677
2020-06-25 09:15:00,0.85,0.85,0.8,0.85,3960
2020-06-26 09:15:00,0.85,0.85,0.8,0.85,400
2020-06-29 09:15:00,0.9,0.9,0.9,0.9,1551
2020-06-30 09:15:00,0.95,0.95,0.95,0.95,1959
2020-07-01 09:15:00,1.0,1.0,1.0,1.0,2100
2020-07-02 09:15:00,1.05,1.05,1.0,1.05,2160
2020-07-03 09:15:00,1.1,1.1,1.1,1.1,8117
2020-07-06 09:15:00,1.1,1.1,1.1,1.1,3736
2020-07-07 09:15:00,1.15,1.15,1.15,1.15,4973
2020-07-08 09:15:00,1.15,1.15,1.15,1.15,8357
2020-07-09 09:15:00,1.15,1.15,1.15,1.15,1200
2020-07-10 14:14:41,1.15,1.15,1.15,1.15,13587
