,Open,High,Low,Close,Volume
2020-04-20 09:15:00,29.95,29.95,26.15,27.8,26819
2020-04-21 09:15:00,28.85,28.85,26.1,26.1,2037
2020-04-22 09:15:00,29.25,29.25,25.35,25.9,19136
2020-04-23 09:15:00,28.45,28.45,25.95,26.0,5133
2020-04-24 09:15:00,25.25,25.95,25.25,25.25,852
2020-04-27 09:15:00,25.85,26.9,24.5,24.9,5681
2020-04-28 09:15:00,27.95,27.95,25.3,25.55,2536
2020-04-29 09:15:00,25.55,26.9,25.55,26.9,857
2020-04-30 09:15:00,26.9,26.9,25.55,25.55,1098
2020-05-04 09:15:00,24.5,25.9,24.0,24.5,4406
2020-05-05 09:15:00,23.5,25.7,21.25,25.0,7036
2020-05-06 09:15:00,23.15,27.7,23.15,26.25,4311
2020-05-07 09:15:00,24.0,25.0,24.0,24.95,321
2020-05-08 09:15:00,25.55,25.55,23.45,24.65,663
2020-05-11 09:15:00,25.3,25.3,23.05,23.25,3282
2020-05-12 09:15:00,24.35,25.0,23.15,24.45,460
2020-05-13 09:15:00,28.95,28.95,23.55,24.65,1094
2020-05-14 09:15:00,24.0,25.65,23.25,24.75,520
2020-05-15 09:15:00,23.25,29.7,23.25,25.7,5236
2020-05-18 09:15:00,25.7,25.7,23.3,23.65,2839
2020-05-19 09:15:00,27.0,27.0,19.25,22.95,4730
2020-05-20 09:15:00,24.0,25.5,22.5,24.05,8149
2020-05-21 09:15:00,21.75,24.4,21.75,22.9,3196
2020-05-22 09:15:00,23.0,23.85,22.2,22.6,3533
2020-05-26 09:15:00,23.45,23.45,22.05,22.4,2317
2020-05-27 09:15:00,23.4,23.4,21.5,22.0,3668
2020-05-28 09:15:00,23.6,23.6,22.05,22.15,2908
2020-05-29 09:15:00,22.05,22.95,21.8,22.4,2096
2020-06-01 09:15:00,23.0,23.55,22.15,22.5,6798
2020-06-02 09:15:00,23.45,26.05,22.2,25.8,19110
2020-06-03 09:15:00,25.85,30.4,25.05,25.65,12714
2020-06-04 09:15:00,25.55,25.8,23.65,24.05,5139
2020-06-05 09:15:00,24.75,26.9,24.5,26.1,20132
2020-06-08 09:15:00,29.7,29.7,24.8,25.2,17893
2020-06-09 09:15:00,26.3,26.5,24.8,25.1,8688
2020-06-10 09:15:00,26.0,26.45,24.8,25.2,13534
2020-06-11 09:15:00,26.0,26.0,24.45,24.7,7145
2020-06-12 09:15:00,24.3,27.5,24.3,25.7,2263
2020-06-15 09:15:00,26.8,26.8,23.4,24.6,3393
2020-06-16 09:15:00,25.6,29.45,24.25,24.65,16364
2020-06-17 09:15:00,24.0,27.2,24.0,25.65,4959
2020-06-18 09:15:00,25.15,26.5,24.95,25.4,20772
2020-06-19 09:15:00,24.7,29.7,24.55,27.75,26363
2020-06-22 09:15:00,30.2,32.5,27.6,29.8,20841
2020-06-23 09:15:00,30.9,34.5,29.6,31.25,29637
2020-06-24 09:15:00,31.2,31.95,27.15,28.85,12179
2020-06-25 09:15:00,29.9,30.45,28.3,29.15,15170
2020-06-26 09:15:00,29.1,29.6,27.25,27.35,6242
2020-06-29 09:15:00,26.6,29.9,26.6,27.75,18003
2020-06-30 09:15:00,29.3,29.35,27.5,28.95,23273
2020-07-01 09:15:00,28.1,30.5,27.9,30.0,14903
2020-07-02 09:15:00,32.75,32.75,28.55,29.8,21985
2020-07-03 09:15:00,29.8,29.8,27.3,28.1,14420
2020-07-06 09:15:00,29.1,29.65,27.7,27.95,35634
2020-07-07 09:15:00,28.9,31.0,28.5,30.2,33370
2020-07-08 09:15:00,31.9,31.9,29.0,29.65,44164
2020-07-09 09:15:00,29.55,30.85,28.95,30.15,15948
2020-07-10 09:15:00,29.6,31.0,29.3,30.6,11234
2020-07-13 09:15:00,30.65,30.65,27.8,28.15,22887
2020-07-14 12:34:00,27.9,29.15,25.5,28.4,5091
