,Open,High,Low,Close,Volume
2020-05-07 09:15:00,456.5,456.5,440.0,441.9,3356812
2020-05-08 09:15:00,447.0,452.0,441.65,446.8,3238325
2020-05-11 09:15:00,450.0,454.7,443.5,446.55,2890780
2020-05-12 09:15:00,447.0,451.75,439.2,443.15,2465770
2020-05-13 09:15:00,458.0,458.6,442.45,444.05,2202274
2020-05-14 09:15:00,445.5,461.0,445.0,458.6,3710845
2020-05-15 09:15:00,463.0,463.65,441.35,443.9,4049485
2020-05-18 09:15:00,446.0,446.0,430.1,436.1,3056578
2020-05-19 09:15:00,440.45,447.15,433.5,437.1,3631044
2020-05-20 09:15:00,437.8,444.95,435.25,439.65,2543929
2020-05-21 09:15:00,440.0,449.4,439.1,440.15,2934438
2020-05-22 09:15:00,439.6,443.95,429.9,431.7,3326987
2020-05-26 09:15:00,431.7,436.2,427.4,433.1,3334407
2020-05-27 09:15:00,432.0,434.85,424.1,428.95,5829539
2020-05-28 09:15:00,429.95,451.25,421.2,448.4,10807910
2020-05-29 09:15:00,443.75,470.0,440.3,466.45,7711038
2020-06-01 09:15:00,470.0,473.95,462.0,469.25,6224484
2020-06-02 09:15:00,469.25,476.9,459.05,460.85,3195295
2020-06-03 09:15:00,464.1,470.6,457.1,463.35,3870392
2020-06-04 09:15:00,465.0,469.45,458.0,462.55,2631670
2020-06-05 09:15:00,464.0,466.5,457.5,462.85,2549236
2020-06-08 09:15:00,469.5,469.5,456.95,458.1,2555231
2020-06-09 09:15:00,460.3,475.85,458.7,466.55,5028353
2020-06-10 09:15:00,468.0,473.9,458.9,461.9,3751933
2020-06-11 09:15:00,461.9,465.0,448.0,450.1,3476454
2020-06-12 09:15:00,431.35,457.0,431.0,455.65,2789834
2020-06-15 09:15:00,456.0,460.45,451.9,453.65,1990031
2020-06-16 09:15:00,455.6,458.0,445.8,448.5,3353195
2020-06-17 09:15:00,446.5,457.4,438.0,440.5,4824055
2020-06-18 09:15:00,440.0,443.55,436.5,440.0,3947046
2020-06-19 09:15:00,442.9,449.5,441.5,443.05,4482029
2020-06-22 09:15:00,445.0,449.0,441.05,443.5,3082797
2020-06-23 09:15:00,441.5,460.0,441.5,458.6,5596513
2020-06-24 09:15:00,460.95,464.85,450.8,455.05,3473535
2020-06-25 09:15:00,454.6,465.75,452.75,459.15,3845591
2020-06-26 09:15:00,462.1,464.95,455.05,460.35,3102744
2020-06-29 09:15:00,460.0,469.0,458.1,463.75,5083680
2020-06-30 09:15:00,468.5,472.7,462.5,465.95,4999118
2020-07-01 09:15:00,470.9,471.0,465.55,466.6,2383843
2020-07-02 09:15:00,469.5,471.5,463.9,465.05,2370799
2020-07-03 09:15:00,467.1,470.75,464.7,467.05,2323284
2020-07-06 09:15:00,470.0,470.1,464.0,465.95,1892579
2020-07-07 09:15:00,466.0,481.9,465.05,478.55,5373286
2020-07-08 09:15:00,483.9,483.9,471.05,473.25,2670696
2020-07-09 09:15:00,466.0,477.0,466.0,473.05,1944218
2020-07-10 09:15:00,473.4,478.4,472.1,474.15,2126443
2020-07-13 09:15:00,474.95,486.0,474.6,484.5,3108357
2020-07-14 09:15:00,486.0,487.4,475.85,479.45,3209743
2020-07-15 09:15:00,484.9,486.85,477.35,479.65,2305139
2020-07-16 09:15:00,481.0,489.0,474.5,487.65,3164943
2020-07-17 09:15:00,489.95,495.35,483.5,490.75,5791083
2020-07-20 09:15:00,494.0,503.0,487.3,500.95,3529535
2020-07-21 09:15:00,499.1,502.7,490.45,491.65,3328043
2020-07-22 09:15:00,493.0,495.2,478.4,481.05,3073060
2020-07-23 09:15:00,482.95,486.85,476.65,479.45,2331308
2020-07-24 09:15:00,479.0,482.8,470.15,471.5,2141706
2020-07-27 09:15:00,473.0,474.2,462.95,466.4,3751567
2020-07-28 09:15:00,466.4,477.0,466.0,475.1,3183237
2020-07-29 09:15:00,476.75,491.65,476.55,489.6,6554407
2020-07-30 15:30:00,493.9,497.75,480.75,494.0,8627602
