,Open,High,Low,Close,Volume
2020-07-24 09:15:00,478.5,482.8,476.45,477.75,0
2020-07-24 09:20:00,477.75,479.05,477.25,478.6,41863
2020-07-24 09:25:00,478.7,480.35,478.6,479.75,40011
2020-07-24 09:30:00,479.75,480.9,479.0,479.95,110166
2020-07-24 09:35:00,479.5,479.8,478.55,478.55,25693
2020-07-24 09:40:00,478.5,478.7,477.05,477.2,23751
2020-07-24 09:45:00,477.15,477.9,476.7,477.8,31824
2020-07-24 09:50:00,477.8,477.8,476.5,476.65,25724
2020-07-24 09:55:00,476.5,476.7,474.55,474.8,93609
2020-07-24 10:00:00,475.0,476.15,474.4,475.2,47289
2020-07-24 10:05:00,475.2,475.2,473.4,474.25,39234
2020-07-24 10:10:00,474.25,474.4,473.8,474.2,25474
2020-07-24 10:15:00,473.9,474.25,473.4,473.75,27528
2020-07-24 10:20:00,473.85,473.95,472.6,473.85,36950
2020-07-24 10:25:00,473.8,474.3,473.4,473.6,30323
2020-07-24 10:30:00,473.45,473.7,472.7,473.5,15427
2020-07-24 10:35:00,473.45,474.2,473.45,473.9,11709
2020-07-24 10:40:00,473.9,473.9,472.85,472.85,26633
2020-07-24 10:45:00,472.75,473.5,472.2,473.4,17704
2020-07-24 10:50:00,473.4,473.4,472.3,472.6,22363
2020-07-24 10:55:00,472.5,472.7,471.8,472.5,24823
2020-07-24 11:00:00,472.5,473.4,472.5,472.8,13941
2020-07-24 11:05:00,472.8,473.5,472.0,472.2,21278
2020-07-24 11:10:00,472.35,472.7,471.85,472.25,26800
2020-07-24 11:15:00,471.95,472.45,471.9,472.3,27556
2020-07-24 11:20:00,472.1,472.65,472.1,472.5,8901
2020-07-24 11:25:00,472.35,472.6,472.15,472.5,16027
2020-07-24 11:30:00,472.5,474.1,472.3,473.75,33150
2020-07-24 11:35:00,473.8,474.65,473.7,473.75,24817
2020-07-24 11:40:00,473.75,474.0,472.95,473.1,11787
2020-07-24 11:45:00,473.4,473.75,473.0,473.65,12093
2020-07-24 11:50:00,473.45,473.85,472.9,473.45,14652
2020-07-24 11:55:00,473.2,473.95,473.0,473.7,10278
2020-07-24 12:00:00,473.6,473.95,473.6,473.65,13015
2020-07-24 12:05:00,473.6,473.75,473.25,473.25,6004
2020-07-24 12:10:00,473.55,473.75,472.9,473.1,13275
2020-07-24 12:15:00,473.0,473.1,472.5,472.55,6111
2020-07-24 12:20:00,472.5,472.75,472.5,472.75,2766
2020-07-24 12:25:00,472.85,472.85,472.0,472.0,15860
2020-07-24 12:30:00,472.1,472.8,471.75,472.75,18642
2020-07-24 12:35:00,472.5,472.85,471.95,472.2,3505
2020-07-24 12:40:00,472.3,472.4,471.85,472.3,8100
2020-07-24 12:45:00,472.3,472.5,471.95,472.0,6751
2020-07-24 12:50:00,472.2,472.25,471.7,471.7,14561
2020-07-24 12:55:00,471.8,471.85,471.0,471.8,21817
2020-07-24 13:00:00,471.75,472.3,471.4,471.75,8961
2020-07-24 13:05:00,471.75,471.85,471.2,471.65,11997
2020-07-24 13:10:00,471.6,471.85,471.3,471.45,13169
2020-07-24 13:15:00,471.45,471.55,471.0,471.45,9300
2020-07-24 13:20:00,471.55,471.55,470.25,470.9,41574
2020-07-24 13:25:00,470.85,471.0,470.5,470.9,15317
2020-07-24 13:30:00,470.95,471.55,470.6,471.0,13764
2020-07-24 13:35:00,471.0,471.1,470.4,470.75,8042
2020-07-24 13:40:00,470.9,471.85,470.75,471.5,16339
2020-07-24 13:45:00,471.8,471.8,470.8,471.4,27121
2020-07-24 13:50:00,471.5,471.95,471.0,471.2,18014
2020-07-24 13:55:00,471.4,471.5,471.0,471.25,16836
2020-07-24 14:00:00,471.15,471.4,470.25,470.7,63111
2020-07-24 14:05:00,470.65,471.4,470.35,470.95,13228
2020-07-24 14:10:00,470.95,472.45,470.95,472.1,45776
2020-07-24 14:15:00,472.25,472.6,471.55,472.0,38532
2020-07-24 14:20:00,471.95,472.2,471.5,471.7,23093
2020-07-24 14:25:00,471.95,472.0,471.3,471.6,13527
2020-07-24 14:30:00,471.75,472.95,471.65,472.5,52583
2020-07-24 14:35:00,472.5,472.5,471.2,472.0,32414
2020-07-24 14:40:00,472.25,472.25,471.55,471.75,10956
2020-07-24 14:45:00,471.8,472.2,471.3,471.4,11957
2020-07-24 14:50:00,471.35,471.95,471.35,471.4,7455
2020-07-24 14:55:00,471.4,472.0,471.35,471.6,19718
2020-07-24 15:00:00,471.55,472.15,471.2,471.5,36548
2020-07-24 15:05:00,471.5,472.1,471.45,471.6,35034
2020-07-24 15:10:00,471.8,472.5,471.5,472.5,115870
2020-07-24 15:15:00,472.55,472.75,470.75,471.55,118986
2020-07-24 15:20:00,471.6,471.75,470.15,470.45,111601
2020-07-24 15:25:00,470.45,471.15,470.25,470.5,42334
2020-07-27 09:15:00,472.9,474.2,468.0,469.45,0
2020-07-27 09:20:00,469.45,469.65,466.4,466.9,89575
2020-07-27 09:25:00,466.6,467.85,465.05,467.45,123544
2020-07-27 09:30:00,467.45,467.6,465.2,465.65,63781
2020-07-27 09:35:00,465.6,466.0,464.3,465.35,84280
2020-07-27 09:40:00,465.35,467.55,464.95,467.4,119915
2020-07-27 09:45:00,467.2,467.55,465.85,465.85,38859
2020-07-27 09:50:00,465.8,466.15,465.1,465.45,40314
2020-07-27 09:55:00,465.2,466.7,465.05,465.25,40952
2020-07-27 10:00:00,465.5,465.75,463.55,463.85,59828
2020-07-27 10:05:00,463.85,465.0,463.0,463.75,81624
2020-07-27 10:10:00,463.95,464.0,463.35,463.75,41173
2020-07-27 10:15:00,463.7,465.95,463.6,465.9,44193
2020-07-27 10:20:00,465.75,466.0,464.95,465.55,29354
2020-07-27 10:25:00,465.45,467.0,465.45,466.6,43333
2020-07-27 10:30:00,466.6,467.75,466.5,467.1,41270
2020-07-27 10:35:00,467.1,467.95,466.55,467.7,36322
2020-07-27 10:40:00,467.6,468.45,467.55,467.85,36018
2020-07-27 10:45:00,467.8,468.0,466.4,466.75,43435
2020-07-27 10:50:00,466.95,467.35,466.0,466.1,23881
2020-07-27 10:55:00,466.1,467.25,466.0,466.6,23933
2020-07-27 11:00:00,466.6,467.8,466.35,467.5,27451
2020-07-27 11:05:00,467.45,467.5,465.85,466.45,26224
2020-07-27 11:10:00,466.25,466.55,465.75,466.4,22164
2020-07-27 11:15:00,466.25,467.45,465.75,466.0,26974
2020-07-27 11:20:00,466.0,468.35,465.9,467.9,34880
2020-07-27 11:25:00,467.85,468.35,466.6,466.75,26229
2020-07-27 11:30:00,466.7,467.4,466.15,466.85,25430
2020-07-27 11:35:00,466.9,467.55,466.05,467.5,30746
2020-07-27 11:40:00,467.4,470.0,467.4,469.6,64141
2020-07-27 11:45:00,469.6,470.5,469.35,469.8,72420
2020-07-27 11:50:00,469.75,471.15,469.55,470.8,68810
2020-07-27 11:55:00,470.8,471.4,470.35,471.2,39678
2020-07-27 12:00:00,471.2,472.0,470.2,471.85,61205
2020-07-27 12:05:00,471.8,472.9,471.25,472.1,56626
2020-07-27 12:10:00,472.1,472.9,471.65,472.75,37158
2020-07-27 12:15:00,472.75,473.65,472.45,472.45,59707
2020-07-27 12:20:00,472.45,472.8,470.7,470.8,49223
2020-07-27 12:25:00,470.8,471.6,470.7,471.6,55784
2020-07-27 12:30:00,471.55,471.75,470.85,471.05,26966
2020-07-27 12:35:00,471.1,471.4,469.25,470.1,62412
2020-07-27 12:40:00,470.05,470.95,470.0,470.85,37152
2020-07-27 12:45:00,470.6,471.05,469.75,470.4,25751
2020-07-27 12:50:00,470.35,472.95,470.3,472.7,29430
2020-07-27 12:55:00,472.7,472.7,471.9,472.15,31790
