,Open,High,Low,Close,Volume
2020-05-04 09:15:00,478.05,482.1,467.2,470.0,0.0
2020-05-04 10:15:00,470.2,474.05,468.1,473.8,583212.0
2020-05-04 11:15:00,473.6,476.0,471.2,475.55,359365.0
2020-05-04 12:15:00,475.55,477.7,471.25,473.25,435998.0
2020-05-04 13:15:00,473.05,473.55,470.0,471.15,281950.0
2020-05-04 14:15:00,471.15,471.7,467.35,468.9,420166.0
2020-05-04 15:15:00,468.9,470.15,466.15,466.55,177408.0
2020-05-05 09:15:00,471.35,475.55,462.5,463.8,414260.0
2020-05-05 10:15:00,463.65,467.75,463.25,465.25,386270.0
2020-05-05 11:15:00,465.55,465.6,458.55,459.15,535189.0
2020-05-05 12:15:00,459.15,459.55,454.2,456.0,492637.0
2020-05-05 13:15:00,456.25,458.3,453.5,455.7,384037.0
2020-05-05 14:15:00,455.7,455.8,450.4,453.5,721326.0
2020-05-05 15:15:00,453.35,458.0,450.35,455.0,372843.0
2020-05-06 09:15:00,454.5,457.0,443.1,449.7,486325.0
2020-05-06 10:15:00,449.7,454.85,446.0,450.85,661764.0
2020-05-06 11:15:00,450.9,451.4,447.5,449.5,383859.0
2020-05-06 12:15:00,449.5,450.75,445.55,447.55,480686.0
2020-05-06 13:15:00,447.55,458.25,447.15,456.0,690228.0
2020-05-06 14:15:00,455.95,457.3,452.7,454.9,699442.0
2020-05-06 15:15:00,454.8,457.9,454.0,456.45,247869.0
2020-05-07 09:15:00,448.75,449.4,443.3,446.5,0.0
2020-05-07 10:15:00,446.15,446.8,440.05,442.4,629874.0
2020-05-07 11:15:00,442.65,446.3,442.65,444.9,450545.0
2020-05-07 12:15:00,444.8,447.4,442.4,444.7,298502.0
2020-05-07 13:15:00,444.75,445.05,442.2,443.85,289123.0
2020-05-07 14:15:00,444.2,445.25,441.3,442.35,503835.0
2020-05-07 15:15:00,442.4,442.55,440.15,442.45,225351.0
2020-05-08 09:15:00,447.0,451.5,445.0,445.25,0.0
2020-05-08 10:15:00,445.25,446.9,441.75,444.0,609257.0
2020-05-08 11:15:00,444.15,448.6,443.2,448.5,341791.0
2020-05-08 12:15:00,448.8,450.85,448.4,450.85,393904.0
2020-05-08 13:15:00,450.7,452.0,449.5,451.1,369917.0
2020-05-08 14:15:00,450.95,451.8,446.35,446.45,578079.0
2020-05-08 15:15:00,446.4,447.0,444.8,446.55,219720.0
2020-05-11 09:15:00,450.4,454.45,445.55,446.8,0.0
2020-05-11 10:15:00,446.85,448.0,443.5,447.9,467993.0
2020-05-11 11:15:00,447.8,449.0,446.9,448.7,349983.0
2020-05-11 12:15:00,448.75,451.0,448.0,450.7,407398.0
2020-05-11 13:15:00,450.65,452.45,450.0,450.0,307384.0
2020-05-11 14:15:00,450.3,451.35,446.0,446.65,397206.0
2020-05-11 15:15:00,446.4,447.35,445.6,446.5,119803.0
2020-05-12 09:15:00,447.55,451.35,439.3,442.35,0.0
2020-05-12 10:15:00,442.35,444.0,441.8,443.9,226698.0
2020-05-12 11:15:00,443.7,444.0,439.55,440.3,307291.0
2020-05-12 12:15:00,440.5,443.0,440.3,442.0,357118.0
2020-05-12 13:15:00,441.7,442.0,439.3,440.8,225063.0
2020-05-12 14:15:00,440.8,444.25,440.3,443.0,522847.0
2020-05-12 15:15:00,443.0,444.0,441.15,443.15,172147.0
2020-05-13 09:15:00,458.6,458.6,444.7,446.5,0.0
2020-05-13 10:15:00,446.6,450.5,445.1,450.15,219544.0
2020-05-13 11:15:00,450.45,450.5,447.8,449.95,194877.0
2020-05-13 12:15:00,449.95,451.6,446.1,446.4,272333.0
2020-05-13 13:15:00,446.4,449.35,446.0,447.7,249523.0
2020-05-13 14:15:00,447.7,449.0,442.45,443.5,490230.0
2020-05-13 15:15:00,443.5,445.95,442.65,445.45,183174.0
2020-05-14 09:15:00,445.4,456.75,445.05,453.8,0.0
2020-05-14 10:15:00,453.8,458.6,453.0,457.65,636769.0
2020-05-14 11:15:00,457.8,461.0,456.35,456.65,729409.0
2020-05-14 12:15:00,456.7,457.8,455.15,456.95,367596.0
2020-05-14 13:15:00,456.75,458.15,454.6,455.05,314035.0
2020-05-14 14:15:00,455.2,458.35,454.05,457.85,429183.0
2020-05-14 15:15:00,457.6,461.0,457.6,458.6,225604.0
2020-05-15 09:15:00,462.0,463.65,452.75,453.3,0.0
2020-05-15 10:15:00,453.25,453.7,450.0,450.5,522950.0
2020-05-15 11:15:00,450.5,451.35,447.8,448.65,353427.0
2020-05-15 12:15:00,448.65,450.8,447.05,448.8,454220.0
2020-05-15 13:15:00,448.95,449.45,446.1,447.8,374334.0
2020-05-15 14:15:00,447.9,448.5,443.8,444.55,773989.0
2020-05-15 15:15:00,444.55,444.8,441.4,442.95,337178.0
2020-05-18 09:15:00,445.45,445.45,432.0,435.45,0.0
2020-05-18 10:15:00,435.1,437.3,430.1,432.05,431472.0
2020-05-18 11:15:00,431.9,436.1,431.05,435.45,483493.0
2020-05-18 12:15:00,435.7,439.85,435.0,438.0,416826.0
2020-05-18 13:15:00,438.0,439.8,436.5,437.5,260775.0
2020-05-18 14:15:00,437.5,438.75,435.35,436.6,388215.0
2020-05-18 15:15:00,436.65,436.65,434.65,435.35,168609.0
2020-05-19 09:15:00,440.9,447.15,437.55,440.7,0.0
2020-05-19 10:15:00,440.6,442.5,440.05,440.8,388304.0
2020-05-19 11:15:00,438.2,439.35,436.0,436.55,991439.0
2020-05-19 12:15:00,436.55,437.55,435.0,436.65,313517.0
2020-05-19 13:15:00,436.45,437.8,433.85,434.0,352041.0
2020-05-19 14:15:00,434.05,437.05,433.65,436.95,349094.0
2020-05-19 15:15:00,436.95,438.75,436.75,438.0,175478.0
2020-05-20 09:15:00,436.85,443.75,435.35,443.0,0.0
2020-05-20 10:15:00,443.0,444.95,438.1,438.65,518308.0
2020-05-20 11:15:00,438.65,440.45,438.4,439.3,167933.0
2020-05-20 12:15:00,439.4,441.0,437.25,440.45,346344.0
2020-05-20 13:15:00,440.45,441.0,438.7,439.15,243115.0
2020-05-20 14:15:00,439.15,443.75,438.2,440.0,509305.0
2020-05-20 15:15:00,439.95,440.0,439.1,439.9,132925.0
2020-05-21 09:15:00,441.35,448.4,441.35,446.6,0.0
2020-05-21 10:15:00,446.5,449.4,444.2,449.25,357646.0
2020-05-21 11:15:00,449.25,449.3,445.7,446.0,289056.0
2020-05-21 12:15:00,446.0,446.0,443.2,443.8,470324.0
2020-05-21 13:15:00,443.85,445.65,442.0,443.6,261374.0
2020-05-21 14:15:00,443.85,444.0,439.45,439.9,736548.0
2020-05-21 15:15:00,439.7,440.95,439.5,440.15,231735.0
2020-05-22 09:15:00,439.6,443.95,436.35,438.45,0.0
2020-05-22 10:15:00,438.45,442.4,437.2,442.4,412495.0
2020-05-22 11:15:00,442.4,442.85,436.6,437.95,755949.0
2020-05-22 12:15:00,437.7,438.0,434.6,435.3,306243.0
2020-05-22 13:15:00,435.3,438.7,435.3,438.15,193398.0
2020-05-22 14:15:00,438.4,438.9,430.6,430.9,597451.0
2020-05-22 15:15:00,430.9,432.0,430.0,431.7,436074.0
2020-05-26 09:15:00,431.75,436.05,427.45,432.5,0.0
2020-05-26 10:15:00,432.25,435.5,430.45,434.55,510745.0
2020-05-26 11:15:00,434.75,434.8,431.25,432.5,288199.0
2020-05-26 12:15:00,432.5,434.0,429.75,430.1,324333.0
2020-05-26 13:15:00,430.25,434.75,429.95,433.75,603942.0
2020-05-26 14:15:00,433.75,435.8,432.15,433.25,742797.0
2020-05-26 15:15:00,433.25,433.95,431.15,432.0,196385.0
2020-05-27 09:15:00,432.0,433.2,428.5,429.1,0.0
2020-05-27 10:15:00,428.9,430.8,426.4,427.5,639523.0
2020-05-27 11:15:00,427.55,430.4,425.9,430.0,381652.0
2020-05-27 12:15:00,430.0,430.25,428.85,429.95,330321.0
2020-05-27 13:15:00,429.95,430.0,426.5,429.0,651674.0
2020-05-27 14:15:00,429.0,434.5,424.5,431.45,1931796.0
2020-05-27 15:15:00,431.45,432.0,425.9,431.0,882511.0
2020-05-28 09:15:00,430.0,435.6,421.5,434.75,0.0
2020-05-28 10:15:00,434.75,435.5,431.35,433.95,937866.0
2020-05-28 11:15:00,433.9,435.35,432.6,434.9,829205.0
2020-05-28 12:15:00,434.9,447.0,434.75,446.3,2502632.0
2020-05-28 13:15:00,446.25,447.75,442.0,443.05,1280021.0
2020-05-28 14:15:00,443.05,449.2,442.5,448.7,1099662.0
2020-05-28 15:15:00,448.6,451.25,447.6,448.4,619997.0
2020-05-29 09:15:00,443.95,447.6,440.45,445.7,0.0
2020-05-29 10:15:00,445.6,446.95,443.35,444.5,847682.0
2020-05-29 11:15:00,444.6,446.85,443.3,446.55,322159.0
2020-05-29 12:15:00,446.6,448.8,445.65,448.2,578244.0
2020-05-29 13:15:00,447.9,454.8,447.5,454.2,1297412.0
2020-05-29 14:15:00,454.2,468.9,453.15,466.75,2749792.0
2020-05-29 15:15:00,466.8,469.0,466.55,468.0,900367.0
2020-06-01 09:15:00,470.35,473.9,464.2,464.9,0.0
2020-06-01 10:15:00,464.95,467.8,462.0,462.3,795298.0
2020-06-01 11:15:00,462.3,467.5,462.0,466.6,952224.0
2020-06-01 12:15:00,466.6,470.5,466.05,466.75,789011.0
2020-06-01 13:15:00,466.55,470.0,466.0,469.7,574928.0
2020-06-01 14:15:00,469.65,472.0,467.55,468.75,996524.0
2020-06-01 15:15:00,468.75,471.65,468.05,469.25,309095.0
2020-06-02 09:15:00,469.5,476.8,468.0,468.45,0.0
2020-06-02 10:15:00,468.45,470.4,468.0,468.85,368498.0
2020-06-02 11:15:00,468.75,469.45,467.4,468.5,223452.0
2020-06-02 12:15:00,468.55,468.55,466.5,467.3,249792.0
2020-06-02 13:15:00,467.1,467.25,463.3,463.6,455489.0
2020-06-02 14:15:00,463.4,465.5,460.55,460.6,630307.0
2020-06-02 15:15:00,460.75,461.2,459.45,460.95,396016.0
2020-06-03 09:15:00,464.4,466.75,457.1,461.75,0.0
2020-06-03 10:15:00,461.8,466.7,461.8,464.45,510769.0
2020-06-03 11:15:00,464.45,466.5,463.75,465.6,388695.0
2020-06-03 12:15:00,465.8,470.6,464.1,467.25,893699.0
2020-06-03 13:15:00,467.2,468.95,466.7,468.25,262976.0
2020-06-03 14:15:00,468.25,468.25,461.45,463.45,635338.0
2020-06-03 15:15:00,463.45,466.0,462.85,463.35,202828.0
2020-06-04 09:15:00,465.0,469.45,460.65,461.2,0.0
2020-06-04 10:15:00,461.1,462.95,458.95,460.5,316776.0
2020-06-04 11:15:00,460.5,461.55,458.7,459.05,303203.0
2020-06-04 12:15:00,459.05,460.25,458.0,458.4,336929.0
2020-06-04 13:15:00,458.4,460.5,458.05,459.05,492003.0
2020-06-04 14:15:00,459.05,463.5,458.55,463.35,426849.0
2020-06-04 15:15:00,463.25,464.0,462.2,462.55,219743.0
2020-06-05 09:15:00,464.7,465.9,460.55,461.4,0.0
2020-06-05 10:15:00,461.4,461.5,459.05,459.85,198560.0
2020-06-05 11:15:00,459.9,461.0,459.15,460.05,166607.0
2020-06-05 12:15:00,460.05,460.25,457.5,459.85,371200.0
2020-06-05 13:15:00,459.95,464.2,459.4,463.9,329753.0
2020-06-05 14:15:00,463.95,466.4,461.35,463.75,824115.0
2020-06-05 15:15:00,463.7,463.7,461.6,463.0,212401.0
2020-06-08 09:15:00,466.1,469.3,463.75,465.75,0.0
2020-06-08 10:15:00,465.75,469.35,465.2,465.65,276019.0
2020-06-08 11:15:00,465.65,465.65,461.5,462.55,504343.0
2020-06-08 12:15:00,462.5,463.45,460.35,460.95,326195.0
2020-06-08 13:15:00,460.9,461.9,460.05,460.55,221435.0
2020-06-08 14:15:00,460.55,460.7,457.5,458.25,503486.0
2020-06-08 15:15:00,458.3,459.0,456.95,458.9,189304.0
2020-06-09 09:15:00,459.5,474.15,458.7,474.15,0.0
2020-06-09 10:15:00,474.2,475.85,469.0,472.5,1769869.0
2020-06-09 11:15:00,472.45,473.0,470.45,470.55,278769.0
2020-06-09 12:15:00,470.55,472.8,469.5,470.7,353042.0
2020-06-09 13:15:00,470.5,471.35,464.4,466.2,616546.0
2020-06-09 14:15:00,466.2,468.2,464.3,466.05,502909.0
2020-06-09 15:15:00,466.1,467.5,465.5,467.3,242007.0
2020-06-10 09:15:00,469.2,473.7,465.0,466.3,0.0
2020-06-10 10:15:00,466.8,470.85,466.4,467.6,574848.0
2020-06-10 11:15:00,467.75,467.8,464.55,465.1,411086.0
2020-06-10 12:15:00,465.15,466.0,462.8,463.1,365308.0
2020-06-10 13:15:00,463.1,463.6,459.35,462.9,808288.0
2020-06-10 14:15:00,462.6,463.05,460.05,462.0,489902.0
2020-06-10 15:15:00,462.05,462.85,461.15,461.6,278331.0
2020-06-11 09:15:00,461.95,465.0,459.65,460.75,0.0
2020-06-11 10:15:00,460.55,461.9,454.4,456.0,701921.0
2020-06-11 11:15:00,456.0,456.75,453.15,453.45,747294.0
2020-06-11 12:15:00,453.4,456.0,453.2,455.25,248627.0
2020-06-11 13:15:00,455.1,456.0,452.0,452.3,249758.0
2020-06-11 14:15:00,452.3,452.75,449.0,450.05,518470.0
2020-06-11 15:15:00,450.1,451.35,448.4,450.1,276620.0
2020-06-12 09:15:00,431.0,450.85,431.0,449.15,0.0
2020-06-12 10:15:00,449.05,453.75,446.0,451.75,491897.0
2020-06-12 11:15:00,452.0,453.5,449.55,451.0,351462.0
2020-06-12 12:15:00,451.0,453.5,450.0,452.4,195474.0
2020-06-12 13:15:00,452.35,454.85,450.6,452.25,357937.0
2020-06-12 14:15:00,452.5,457.0,452.5,455.75,409039.0
2020-06-12 15:15:00,455.45,456.0,454.85,455.85,129737.0
2020-06-15 09:15:00,457.75,460.45,455.0,457.8,0.0
2020-06-15 10:15:00,457.8,458.1,452.15,453.1,353102.0
2020-06-15 11:15:00,453.25,457.45,452.3,454.3,219100.0
2020-06-15 12:15:00,454.25,455.15,453.3,454.35,129876.0
2020-06-15 13:15:00,454.35,456.45,453.55,454.65,183770.0
2020-06-15 14:15:00,455.0,455.0,451.9,453.25,360380.0
2020-06-15 15:15:00,453.25,454.5,452.1,452.55,171806.0
2020-06-16 09:15:00,455.65,458.0,452.85,454.5,0.0
2020-06-16 10:15:00,454.45,457.75,453.0,454.7,537523.0
2020-06-16 11:15:00,454.7,457.8,453.5,453.5,450805.0
2020-06-16 12:15:00,453.7,453.85,449.1,449.65,602346.0
2020-06-16 13:15:00,449.65,452.15,445.8,449.3,600555.0
2020-06-16 14:15:00,449.3,450.9,447.65,448.55,401461.0
2020-06-16 15:15:00,448.55,449.4,447.15,448.5,188803.0
2020-06-17 09:15:00,450.65,451.85,446.0,446.35,0.0
2020-06-17 10:15:00,446.25,447.0,442.0,442.9,606953.0
2020-06-17 11:15:00,442.8,444.7,442.05,444.45,432521.0
2020-06-17 12:15:00,444.0,445.0,442.3,442.75,368880.0
2020-06-17 13:15:00,442.75,443.0,441.25,442.05,511070.0
2020-06-17 14:15:00,442.25,445.65,438.25,440.85,2038512.0
2020-06-17 15:15:00,440.8,441.0,439.0,440.5,415097.0
2020-06-18 09:15:00,442.95,443.0,439.35,439.7,0.0
2020-06-18 10:15:00,439.7,440.8,437.25,438.0,400044.0
2020-06-18 11:15:00,438.05,439.6,437.3,437.8,354000.0
2020-06-18 12:15:00,437.8,438.65,436.6,437.0,339274.0
2020-06-18 13:15:00,436.85,443.55,436.5,439.9,716357.0
2020-06-18 14:15:00,439.9,442.55,438.55,439.65,1186095.0
2020-06-18 15:15:00,439.6,441.65,439.5,440.95,333698.0
2020-06-19 09:15:00,443.0,449.5,441.55,448.35,0.0
2020-06-19 10:15:00,448.35,448.9,444.5,444.9,644280.0
2020-06-19 11:15:00,444.8,446.0,444.1,445.5,378603.0
2020-06-19 12:15:00,445.35,445.5,442.7,443.05,266217.0
2020-06-19 13:15:00,443.05,445.0,442.3,444.75,303008.0
2020-06-19 14:15:00,444.75,446.7,441.5,442.65,1366542.0
2020-06-19 15:15:00,442.65,444.7,442.0,444.0,715169.0
2020-06-22 09:15:00,445.85,449.0,445.8,447.85,0.0
2020-06-22 10:15:00,447.85,447.95,441.3,443.7,787092.0
2020-06-22 11:15:00,443.7,445.75,443.15,443.75,300342.0
2020-06-22 12:15:00,443.95,447.45,443.65,445.8,612421.0
2020-06-22 13:15:00,445.8,446.0,443.8,444.15,392428.0
2020-06-22 14:15:00,444.15,445.4,443.0,443.8,432548.0
2020-06-22 15:15:00,443.8,444.7,442.0,443.5,191407.0
2020-06-23 09:15:00,442.5,455.85,442.5,455.5,0.0
2020-06-23 10:15:00,455.45,456.9,452.15,453.0,711127.0
2020-06-23 11:15:00,452.8,455.6,452.05,455.0,673594.0
2020-06-23 12:15:00,455.0,455.15,453.35,454.7,529673.0
2020-06-23 13:15:00,454.8,457.0,453.5,456.3,559130.0
2020-06-23 14:15:00,456.3,459.35,455.95,458.15,1086730.0
2020-06-23 15:15:00,458.35,460.0,458.1,459.1,399495.0
2020-06-24 09:15:00,460.8,464.85,459.05,463.25,0.0
2020-06-24 10:15:00,463.35,463.65,458.25,459.95,511006.0
2020-06-24 11:15:00,459.95,462.25,459.3,459.85,309078.0
2020-06-24 12:15:00,460.05,462.15,456.55,456.55,489522.0
2020-06-24 13:15:00,456.5,458.7,454.6,458.5,436648.0
2020-06-24 14:15:00,458.5,459.3,450.8,455.75,636587.0
2020-06-24 15:15:00,455.75,457.75,455.05,455.05,207609.0
2020-06-25 09:15:00,454.3,464.3,453.7,463.8,0.0
2020-06-25 10:15:00,463.6,465.7,462.15,463.0,718277.0
2020-06-25 11:15:00,463.0,463.9,460.15,460.2,422525.0
2020-06-25 12:15:00,460.2,460.85,458.75,460.5,451640.0
2020-06-25 13:15:00,460.45,461.25,460.05,461.0,369136.0
2020-06-25 14:15:00,460.95,463.0,458.1,460.0,704944.0
2020-06-25 15:15:00,459.9,461.0,458.0,459.75,264245.0
2020-06-26 09:15:00,462.5,464.95,461.05,461.2,0.0
2020-06-26 10:15:00,461.35,461.8,456.7,457.0,467973.0
2020-06-26 11:15:00,457.1,457.9,455.55,456.2,254713.0
2020-06-26 12:15:00,456.3,456.9,455.1,455.9,197076.0
2020-06-26 13:15:00,455.85,458.4,455.6,457.0,269163.0
2020-06-26 14:15:00,457.0,461.1,456.0,461.1,1068600.0
2020-06-26 15:15:00,461.15,464.9,459.9,460.5,484153.0
2020-06-29 09:15:00,459.95,465.1,458.3,458.75,0.0
2020-06-29 10:15:00,459.0,468.9,458.2,465.15,946655.0
2020-06-29 11:15:00,465.45,466.25,462.6,463.0,526483.0
2020-06-29 12:15:00,462.95,464.45,460.0,460.2,486369.0
2020-06-29 13:15:00,460.3,462.0,458.5,461.6,774974.0
2020-06-29 14:15:00,461.6,464.2,459.5,463.8,1086229.0
2020-06-29 15:15:00,463.65,466.65,463.65,465.4,565700.0
2020-06-30 09:15:00,468.5,472.6,467.05,470.35,0.0
2020-06-30 10:15:00,470.3,472.45,468.35,469.0,746005.0
2020-06-30 11:15:00,468.9,472.0,468.55,469.95,735198.0
2020-06-30 12:15:00,469.95,470.95,469.35,469.7,394753.0
2020-06-30 13:15:00,469.75,470.0,468.05,468.85,378732.0
2020-06-30 14:15:00,468.85,469.0,465.05,465.9,1170238.0
2020-06-30 15:15:00,466.0,467.2,464.0,465.95,0.0
2020-07-01 09:15:00,470.9,471.0,467.65,470.15,560408.0
2020-07-01 10:15:00,470.2,470.4,467.1,467.55,387347.0
2020-07-01 11:15:00,467.55,468.3,467.15,468.0,388704.0
2020-07-01 12:15:00,468.0,469.15,466.1,466.55,271642.0
2020-07-01 13:15:00,466.6,468.05,466.5,467.9,236859.0
2020-07-01 14:15:00,467.8,468.0,465.55,466.85,381522.0
2020-07-01 15:15:00,466.9,466.95,466.05,466.6,0.0
2020-07-02 09:15:00,469.5,471.4,467.8,469.2,371402.0
2020-07-02 10:15:00,469.1,471.0,468.4,469.0,236513.0
2020-07-02 11:15:00,468.65,470.15,464.65,465.85,778413.0
2020-07-02 12:15:00,465.9,466.0,465.5,465.8,182000.0
2020-07-02 13:15:00,465.75,466.0,464.0,464.45,173499.0
2020-07-02 14:15:00,464.5,465.45,464.0,464.95,369684.0
2020-07-02 15:15:00,464.95,466.4,464.7,466.0,258957.0
2020-07-03 09:15:00,467.15,470.6,466.8,469.6,426237.0
2020-07-03 10:15:00,469.6,469.6,466.0,466.4,345371.0
2020-07-03 11:15:00,466.5,467.0,465.35,465.65,350272.0
2020-07-03 12:15:00,465.65,466.45,465.55,465.9,282688.0
2020-07-03 13:15:00,466.0,467.0,464.7,465.65,295261.0
2020-07-03 14:15:00,465.7,467.9,465.0,467.8,422627.0
2020-07-03 15:15:00,467.8,468.25,466.1,467.05,200193.0
2020-07-06 09:15:00,469.5,469.75,466.55,468.8,0.0
2020-07-06 10:15:00,468.75,469.4,467.05,467.8,168814.0
2020-07-06 11:15:00,467.8,468.0,466.75,467.25,144473.0
2020-07-06 12:15:00,467.2,467.2,465.35,466.1,299996.0
2020-07-06 13:15:00,466.05,467.0,464.75,465.0,398251.0
2020-07-06 14:15:00,465.0,466.0,464.3,466.0,354551.0
2020-07-06 15:15:00,466.0,466.75,465.3,465.8,136389.0
2020-07-07 09:15:00,466.0,476.1,466.0,475.15,0.0
2020-07-07 10:15:00,475.15,481.65,473.85,474.55,1418856.0
2020-07-07 11:15:00,474.55,474.85,471.75,474.45,629093.0
2020-07-07 12:15:00,474.45,474.8,472.15,473.85,385444.0
2020-07-07 13:15:00,473.85,476.5,473.2,476.4,443012.0
2020-07-07 14:15:00,476.35,478.5,475.7,477.95,763079.0
2020-07-07 15:15:00,478.0,480.0,477.95,479.9,434162.0
2020-07-08 09:15:00,483.7,483.7,475.0,477.0,0.0
2020-07-08 10:15:00,476.8,479.95,476.75,478.9,242821.0
2020-07-08 11:15:00,478.95,479.25,476.1,476.45,205466.0
2020-07-08 12:15:00,476.4,477.3,474.0,475.0,362987.0
2020-07-08 13:15:00,475.0,476.3,473.65,476.15,285472.0
2020-07-08 14:15:00,476.15,476.5,472.25,473.1,549243.0
2020-07-08 15:15:00,473.05,474.5,471.05,472.0,193854.0
2020-07-09 09:15:00,469.0,477.0,469.0,474.7,0.0
2020-07-09 10:15:00,474.95,475.1,472.55,473.05,201806.0
2020-07-09 11:15:00,473.0,473.45,470.3,470.8,186486.0
2020-07-09 12:15:00,470.85,472.35,469.6,470.3,170580.0
2020-07-09 13:15:00,470.35,471.6,468.2,471.1,383575.0
2020-07-09 14:15:00,471.3,473.0,469.45,472.45,309712.0
2020-07-09 15:15:00,472.4,474.5,472.05,473.0,179788.0
2020-07-10 09:15:00,473.3,476.55,472.45,475.8,0.0
2020-07-10 10:15:00,475.55,476.8,473.2,473.7,225009.0
2020-07-10 11:15:00,473.6,476.75,473.5,474.6,329564.0
2020-07-10 12:15:00,474.3,475.5,472.55,473.8,189094.0
2020-07-10 13:15:00,473.8,478.35,472.1,475.0,506432.0
2020-07-10 14:15:00,475.2,477.0,473.5,474.1,360826.0
2020-07-10 15:15:00,474.1,475.0,473.6,474.95,162181.0
2020-07-13 09:15:00,474.9,479.2,474.9,476.55,0.0
2020-07-13 10:15:00,476.55,483.15,476.1,480.85,712654.0
2020-07-13 11:15:00,480.8,481.5,478.5,479.35,322756.0
2020-07-13 12:15:00,479.3,481.05,479.0,480.6,215876.0
2020-07-13 13:15:00,480.55,481.0,478.6,480.0,229330.0
2020-07-13 14:15:00,480.0,485.85,479.2,484.95,928065.0
2020-07-13 15:15:00,484.75,486.0,483.4,485.0,389211.0
2020-07-14 09:15:00,485.55,487.35,482.0,482.65,0.0
2020-07-14 10:15:00,482.5,482.75,476.55,477.4,613381.0
2020-07-14 11:15:00,477.0,480.7,475.85,477.55,305723.0
2020-07-14 12:15:00,477.55,480.9,477.1,477.3,252254.0
2020-07-14 13:15:00,477.3,481.45,476.1,481.0,242706.0
2020-07-14 14:15:00,480.95,481.5,477.65,478.5,390974.0
2020-07-14 15:15:00,478.35,481.0,477.65,479.45,0.0
2020-07-15 09:15:00,483.7,485.5,480.4,481.45,525923.0
2020-07-15 10:15:00,481.1,484.9,480.1,484.8,299612.0
2020-07-15 11:15:00,484.9,486.85,483.15,483.9,546665.0
2020-07-15 12:15:00,483.9,484.5,481.65,484.5,179830.0
2020-07-15 13:15:00,484.5,486.0,483.05,483.5,186169.0
2020-07-15 14:15:00,483.5,484.0,478.35,479.55,385878.0
2020-07-15 15:15:00,479.55,481.75,477.45,481.4,181021.0
2020-07-16 09:15:00,481.0,482.75,474.5,480.45,0.0
2020-07-16 10:15:00,480.3,484.5,480.05,481.5,361417.0
2020-07-16 11:15:00,481.5,481.7,478.6,480.45,313268.0
2020-07-16 12:15:00,480.35,485.75,479.45,484.9,391755.0
2020-07-16 13:15:00,485.0,488.45,484.35,487.9,658664.0
2020-07-16 14:15:00,487.9,488.15,485.25,487.05,640265.0
2020-07-16 15:15:00,487.05,489.0,486.6,487.65,274620.0
2020-07-17 10:15:00,489.85,490.75,487.55,488.35,410551.0
2020-07-17 11:15:00,488.65,490.65,486.2,486.6,627118.0
2020-07-17 12:15:00,486.8,487.0,483.5,485.9,656876.0
2020-07-17 13:15:00,485.75,493.35,485.4,493.0,1139723.0
2020-07-17 14:15:00,492.75,493.95,489.6,489.6,938867.0
2020-07-17 15:15:00,489.7,491.95,489.5,490.75,309788.0
