,Open,High,Low,Close,Volume
2020-05-07 09:15:00,19.2,19.8,18.7,18.9,2567
2020-05-08 09:15:00,19.65,19.85,18.7,19.15,1620
2020-05-11 09:15:00,20.1,20.1,18.8,18.8,1930
2020-05-12 09:15:00,19.0,19.8,17.7,19.0,3402
2020-05-13 09:15:00,19.5,20.65,19.15,20.2,2501
2020-05-14 09:15:00,20.65,21.25,18.75,19.0,4882
2020-05-15 09:15:00,19.85,19.85,18.25,18.3,1132
2020-05-18 09:15:00,19.7,19.7,18.0,18.1,4051
2020-05-19 09:15:00,18.1,18.75,17.75,18.0,6479
2020-05-20 09:15:00,18.0,18.6,17.5,17.5,6179
2020-05-21 09:15:00,18.2,19.6,17.7,19.3,11357
2020-05-22 09:15:00,19.8,19.8,18.75,19.5,224
2020-05-26 09:15:00,19.5,19.5,18.75,18.8,756
2020-05-27 09:15:00,18.5,18.65,17.2,18.45,1646
2020-05-28 09:15:00,19.0,19.0,18.45,19.0,535
2020-05-29 09:15:00,18.7,19.0,18.3,18.5,1244
2020-06-01 09:15:00,19.7,19.75,18.5,19.15,1612
2020-06-02 09:15:00,19.1,21.5,18.4,20.6,27275
2020-06-03 09:15:00,22.0,22.6,20.9,21.5,9583
2020-06-04 09:15:00,22.45,22.9,20.1,21.1,10813
2020-06-05 09:15:00,21.8,22.3,21.25,21.9,2010
2020-06-08 09:15:00,21.6,23.4,21.2,21.55,4081
2020-06-09 09:15:00,21.75,21.75,21.75,21.75,75
2020-06-10 09:15:00,21.0,22.3,20.5,21.8,5227
2020-06-11 09:15:00,21.4,22.6,21.2,21.6,1500
2020-06-12 09:15:00,20.75,21.4,20.7,21.2,908
2020-06-15 09:15:00,20.6,22.1,20.6,21.8,1552
2020-06-16 09:15:00,21.45,21.5,21.05,21.2,735
2020-06-17 09:15:00,21.6,22.3,19.4,21.2,9197
2020-06-18 09:15:00,21.25,24.8,21.25,22.15,5600
2020-06-19 09:15:00,22.35,24.0,22.35,23.2,11222
2020-06-22 09:15:00,23.5,27.4,23.5,25.35,39724
2020-06-23 09:15:00,27.0,27.45,24.35,25.05,8840
2020-06-24 09:15:00,25.05,27.0,22.45,23.7,17918
2020-06-25 09:15:00,23.95,28.4,23.8,28.4,74224
2020-06-26 09:15:00,29.5,33.0,26.1,26.6,125431
2020-06-29 09:15:00,26.0,26.7,25.55,26.15,6424
2020-06-30 09:15:00,25.2,26.2,24.65,24.8,12784
2020-07-01 09:15:00,24.2,26.9,23.3,25.5,14020
2020-07-02 09:15:00,25.5,25.5,23.35,24.4,8214
2020-07-03 09:15:00,25.4,25.4,23.8,23.9,5621
2020-07-06 09:15:00,24.2,26.75,24.2,25.3,28157
2020-07-07 09:15:00,26.5,30.0,25.1,27.4,43668
2020-07-08 09:15:00,27.4,28.3,26.05,27.3,20354
2020-07-09 09:15:00,27.9,29.7,26.3,26.5,8396
2020-07-10 09:15:00,27.0,27.0,24.1,25.45,9025
2020-07-13 09:15:00,26.4,26.95,24.85,25.3,7796
2020-07-14 09:15:00,24.7,25.9,24.55,25.45,14887
2020-07-15 09:15:00,26.4,28.5,26.0,26.35,29270
2020-07-16 09:15:00,25.6,25.6,24.7,25.05,5341
2020-07-17 09:15:00,25.0,25.2,25.0,25.2,859
2020-07-20 09:15:00,25.2,26.0,24.9,25.05,8708
2020-07-21 09:15:00,24.7,25.7,24.7,24.9,4160
2020-07-22 09:15:00,24.5,25.75,24.5,24.9,1527
2020-07-23 09:15:00,24.9,26.4,24.25,25.95,6531
2020-07-24 09:15:00,25.85,26.5,25.2,25.45,15799
2020-07-27 09:15:00,24.6,25.4,22.75,23.8,7325
2020-07-28 09:15:00,24.3,24.8,23.7,24.25,1483
2020-07-29 09:15:00,24.05,24.05,23.85,23.95,1120
2020-07-30 14:30:27,23.7,25.0,23.7,24.0,1091
