,Open,High,Low,Close,Volume
2010-03-01 00:00:00,118.8,119.0,101.05,106.15,736408
2010-04-01 00:00:00,107.4,121.8,105.55,110.25,1498683
2010-05-01 00:00:00,112.0,112.0,82.1,90.9,619868
2010-06-01 00:00:00,90.0,109.0,86.5,103.85,1602093
2010-07-01 00:00:00,103.6,113.1,102.0,104.75,2097374
2010-08-01 00:00:00,104.9,108.5,88.15,88.6,829189
2010-09-01 00:00:00,90.0,105.5,89.55,93.35,973473
2010-10-01 00:00:00,94.0,101.9,89.85,99.15,1364877
2010-11-01 00:00:00,99.45,113.4,81.5,101.0,2114400
2010-12-01 00:00:00,101.0,105.4,80.3,89.95,1133617
2011-01-01 00:00:00,91.85,92.5,68.15,70.4,1051189
2011-02-01 00:00:00,70.5,74.85,50.3,54.9,378911
2011-03-01 00:00:00,54.7,66.45,54.05,62.15,512764
2011-04-01 00:00:00,63.6,71.9,62.15,62.8,250262
2011-05-01 00:00:00,62.2,63.5,52.5,56.7,113223
2011-06-01 00:00:00,57.0,67.9,52.2,67.9,2578002
2011-07-01 00:00:00,70.7,91.2,68.1,77.55,4663616
2011-08-01 00:00:00,78.55,81.0,61.0,70.9,986045
2011-09-01 00:00:00,71.3,90.75,68.0,76.65,1078957
2011-10-01 00:00:00,74.15,79.4,70.1,76.1,229466
2011-11-01 00:00:00,75.1,78.0,62.5,66.6,264370
2011-12-01 00:00:00,67.25,71.9,55.15,57.0,329935
2012-01-01 00:00:00,57.25,74.65,56.0,69.85,391698
2012-02-01 00:00:00,71.8,75.5,59.1,63.4,753511
2012-03-01 00:00:00,68.75,71.25,59.7,63.4,855462
2012-04-01 00:00:00,64.1,67.6,50.1,50.65,1034062
2012-05-01 00:00:00,50.1,56.2,45.8,49.75,504168
2012-06-01 00:00:00,50.0,55.0,47.5,51.45,146999
2012-07-01 00:00:00,52.9,56.0,45.3,47.85,290636
2012-08-01 00:00:00,50.45,50.8,42.8,43.75,201575
2012-09-01 00:00:00,43.2,48.0,41.05,43.5,468537
2012-10-01 00:00:00,43.6,49.4,38.25,43.05,596915
2012-11-01 00:00:00,43.15,48.6,42.0,43.8,644730
2012-12-01 00:00:00,43.8,55.2,43.3,48.35,4296541
2013-01-01 00:00:00,48.5,54.35,46.5,47.05,1813994
2013-02-01 00:00:00,47.5,48.0,39.9,41.4,290075
2013-03-01 00:00:00,42.5,45.4,30.6,31.35,402981
2013-04-01 00:00:00,31.15,44.2,31.15,40.85,1568089
2013-05-01 00:00:00,40.85,43.8,34.55,40.15,837481
2013-06-01 00:00:00,40.45,40.6,26.1,32.0,204174
2013-07-01 00:00:00,31.9,34.25,26.15,26.9,267952
2013-08-01 00:00:00,29.9,29.9,21.05,23.65,445023
2013-09-01 00:00:00,23.6,31.0,21.3,29.15,1123735
2013-10-01 00:00:00,29.7,30.5,26.35,27.7,556732
2013-11-01 00:00:00,27.7,41.25,27.5,36.35,3784472
2013-12-01 00:00:00,37.45,48.0,36.2,47.4,1628720
2014-01-01 00:00:00,47.0,50.4,37.15,37.65,1695427
2014-02-01 00:00:00,39.0,42.9,36.15,37.75,421527
2014-03-01 00:00:00,38.75,46.65,36.9,45.05,816502
2014-04-01 00:00:00,45.0,52.5,43.0,43.7,1043035
2014-05-01 00:00:00,43.7,65.5,42.55,60.9,3307794
2014-06-01 00:00:00,62.4,84.25,58.25,80.35,4650323
2014-07-01 00:00:00,80.35,89.7,67.2,75.5,1961581
2014-08-01 00:00:00,75.75,81.4,67.25,73.35,917540
2014-09-01 00:00:00,73.3,90.9,68.5,73.4,3161611
2014-10-01 00:00:00,74.0,76.0,67.0,72.15,740824
2014-11-01 00:00:00,72.5,88.0,70.45,72.2,2703368
2014-12-01 00:00:00,75.95,80.5,57.1,65.5,2563582
2015-01-01 00:00:00,65.5,68.25,57.0,61.9,1151385
2015-02-01 00:00:00,61.55,67.85,56.55,57.65,639297
2015-03-01 00:00:00,58.8,63.35,45.1,46.3,910926
2015-04-01 00:00:00,46.6,77.0,46.3,64.4,1919093
2015-05-01 00:00:00,64.4,94.9,60.35,83.3,3081844
2015-06-01 00:00:00,83.0,91.75,74.0,88.55,5253666
2015-07-01 00:00:00,88.95,136.6,80.05,126.6,15922146
2015-08-01 00:00:00,127.7,166.7,108.0,139.9,8900984
2015-09-01 00:00:00,139.35,178.35,116.05,157.75,12285918
2015-10-01 00:00:00,158.75,211.6,152.15,203.55,16434612
2015-11-01 00:00:00,204.0,215.8,182.5,207.25,6647270
2015-12-01 00:00:00,212.0,214.7,182.0,185.45,4358181
2016-01-01 00:00:00,186.8,189.9,151.0,180.3,7302084
2016-02-01 00:00:00,181.2,197.0,117.35,128.55,3922318
2016-03-01 00:00:00,127.0,157.65,124.0,144.05,6867943
2016-04-01 00:00:00,142.9,180.3,137.5,174.95,7557669
2016-05-01 00:00:00,173.25,184.4,155.1,160.85,4628287
2016-06-01 00:00:00,161.65,190.3,160.2,174.95,4630101
2016-07-01 00:00:00,175.15,204.0,174.8,196.3,4116467
2016-08-01 00:00:00,198.4,211.4,175.0,198.8,3460725
2016-09-01 00:00:00,199.05,242.5,187.5,226.95,5703630
2016-10-01 00:00:00,228.05,288.9,226.0,263.1,6605965
2016-11-01 00:00:00,270.95,270.95,200.2,252.0,2878547
2016-12-01 00:00:00,255.85,313.5,241.65,280.65,5768629
2017-01-01 00:00:00,283.7,319.8,279.65,305.7,3947647
2017-02-01 00:00:00,306.0,332.35,302.75,308.0,2350369
2017-03-01 00:00:00,312.9,343.1,295.0,329.3,3232849
2017-04-01 00:00:00,333.35,342.85,309.0,314.15,2617962
2017-05-01 00:00:00,314.15,339.35,295.0,317.6,2835840
2017-06-01 00:00:00,313.5,317.0,247.1,278.4,4390129
2017-07-01 00:00:00,279.2,302.15,238.2,242.6,1757686
2017-08-01 00:00:00,215.7,241.35,192.0,217.8,4322310
2017-09-01 00:00:00,215.0,250.0,202.85,219.85,4674774
