,Open,High,Low,Close,Volume
2016-08-08 00:00:00,240.0,259.0,240.0,244.2,30320884
2016-08-15 00:00:00,244.2,249.9,226.05,245.85,3368483
2016-08-22 00:00:00,246.0,247.95,224.3,227.5,1101015
2016-08-29 00:00:00,227.0,248.75,215.55,238.85,2659075
2016-09-05 00:00:00,238.85,241.4,229.45,230.2,1199610
2016-09-12 00:00:00,227.0,254.4,220.55,245.15,1798219
2016-09-19 00:00:00,245.0,247.7,233.15,235.5,477248
2016-09-26 00:00:00,246.0,248.7,221.55,234.1,2067642
2016-10-03 00:00:00,234.4,246.0,233.05,234.4,531638
2016-10-10 00:00:00,234.9,239.9,224.95,227.3,218149
2016-10-17 00:00:00,227.0,235.05,225.55,226.15,379576
2016-10-24 00:00:00,228.55,243.4,227.0,238.15,825338
2016-10-31 00:00:00,238.15,238.15,205.55,218.8,1035085
2016-11-07 00:00:00,220.5,225.75,177.9,206.85,629901
2016-11-14 00:00:00,206.85,212.5,191.2,206.95,1187478
2016-11-21 00:00:00,210.5,229.25,202.0,228.3,683126
2016-11-28 00:00:00,228.6,261.95,221.0,224.55,2454369
2016-12-05 00:00:00,223.5,237.0,220.0,223.65,560602
2016-12-12 00:00:00,227.0,233.5,221.25,225.65,481737
2016-12-19 00:00:00,223.8,226.8,219.0,220.8,199554
2016-12-26 00:00:00,220.25,232.75,216.55,229.3,330002
2017-01-02 00:00:00,225.5,233.8,225.5,229.55,245223
2017-01-09 00:00:00,229.05,252.25,223.85,243.5,691240
2017-01-16 00:00:00,239.2,246.95,235.5,236.1,149696
2017-01-23 00:00:00,241.0,248.0,236.0,242.95,381979
2017-01-30 00:00:00,242.8,253.35,235.0,247.7,417201
2017-02-06 00:00:00,248.25,293.5,248.05,273.35,3855045
2017-02-13 00:00:00,275.9,275.9,255.0,274.2,537520
2017-02-20 00:00:00,280.7,294.95,276.3,286.1,857905
2017-02-27 00:00:00,286.5,340.0,286.0,319.05,1649330
2017-03-06 00:00:00,322.95,331.6,254.05,319.3,1227881
2017-03-13 00:00:00,319.3,347.5,319.3,345.25,625483
2017-03-20 00:00:00,346.85,366.1,346.1,348.95,1134402
2017-03-27 00:00:00,349.75,358.9,340.05,349.75,581575
2017-04-03 00:00:00,350.25,373.65,348.05,355.3,795967
2017-04-10 00:00:00,358.65,378.4,357.2,371.25,1254242
2017-04-17 00:00:00,375.0,419.5,367.0,410.85,1894737
2017-04-24 00:00:00,427.3,443.5,414.85,422.5,1337914
2017-05-01 00:00:00,422.5,474.9,419.5,459.7,1413593
2017-05-08 00:00:00,463.65,484.9,444.5,447.35,1224411
2017-05-15 00:00:00,450.0,529.7,449.95,474.65,2755468
2017-05-22 00:00:00,481.0,485.0,422.0,440.3,1300665
2017-05-29 00:00:00,443.0,453.35,428.5,433.15,751476
2017-06-05 00:00:00,435.7,457.9,426.95,448.3,2018382
2017-06-12 00:00:00,445.7,461.8,442.35,444.5,934590
2017-06-19 00:00:00,445.1,452.0,427.0,427.8,527667
2017-06-26 00:00:00,427.8,450.0,405.95,447.5,2393270
2017-07-03 00:00:00,457.7,494.25,448.65,476.8,1763706
2017-07-10 00:00:00,479.0,549.65,476.1,543.35,3030363
2017-07-17 00:00:00,538.0,546.0,510.1,516.7,1568989
2017-07-24 00:00:00,516.8,531.5,503.75,506.55,1267276
2017-07-31 00:00:00,507.4,534.75,500.0,526.3,1807561
2017-08-07 00:00:00,522.0,594.9,492.75,521.45,3871012
2017-08-14 00:00:00,531.5,579.8,521.0,571.2,1602089
2017-08-21 00:00:00,570.0,612.0,557.5,592.9,2007511
2017-08-28 00:00:00,598.0,637.0,584.45,592.2,2850069
2017-09-04 00:00:00,593.4,597.0,566.0,593.65,1411178
2017-09-11 00:00:00,600.8,619.9,587.0,591.7,1418792
2017-09-18 00:00:00,595.95,620.6,571.5,578.1,1144016
2017-09-25 00:00:00,575.7,609.9,561.0,599.35,1420307
2017-10-02 00:00:00,599.35,694.75,597.0,679.6,2359966
2017-10-09 00:00:00,681.9,739.0,674.5,716.65,1831286
2017-10-16 00:00:00,719.8,816.9,711.05,786.5,2075616
2017-10-23 00:00:00,790.0,924.9,766.0,884.3,3803486
2017-10-30 00:00:00,884.8,917.0,848.0,894.45,2176738
2017-11-06 00:00:00,900.0,917.0,862.5,870.0,1199270
2017-11-13 00:00:00,875.9,903.95,812.6,850.0,2046780
2017-11-20 00:00:00,855.5,974.0,846.2,926.35,2730224
2017-11-27 00:00:00,920.0,1008.95,919.2,950.3,2517499
2017-12-04 00:00:00,963.95,969.8,871.85,904.75,1578053
2017-12-11 00:00:00,913.8,932.0,884.0,907.1,1766048
2017-12-18 00:00:00,911.0,1000.0,827.6,993.85,1745551
2017-12-25 00:00:00,993.85,1059.0,986.5,989.8,1535739
2018-01-01 00:00:00,994.0,1009.0,963.25,999.55,1428496
2018-01-08 00:00:00,1006.7,1019.0,964.0,969.2,1727682
2018-01-15 00:00:00,974.5,995.0,907.0,946.2,1721136
2018-01-22 00:00:00,946.8,960.0,927.0,947.0,1382360
2018-01-29 00:00:00,951.0,969.75,899.0,928.0,1692251
2018-02-05 00:00:00,890.0,943.0,769.95,933.65,3382758
2018-02-12 00:00:00,950.0,1006.8,940.6,957.75,1677228
2018-02-19 00:00:00,958.5,978.95,911.4,962.2,2159258
2018-02-26 00:00:00,970.8,989.9,930.25,953.45,1043322
2018-03-05 00:00:00,966.4,1031.7,956.0,977.45,2871873
2018-03-12 00:00:00,992.8,996.5,948.05,970.7,1819858
2018-03-19 00:00:00,977.0,995.0,954.15,985.35,1499026
