,Open,High,Low,Close,Volume
2004-04-01 00:00:00,34.5,59.78,31.0,46.42,222080900
2004-05-01 00:00:00,46.4,53.41,36.72,38.23,93784860
2004-06-01 00:00:00,39.0,50.01,36.67,39.8,15211370
2004-07-01 00:00:00,39.8,51.1,35.65,46.78,12297750
2004-08-01 00:00:00,48.4,50.7,45.4,48.05,5587700
2004-09-01 00:00:00,46.7,53.14,44.29,52.42,5138580
2004-10-01 00:00:00,52.2,54.4,46.1,52.38,3039130
2004-11-01 00:00:00,52.5,60.5,50.1,56.88,2284220
2004-12-01 00:00:00,58.66,64.9,51.9,62.88,2904680
2005-01-01 00:00:00,63.49,64.6,55.2,57.22,1825220
2005-02-01 00:00:00,57.01,64.5,56.01,61.37,1670790
2005-03-01 00:00:00,61.0,74.5,58.5,63.1,1681350
2005-04-01 00:00:00,64.7,70.2,61.21,67.59,620230
2005-05-01 00:00:00,72.99,79.99,65.2,67.9,507560
2005-06-01 00:00:00,69.89,70.0,58.32,63.25,1223350
2005-07-01 00:00:00,62.8,69.99,60.2,63.15,442350
2005-08-01 00:00:00,64.0,88.0,60.6,73.02,2846830
2005-09-01 00:00:00,74.2,87.99,68.22,77.11,2356100
2005-10-01 00:00:00,77.61,80.6,60.0,61.28,870342
2005-11-01 00:00:00,63.5,119.8,59.0,86.82,1994990
2005-12-01 00:00:00,88.0,101.5,85.12,95.12,1845080
2006-01-01 00:00:00,92.5,193.4,86.12,95.15,2147206
2006-02-01 00:00:00,97.43,217.25,96.28,102.43,4531200
2006-03-01 00:00:00,102.95,201.45,90.55,96.28,1355408
2006-04-01 00:00:00,96.5,196.4,95.0,104.62,1688284
2006-05-01 00:00:00,101.0,131.0,89.88,96.75,5149822
2006-06-01 00:00:00,98.0,99.78,66.55,85.03,1151574
2006-07-01 00:00:00,85.5,86.75,74.0,79.62,498416
2006-08-01 00:00:00,79.5,198.15,77.65,94.78,2408906
2006-09-01 00:00:00,95.47,119.5,93.0,97.38,2184710
2006-10-01 00:00:00,194.75,194.75,94.5,94.9,5107588
2006-11-01 00:00:00,95.47,114.95,93.55,111.45,9159054
2006-12-01 00:00:00,111.12,227.85,99.0,124.53,5992928
2007-01-01 00:00:00,249.05,250.25,115.5,117.97,7296908
2007-02-01 00:00:00,121.95,233.3,105.22,112.47,1849316
2007-03-01 00:00:00,107.0,215.1,95.53,106.03,1344644
2007-04-01 00:00:00,103.97,204.25,98.05,118.15,2290672
2007-05-01 00:00:00,236.3,236.3,114.0,138.18,11805072
2007-06-01 00:00:00,142.43,169.93,132.85,152.8,5360014
2007-07-01 00:00:00,155.05,187.45,152.5,157.02,2988368
2007-08-01 00:00:00,157.5,310.95,134.0,142.85,7816032
2007-09-01 00:00:00,143.55,157.0,137.2,145.73,2371630
2007-10-01 00:00:00,149.93,288.0,127.03,160.62,2863012
2007-11-01 00:00:00,160.0,161.25,132.4,138.98,2577808
2007-12-01 00:00:00,149.98,330.0,132.5,184.95,1623094
2008-01-01 00:00:00,183.5,227.48,125.6,159.15,2391100
2008-02-01 00:00:00,160.0,161.0,128.3,147.27,1747452
2008-03-01 00:00:00,148.12,296.0,125.78,144.07,1915056
2008-04-01 00:00:00,147.5,310.2,138.02,160.65,4193736
2008-05-01 00:00:00,320.1,320.1,121.28,162.82,4306116
2008-06-01 00:00:00,160.0,168.5,141.7,148.45,1557480
2008-07-01 00:00:00,144.82,154.1,125.0,147.4,1630026
2008-08-01 00:00:00,147.5,300.05,145.5,160.75,1257068
2008-09-01 00:00:00,159.98,315.0,135.75,153.23,2266704
2008-10-01 00:00:00,152.0,300.95,59.6,64.57,2752282
2008-11-01 00:00:00,69.0,159.0,63.75,65.03,2288984
2008-12-01 00:00:00,67.0,145.0,59.75,70.03,3532456
2009-01-01 00:00:00,70.1,132.0,48.35,56.05,2263124
2009-02-01 00:00:00,57.25,115.0,52.62,54.33,944430
2009-03-01 00:00:00,54.0,90.0,44.08,49.75,1687300
2009-04-01 00:00:00,50.28,103.55,47.65,103.55,7173492
2009-05-01 00:00:00,103.55,103.55,52.0,95.62,14550312
2009-06-01 00:00:00,100.25,102.35,79.03,92.95,3212354
2009-07-01 00:00:00,94.4,100.43,81.7,93.55,6776756
2009-08-01 00:00:00,93.5,118.0,91.5,107.65,8721080
2009-09-01 00:00:00,108.93,206.0,96.6,127.93,21229040
2009-10-01 00:00:00,129.35,244.0,111.75,117.38,15442426
2009-11-01 00:00:00,234.0,234.0,95.78,109.38,18765700
2009-12-01 00:00:00,109.0,236.0,108.5,118.6,6061732
2010-01-01 00:00:00,237.4,264.0,104.53,109.85,17825848
2010-02-01 00:00:00,108.5,207.1,96.62,104.18,6123836
2010-03-01 00:00:00,206.0,217.4,102.05,106.2,12013636
2010-04-01 00:00:00,106.82,223.6,106.05,110.12,8851036
2010-05-01 00:00:00,110.5,113.2,101.4,101.95,3055472
2010-06-01 00:00:00,103.38,115.12,95.05,108.35,3554290
2010-07-01 00:00:00,107.65,111.0,102.22,109.88,3033660
2010-08-01 00:00:00,109.0,111.35,93.5,94.95,5977428
2010-09-01 00:00:00,95.5,198.85,86.6,94.43,8145966
2010-10-01 00:00:00,94.78,96.9,87.75,92.72,3645584
2010-11-01 00:00:00,91.8,154.6,64.0,65.62,5859350
2010-12-01 00:00:00,67.0,140.0,63.25,78.3,11752950
2011-01-01 00:00:00,78.5,137.6,63.3,67.12,2327386
2011-02-01 00:00:00,66.5,67.95,43.28,44.95,6072746
2011-03-01 00:00:00,45.5,96.6,42.5,51.72,6065232
2011-04-01 00:00:00,51.5,103.0,47.53,48.33,3344966
2011-05-01 00:00:00,48.0,51.67,43.75,48.78,2591190
2011-06-01 00:00:00,49.0,50.6,42.5,45.17,2579526
2011-07-01 00:00:00,43.95,50.92,43.3,44.88,6480504
2011-08-01 00:00:00,45.45,46.17,31.15,34.3,3235786
2011-09-01 00:00:00,34.28,34.72,28.62,28.83,2778666
2011-10-01 00:00:00,28.95,32.17,25.88,25.98,2651218
2011-11-01 00:00:00,26.0,27.25,20.27,21.23,3725358
2011-12-01 00:00:00,22.0,22.5,16.9,18.58,3708118
2012-01-01 00:00:00,18.65,28.95,18.27,25.88,8770740
2012-02-01 00:00:00,25.88,34.75,24.1,25.88,15368456
2012-03-01 00:00:00,26.6,28.2,22.12,22.88,7994200
2012-04-01 00:00:00,23.4,26.6,22.25,22.77,5433814
2012-05-01 00:00:00,22.77,27.4,19.0,25.4,20678734
2012-06-01 00:00:00,25.5,34.05,24.0,32.58,22994710
2012-07-01 00:00:00,32.85,36.5,30.12,34.8,22720678
2012-08-01 00:00:00,35.8,52.6,35.8,49.3,85743188
2012-09-01 00:00:00,49.6,53.67,47.72,48.25,37348048
2012-10-01 00:00:00,48.6,51.9,45.75,47.78,21498388
2012-11-01 00:00:00,48.0,61.85,47.3,57.7,46959860
2012-12-01 00:00:00,57.67,62.22,56.0,57.6,17973874
2013-01-01 00:00:00,58.0,61.22,51.05,54.42,16472294
2013-02-01 00:00:00,54.5,56.5,33.38,34.53,16450258
2013-03-01 00:00:00,34.55,39.08,31.55,34.53,9606412
2013-04-01 00:00:00,34.62,38.3,32.05,34.28,9364800
2013-05-01 00:00:00,34.28,39.1,33.58,35.72,19055920
