,Open,High,Low,Close,Volume
2020-05-08 09:15:00,37.0,38.25,36.55,38.25,1960763
2020-05-11 09:15:00,40.15,40.15,39.5,40.15,865406
2020-05-12 09:15:00,40.7,42.15,38.25,42.15,3381082
2020-05-13 09:15:00,44.25,44.25,43.0,44.25,1211592
2020-05-14 09:15:00,45.0,46.45,42.05,42.05,3950166
2020-05-15 09:15:00,42.5,44.15,40.0,44.15,2199834
2020-05-18 09:15:00,46.0,46.0,41.95,41.95,993924
2020-05-19 09:15:00,43.15,43.15,40.0,40.55,1289468
2020-05-20 09:15:00,42.35,42.55,41.45,42.55,762529
2020-05-21 09:15:00,44.65,44.65,44.65,44.65,545601
2020-05-22 09:15:00,46.85,46.85,42.45,42.5,3293031
2020-05-26 09:15:00,43.0,44.6,41.8,44.6,1503219
2020-05-27 09:15:00,46.45,46.8,44.7,46.8,1279444
2020-05-28 09:15:00,47.3,48.65,46.3,47.5,1481476
2020-05-29 09:15:00,47.3,47.8,45.65,46.05,1264779
2020-06-01 09:15:00,47.45,48.35,46.6,47.4,2453907
2020-06-02 09:15:00,47.85,48.45,46.4,46.7,827129
2020-06-03 09:15:00,47.45,48.65,45.6,46.05,2003693
2020-06-04 09:15:00,45.6,46.8,44.5,44.9,736462
2020-06-05 09:15:00,45.0,47.0,44.9,46.0,1391129
2020-06-08 09:15:00,48.3,48.3,46.0,46.45,2241129
2020-06-09 09:15:00,47.85,47.85,45.2,45.4,958368
2020-06-10 09:15:00,45.9,45.95,44.8,45.1,825066
2020-06-11 09:15:00,45.0,45.9,43.85,44.3,845801
2020-06-12 09:15:00,42.1,43.9,42.1,43.5,1165086
2020-06-15 09:15:00,43.6,45.65,42.75,43.45,1727919
2020-06-16 09:15:00,43.95,44.7,41.3,42.55,2177406
2020-06-17 09:15:00,42.75,43.25,41.45,41.55,1778536
2020-06-18 09:15:00,41.6,43.6,40.55,43.25,2629175
2020-06-19 09:15:00,44.4,45.4,42.85,45.4,3683958
2020-06-22 09:15:00,47.65,47.65,47.65,47.65,538827
2020-06-23 09:15:00,50.0,50.0,50.0,50.0,303011
2020-06-24 09:15:00,52.5,52.5,50.0,51.75,7677007
2020-06-25 09:15:00,53.9,54.3,52.25,54.3,3202739
2020-06-26 09:15:00,57.0,57.0,56.75,57.0,704665
2020-06-29 09:15:00,59.75,59.85,54.6,59.85,8140231
2020-06-30 09:15:00,62.8,62.8,59.9,62.8,6666765
2020-07-01 09:15:00,63.0,63.0,59.7,59.7,1771675
2020-07-02 09:15:00,56.75,62.65,56.75,60.5,5069852
2020-07-03 09:15:00,61.8,62.5,60.0,60.6,1710059
2020-07-06 09:15:00,57.6,62.05,57.6,58.1,3001683
2020-07-07 09:15:00,58.9,59.0,56.5,58.1,1242507
2020-07-08 09:15:00,58.1,59.75,57.1,57.3,1189620
2020-07-09 09:15:00,57.5,58.7,54.8,55.25,1797569
2020-07-10 09:15:00,55.25,57.8,54.65,56.25,1571044
2020-07-13 09:15:00,57.5,57.6,55.6,56.8,1836284
2020-07-14 09:15:00,56.65,57.0,55.2,56.6,1138872
2020-07-15 09:15:00,57.0,59.4,56.6,58.5,5184008
2020-07-16 09:15:00,58.9,61.4,56.0,61.35,3293974
2020-07-17 09:15:00,62.95,64.4,59.35,64.4,3845047
2020-07-20 09:15:00,64.85,67.6,64.5,67.6,1061194
2020-07-21 09:15:00,70.95,70.95,69.0,70.95,6731312
2020-07-22 09:15:00,73.7,74.45,68.55,74.45,5265053
2020-07-23 09:15:00,76.3,78.15,75.4,78.15,1408659
2020-07-24 09:15:00,80.0,82.05,76.4,81.35,8681437
2020-07-27 09:15:00,81.9,82.9,77.3,77.8,4350555
2020-07-28 09:15:00,77.75,77.8,73.95,74.1,1954252
2020-07-29 09:15:00,76.8,77.8,75.95,77.8,3749901
2020-07-30 09:15:00,78.5,81.2,78.0,79.55,1978725
2020-07-31 11:55:02,80.35,80.8,76.5,77.15,759339
