,Open,High,Low,Close,Volume
2020-05-07 09:15:00,232.0,240.0,230.0,232.0,297
2020-05-08 09:15:00,225.55,236.05,225.55,227.1,159
2020-05-11 09:15:00,226.05,238.95,220.0,224.35,873
2020-05-12 09:15:00,235.0,235.0,227.0,228.45,1125
2020-05-13 09:15:00,228.5,234.0,222.6,225.15,1230
2020-05-14 09:15:00,233.0,235.05,226.0,231.5,62
2020-05-15 09:15:00,231.5,238.0,222.0,238.0,200
2020-05-18 09:15:00,241.75,253.2,228.0,231.35,1480
2020-05-19 09:15:00,238.0,247.0,225.1,225.4,462
2020-05-20 09:15:00,226.0,232.0,223.0,231.95,535
2020-05-21 09:15:00,230.0,233.0,226.05,233.0,96
2020-05-22 09:15:00,232.0,232.0,215.0,220.6,2467
2020-05-26 09:15:00,222.0,231.05,222.0,225.05,607
2020-05-27 09:15:00,220.2,230.0,220.2,222.7,209
2020-05-28 09:15:00,229.95,245.85,229.95,238.7,630
2020-05-29 09:15:00,240.0,240.05,228.5,239.9,320
2020-06-01 09:15:00,243.0,250.05,232.55,248.0,3026
2020-06-02 09:15:00,238.3,248.55,222.75,242.1,454
2020-06-03 09:15:00,240.0,252.0,237.5,252.0,634
2020-06-04 09:15:00,252.5,259.8,245.0,250.1,1021
2020-06-05 09:15:00,249.0,291.6,240.05,269.95,1706
2020-06-08 09:15:00,272.0,285.95,270.0,274.85,874
2020-06-09 09:15:00,274.0,276.95,263.0,265.05,560
2020-06-10 09:15:00,265.0,273.0,264.0,272.25,73
2020-06-11 09:15:00,272.0,272.0,259.6,263.05,359
2020-06-12 09:15:00,262.5,264.0,250.0,256.9,120
2020-06-15 09:15:00,257.0,260.0,252.05,257.5,37
2020-06-16 09:15:00,250.35,267.95,250.0,255.0,2364
2020-06-17 09:15:00,255.0,259.5,252.0,254.05,509
2020-06-18 09:15:00,257.7,291.0,255.0,287.9,12276
2020-06-19 09:15:00,299.0,321.0,287.0,315.3,8503
2020-06-22 09:15:00,350.0,350.0,314.95,316.4,1875
2020-06-23 09:15:00,337.95,348.8,320.0,333.75,6064
2020-06-24 09:15:00,332.0,332.0,315.0,316.2,2342
2020-06-25 09:15:00,301.0,327.75,301.0,321.75,3318
2020-06-26 09:15:00,311.55,313.0,298.0,306.55,2923
2020-06-29 09:15:00,305.0,312.0,300.0,305.8,696
2020-06-30 09:15:00,305.0,305.0,291.0,293.7,352
2020-07-01 09:15:00,290.0,300.0,290.0,295.55,142
2020-07-02 09:15:00,295.55,301.5,295.55,300.0,590
2020-07-03 09:15:00,302.0,302.45,297.05,299.9,1906
2020-07-06 09:15:00,296.05,302.0,290.1,298.1,2453
2020-07-07 09:15:00,306.0,306.0,295.95,296.3,713
2020-07-08 09:15:00,300.0,300.0,285.5,299.55,953
2020-07-09 09:15:00,287.5,324.9,268.95,313.5,12174
2020-07-10 09:15:00,303.5,328.9,294.2,320.35,6988
2020-07-13 09:15:00,323.0,323.0,310.0,311.55,939
2020-07-14 09:15:00,304.9,304.9,287.0,294.5,1694
2020-07-15 09:15:00,286.05,317.0,286.05,290.75,427
2020-07-16 09:15:00,286.1,296.0,282.9,285.95,753
2020-07-17 09:15:00,279.0,305.45,279.0,294.4,426
2020-07-20 09:15:00,294.5,306.5,293.95,295.2,922
2020-07-21 09:15:00,300.0,310.0,293.0,293.85,640
2020-07-22 09:15:00,293.85,349.0,293.85,319.1,14839
2020-07-23 09:15:00,316.0,329.75,309.0,309.6,1018
2020-07-24 09:15:00,310.05,337.0,310.05,319.6,971
2020-07-27 09:15:00,319.6,334.9,308.15,329.6,9690
2020-07-28 09:15:00,340.7,340.7,316.0,319.1,578
2020-07-29 09:15:00,320.45,325.35,308.0,311.85,1070
2020-07-30 15:03:30,315.4,315.4,292.25,311.85,1829
