,Open,High,Low,Close,Volume
2020-07-30 09:18:00,292.25,292.25,292.25,292.25,0.0
2020-07-30 09:24:00,306.05,306.05,306.05,306.05,2.0
2020-07-30 09:25:00,307.05,307.05,307.05,307.05,1.0
2020-07-30 09:29:00,308.05,308.05,308.0,308.0,10.0
2020-07-30 09:30:00,308.05,308.05,308.05,308.05,49.0
2020-07-30 09:31:00,307.0,307.0,307.0,307.0,151.0
2020-07-30 09:32:00,305.75,305.75,305.75,305.75,0.0
2020-07-30 09:33:00,305.0,305.0,305.0,305.0,0.0
2020-07-30 09:44:00,309.4,309.4,309.4,309.4,2.0
2020-07-30 09:55:00,309.0,309.0,309.0,309.0,140.0
2020-07-30 10:01:00,309.4,309.4,309.4,309.4,0.0
2020-07-30 10:30:00,314.4,314.4,314.4,314.4,1.0
2020-07-30 10:54:00,315.0,315.0,315.0,315.0,226.0
2020-07-30 11:40:00,314.95,314.95,314.95,314.95,2.0
2020-07-30 12:49:00,314.95,314.95,314.95,314.95,1.0
2020-07-30 13:08:00,308.5,308.5,308.5,308.5,3.0
2020-07-30 13:39:00,308.5,308.5,308.5,308.5,100.0
2020-07-30 13:56:00,307.0,307.0,307.0,307.0,119.0
2020-07-30 13:59:00,309.0,309.0,309.0,309.0,49.0
2020-07-30 14:00:00,309.0,309.0,309.0,309.0,376.0
2020-07-30 14:01:00,315.0,315.0,315.0,315.0,195.0
2020-07-30 14:45:00,308.0,308.0,305.05,305.05,86.0
2020-07-30 14:48:00,314.5,314.5,314.5,314.5,0.0
2020-07-30 15:03:30,311.85,311.85,311.85,311.85,0.0
