,Open,High,Low,Close,Volume
2020-04-16 09:15:00,9.25,9.45,9.15,9.4,103762
2020-04-17 09:15:00,9.4,10.5,9.4,10.3,292037
2020-04-20 09:15:00,10.85,12.2,10.55,11.5,846905
2020-04-21 09:15:00,11.5,11.6,10.0,10.25,262964
2020-04-22 09:15:00,10.8,10.85,10.0,10.5,154623
2020-04-23 09:15:00,10.6,11.2,10.5,11.0,178397
2020-04-24 09:15:00,10.9,10.9,10.35,10.45,124455
2020-04-27 09:15:00,10.85,10.85,10.2,10.35,66287
2020-04-28 09:15:00,10.2,10.4,10.0,10.25,135582
2020-04-29 09:15:00,10.2,10.85,10.15,10.5,207268
2020-04-30 09:15:00,10.3,10.85,10.3,10.65,174158
2020-05-04 09:15:00,10.45,10.5,9.85,10.05,154718
2020-05-05 09:15:00,10.05,10.4,9.8,9.9,105103
2020-05-06 09:15:00,9.9,10.05,9.65,9.8,135571
2020-05-07 09:15:00,10.0,10.0,9.5,9.65,131811
2020-05-08 09:15:00,9.7,10.4,9.5,9.65,96014
2020-05-11 09:15:00,9.55,10.05,9.4,9.45,109918
2020-05-12 09:15:00,9.4,9.4,8.85,9.0,221894
2020-05-13 09:15:00,9.5,9.85,9.1,9.35,187911
2020-05-14 09:15:00,9.35,9.35,9.0,9.2,74336
2020-05-15 09:15:00,9.4,9.5,9.05,9.3,154365
2020-05-18 09:15:00,9.35,9.4,8.9,9.0,81287
2020-05-19 09:15:00,9.0,9.25,8.9,9.05,37010
2020-05-20 09:15:00,9.0,9.05,8.9,9.0,35687
2020-05-21 09:15:00,9.1,9.2,9.0,9.05,68945
2020-05-22 09:15:00,9.0,9.2,8.75,8.95,95079
2020-05-26 09:15:00,8.95,9.15,8.9,8.95,84718
2020-05-27 09:15:00,8.95,9.65,8.95,9.3,307900
2020-05-28 09:15:00,9.4,9.7,9.0,9.15,193297
2020-05-29 09:15:00,9.15,9.5,9.0,9.45,357966
2020-06-01 09:15:00,9.5,9.7,9.3,9.4,728371
2020-06-02 09:15:00,9.45,10.6,9.4,10.1,1365309
2020-06-03 09:15:00,10.5,10.9,9.9,10.1,632110
2020-06-04 09:15:00,10.1,10.45,9.95,10.3,305399
2020-06-05 09:15:00,10.35,10.9,10.35,10.7,467334
2020-06-08 09:15:00,11.4,11.85,11.05,11.45,833596
2020-06-09 09:15:00,11.7,11.95,11.0,11.4,548937
2020-06-10 09:15:00,11.6,11.6,11.2,11.3,189543
2020-06-11 09:15:00,11.75,11.8,11.0,11.25,344341
2020-06-12 09:15:00,10.9,11.45,10.35,11.35,545478
2020-06-15 09:15:00,11.45,13.6,11.2,12.75,3924218
2020-06-16 09:15:00,12.8,13.5,11.2,12.1,1811354
2020-06-17 09:15:00,12.35,12.45,11.7,12.1,430969
2020-06-18 09:15:00,12.1,12.85,12.1,12.5,548243
2020-06-19 09:15:00,12.95,14.2,12.5,13.95,1777193
2020-06-22 09:15:00,14.4,14.85,13.65,14.7,1129443
2020-06-23 09:15:00,14.9,15.9,14.75,15.65,1047264
2020-06-24 09:15:00,16.25,16.4,14.55,15.55,1548577
2020-06-25 09:15:00,15.7,16.0,15.05,15.85,668918
2020-06-26 09:15:00,16.2,16.3,15.4,15.65,706734
2020-06-29 09:15:00,15.4,15.65,14.55,14.75,467880
2020-06-30 09:15:00,15.25,15.25,14.05,14.5,587045
2020-07-01 09:15:00,14.35,14.65,14.0,14.2,215710
2020-07-02 09:15:00,14.25,14.9,14.0,14.25,269743
2020-07-03 09:15:00,14.5,15.65,14.1,14.8,614512
2020-07-06 09:15:00,15.1,15.15,14.55,14.65,348055
2020-07-07 09:15:00,14.65,17.55,14.65,16.95,11565048
2020-07-08 09:15:00,17.35,17.35,16.05,16.2,1799906
2020-07-09 09:15:00,16.15,16.7,16.1,16.45,791535
2020-07-10 15:29:56,16.45,16.9,15.8,16.35,741706
