,Open,High,Low,Close,Volume
2020-05-07 09:15:00,0.2,0.25,0.2,0.25,958596
2020-05-08 09:15:00,0.2,0.25,0.2,0.2,617031
2020-05-11 09:15:00,0.25,0.25,0.2,0.25,1906857
2020-05-12 09:15:00,0.25,0.25,0.2,0.25,1032712
2020-05-13 09:15:00,0.25,0.25,0.2,0.2,1666673
2020-05-14 09:15:00,0.2,0.25,0.2,0.25,893756
2020-05-15 09:15:00,0.25,0.25,0.2,0.2,666103
2020-05-18 09:15:00,0.25,0.25,0.2,0.25,1740551
2020-05-19 09:15:00,0.25,0.25,0.2,0.2,1139079
2020-05-20 09:15:00,0.25,0.25,0.2,0.25,1223163
2020-05-21 09:15:00,0.2,0.25,0.2,0.2,2418412
2020-05-22 09:15:00,0.2,0.25,0.2,0.25,1112859
2020-05-26 09:15:00,0.25,0.25,0.2,0.25,714980
2020-05-27 09:15:00,0.25,0.25,0.2,0.2,939050
2020-05-28 09:15:00,0.2,0.25,0.2,0.2,1199811
2020-05-29 09:15:00,0.2,0.25,0.2,0.25,2187593
2020-06-01 09:15:00,0.25,0.25,0.2,0.25,1592130
2020-06-02 09:15:00,0.2,0.25,0.2,0.2,1070605
2020-06-03 09:15:00,0.2,0.25,0.2,0.25,1546546
2020-06-04 09:15:00,0.25,0.3,0.2,0.3,15156232
2020-06-05 09:15:00,0.3,0.35,0.25,0.35,19368576
2020-06-08 09:15:00,0.35,0.4,0.3,0.35,9173970
2020-06-09 09:15:00,0.35,0.4,0.3,0.3,5982550
2020-06-10 09:15:00,0.35,0.35,0.3,0.35,3409373
2020-06-11 09:15:00,0.35,0.35,0.3,0.3,5063883
2020-06-12 09:15:00,0.25,0.35,0.25,0.3,2542629
2020-06-15 09:15:00,0.35,0.35,0.3,0.35,2717647
2020-06-16 09:15:00,0.35,0.4,0.3,0.35,10512230
2020-06-17 09:15:00,0.35,0.4,0.35,0.35,5173092
2020-06-18 09:15:00,0.4,0.4,0.35,0.35,2610435
2020-06-19 09:15:00,0.4,0.4,0.35,0.4,4039014
2020-06-22 09:15:00,0.45,0.45,0.4,0.45,6988983
2020-06-23 09:15:00,0.45,0.5,0.4,0.5,8728347
2020-06-24 09:15:00,0.55,0.55,0.5,0.55,7046412
2020-06-25 09:15:00,0.6,0.6,0.55,0.6,9669373
2020-06-26 09:15:00,0.65,0.65,0.6,0.65,4595823
2020-06-29 09:15:00,0.7,0.7,0.7,0.7,2589921
2020-06-30 09:15:00,0.75,0.75,0.75,0.75,2765847
2020-07-01 09:15:00,0.8,0.8,0.7,0.7,13607459
2020-07-02 09:15:00,0.65,0.65,0.65,0.65,2952878
2020-07-03 09:15:00,0.6,0.6,0.6,0.6,2562885
2020-07-06 09:15:00,0.55,0.55,0.55,0.55,2231920
2020-07-07 09:15:00,0.5,0.5,0.5,0.5,1096313
2020-07-08 09:15:00,0.45,0.55,0.45,0.55,7183798
2020-07-09 09:15:00,0.6,0.6,0.55,0.6,8328455
2020-07-10 09:15:00,0.6,0.65,0.55,0.6,6413501
2020-07-13 09:15:00,0.6,0.6,0.55,0.55,2849770
2020-07-14 09:15:00,0.55,0.6,0.5,0.5,3581352
2020-07-15 09:15:00,0.5,0.55,0.45,0.5,4558209
2020-07-16 09:15:00,0.5,0.5,0.45,0.5,1885427
2020-07-17 09:15:00,0.5,0.5,0.45,0.5,3232665
2020-07-20 09:15:00,0.45,0.55,0.45,0.55,4688783
2020-07-21 09:15:00,0.55,0.55,0.5,0.55,2034425
2020-07-22 09:15:00,0.55,0.55,0.5,0.5,1789261
2020-07-23 09:15:00,0.5,0.5,0.45,0.45,4159508
2020-07-24 09:15:00,0.45,0.5,0.45,0.45,2438244
2020-07-27 09:15:00,0.5,0.5,0.45,0.5,1996670
2020-07-28 09:15:00,0.5,0.5,0.45,0.5,1226573
2020-07-29 09:15:00,0.5,0.5,0.45,0.45,1457012
2020-07-30 13:04:03,0.5,0.5,0.45,0.5,1697986
