,Open,High,Low,Close,Volume
2020-04-16 09:15:00,242.25,252.9,240.6,243.15,420535
2020-04-17 09:15:00,249.0,250.0,236.75,239.55,180107
2020-04-20 09:15:00,242.9,242.9,233.75,237.3,115069
2020-04-21 09:15:00,237.0,237.0,226.7,229.1,193705
2020-04-22 09:15:00,227.1,250.0,227.0,245.45,687742
2020-04-23 09:15:00,248.8,255.9,246.35,250.2,424645
2020-04-24 09:15:00,251.0,267.0,251.0,260.45,993767
2020-04-27 09:15:00,261.45,266.45,254.3,260.05,452746
2020-04-28 09:15:00,261.9,261.9,247.0,249.2,266855
2020-04-29 09:15:00,250.0,258.0,245.1,250.55,335185
2020-04-30 09:15:00,253.3,254.55,243.6,244.85,165647
2020-05-04 09:15:00,243.5,253.3,237.05,244.95,254484
2020-05-05 09:15:00,247.4,250.0,238.2,239.75,86444
2020-05-06 09:15:00,244.0,247.75,238.25,245.3,93275
2020-05-07 09:15:00,246.5,256.4,243.05,252.4,307415
2020-05-08 09:15:00,255.3,258.0,250.5,252.6,175938
2020-05-11 09:15:00,254.7,257.85,247.0,249.8,140396
2020-05-12 09:15:00,250.4,250.4,239.0,242.55,96286
2020-05-13 09:15:00,245.2,249.25,239.05,241.7,104289
2020-05-14 09:15:00,238.0,247.0,238.0,243.7,126845
2020-05-15 09:15:00,244.0,244.7,238.85,240.5,79209
2020-05-18 09:15:00,241.95,242.55,230.0,231.3,74119
2020-05-19 09:15:00,236.0,238.85,231.05,231.95,75595
2020-05-20 09:15:00,234.0,237.2,230.05,234.55,118035
2020-05-21 09:15:00,237.7,245.7,235.35,241.85,179075
2020-05-22 09:15:00,246.7,246.7,237.15,239.85,115911
2020-05-26 09:15:00,244.0,247.0,240.1,243.1,77159
2020-05-27 09:15:00,245.85,253.0,241.0,245.75,216682
2020-05-28 09:15:00,245.75,256.25,244.1,246.85,225183
2020-05-29 09:15:00,247.1,253.0,245.85,248.25,248174
2020-06-01 09:15:00,250.25,259.0,248.5,255.7,241959
2020-06-02 09:15:00,257.0,259.0,249.0,250.5,135026
2020-06-03 09:15:00,252.9,254.5,248.0,249.0,205145
2020-06-04 09:15:00,248.85,252.1,245.0,246.8,217047
2020-06-05 09:15:00,249.7,270.0,248.35,261.0,1498638
2020-06-08 09:15:00,266.0,268.85,251.7,254.15,318653
2020-06-09 09:15:00,255.65,256.85,248.7,249.8,262549
2020-06-10 09:15:00,252.0,254.85,250.9,253.35,190618
2020-06-11 09:15:00,253.25,254.9,246.35,247.45,181860
2020-06-12 09:15:00,243.0,245.5,241.0,243.25,201615
2020-06-15 09:15:00,244.85,251.2,241.75,247.3,708648
2020-06-16 09:15:00,250.25,253.4,241.15,248.35,451398
2020-06-17 09:15:00,249.5,252.05,245.5,250.85,305487
2020-06-18 09:15:00,259.05,263.8,252.55,255.0,1030767
2020-06-19 09:15:00,255.9,256.9,248.05,249.2,296513
2020-06-22 09:15:00,250.2,281.7,250.2,272.85,2088015
2020-06-23 09:15:00,277.95,296.4,274.0,288.85,1735943
2020-06-24 09:15:00,290.0,290.0,272.8,275.55,670695
2020-06-25 09:15:00,272.0,282.65,270.0,274.5,465701
2020-06-26 09:15:00,277.2,281.5,270.95,273.15,289150
2020-06-29 09:15:00,275.4,278.3,270.5,274.85,585751
2020-06-30 09:15:00,277.4,297.8,276.35,279.6,1661008
2020-07-01 09:15:00,281.0,289.2,274.3,275.15,615658
2020-07-02 09:15:00,276.25,282.1,266.3,269.8,525600
2020-07-03 09:15:00,270.9,272.0,262.55,266.1,439497
2020-07-06 09:15:00,269.0,272.0,263.0,263.65,543963
2020-07-07 09:15:00,265.0,265.75,254.0,254.8,624840
2020-07-08 09:15:00,256.0,256.0,247.0,248.0,853381
2020-07-09 09:15:00,250.9,252.95,242.6,244.8,647306
2020-07-10 15:30:00,245.5,246.5,236.6,239.2,593239
