,Open,High,Low,Close,Volume
2006-10-01 00:00:00,169.25,169.25,98.0,98.5,8858307
2006-11-01 00:00:00,100.4,128.9,88.0,120.0,6926200
2006-12-01 00:00:00,120.15,136.95,100.05,112.4,4341800
2007-01-01 00:00:00,107.1,135.4,107.1,117.6,1481924
2007-02-01 00:00:00,118.05,126.0,100.0,100.35,457800
2007-03-01 00:00:00,119.0,119.0,72.0,102.1,388556
2007-04-01 00:00:00,101.0,128.0,92.0,125.05,1532371
2007-05-01 00:00:00,122.1,134.7,113.0,125.25,1135100
2007-06-01 00:00:00,125.0,131.0,113.0,118.75,2450338
2007-07-01 00:00:00,121.1,132.0,104.0,109.95,1192400
2007-08-01 00:00:00,110.8,119.0,89.0,97.8,692938
2007-09-01 00:00:00,99.4,122.0,92.55,101.65,584395
2007-10-01 00:00:00,104.0,119.7,90.1,113.5,708495
2007-11-01 00:00:00,113.6,115.0,90.25,101.0,261275
2007-12-01 00:00:00,103.45,147.6,99.9,126.05,858444
2008-01-01 00:00:00,134.75,134.75,75.0,81.85,799433
2008-02-01 00:00:00,81.5,84.75,51.5,64.6,643649
2008-03-01 00:00:00,63.5,76.5,53.25,68.0,1194165
2008-04-01 00:00:00,71.7,80.8,63.05,74.45,1449477
2008-05-01 00:00:00,75.3,77.8,65.0,67.1,435497
2008-06-01 00:00:00,67.0,67.0,46.9,52.45,163411
2008-07-01 00:00:00,53.0,60.95,42.0,55.0,150341
2008-08-01 00:00:00,55.0,58.85,52.0,56.35,48901
2008-09-01 00:00:00,55.6,64.8,47.0,50.0,124448
2008-10-01 00:00:00,49.0,54.4,36.7,46.7,139832
2008-11-01 00:00:00,45.0,52.4,40.0,44.7,56789
2008-12-01 00:00:00,44.5,48.0,43.0,46.65,158063
2009-01-01 00:00:00,46.0,48.7,36.5,41.8,21950
2009-02-01 00:00:00,42.0,55.0,42.0,48.0,114063
2009-03-01 00:00:00,48.0,56.0,42.25,45.4,299118
2009-04-01 00:00:00,44.6,53.5,40.45,45.45,21611
2009-05-01 00:00:00,46.0,69.7,41.25,61.8,153532
2009-06-01 00:00:00,66.5,78.0,50.05,51.7,276328
2009-07-01 00:00:00,53.0,74.0,47.2,70.5,185456
2009-08-01 00:00:00,68.4,86.0,62.0,82.3,316913
2009-09-01 00:00:00,83.0,107.7,66.8,80.85,1321680
2009-10-01 00:00:00,80.15,115.85,70.4,71.6,4017197
2009-11-01 00:00:00,72.8,108.5,70.65,104.6,1031660
2009-12-01 00:00:00,105.8,130.0,96.4,109.05,3977257
2010-01-01 00:00:00,108.3,124.0,93.0,101.55,2174015
2010-02-01 00:00:00,102.0,103.0,88.05,94.85,622824
2010-03-01 00:00:00,94.0,109.9,92.7,107.3,1619083
2010-04-01 00:00:00,107.3,123.4,104.5,115.1,2379915
2010-05-01 00:00:00,113.5,137.8,112.2,123.95,1522881
2010-06-01 00:00:00,120.1,170.0,120.1,151.8,6250712
2010-07-01 00:00:00,151.8,183.75,148.6,177.9,6402839
2010-08-01 00:00:00,179.0,184.8,157.75,158.7,1417158
2010-09-01 00:00:00,159.1,175.0,156.25,165.65,963722
2010-10-01 00:00:00,166.5,220.9,166.35,212.25,6677229
2010-11-01 00:00:00,216.8,216.8,162.15,174.05,1379005
2010-12-01 00:00:00,174.5,178.0,163.1,169.8,753138
2011-01-01 00:00:00,170.2,180.4,149.0,151.55,899951
2011-02-01 00:00:00,153.45,166.0,149.0,152.15,336471
2011-03-01 00:00:00,154.0,165.9,148.1,153.65,386633
2011-04-01 00:00:00,154.95,175.0,154.5,166.0,473761
2011-05-01 00:00:00,163.05,175.0,150.4,158.25,223349
2011-06-01 00:00:00,158.0,161.9,149.7,150.95,133026
2011-07-01 00:00:00,154.15,162.0,150.0,152.2,73682
2011-08-01 00:00:00,159.8,174.8,141.0,158.0,220641
