,Open,High,Low,Close,Volume
2020-04-07 10:15:00,265.05,267.85,264.05,267.55,0
2020-04-07 11:15:00,265.8,268.0,264.05,264.45,918
2020-04-07 12:15:00,266.9,266.9,261.65,265.5,1020
2020-04-07 13:15:00,265.5,267.5,263.8,266.15,590
2020-04-07 14:15:00,266.15,270.0,266.15,266.5,2135
2020-04-07 15:15:00,270.0,270.0,264.95,269.25,5139
2020-04-08 09:15:00,273.0,275.95,267.5,272.55,80
2020-04-08 10:15:00,273.0,276.0,272.55,273.1,1914
2020-04-08 11:15:00,274.0,274.5,273.1,273.3,567
2020-04-08 12:15:00,273.2,278.0,273.1,274.0,3470
2020-04-08 13:15:00,274.5,275.55,272.0,272.05,771
2020-04-08 14:15:00,273.0,276.0,270.0,276.0,671
2020-04-08 15:15:00,275.55,278.45,270.0,275.0,837
2020-04-09 09:15:00,276.0,283.1,276.0,280.65,0
2020-04-09 10:15:00,281.0,300.0,280.65,293.0,25196
2020-04-09 11:15:00,292.2,294.8,290.15,292.0,1371
2020-04-09 12:15:00,292.35,294.0,290.1,291.9,1124
2020-04-09 13:15:00,292.0,294.0,290.0,292.75,4087
2020-04-09 14:15:00,293.75,304.9,290.05,301.95,9657
2020-04-09 15:15:00,295.0,304.9,295.0,300.0,8419
2020-04-13 09:15:00,306.4,312.0,281.75,289.4,0
2020-04-13 10:15:00,289.7,304.95,289.05,299.9,2136
2020-04-13 11:15:00,299.3,300.0,295.05,295.5,585
2020-04-13 12:15:00,296.55,296.55,290.55,293.95,824
2020-04-13 13:15:00,292.4,294.9,290.55,291.0,657
2020-04-13 14:15:00,293.75,293.75,286.05,290.0,3594
2020-04-13 15:15:00,291.65,296.0,290.0,291.85,980
2020-04-15 09:15:00,301.9,313.1,293.0,301.45,820
2020-04-15 10:15:00,298.0,302.0,294.6,297.85,1762
2020-04-15 11:15:00,294.6,299.0,294.6,298.2,399
2020-04-15 12:15:00,298.2,298.7,296.0,297.0,576
2020-04-15 13:15:00,297.0,297.0,280.05,281.05,4090
2020-04-15 14:15:00,292.7,292.7,280.05,282.5,2034
2020-04-15 15:15:00,283.75,284.5,281.5,283.05,1241
2020-04-16 09:15:00,287.9,292.9,280.7,290.65,274
2020-04-16 10:15:00,292.9,295.0,290.65,294.0,1813
2020-04-16 11:15:00,294.0,295.0,293.25,294.0,331
2020-04-16 12:15:00,295.0,295.0,292.45,292.75,272
2020-04-16 13:15:00,292.75,293.55,290.0,293.35,2426
2020-04-16 14:15:00,290.0,294.75,290.0,293.1,7720
2020-04-16 15:15:00,292.75,295.1,291.75,294.45,3698
2020-04-17 09:15:00,305.0,305.95,295.5,297.65,667
2020-04-17 10:15:00,299.0,299.95,297.0,299.6,3369
2020-04-17 11:15:00,298.35,303.0,297.5,299.5,5368
2020-04-17 12:15:00,299.05,301.9,299.05,301.25,1392
2020-04-17 13:15:00,301.25,314.7,298.45,314.0,10537
2020-04-17 14:15:00,301.15,329.0,301.1,318.0,32769
2020-04-17 15:15:00,322.0,327.9,317.05,323.75,6384
2020-04-20 09:15:00,333.9,335.0,320.1,325.4,0
2020-04-20 10:15:00,327.25,329.95,325.4,328.4,2173
2020-04-20 11:15:00,328.4,329.35,325.4,326.95,1092
2020-04-20 12:15:00,327.0,329.4,320.15,329.0,3506
2020-04-20 13:15:00,324.05,330.0,323.65,327.4,2070
2020-04-20 14:15:00,328.4,328.4,317.0,320.0,2269
2020-04-20 15:15:00,322.0,322.0,312.2,317.25,2645
2020-04-21 09:15:00,305.2,310.0,300.7,301.7,196
2020-04-21 10:15:00,301.1,304.4,300.0,303.9,5439
2020-04-21 11:15:00,303.9,303.9,296.05,298.95,2818
2020-04-21 12:15:00,298.0,299.9,293.25,296.95,1400
2020-04-21 13:15:00,298.0,299.4,293.25,298.95,927
2020-04-21 14:15:00,295.6,297.85,288.05,292.95,6982
2020-04-21 15:15:00,292.5,296.15,290.15,292.85,3344
2020-04-22 09:15:00,290.0,296.9,284.65,287.9,45
2020-04-22 10:15:00,285.85,292.6,285.85,292.6,909
2020-04-22 11:15:00,290.15,294.8,288.0,291.0,825
2020-04-22 12:15:00,291.05,295.0,290.75,290.75,483
2020-04-22 13:15:00,290.75,294.7,290.75,294.7,596
2020-04-22 14:15:00,294.7,295.0,292.4,294.9,286
2020-04-22 15:15:00,294.9,294.9,292.2,293.4,610
2020-04-23 09:15:00,291.05,304.45,291.05,297.0,13560
2020-04-23 10:15:00,299.0,300.0,296.15,300.0,19296
2020-04-23 11:15:00,299.15,299.75,297.2,298.45,709
2020-04-23 12:15:00,298.55,299.95,297.2,297.2,1584
2020-04-23 13:15:00,297.8,299.0,294.05,294.85,1598
2020-04-23 14:15:00,294.9,295.0,290.05,291.0,1330
2020-04-23 15:15:00,291.45,293.8,291.0,291.5,1172
2020-04-24 09:15:00,293.0,293.0,284.3,286.55,727
2020-04-24 10:15:00,291.05,291.05,284.3,287.15,1383
2020-04-24 11:15:00,288.5,289.4,287.15,288.0,901
2020-04-24 12:15:00,289.2,294.8,288.0,294.1,3554
2020-04-24 13:15:00,291.5,294.9,288.5,289.4,2536
2020-04-24 14:15:00,290.55,294.9,284.6,284.6,4243
2020-04-24 15:15:00,288.5,288.7,284.6,286.4,1412
2020-04-27 09:15:00,291.95,295.0,289.4,293.0,0
2020-04-27 10:15:00,291.05,293.5,291.05,292.9,368
2020-04-27 11:15:00,292.9,294.0,292.55,292.55,2924
2020-04-27 12:15:00,293.7,293.7,290.7,293.45,4549
2020-04-27 13:15:00,293.45,298.0,293.0,298.0,3835
2020-04-27 14:15:00,295.1,301.0,294.3,294.35,31605
2020-04-27 15:15:00,299.3,300.0,290.0,294.45,9056
2020-04-28 09:15:00,301.9,301.9,294.0,296.0,237
2020-04-28 10:15:00,296.2,297.3,294.0,296.0,495
2020-04-28 11:15:00,296.8,297.3,296.0,296.05,2518
2020-04-28 12:15:00,296.05,297.5,295.25,296.2,613
2020-04-28 13:15:00,297.5,297.5,295.25,297.45,356
2020-04-28 14:15:00,297.4,297.4,294.3,294.3,689
2020-04-28 15:15:00,295.85,297.0,294.3,295.4,675
2020-04-29 09:15:00,304.4,304.4,294.8,295.35,178
2020-04-29 10:15:00,295.35,296.0,293.0,296.0,1624
2020-04-29 11:15:00,295.55,299.5,295.25,295.25,2277
2020-04-29 12:15:00,298.65,299.0,295.25,299.0,937
2020-04-29 13:15:00,298.95,300.0,298.95,300.0,13117
2020-04-29 14:15:00,300.0,300.0,296.0,298.9,16292
2020-04-29 15:15:00,298.65,299.5,297.6,298.5,1682
2020-04-30 09:15:00,300.5,303.7,298.55,299.1,0
2020-04-30 10:15:00,300.0,301.0,299.0,300.0,10777
2020-04-30 11:15:00,299.3,301.0,298.05,299.7,2182
2020-04-30 12:15:00,299.85,300.0,295.15,296.6,4895
2020-04-30 13:15:00,298.0,298.5,292.55,294.0,4877
2020-04-30 14:15:00,294.55,299.95,292.0,299.0,9070
2020-04-30 15:15:00,299.95,305.0,294.5,299.5,24039
2020-05-04 09:15:00,289.0,289.0,280.15,280.9,0
2020-05-04 10:15:00,282.55,282.95,280.15,282.95,2625
2020-05-04 11:15:00,282.55,285.6,282.55,284.0,1600
2020-05-04 12:15:00,282.75,288.6,282.65,286.15,9018
2020-05-04 13:15:00,286.15,286.15,285.0,285.7,384
2020-05-04 14:15:00,285.0,286.2,283.25,285.0,1614
2020-05-04 15:15:00,284.75,286.55,283.0,284.5,2012
2020-05-05 09:15:00,285.0,289.8,283.2,285.0,3416
2020-05-05 10:15:00,285.0,285.95,282.05,284.7,3809
2020-05-05 11:15:00,283.0,286.0,282.2,286.0,3049
2020-05-05 12:15:00,285.5,286.0,283.25,284.7,1293
2020-05-05 13:15:00,284.7,285.0,283.2,284.0,2383
2020-05-05 14:15:00,283.2,284.0,275.1,278.0,5749
2020-05-05 15:15:00,278.15,280.35,277.75,278.7,0
2020-05-06 09:15:00,280.25,280.9,274.05,280.8,2050
2020-05-06 10:15:00,279.55,280.9,277.75,278.0,1358
2020-05-06 11:15:00,278.05,279.55,275.25,279.55,1241
2020-05-06 12:15:00,278.6,280.25,277.2,279.85,779
2020-05-06 13:15:00,279.85,279.85,278.0,278.1,312
2020-05-06 14:15:00,278.55,279.0,275.8,278.55,685
2020-05-06 15:15:00,276.0,278.55,275.0,275.85,0
2020-05-07 09:15:00,279.0,279.85,277.45,278.95,729
2020-05-07 10:15:00,279.0,279.0,277.05,278.0,654
2020-05-07 11:15:00,278.0,278.05,275.4,276.0,1421
2020-05-07 12:15:00,277.0,277.05,275.0,276.95,2672
2020-05-07 13:15:00,276.7,277.0,275.3,276.5,471
2020-05-07 14:15:00,276.0,276.5,275.0,276.0,1152
2020-05-07 15:15:00,276.0,277.0,275.0,275.3,1547
2020-05-08 09:15:00,279.3,282.4,278.9,279.4,0
2020-05-08 10:15:00,279.35,279.35,276.05,276.7,175
2020-05-08 11:15:00,276.7,278.95,276.05,277.1,310
2020-05-08 12:15:00,278.75,279.15,277.8,277.8,23
2020-05-08 13:15:00,277.8,279.55,277.25,278.15,176
2020-05-08 14:15:00,277.15,277.9,275.05,275.9,349
2020-05-08 15:15:00,277.0,285.85,277.0,283.55,4569
2020-05-11 09:15:00,284.9,285.9,278.85,280.75,0
2020-05-11 10:15:00,282.3,283.0,278.85,282.8,631
2020-05-11 11:15:00,281.85,295.0,280.85,295.0,4681
2020-05-11 12:15:00,293.95,295.9,288.6,290.7,6745
2020-05-11 13:15:00,288.75,291.9,288.6,290.0,1173
2020-05-11 14:15:00,290.5,294.9,290.0,291.15,2037
2020-05-11 15:15:00,293.6,294.9,289.25,292.2,1438
2020-05-12 09:15:00,287.65,294.15,272.35,274.15,0
2020-05-12 10:15:00,281.15,282.9,272.35,276.0,5047
2020-05-12 11:15:00,280.7,285.0,275.0,280.5,5808
2020-05-12 12:15:00,279.65,281.0,275.0,277.0,8351
2020-05-12 13:15:00,279.7,279.7,275.0,277.35,10294
2020-05-12 14:15:00,278.6,285.9,276.3,279.0,3249
2020-05-12 15:15:00,278.6,305.0,278.6,300.0,192152
2020-05-13 09:15:00,300.1,301.0,288.1,290.1,60490
2020-05-13 10:15:00,292.5,296.8,288.1,295.65,18421
2020-05-13 11:15:00,293.3,298.7,292.4,296.35,12193
2020-05-13 12:15:00,295.2,300.0,294.15,298.65,12286
2020-05-13 13:15:00,297.5,300.0,294.15,297.2,10358
2020-05-13 14:15:00,298.55,299.9,295.7,299.5,8036
2020-05-13 15:15:00,297.2,300.0,293.75,297.8,7122
2020-05-14 09:15:00,295.0,295.0,290.0,291.65,0
