,Open,High,Low,Close,Volume
2002-07-01 00:00:00,31.98,32.96,24.8,25.82,2323115
2002-08-01 00:00:00,25.81,25.99,24.0,24.26,470470
2002-09-01 00:00:00,24.75,24.76,20.8,21.59,664105
2002-10-01 00:00:00,21.8,22.02,20.14,20.19,307090
2002-11-01 00:00:00,20.2,20.84,19.5,20.02,436790
2002-12-01 00:00:00,20.2,20.5,18.38,19.22,826920
2003-01-01 00:00:00,19.3,19.94,17.6,17.69,906875
2003-02-01 00:00:00,18.0,18.2,16.02,17.64,545490
2003-03-01 00:00:00,17.82,17.96,15.62,15.71,418160
2003-04-01 00:00:00,15.6,18.15,15.23,15.68,509465
2003-05-01 00:00:00,15.8,17.8,15.2,16.54,2183710
2003-06-01 00:00:00,16.6,23.02,16.6,21.94,11333490
2003-07-01 00:00:00,22.58,24.8,20.2,21.38,6959790
2003-08-01 00:00:00,21.68,23.78,20.73,22.18,5205150
2003-09-01 00:00:00,23.4,27.94,22.4,24.68,11190030
2003-10-01 00:00:00,24.8,28.8,24.3,25.54,4918755
2003-11-01 00:00:00,25.8,30.98,25.4,30.6,4982435
2003-12-01 00:00:00,31.0,38.94,30.54,34.03,8359815
2004-01-01 00:00:00,34.76,36.2,25.11,27.95,3677150
2004-02-01 00:00:00,28.0,28.9,25.0,25.08,1301520
2004-03-01 00:00:00,25.2,27.08,21.64,23.3,1411965
2004-04-01 00:00:00,23.78,28.18,23.71,25.61,1358345
2004-05-01 00:00:00,25.02,27.2,20.0,22.14,1722340
2004-06-01 00:00:00,22.8,23.6,20.86,22.83,1239170
2004-07-01 00:00:00,23.09,26.78,21.0,24.88,2741380
2004-08-01 00:00:00,24.8,27.38,23.45,26.9,2022810
2004-09-01 00:00:00,27.0,29.36,26.23,28.0,4756995
2004-10-01 00:00:00,28.2,29.1,24.0,24.33,2585505
2004-11-01 00:00:00,24.4,29.2,24.25,28.88,3581040
2004-12-01 00:00:00,29.2,33.77,28.6,32.14,6147940
2005-01-01 00:00:00,32.94,35.2,29.23,33.22,3659020
2005-02-01 00:00:00,33.22,37.2,32.9,36.26,5683205
2005-03-01 00:00:00,35.98,40.5,32.65,35.48,3905365
2005-04-01 00:00:00,37.0,43.79,34.64,42.95,4301040
2005-05-01 00:00:00,44.0,49.98,40.4,44.86,4493710
2005-06-01 00:00:00,45.4,51.58,44.8,46.98,3194205
2005-07-01 00:00:00,45.8,55.39,45.1,52.28,2503760
2005-08-01 00:00:00,53.0,62.45,50.0,55.47,2761170
2005-09-01 00:00:00,56.72,60.9,52.6,54.07,3498520
2005-10-01 00:00:00,54.9,58.2,45.8,51.87,1556675
2005-11-01 00:00:00,52.0,56.0,49.01,55.39,1588260
2005-12-01 00:00:00,56.72,64.0,54.2,62.82,2805085
2006-01-01 00:00:00,62.98,64.19,59.4,61.58,1568675
2006-02-01 00:00:00,62.53,69.0,60.05,67.0,2421100
2006-03-01 00:00:00,67.4,71.0,66.2,69.15,1430330
2006-04-01 00:00:00,69.2,74.8,67.0,70.04,1488985
2006-05-01 00:00:00,74.0,85.9,60.2,67.74,3220300
2006-06-01 00:00:00,70.0,70.0,44.4,59.87,1235670
2006-07-01 00:00:00,60.2,63.8,49.0,58.47,824055
2006-08-01 00:00:00,58.98,74.96,56.8,69.67,1447365
2006-09-01 00:00:00,68.2,74.8,64.88,73.82,1572420
2006-10-01 00:00:00,88.0,94.0,73.1,92.13,3276950
2006-11-01 00:00:00,92.4,104.6,87.21,95.76,2043615
2006-12-01 00:00:00,98.82,103.0,90.4,100.45,1234030
2007-01-01 00:00:00,102.0,109.0,94.7,105.65,8295754
2007-02-01 00:00:00,106.8,108.05,80.2,93.5,1254448
2007-03-01 00:00:00,92.0,96.0,77.5,87.55,713777
2007-04-01 00:00:00,84.0,98.95,76.0,92.8,752340
2007-05-01 00:00:00,93.15,98.0,81.0,85.75,1488577
2007-06-01 00:00:00,85.8,95.8,82.0,90.3,1423217
2007-07-01 00:00:00,90.0,105.0,82.2,90.35,1430196
2007-08-01 00:00:00,90.35,90.35,71.3,76.9,1964444
2007-09-01 00:00:00,77.7,79.9,73.5,74.6,3944634
2007-10-01 00:00:00,74.95,89.85,58.6,83.2,8814264
2007-11-01 00:00:00,84.45,95.9,73.1,91.35,6742834
2007-12-01 00:00:00,91.9,136.65,91.9,121.25,10561734
2008-01-01 00:00:00,122.45,132.95,72.0,98.3,8776590
2008-02-01 00:00:00,100.0,116.3,79.5,87.95,2694527
2008-03-01 00:00:00,87.4,87.4,58.2,71.1,2176493
2008-04-01 00:00:00,71.1,78.0,66.6,68.4,1599386
2008-05-01 00:00:00,70.0,74.0,64.0,68.15,3031012
2008-06-01 00:00:00,66.1,69.3,53.25,53.4,1207555
2008-07-01 00:00:00,54.7,55.95,47.0,52.2,953912
2008-08-01 00:00:00,52.0,56.85,49.75,50.75,558171
2008-09-01 00:00:00,47.1,53.5,38.1,41.55,481830
