,Open,High,Low,Close,Volume
2020-04-16 09:15:00,4.5,4.8,4.05,4.8,2621
2020-04-17 09:15:00,5.0,5.0,5.0,5.0,3073
2020-04-20 09:15:00,5.25,5.25,5.25,5.25,2778
2020-04-21 09:15:00,5.5,5.5,5.5,5.5,4144
2020-04-22 09:15:00,5.75,5.75,5.75,5.75,1284
2020-04-23 09:15:00,5.75,6.0,5.5,6.0,14428
2020-04-24 09:15:00,6.25,6.3,5.75,5.95,8731
2020-04-27 09:15:00,6.2,6.2,5.7,5.95,742
2020-04-28 09:15:00,5.8,5.8,5.7,5.7,1600
2020-04-29 09:15:00,5.6,5.7,5.55,5.55,1400
2020-04-30 09:15:00,5.55,5.75,5.45,5.75,6772
2020-05-04 09:15:00,5.5,6.0,5.5,5.75,2777
2020-05-05 09:15:00,6.0,6.0,5.5,5.55,4595
2020-05-06 09:15:00,5.6,5.8,5.6,5.8,835
2020-05-07 09:15:00,5.8,5.8,5.55,5.8,531
2020-05-08 09:15:00,5.8,5.8,5.55,5.55,1742
2020-05-11 09:15:00,5.55,5.6,5.3,5.3,2613
2020-05-12 09:15:00,5.05,5.05,5.05,5.05,1595
2020-05-13 09:15:00,4.8,5.0,4.8,4.8,31705
2020-05-14 09:15:00,4.8,4.8,4.6,4.6,3883
2020-05-15 09:15:00,4.45,4.45,4.4,4.4,3818
2020-05-18 09:15:00,4.2,4.2,4.2,4.2,803
2020-05-19 09:15:00,4.0,4.05,4.0,4.0,2660
2020-05-20 09:15:00,3.8,3.85,3.8,3.8,5454
2020-05-21 09:15:00,3.65,3.95,3.65,3.65,29208
2020-05-22 09:15:00,3.65,3.65,3.5,3.5,3867
2020-05-26 09:15:00,3.5,3.5,3.35,3.5,10320
2020-05-27 09:15:00,3.65,3.65,3.45,3.65,16188
2020-05-28 09:15:00,3.7,3.8,3.7,3.8,1682
2020-05-29 09:15:00,3.95,3.95,3.95,3.95,2108
2020-06-01 09:15:00,3.95,4.1,3.9,4.1,3437
2020-06-02 09:15:00,4.3,4.3,4.3,4.3,2578
2020-06-03 09:15:00,4.5,4.5,4.5,4.5,1066
2020-06-04 09:15:00,4.7,4.7,4.7,4.7,860
2020-06-05 09:15:00,4.7,4.9,4.7,4.85,15290
2020-06-08 09:15:00,5.0,5.05,5.0,5.05,3313
2020-06-09 09:15:00,5.05,5.3,5.0,5.3,8461
2020-06-10 09:15:00,5.55,5.55,5.55,5.55,13867
2020-06-11 09:15:00,5.8,5.8,5.8,5.8,3188
2020-06-12 09:15:00,6.05,6.05,6.05,6.05,14679
2020-06-15 09:15:00,6.3,6.35,6.3,6.35,8645
2020-06-16 09:15:00,6.65,6.65,6.35,6.65,13218
2020-06-17 09:15:00,6.95,6.95,6.95,6.95,5910
2020-06-18 09:15:00,7.25,7.25,7.25,7.25,5542
2020-06-19 09:15:00,7.6,7.6,7.6,7.6,1265
2020-06-22 09:15:00,7.95,7.95,7.95,7.95,14831
2020-06-23 09:15:00,8.3,8.3,8.25,8.3,784312
2020-06-24 09:15:00,8.65,8.7,8.6,8.7,14922
2020-06-25 09:15:00,9.1,9.1,9.1,9.1,5658
2020-06-26 09:15:00,9.55,9.55,9.55,9.55,6177
2020-06-29 09:15:00,10.0,10.0,10.0,10.0,8601
2020-06-30 09:15:00,10.5,10.5,9.5,9.5,116129
2020-07-01 09:15:00,9.05,9.05,9.05,9.05,5730
2020-07-02 09:15:00,8.6,8.6,8.6,8.6,3490
2020-07-03 09:15:00,8.2,9.0,8.2,8.35,51255
2020-07-06 09:15:00,8.75,8.75,7.95,8.6,42151
2020-07-07 09:15:00,8.95,8.95,8.2,8.2,13025
2020-07-08 09:15:00,8.2,8.6,7.8,8.55,11351
2020-07-09 09:15:00,8.6,8.6,8.45,8.45,159
2020-07-10 15:28:58,8.05,8.5,8.05,8.1,2996
