,Open,High,Low,Close,Volume
2020-05-07 09:15:00,1345.0,1360.0,1336.55,1353.05,12717
2020-05-08 09:15:00,1383.0,1435.0,1343.0,1355.75,11921
2020-05-11 09:15:00,1360.05,1391.95,1328.15,1335.4,12092
2020-05-12 09:15:00,1338.05,1349.95,1290.0,1311.8,16418
2020-05-13 09:15:00,1360.0,1388.0,1328.95,1338.75,8760
2020-05-14 09:15:00,1339.0,1345.45,1280.05,1301.7,47653
2020-05-15 09:15:00,1324.0,1324.1,1280.0,1291.0,29686
2020-05-18 09:15:00,1297.0,1299.0,1265.3,1280.35,7012
2020-05-19 09:15:00,1283.15,1292.4,1251.55,1272.85,10947
2020-05-20 09:15:00,1272.9,1297.3,1268.9,1287.65,4753
2020-05-21 09:15:00,1294.1,1338.0,1275.45,1313.65,12534
2020-05-22 09:15:00,1319.0,1320.0,1278.1,1300.35,9037
2020-05-26 09:15:00,1300.35,1319.9,1285.7,1314.95,11183
2020-05-27 09:15:00,1320.0,1320.0,1296.0,1315.0,9812
2020-05-28 09:15:00,1306.0,1332.0,1306.0,1313.75,4461
2020-05-29 09:15:00,1318.75,1348.0,1317.95,1344.25,8660
2020-06-01 09:15:00,1368.1,1377.55,1348.0,1361.75,13833
2020-06-02 09:15:00,1361.75,1375.0,1350.05,1360.7,5523
2020-06-03 09:15:00,1362.0,1382.05,1329.65,1340.15,7986
2020-06-04 09:15:00,1365.0,1365.0,1300.0,1327.1,12163
2020-06-05 09:15:00,1333.75,1352.75,1300.25,1346.8,19642
2020-06-08 09:15:00,1340.0,1401.0,1340.0,1394.3,23761
2020-06-09 09:15:00,1413.5,1413.5,1341.8,1355.05,13724
2020-06-10 09:15:00,1361.85,1385.0,1342.0,1349.95,6974
2020-06-11 09:15:00,1350.2,1361.0,1311.1,1317.75,6957
2020-06-12 09:15:00,1296.55,1340.0,1286.1,1320.05,6326
2020-06-15 09:15:00,1326.65,1326.65,1310.0,1319.75,5612
2020-06-16 09:15:00,1330.95,1357.0,1328.25,1346.6,8645
2020-06-17 09:15:00,1330.0,1361.0,1330.0,1355.4,3869
2020-06-18 09:15:00,1360.5,1384.0,1355.05,1360.25,4744
2020-06-19 09:15:00,1367.05,1410.0,1332.8,1397.45,28613
2020-06-22 09:15:00,1397.45,1495.0,1397.45,1464.75,42087
2020-06-23 09:15:00,1487.3,1490.0,1458.8,1465.85,13049
2020-06-24 09:15:00,1488.0,1488.0,1411.0,1420.05,10579
2020-06-25 09:15:00,1421.1,1426.25,1390.0,1408.15,8510
2020-06-26 09:15:00,1444.0,1479.0,1420.0,1432.3,32751
2020-06-29 09:15:00,1469.5,1510.0,1427.65,1477.0,64690
2020-06-30 09:15:00,1490.0,1493.95,1453.35,1479.75,14469
2020-07-01 09:15:00,1480.1,1565.0,1480.1,1557.35,72541
2020-07-02 09:15:00,1579.9,1596.0,1530.0,1548.15,40624
2020-07-03 09:15:00,1569.0,1613.5,1565.0,1601.65,50632
2020-07-06 09:15:00,1611.65,1629.05,1590.0,1605.45,39733
2020-07-07 09:15:00,1613.5,1618.75,1570.0,1579.05,20160
2020-07-08 09:15:00,1608.95,1613.2,1586.0,1588.95,18370
2020-07-09 09:15:00,1597.95,1604.7,1572.0,1578.75,12023
2020-07-10 09:15:00,1579.95,1580.0,1555.5,1561.7,11120
2020-07-13 09:15:00,1600.0,1600.0,1573.55,1587.3,12307
2020-07-14 09:15:00,1610.0,1624.8,1560.0,1578.45,33544
2020-07-15 09:15:00,1586.35,1608.15,1560.2,1571.85,12042
2020-07-16 09:15:00,1565.0,1582.65,1540.0,1544.85,10598
2020-07-17 09:15:00,1545.0,1585.95,1544.85,1562.2,11064
2020-07-20 09:15:00,1555.0,1580.0,1542.05,1564.4,9605
2020-07-21 09:15:00,1572.25,1605.0,1565.2,1579.8,10989
2020-07-22 09:15:00,1595.0,1595.0,1537.0,1557.55,7659
2020-07-23 09:15:00,1568.0,1654.85,1557.05,1629.85,87918
2020-07-24 09:15:00,1629.85,1646.95,1596.5,1628.35,38205
2020-07-27 09:15:00,1643.9,1665.0,1603.0,1611.05,19734
2020-07-28 09:15:00,1635.0,1635.0,1610.0,1611.8,8572
2020-07-29 09:15:00,1629.9,1642.0,1611.85,1618.65,28601
2020-07-30 15:07:25,1629.0,1640.0,1601.0,1602.1,13180
