,Open,High,Low,Close,Volume
2020-06-24 09:15:00,1488.0,1488.0,1444.75,1461.0,2641
2020-06-24 10:45:00,1461.0,1461.05,1428.95,1440.95,2618
2020-06-24 12:15:00,1441.85,1460.3,1436.8,1441.0,1749
2020-06-24 13:45:00,1440.0,1440.0,1420.0,1425.2,1943
2020-06-24 15:15:00,1419.85,1420.05,1411.0,1420.05,1366
2020-06-25 09:15:00,1421.1,1426.25,1390.0,1413.95,2858
2020-06-25 10:45:00,1409.2,1414.0,1404.0,1408.3,782
2020-06-25 12:15:00,1404.3,1416.0,1391.25,1413.5,2518
2020-06-25 13:45:00,1414.95,1415.0,1400.0,1408.0,1145
2020-06-25 15:15:00,1409.5,1409.5,1405.0,1408.15,472
2020-06-26 09:15:00,1444.0,1479.0,1440.0,1453.8,10120
2020-06-26 10:45:00,1452.7,1457.7,1446.0,1451.0,2305
2020-06-26 12:15:00,1453.1,1470.0,1447.0,1450.35,7170
2020-06-26 13:45:00,1450.45,1457.95,1421.65,1429.0,8318
2020-06-26 15:15:00,1429.0,1440.0,1426.05,1432.3,1769
2020-06-29 09:15:00,1469.5,1490.0,1429.95,1482.55,18096
2020-06-29 10:45:00,1483.2,1510.0,1473.0,1485.15,31671
2020-06-29 12:15:00,1485.15,1489.45,1476.0,1476.45,4434
2020-06-29 13:45:00,1476.45,1487.65,1476.2,1482.95,5697
2020-06-29 15:15:00,1482.95,1484.9,1460.0,1477.0,3554
2020-06-30 09:15:00,1490.0,1493.95,1462.0,1473.4,2420
2020-06-30 10:45:00,1473.35,1492.45,1473.35,1480.05,3457
2020-06-30 12:15:00,1481.0,1482.65,1472.35,1480.0,1077
2020-06-30 13:45:00,1480.05,1484.9,1478.05,1480.0,5140
2020-06-30 15:15:00,1480.0,1481.95,1475.0,1479.75,934
2020-07-01 09:15:00,1490.0,1495.0,1480.1,1484.9,4548
2020-07-01 10:45:00,1483.2,1565.0,1482.0,1556.0,27532
2020-07-01 12:15:00,1556.0,1562.0,1545.0,1558.0,14362
2020-07-01 13:45:00,1557.95,1564.5,1545.0,1555.3,19924
2020-07-01 15:15:00,1556.8,1561.0,1555.05,1557.35,4062
2020-07-02 09:15:00,1570.0,1596.0,1548.65,1567.9,22975
2020-07-02 10:45:00,1567.0,1569.0,1550.0,1554.0,5127
2020-07-02 12:15:00,1554.0,1557.0,1533.7,1546.55,4781
2020-07-02 13:45:00,1545.25,1559.15,1540.0,1551.25,4992
2020-07-02 15:15:00,1549.0,1559.0,1531.0,1548.15,2869
2020-07-03 09:15:00,1565.05,1599.0,1565.0,1586.45,19555
2020-07-03 10:45:00,1586.45,1598.85,1586.1,1596.05,5654
2020-07-03 12:15:00,1594.75,1595.0,1572.8,1574.05,8758
2020-07-03 13:45:00,1577.0,1599.0,1575.0,1596.0,6164
2020-07-03 15:15:00,1599.0,1613.5,1592.3,1601.65,7509
2020-07-06 09:15:00,1611.65,1629.05,1590.0,1612.7,20016
2020-07-06 10:45:00,1612.35,1619.95,1603.0,1603.8,5851
2020-07-06 12:15:00,1603.85,1610.6,1603.3,1605.0,3112
