,Open,High,Low,Close,Volume
2020-07-30 09:15:00,1629.0,1629.0,1628.95,1628.95,0.0
2020-07-30 09:17:00,1622.05,1624.95,1620.0,1624.95,0.0
2020-07-30 09:18:00,1624.9,1624.9,1624.9,1624.9,4.0
2020-07-30 09:19:00,1624.45,1624.45,1620.1,1620.15,9.0
2020-07-30 09:20:00,1623.55,1626.45,1623.55,1626.45,103.0
2020-07-30 09:22:00,1627.0,1627.0,1627.0,1627.0,0.0
2020-07-30 09:23:00,1622.35,1626.0,1622.35,1626.0,175.0
2020-07-30 09:24:00,1626.45,1626.5,1626.45,1626.5,0.0
2020-07-30 09:25:00,1627.0,1627.1,1626.45,1626.45,392.0
2020-07-30 09:26:00,1622.35,1626.5,1621.1,1626.5,0.0
2020-07-30 09:27:00,1626.5,1627.0,1626.5,1627.0,3.0
2020-07-30 09:28:00,1629.6,1631.0,1629.6,1631.0,186.0
2020-07-30 09:29:00,1633.4,1639.0,1633.4,1638.0,605.0
2020-07-30 09:30:00,1638.0,1640.0,1632.05,1639.15,607.0
2020-07-30 09:31:00,1639.0,1639.0,1631.3,1632.0,71.0
2020-07-30 09:32:00,1630.45,1633.95,1630.0,1630.0,46.0
2020-07-30 09:33:00,1632.0,1632.0,1632.0,1632.0,0.0
2020-07-30 09:34:00,1630.0,1630.0,1627.6,1627.8,234.0
2020-07-30 09:35:00,1625.0,1626.5,1622.05,1622.05,238.0
2020-07-30 09:36:00,1623.95,1623.95,1623.95,1623.95,83.0
2020-07-30 09:37:00,1624.0,1624.0,1623.95,1623.95,0.0
2020-07-30 09:38:00,1623.95,1623.95,1623.95,1623.95,14.0
2020-07-30 09:40:00,1623.95,1623.95,1623.95,1623.95,10.0
2020-07-30 09:45:00,1623.95,1626.95,1623.95,1626.95,6.0
2020-07-30 09:46:00,1626.9,1626.9,1626.9,1626.9,0.0
2020-07-30 09:49:00,1624.0,1624.0,1624.0,1624.0,7.0
2020-07-30 09:50:00,1626.95,1626.95,1626.95,1626.95,2.0
2020-07-30 09:52:00,1626.9,1628.35,1626.9,1628.35,45.0
2020-07-30 09:54:00,1627.8,1627.8,1627.8,1627.8,0.0
2020-07-30 09:55:00,1624.0,1624.0,1624.0,1624.0,7.0
2020-07-30 09:58:00,1624.0,1624.0,1623.05,1623.05,24.0
2020-07-30 09:59:00,1623.0,1623.0,1622.35,1623.0,63.0
2020-07-30 10:00:00,1623.0,1623.0,1622.1,1622.1,249.0
2020-07-30 10:02:00,1624.0,1624.0,1622.3,1622.3,1.0
2020-07-30 10:03:00,1622.3,1627.45,1622.3,1627.45,82.0
2020-07-30 10:04:00,1627.5,1627.5,1627.35,1627.35,0.0
2020-07-30 10:05:00,1624.0,1624.0,1624.0,1624.0,1.0
2020-07-30 10:06:00,1627.25,1627.25,1627.25,1627.25,4.0
2020-07-30 10:07:00,1627.2,1627.3,1627.2,1627.3,32.0
2020-07-30 10:08:00,1627.3,1627.3,1627.3,1627.3,5.0
2020-07-30 10:09:00,1628.35,1628.4,1624.15,1628.35,52.0
2020-07-30 10:10:00,1628.35,1628.35,1628.35,1628.35,19.0
2020-07-30 10:11:00,1628.35,1628.35,1624.55,1624.55,10.0
2020-07-30 10:12:00,1627.95,1627.95,1627.95,1627.95,1.0
2020-07-30 10:13:00,1627.95,1627.95,1627.95,1627.95,1.0
2020-07-30 10:14:00,1627.95,1627.95,1625.0,1625.0,51.0
2020-07-30 10:15:00,1625.0,1625.0,1625.0,1625.0,25.0
2020-07-30 10:16:00,1624.5,1624.5,1624.5,1624.5,7.0
2020-07-30 10:22:00,1624.5,1627.95,1624.5,1627.95,9.0
2020-07-30 10:23:00,1629.95,1629.95,1629.95,1629.95,99.0
2020-07-30 10:24:00,1629.85,1629.85,1629.85,1629.85,2.0
2020-07-30 10:26:00,1629.85,1638.9,1629.8,1636.0,1355.0
2020-07-30 10:29:00,1635.8,1636.05,1632.05,1632.05,365.0
2020-07-30 10:30:00,1638.95,1638.95,1638.95,1638.95,0.0
2020-07-30 10:31:00,1635.05,1639.9,1635.05,1639.9,80.0
2020-07-30 10:32:00,1635.0,1635.0,1635.0,1635.0,1.0
2020-07-30 10:33:00,1637.95,1637.95,1637.95,1637.95,3.0
2020-07-30 10:34:00,1633.1,1633.1,1633.1,1633.1,10.0
2020-07-30 10:35:00,1633.3,1634.95,1633.3,1634.95,1.0
2020-07-30 10:36:00,1633.25,1633.3,1633.25,1633.3,5.0
2020-07-30 10:39:00,1630.45,1630.45,1630.45,1630.45,199.0
2020-07-30 10:40:00,1634.75,1635.45,1631.05,1631.05,0.0
2020-07-30 10:42:00,1631.1,1631.1,1631.1,1631.1,73.0
2020-07-30 10:43:00,1631.35,1631.35,1631.35,1631.35,91.0
2020-07-30 10:44:00,1631.6,1631.6,1631.35,1631.35,7.0
2020-07-30 10:47:00,1637.0,1637.0,1637.0,1637.0,6.0
2020-07-30 10:48:00,1633.15,1633.15,1633.15,1633.15,1.0
2020-07-30 10:50:00,1631.8,1631.8,1631.8,1631.8,1.0
2020-07-30 10:51:00,1634.0,1634.0,1634.0,1634.0,0.0
2020-07-30 10:53:00,1634.0,1634.0,1633.05,1633.05,124.0
2020-07-30 10:54:00,1634.0,1634.0,1634.0,1634.0,2.0
2020-07-30 10:56:00,1631.3,1631.3,1631.05,1631.05,24.0
2020-07-30 10:57:00,1634.0,1634.0,1634.0,1634.0,16.0
2020-07-30 10:59:00,1634.0,1634.0,1634.0,1634.0,0.0
2020-07-30 11:01:00,1633.95,1633.95,1633.95,1633.95,2.0
2020-07-30 11:02:00,1633.95,1633.95,1630.45,1630.45,74.0
2020-07-30 11:03:00,1633.75,1633.75,1633.75,1633.75,0.0
2020-07-30 11:04:00,1630.5,1630.5,1630.45,1630.45,88.0
2020-07-30 11:05:00,1633.35,1633.35,1633.35,1633.35,0.0
2020-07-30 11:06:00,1630.45,1630.45,1630.0,1630.0,147.0
