,Open,High,Low,Close,Volume
2020-05-07 09:15:00,23.0,24.35,22.4,23.55,4844
2020-05-08 09:15:00,23.6,25.9,22.2,22.9,15489
2020-05-11 09:15:00,22.5,23.5,22.5,23.0,6447
2020-05-12 09:15:00,22.85,23.5,22.6,23.45,2222
2020-05-13 09:15:00,24.65,24.65,23.45,23.8,2556
2020-05-14 09:15:00,23.1,24.05,22.9,23.9,3004
2020-05-15 09:15:00,24.95,24.95,23.8,24.5,4512
2020-05-18 09:15:00,23.5,24.45,23.5,23.95,2341
2020-05-19 09:15:00,23.95,24.0,23.2,23.6,8346
2020-05-20 09:15:00,23.95,24.5,23.55,24.2,2145
2020-05-21 09:15:00,24.0,24.5,23.65,23.9,2883
2020-05-22 09:15:00,24.45,24.8,23.6,24.25,17327
2020-05-26 09:15:00,23.55,24.5,23.15,24.1,13293
2020-05-27 09:15:00,23.35,25.9,23.1,25.3,6422
2020-05-28 09:15:00,25.45,26.85,25.0,25.7,8360
2020-05-29 09:15:00,26.15,27.5,25.65,26.6,10489
2020-06-01 09:15:00,29.4,29.4,26.05,27.45,3688
2020-06-02 09:15:00,26.35,28.0,26.3,27.0,6212
2020-06-03 09:15:00,27.05,28.4,26.0,27.05,14006
2020-06-04 09:15:00,26.05,28.4,25.65,27.35,8118
2020-06-05 09:15:00,26.7,28.25,26.6,28.0,9667
2020-06-08 09:15:00,29.3,29.5,27.8,28.25,14432
2020-06-09 09:15:00,27.55,29.35,27.5,28.45,12408
2020-06-10 09:15:00,28.2,30.9,27.25,30.15,63905
2020-06-11 09:15:00,30.15,32.15,28.9,28.9,10899
2020-06-12 09:15:00,28.05,29.9,26.15,29.4,10125
2020-06-15 09:15:00,29.6,29.65,28.5,28.75,4854
2020-06-16 09:15:00,29.05,30.0,29.0,29.05,8382
2020-06-17 09:15:00,28.05,29.5,27.25,29.15,4685
2020-06-18 09:15:00,29.7,30.85,28.3,30.15,61744
2020-06-19 09:15:00,30.15,31.5,29.15,29.6,24226
2020-06-22 09:15:00,30.0,30.45,29.25,29.6,6724
2020-06-23 09:15:00,29.3,34.45,29.1,34.0,121652
2020-06-24 09:15:00,35.9,40.8,35.55,40.4,636557
2020-06-25 09:15:00,40.0,40.0,36.0,36.55,164833
2020-06-26 09:15:00,37.9,40.0,34.5,34.9,60620
2020-06-29 09:15:00,35.3,37.0,31.8,33.0,40593
2020-06-30 09:15:00,34.5,35.2,30.8,33.65,48699
2020-07-01 09:15:00,34.5,34.5,30.55,31.4,58376
2020-07-02 09:15:00,32.75,32.75,31.1,31.8,14015
2020-07-03 09:15:00,32.5,32.55,30.6,31.1,13102
2020-07-06 09:15:00,31.75,31.75,30.1,30.65,15028
2020-07-07 09:15:00,30.25,31.0,30.05,30.5,17135
2020-07-08 09:15:00,30.65,33.5,30.25,31.4,28396
2020-07-09 09:15:00,30.5,34.0,30.5,32.3,28629
2020-07-10 09:15:00,32.0,33.3,30.6,31.65,18764
2020-07-13 09:15:00,33.95,35.4,33.35,34.2,161026
2020-07-14 09:15:00,34.2,34.2,30.7,32.2,42828
2020-07-15 09:15:00,32.95,34.0,31.4,31.95,12430
2020-07-16 09:15:00,31.95,32.9,30.0,30.95,38077
2020-07-17 09:15:00,30.95,32.5,30.85,31.65,20425
2020-07-20 09:15:00,32.2,32.4,29.7,31.55,22947
2020-07-21 09:15:00,32.1,32.3,31.05,31.25,14214
2020-07-22 09:15:00,30.9,32.9,30.9,31.3,12696
2020-07-23 09:15:00,31.3,31.9,31.0,31.4,10288
2020-07-24 09:15:00,31.45,31.85,30.5,30.95,7732
2020-07-27 09:15:00,30.65,30.95,29.9,30.05,12156
2020-07-28 09:15:00,30.05,30.45,29.0,29.95,16876
2020-07-29 09:15:00,30.95,32.0,30.0,30.75,23979
2020-07-30 14:18:31,31.05,31.45,29.5,30.35,7975
