,Open,High,Low,Close,Volume
2020-07-24 09:40:00,31.45,31.45,31.05,31.05,25.0
2020-07-24 09:50:00,31.05,31.05,31.05,31.05,150.0
2020-07-24 10:05:00,31.0,31.0,30.65,30.95,212.0
2020-07-24 10:20:00,30.95,30.95,30.95,30.95,96.0
2020-07-24 10:25:00,30.95,30.95,30.95,30.95,14.0
2020-07-24 10:35:00,31.85,31.85,31.85,31.85,443.0
2020-07-24 10:40:00,31.45,31.45,30.95,30.95,315.0
2020-07-24 11:05:00,30.95,30.95,30.95,30.95,14.0
2020-07-24 11:40:00,30.75,30.75,30.75,30.75,1092.0
2020-07-24 11:50:00,30.75,30.75,30.75,30.75,19.0
2020-07-24 11:55:00,30.7,30.7,30.7,30.7,50.0
2020-07-24 12:05:00,30.5,30.5,30.5,30.5,1644.0
2020-07-24 12:25:00,30.6,30.6,30.6,30.6,300.0
2020-07-24 12:30:00,30.6,30.6,30.6,30.6,0.0
2020-07-24 12:35:00,30.6,30.6,30.6,30.6,2.0
2020-07-24 12:50:00,30.9,30.9,30.9,30.9,350.0
2020-07-24 13:00:00,30.55,30.55,30.55,30.55,850.0
2020-07-24 13:20:00,30.55,30.55,30.55,30.55,25.0
2020-07-24 13:50:00,30.6,30.85,30.55,30.55,280.0
2020-07-24 14:20:00,30.8,30.8,30.8,30.8,10.0
2020-07-24 14:35:00,30.8,30.8,30.8,30.8,542.0
2020-07-24 14:40:00,30.8,30.8,30.8,30.8,143.0
2020-07-24 14:45:00,31.0,31.0,30.6,30.8,417.0
2020-07-24 15:05:00,30.8,30.8,30.8,30.8,10.0
2020-07-24 15:10:00,30.8,30.8,30.8,30.8,90.0
2020-07-24 15:15:00,30.95,30.95,30.95,30.95,0.0
2020-07-24 15:25:00,31.0,31.3,30.95,30.95,770.0
2020-07-27 09:20:00,30.95,30.95,30.9,30.9,8.0
2020-07-27 09:25:00,29.9,29.9,29.9,29.9,2085.0
2020-07-27 09:30:00,30.8,30.8,30.8,30.8,0.0
2020-07-27 09:35:00,30.8,30.8,30.8,30.8,64.0
2020-07-27 09:40:00,29.9,29.9,29.9,29.9,200.0
2020-07-27 10:00:00,29.95,30.0,29.95,30.0,236.0
2020-07-27 10:05:00,30.0,30.0,29.9,29.9,302.0
2020-07-27 10:10:00,29.9,30.0,29.9,30.0,136.0
2020-07-27 10:15:00,30.3,30.3,30.3,30.3,87.0
2020-07-27 10:30:00,30.25,30.25,30.25,30.25,192.0
2020-07-27 10:35:00,30.3,30.3,30.3,30.3,0.0
2020-07-27 10:55:00,29.9,30.4,29.9,29.95,678.0
2020-07-27 11:00:00,29.9,29.9,29.9,29.9,486.0
2020-07-27 11:30:00,30.35,30.35,30.35,30.35,50.0
2020-07-27 12:30:00,30.35,30.35,30.35,30.35,332.0
2020-07-27 12:40:00,30.3,30.3,30.3,30.3,2.0
2020-07-27 12:55:00,30.3,30.3,30.3,30.3,1444.0
2020-07-27 13:00:00,30.0,30.0,30.0,30.0,0.0
2020-07-27 13:05:00,30.0,30.0,30.0,30.0,0.0
2020-07-27 13:30:00,30.45,30.45,30.45,30.45,425.0
2020-07-27 13:35:00,30.35,30.35,30.35,30.35,104.0
2020-07-27 13:40:00,30.35,30.35,30.3,30.3,60.0
2020-07-27 13:45:00,30.3,30.3,30.3,30.3,200.0
2020-07-27 13:50:00,30.3,30.3,30.3,30.3,25.0
2020-07-27 14:15:00,30.05,30.05,30.05,30.05,164.0
2020-07-27 14:20:00,30.0,30.0,29.95,29.95,2850.0
2020-07-27 14:25:00,29.95,29.95,29.95,29.95,2.0
2020-07-27 14:30:00,30.0,30.0,30.0,30.0,9.0
2020-07-27 14:40:00,29.95,29.95,29.95,29.95,73.0
2020-07-27 14:55:00,30.0,30.0,29.95,29.95,35.0
2020-07-27 15:15:00,29.95,30.1,29.95,30.1,937.0
2020-07-27 15:20:00,30.1,30.1,30.1,30.1,546.0
2020-07-27 15:25:00,30.35,30.35,30.05,30.1,114.0
2020-07-28 09:20:00,30.05,30.05,30.05,30.05,98.0
2020-07-28 09:25:00,30.05,30.45,30.05,30.45,938.0
2020-07-28 09:35:00,29.4,29.4,29.4,29.4,858.0
2020-07-28 09:40:00,30.4,30.4,30.3,30.3,157.0
2020-07-28 09:45:00,29.4,29.4,29.4,29.4,381.0
2020-07-28 10:00:00,29.9,29.9,29.5,29.5,152.0
2020-07-28 10:10:00,30.0,30.0,30.0,30.0,400.0
2020-07-28 10:20:00,30.0,30.0,30.0,30.0,30.0
2020-07-28 10:30:00,29.9,29.9,29.9,29.9,15.0
2020-07-28 10:45:00,29.6,29.6,29.6,29.6,159.0
2020-07-28 10:50:00,29.4,29.5,29.4,29.5,889.0
2020-07-28 10:55:00,29.5,29.5,29.5,29.5,80.0
2020-07-28 11:15:00,29.95,29.95,29.95,29.95,97.0
2020-07-28 11:20:00,29.45,29.8,29.45,29.8,94.0
2020-07-28 11:25:00,29.8,29.8,29.8,29.8,55.0
2020-07-28 11:30:00,29.0,29.05,29.0,29.05,3018.0
2020-07-28 11:35:00,29.5,29.5,29.5,29.5,49.0
2020-07-28 11:40:00,29.55,29.55,29.55,29.55,743.0
2020-07-28 11:50:00,29.6,29.85,29.6,29.85,0.0
2020-07-28 12:05:00,29.6,29.85,29.6,29.85,4.0
2020-07-28 12:15:00,29.85,29.85,29.6,29.6,209.0
2020-07-28 12:55:00,30.0,30.0,30.0,30.0,264.0
2020-07-28 13:00:00,29.65,29.65,29.65,29.65,0.0
2020-07-28 13:20:00,29.65,29.65,29.65,29.65,1.0
2020-07-28 13:30:00,29.65,29.65,29.55,29.55,1040.0
2020-07-28 13:45:00,29.55,29.55,29.55,29.55,1.0
2020-07-28 13:55:00,29.55,29.55,29.5,29.5,235.0
2020-07-28 14:05:00,29.2,29.2,29.2,29.2,0.0
2020-07-28 14:25:00,29.75,29.8,29.45,29.7,1147.0
2020-07-28 14:40:00,29.65,29.7,29.6,29.7,853.0
2020-07-28 14:45:00,29.65,29.65,29.65,29.65,0.0
2020-07-28 14:50:00,29.6,29.6,29.6,29.6,750.0
2020-07-28 14:55:00,29.6,30.15,29.6,30.15,207.0
2020-07-28 15:05:00,29.95,29.95,29.95,29.95,144.0
2020-07-28 15:10:00,29.65,30.0,29.65,30.0,3045.0
2020-07-28 15:15:00,30.15,30.15,30.15,30.15,67.0
2020-07-28 15:20:00,30.05,30.05,30.0,30.0,654.0
2020-07-28 15:25:00,29.7,30.05,29.6,29.95,180.0
