,Open,High,Low,Close,Volume
2010-08-01 00:00:00,32.45,35.3,26.1,33.25,896505
2010-09-01 00:00:00,33.8,45.0,30.8,32.85,8737382
2010-10-01 00:00:00,34.0,35.0,24.25,27.95,2352603
2010-11-01 00:00:00,28.1,30.8,22.05,23.05,522046
2010-12-01 00:00:00,24.15,26.4,20.0,22.65,575925
2011-01-01 00:00:00,23.6,25.15,20.5,20.8,1182208
2011-02-01 00:00:00,20.2,21.6,16.6,17.6,151233
2011-03-01 00:00:00,17.05,21.0,16.15,18.15,612322
2011-04-01 00:00:00,17.7,21.9,17.25,18.95,1239522
2011-05-01 00:00:00,19.5,19.5,16.5,17.0,282937
2011-06-01 00:00:00,17.9,18.1,15.25,15.85,248854
2011-07-01 00:00:00,16.7,17.65,15.25,16.3,177666
2011-08-01 00:00:00,16.2,19.0,12.55,16.75,264340
2011-09-01 00:00:00,16.0,17.8,14.1,17.2,137886
2011-10-01 00:00:00,16.8,30.55,16.8,30.45,2696563
2011-11-01 00:00:00,30.45,37.1,19.15,21.15,2476346
2011-12-01 00:00:00,20.1,23.1,16.4,18.4,1101813
2012-01-01 00:00:00,17.65,22.1,17.65,19.75,1153598
2012-02-01 00:00:00,19.6,20.4,17.4,18.1,803952
2012-03-01 00:00:00,17.9,19.5,16.2,18.0,917698
2012-04-01 00:00:00,18.2,20.45,17.5,18.5,264818
2012-05-01 00:00:00,18.5,20.0,15.85,17.45,205204
2012-06-01 00:00:00,17.75,26.4,16.5,24.35,467577
2012-07-01 00:00:00,24.4,24.75,19.55,22.6,787000
2012-08-01 00:00:00,22.95,25.0,21.55,24.0,1012577
2012-09-01 00:00:00,24.45,29.0,23.05,27.2,1412453
2012-10-01 00:00:00,26.75,32.8,26.75,28.15,2033352
2012-11-01 00:00:00,26.55,30.0,25.0,28.5,1653613
2012-12-01 00:00:00,27.65,30.3,26.2,28.45,1661359
2013-01-01 00:00:00,28.2,28.9,24.45,27.1,2940852
2013-02-01 00:00:00,27.4,30.95,20.15,24.35,4103849
2013-03-01 00:00:00,24.45,25.5,15.55,17.0,2800933
2013-04-01 00:00:00,18.5,19.1,15.3,17.15,888062
2013-05-01 00:00:00,17.15,19.9,15.3,18.15,345516
2013-06-01 00:00:00,17.9,19.85,15.2,18.7,744350
2013-07-01 00:00:00,18.55,20.9,16.55,17.0,167264
2013-08-01 00:00:00,16.9,20.7,16.0,18.0,351694
2013-09-01 00:00:00,18.0,20.4,17.15,19.5,189069
2013-10-01 00:00:00,19.0,27.3,18.75,22.65,486455
2013-11-01 00:00:00,22.5,23.8,16.4,18.25,159469
2013-12-01 00:00:00,18.0,21.9,17.55,18.35,161979
2014-01-01 00:00:00,19.8,21.2,17.15,17.65,104185
2014-02-01 00:00:00,17.65,20.4,17.5,17.9,106865
2014-03-01 00:00:00,18.0,19.0,15.45,18.8,191088
2014-04-01 00:00:00,18.6,23.75,17.55,19.25,246771
2014-05-01 00:00:00,19.25,26.4,16.1,21.65,385749
2014-06-01 00:00:00,22.45,24.8,20.7,22.55,509643
2014-07-01 00:00:00,23.85,24.25,20.5,22.15,778048
2014-08-01 00:00:00,21.7,27.0,20.4,24.1,2989339
2014-09-01 00:00:00,24.05,24.9,16.85,18.0,1183452
2014-10-01 00:00:00,17.85,23.4,15.1,22.0,420435
2014-11-01 00:00:00,21.8,30.1,21.8,25.65,1901317
2014-12-01 00:00:00,25.2,26.0,21.05,23.8,295347
2015-01-01 00:00:00,24.05,28.4,21.7,26.6,699391
2015-02-01 00:00:00,28.0,28.0,24.0,25.55,262039
2015-03-01 00:00:00,25.5,27.6,22.1,23.8,281868
2015-04-01 00:00:00,23.75,25.4,22.85,24.25,55961
2015-05-01 00:00:00,24.25,24.9,21.2,22.8,89850
2015-06-01 00:00:00,23.0,25.6,21.7,25.0,177267
2015-07-01 00:00:00,25.0,25.0,22.15,23.7,128171
2015-08-01 00:00:00,23.3,26.5,22.1,24.25,201213
2015-09-01 00:00:00,24.0,24.9,22.6,24.0,180479
2015-10-01 00:00:00,23.5,26.7,22.4,23.75,125357
2015-11-01 00:00:00,24.5,26.65,23.0,24.9,80336
2015-12-01 00:00:00,24.8,39.25,24.5,35.45,2159288
2016-01-01 00:00:00,36.15,38.1,25.35,27.8,441571
2016-02-01 00:00:00,27.65,29.1,23.4,26.65,163553
2016-03-01 00:00:00,26.85,29.9,25.4,27.0,684232
2016-04-01 00:00:00,26.0,32.5,25.7,29.7,147267
2016-05-01 00:00:00,29.75,35.8,27.7,33.95,249076
2016-06-01 00:00:00,34.5,39.0,31.3,35.85,383233
2016-07-01 00:00:00,35.65,43.7,35.5,39.0,432628
2016-08-01 00:00:00,39.9,48.25,36.0,43.5,1485975
2016-09-01 00:00:00,43.05,51.4,40.1,43.15,1421714
2016-10-01 00:00:00,47.8,54.0,42.1,47.35,1171765
2016-11-01 00:00:00,48.4,50.65,32.25,40.25,928979
2016-12-01 00:00:00,40.5,41.8,36.4,39.4,265954
2017-01-01 00:00:00,39.5,51.4,39.2,44.2,835791
2017-02-01 00:00:00,44.9,47.75,41.25,42.95,347103
2017-03-01 00:00:00,43.25,44.7,38.1,42.1,1151595
2017-04-01 00:00:00,43.4,49.0,42.4,45.1,1682624
2017-05-01 00:00:00,45.1,45.95,35.55,40.0,771626
2017-06-01 00:00:00,41.65,41.65,39.0,40.5,576591
2017-07-01 00:00:00,41.4,44.6,34.4,39.2,729908
2017-08-01 00:00:00,38.9,40.9,38.3,39.0,67379
2017-09-01 00:00:00,39.0,39.0,37.05,37.05,15
2017-10-01 00:00:00,37.05,37.05,37.05,37.05,0
2017-11-01 00:00:00,37.05,37.05,35.2,35.2,4
2017-12-01 00:00:00,35.2,35.2,33.45,33.45,21
