,Open,High,Low,Close,Volume
2020-06-30 14:15:00,32.7,33.45,32.7,33.3,3450.0
2020-06-30 14:45:00,33.25,33.3,32.85,33.3,2542.0
2020-06-30 15:15:00,32.9,34.15,32.9,33.65,8934.0
2020-07-01 09:15:00,34.5,34.5,32.3,32.35,4245.0
2020-07-01 09:45:00,32.4,32.4,30.55,30.95,47186.0
2020-07-01 10:15:00,30.95,31.4,30.8,31.4,9388.0
2020-07-01 10:45:00,31.35,31.35,31.05,31.35,266.0
2020-07-01 11:15:00,31.35,31.8,31.25,31.25,4848.0
2020-07-01 11:45:00,32.9,34.0,31.55,32.9,23854.0
2020-07-01 12:15:00,32.1,32.55,32.1,32.25,7246.0
2020-07-01 12:45:00,32.25,32.8,32.0,32.0,3328.0
2020-07-01 13:15:00,32.0,32.4,32.0,32.1,614.0
2020-07-01 13:45:00,32.1,32.1,32.0,32.0,2896.0
2020-07-01 14:15:00,32.0,32.3,31.5,32.3,4328.0
2020-07-01 14:45:00,31.6,31.9,31.5,31.5,2562.0
2020-07-01 15:15:00,31.1,31.75,31.1,31.4,5814.0
2020-07-02 09:15:00,32.75,32.75,31.15,32.45,9212.0
2020-07-02 09:45:00,32.45,32.75,31.8,32.0,610.0
2020-07-02 10:15:00,32.0,32.4,31.8,31.8,1920.0
2020-07-02 10:45:00,31.8,31.8,31.5,31.5,734.0
2020-07-02 11:15:00,31.4,31.4,31.1,31.1,5502.0
2020-07-02 11:45:00,31.75,31.75,31.75,31.75,0.0
2020-07-02 12:15:00,31.35,32.0,31.25,31.5,2734.0
2020-07-02 12:45:00,31.9,31.9,31.8,31.8,16.0
2020-07-02 13:15:00,31.8,31.8,31.35,31.8,482.0
2020-07-02 13:45:00,31.8,31.8,31.4,31.8,872.0
2020-07-02 14:15:00,31.35,31.6,31.3,31.6,1528.0
2020-07-02 14:45:00,31.7,31.75,31.25,31.25,1280.0
2020-07-02 15:15:00,31.25,32.1,31.25,31.8,5554.0
2020-07-03 09:15:00,32.5,32.55,31.4,31.4,3663.0
2020-07-03 09:45:00,32.2,32.3,31.55,32.25,688.0
2020-07-03 10:15:00,32.25,32.25,31.7,32.15,198.0
2020-07-03 11:15:00,32.1,32.1,31.65,31.65,316.0
2020-07-03 11:45:00,31.6,31.6,31.5,31.5,769.0
2020-07-03 12:15:00,31.5,31.75,31.5,31.75,291.0
2020-07-03 12:45:00,31.75,31.75,31.35,31.4,934.0
2020-07-03 13:15:00,31.7,31.75,31.35,31.35,560.0
2020-07-03 13:45:00,31.4,31.75,31.4,31.7,99.0
2020-07-03 14:15:00,31.75,31.75,31.35,31.35,2388.0
2020-07-03 14:45:00,31.4,31.4,30.6,31.35,3214.0
2020-07-03 15:15:00,30.8,31.35,30.8,31.1,262.0
2020-07-06 09:15:00,31.75,31.75,30.6,31.6,2949.0
2020-07-06 09:45:00,30.75,31.45,30.7,31.05,3204.0
2020-07-06 10:15:00,31.0,31.05,30.65,31.0,1160.0
2020-07-06 10:45:00,31.05,31.1,31.0,31.0,2876.0
2020-07-06 11:15:00,31.05,31.35,31.05,31.1,814.0
2020-07-06 11:45:00,31.2,31.6,30.5,30.5,5814.0
2020-07-06 12:15:00,31.55,31.55,30.6,30.95,1026.0
2020-07-06 12:45:00,31.0,31.35,30.6,30.7,2870.0
2020-07-06 13:15:00,30.9,30.9,30.6,30.6,280.0
2020-07-06 13:45:00,31.0,31.0,30.6,31.0,1306.0
2020-07-06 14:15:00,30.65,30.65,30.6,30.6,694.0
2020-07-06 14:45:00,30.5,30.9,30.1,30.55,4298.0
2020-07-06 15:15:00,30.75,30.9,30.65,30.65,2984.0
2020-07-07 09:15:00,30.25,30.65,30.05,30.05,7376.0
2020-07-07 09:45:00,30.1,30.6,30.05,30.25,1434.0
2020-07-07 10:15:00,30.15,30.85,30.15,30.85,2438.0
2020-07-07 10:45:00,30.75,30.75,30.1,30.65,1134.0
2020-07-07 11:15:00,30.65,30.65,30.1,30.5,2522.0
2020-07-07 11:45:00,30.35,30.4,30.35,30.4,684.0
2020-07-07 12:15:00,30.85,31.0,30.55,31.0,2608.0
2020-07-07 12:45:00,31.0,31.0,30.6,30.6,430.0
2020-07-07 13:15:00,30.6,30.6,30.6,30.6,0.0
2020-07-07 13:45:00,30.6,30.9,30.25,30.9,22796.0
2020-07-07 14:15:00,30.75,30.75,30.3,30.3,248.0
2020-07-07 14:45:00,30.3,30.95,30.2,30.65,1812.0
2020-07-07 15:15:00,30.85,30.85,30.5,30.5,9414.0
2020-07-08 09:15:00,30.6,30.75,30.25,30.75,497.0
2020-07-08 09:45:00,30.3,30.7,30.3,30.7,1169.0
2020-07-08 10:15:00,30.7,30.95,30.35,30.35,371.0
2020-07-08 10:45:00,30.65,30.8,30.45,30.45,112.0
2020-07-08 11:15:00,30.7,31.4,30.45,30.75,1958.0
2020-07-08 11:45:00,30.6,31.4,30.6,31.3,1518.0
2020-07-08 12:15:00,31.45,32.8,31.4,32.5,5570.0
2020-07-08 12:45:00,32.75,33.45,32.55,32.8,5127.0
2020-07-08 13:15:00,32.6,32.65,31.6,32.1,1380.0
