,Open,High,Low,Close,Volume
2020-07-10 09:15:00,32.0,32.0,32.0,32.0,18.0
2020-07-10 09:19:00,31.55,31.55,31.55,31.55,218.0
2020-07-10 09:21:00,31.5,32.0,31.2,32.0,203.0
2020-07-10 09:23:00,33.0,33.0,31.45,32.1,508.0
2020-07-10 09:25:00,32.1,32.1,31.45,32.05,390.0
2020-07-10 09:31:00,31.55,31.55,31.55,31.55,41.0
2020-07-10 09:35:00,31.6,31.6,31.6,31.6,0.0
2020-07-10 09:39:00,32.1,32.1,32.1,32.1,8.0
2020-07-10 09:45:00,31.6,31.6,31.6,31.6,53.0
2020-07-10 09:59:00,32.0,32.0,32.0,32.0,18.0
2020-07-10 10:01:00,32.0,32.0,32.0,32.0,5.0
2020-07-10 10:07:00,31.2,31.2,31.2,31.2,1046.0
2020-07-10 10:13:00,33.3,33.3,33.3,33.3,2097.0
2020-07-10 10:15:00,32.3,33.3,32.3,33.3,163.0
2020-07-10 10:17:00,32.8,32.8,32.0,32.0,234.0
2020-07-10 10:29:00,31.6,31.6,31.6,31.6,22.0
2020-07-10 10:33:00,31.6,31.6,31.55,31.55,194.0
2020-07-10 10:45:00,31.9,31.9,31.9,31.9,90.0
2020-07-10 10:47:00,31.9,31.9,31.9,31.9,40.0
2020-07-10 10:49:00,33.0,33.0,33.0,33.0,170.0
2020-07-10 10:53:00,32.15,32.15,32.15,32.15,2.0
2020-07-10 11:07:00,32.2,32.2,32.2,32.2,1.0
2020-07-10 11:13:00,31.55,32.15,31.55,32.15,139.0
2020-07-10 11:15:00,31.5,31.5,31.5,31.5,149.0
2020-07-10 11:35:00,32.2,32.2,32.2,32.2,200.0
2020-07-10 11:39:00,32.0,32.0,32.0,32.0,100.0
2020-07-10 11:49:00,31.6,31.6,31.6,31.6,250.0
2020-07-10 11:51:00,31.55,31.55,31.55,31.55,1.0
2020-07-10 12:11:00,31.5,31.5,31.5,31.5,20.0
2020-07-10 12:15:00,31.5,33.3,31.5,33.3,1064.0
2020-07-10 12:17:00,31.65,32.3,31.65,31.75,263.0
2020-07-10 12:19:00,31.7,31.7,31.65,31.65,94.0
2020-07-10 12:21:00,31.6,31.6,31.6,31.6,118.0
2020-07-10 12:27:00,31.6,31.6,31.6,31.6,464.0
2020-07-10 12:29:00,31.6,31.6,31.6,31.6,400.0
2020-07-10 12:35:00,32.0,32.0,32.0,32.0,202.0
2020-07-10 12:47:00,32.0,32.0,32.0,32.0,200.0
2020-07-10 12:53:00,31.6,31.6,31.6,31.6,442.0
2020-07-10 13:09:00,30.6,32.0,30.6,31.05,5291.0
2020-07-10 13:15:00,31.3,31.3,31.3,31.3,1.0
2020-07-10 13:19:00,31.4,31.4,31.4,31.4,0.0
2020-07-10 13:37:00,31.6,31.6,31.6,31.6,25.0
2020-07-10 13:43:00,31.6,31.6,31.6,31.6,25.0
2020-07-10 13:53:00,31.4,31.4,31.4,31.4,987.0
2020-07-10 14:09:00,31.75,31.75,31.75,31.75,617.0
2020-07-10 14:11:00,31.75,31.75,31.75,31.75,0.0
2020-07-10 14:33:00,31.7,31.95,31.7,31.95,1000.0
2020-07-10 14:45:00,31.4,31.4,31.4,31.4,9.0
2020-07-10 14:53:00,31.5,31.5,31.4,31.4,39.0
2020-07-10 14:55:00,31.9,31.9,31.9,31.9,0.0
2020-07-10 14:57:00,31.55,31.55,31.55,31.55,38.0
2020-07-10 15:03:00,31.75,31.75,31.75,31.75,13.0
2020-07-10 15:05:00,31.4,31.4,31.4,31.4,866.0
2020-07-10 15:07:00,31.75,31.75,31.45,31.45,2.0
2020-07-10 15:09:00,31.65,31.65,31.65,31.65,37.0
2020-07-10 15:11:00,31.9,31.9,31.9,31.9,689.0
2020-07-10 15:15:00,31.9,31.9,31.9,31.9,14.0
2020-07-10 15:23:00,31.7,31.7,31.7,31.7,54.0
2020-07-10 15:25:00,31.7,31.7,31.7,31.7,73.0
2020-07-10 15:27:00,31.7,31.7,31.7,31.7,43.0
2020-07-10 15:29:00,31.7,31.7,31.65,31.65,142.0
