,Open,High,Low,Close,Volume
2007-03-01 00:00:00,236.67,242.6,215.33,228.03,48709
2007-04-01 00:00:00,228.0,231.33,187.33,201.33,29579
2007-05-01 00:00:00,206.73,257.63,196.67,235.2,381427
2007-06-01 00:00:00,239.93,290.63,234.67,277.6,171160
2007-07-01 00:00:00,283.33,390.0,269.33,281.37,164749
2007-08-01 00:00:00,284.0,323.33,226.67,299.8,327164
2007-09-01 00:00:00,306.6,336.23,240.0,300.0,162935
2007-10-01 00:00:00,306.67,425.33,254.7,419.83,2069294
2007-11-01 00:00:00,423.33,459.33,360.67,419.87,293482
2007-12-01 00:00:00,416.67,499.33,383.33,465.17,1009207
2008-01-01 00:00:00,480.0,566.0,298.67,410.83,1212194
2008-02-01 00:00:00,406.67,429.97,284.73,310.43,243577
2008-03-01 00:00:00,286.73,310.0,187.53,219.0,394916
2008-04-01 00:00:00,210.87,259.77,184.67,227.27,74095
2008-05-01 00:00:00,226.67,249.97,186.67,197.23,645350
2008-06-01 00:00:00,203.33,243.3,160.0,166.2,1260215
2008-07-01 00:00:00,162.17,172.4,139.33,146.6,93319
2008-08-01 00:00:00,148.67,181.8,115.37,130.0,444379
2008-09-01 00:00:00,126.67,132.63,80.73,92.87,335145
2008-10-01 00:00:00,96.47,96.47,35.4,38.57,666813
2008-11-01 00:00:00,40.0,49.13,33.5,34.6,321652
2008-12-01 00:00:00,36.77,46.27,31.67,34.93,1168120
2009-01-01 00:00:00,35.5,42.0,24.83,27.9,302037
2009-02-01 00:00:00,28.0,29.9,22.57,26.67,1596282
2009-03-01 00:00:00,25.33,37.67,18.4,28.03,1339804
2009-04-01 00:00:00,28.63,44.57,26.0,35.4,2887222
2009-05-01 00:00:00,35.4,57.33,35.33,56.1,1911914
2009-06-01 00:00:00,57.33,66.7,49.5,53.7,2868135
2009-07-01 00:00:00,51.87,60.53,42.07,55.67,2555420
2009-08-01 00:00:00,55.5,91.9,54.73,91.9,4631126
2009-09-01 00:00:00,96.5,99.3,75.03,88.87,2150277
2009-10-01 00:00:00,88.27,97.8,76.33,77.53,1256298
2009-11-01 00:00:00,76.67,84.83,68.67,79.23,1035978
2009-12-01 00:00:00,80.07,88.73,73.17,82.03,1704701
2010-01-01 00:00:00,82.53,108.3,82.37,86.37,2728021
2010-02-01 00:00:00,89.6,103.3,80.0,95.7,845873
2010-03-01 00:00:00,97.33,122.33,92.67,114.93,2911903
2010-04-01 00:00:00,116.0,132.47,113.63,121.4,1729489
2010-05-01 00:00:00,120.0,123.33,98.17,107.1,635013
2010-06-01 00:00:00,106.67,120.0,102.0,118.13,426923
2010-07-01 00:00:00,116.67,136.67,114.0,119.3,603323
2010-08-01 00:00:00,120.0,150.0,119.17,126.9,1611316
2010-09-01 00:00:00,126.8,166.67,126.0,160.17,6008528
2010-10-01 00:00:00,162.0,193.8,157.5,162.1,3109380
2010-11-01 00:00:00,169.67,179.87,113.73,131.5,765299
2010-12-01 00:00:00,133.1,156.6,113.4,124.57,765367
2011-01-01 00:00:00,127.0,149.5,103.73,104.8,1113336
2011-02-01 00:00:00,105.0,116.6,90.17,107.73,486890
2011-03-01 00:00:00,103.37,112.63,82.43,101.83,400414
2011-04-01 00:00:00,104.3,113.2,93.5,94.57,381740
2011-05-01 00:00:00,98.33,98.33,77.17,79.77,1318055
2011-06-01 00:00:00,82.47,93.2,73.33,90.67,386354
2011-07-01 00:00:00,92.67,110.67,88.23,94.63,680376
2011-08-01 00:00:00,92.27,96.63,73.4,80.53,271106
2011-09-01 00:00:00,85.27,98.0,74.73,81.77,145016
2011-10-01 00:00:00,80.13,86.0,77.67,79.53,105847
2011-11-01 00:00:00,78.2,88.63,65.97,68.17,485893
2011-12-01 00:00:00,68.33,74.67,54.13,61.03,147380
2012-01-01 00:00:00,60.0,82.67,58.33,77.37,80851
2012-02-01 00:00:00,81.3,92.63,71.4,74.77,124200
2012-03-01 00:00:00,74.33,85.33,66.0,79.47,109935
2012-04-01 00:00:00,76.67,89.87,58.7,64.93,572421
2012-05-01 00:00:00,64.7,67.33,43.1,43.83,955917
2012-06-01 00:00:00,44.5,51.93,40.4,44.9,1341425
2012-07-01 00:00:00,46.67,58.67,45.33,47.33,850967
2012-08-01 00:00:00,47.67,52.67,42.37,42.67,199539
2012-09-01 00:00:00,43.13,52.63,42.67,49.27,417443
2012-10-01 00:00:00,48.73,61.57,47.13,53.97,1439521
2012-11-01 00:00:00,53.83,59.33,47.97,52.0,234268
2012-12-01 00:00:00,52.63,89.8,51.03,75.47,7618705
2013-01-01 00:00:00,77.2,82.13,60.0,60.93,1236799
2013-02-01 00:00:00,61.67,63.27,47.4,52.73,478732
2013-03-01 00:00:00,53.2,59.2,43.47,46.77,848879
2013-04-01 00:00:00,54.67,56.0,46.67,52.7,267876
