,Open,High,Low,Close,Volume
2020-04-16 09:15:00,6.15,6.15,6.15,6.15,593
2020-04-17 09:15:00,6.45,6.45,6.15,6.4,17152
2020-04-20 09:15:00,6.4,6.7,6.4,6.7,31419
2020-04-21 09:15:00,7.0,7.0,6.45,6.55,32763
2020-04-22 09:15:00,6.55,6.85,6.25,6.25,74126
2020-04-23 09:15:00,6.35,6.55,6.25,6.4,30965
2020-04-24 09:15:00,6.4,6.7,6.15,6.45,16936
2020-04-27 09:15:00,6.7,6.7,6.15,6.15,56262
2020-04-28 09:15:00,6.1,6.2,5.85,5.95,9730
2020-04-29 09:15:00,6.2,6.2,5.7,5.85,40006
2020-04-30 09:15:00,5.85,6.1,5.8,5.85,18393
2020-05-04 09:15:00,5.65,5.85,5.6,5.8,21245
2020-05-05 09:15:00,5.8,5.95,5.65,5.95,10875
2020-05-06 09:15:00,6.0,6.2,5.8,6.15,13922
2020-05-07 09:15:00,6.3,6.3,5.85,6.05,14011
2020-05-08 09:15:00,6.0,6.15,5.75,5.8,24228
2020-05-11 09:15:00,5.95,5.95,5.6,5.75,9465
2020-05-12 09:15:00,5.65,5.9,5.6,5.8,6730
2020-05-13 09:15:00,6.05,6.05,5.75,6.0,20814
2020-05-14 09:15:00,5.7,6.05,5.7,5.9,8731
2020-05-15 09:15:00,5.75,6.1,5.65,5.9,11774
2020-05-18 09:15:00,5.8,6.15,5.65,6.05,25589
2020-05-19 09:15:00,6.05,6.1,5.85,6.0,10657
2020-05-20 09:15:00,5.8,6.05,5.7,5.75,41379
2020-05-21 09:15:00,5.9,5.95,5.7,5.95,6186
2020-05-22 09:15:00,6.0,6.0,5.7,5.7,4558
2020-05-26 09:15:00,5.85,5.95,5.55,5.95,28562
2020-05-27 09:15:00,6.0,6.2,5.75,6.0,17109
2020-05-28 09:15:00,6.0,6.15,5.75,6.0,10275
2020-05-29 09:15:00,5.8,6.3,5.75,6.3,59291
2020-06-01 09:15:00,6.6,6.6,6.35,6.6,16862
2020-06-02 09:15:00,6.9,6.9,6.9,6.9,26347
2020-06-03 09:15:00,7.2,7.2,7.2,7.2,17096
2020-06-04 09:15:00,7.55,7.55,7.2,7.55,50884
2020-06-05 09:15:00,8.3,8.3,7.9,8.3,33708
2020-06-08 09:15:00,9.1,9.1,9.1,9.1,26784
2020-06-09 09:15:00,10.0,10.0,10.0,10.0,29511
2020-06-10 09:15:00,10.5,10.5,9.5,10.45,162733
2020-06-11 09:15:00,10.7,10.95,10.05,10.7,95362
2020-06-12 09:15:00,11.1,11.1,10.2,10.65,78990
2020-06-15 09:15:00,10.15,10.5,10.15,10.25,55588
2020-06-16 09:15:00,10.45,10.45,9.75,9.75,19530
2020-06-17 09:15:00,9.7,9.7,9.3,9.3,23706
2020-06-18 09:15:00,9.75,9.75,9.1,9.75,16974
2020-06-19 09:15:00,10.15,10.2,10.15,10.2,14134
2020-06-22 09:15:00,10.7,10.7,10.7,10.7,12032
2020-06-23 09:15:00,11.2,11.2,11.2,11.2,12032
2020-06-24 09:15:00,11.75,11.75,11.75,11.75,7731
2020-06-25 09:15:00,12.3,12.3,12.3,12.3,25610
2020-06-26 09:15:00,12.9,12.9,12.9,12.9,16586
2020-06-29 09:15:00,13.5,13.5,13.5,13.5,112230
2020-06-30 09:15:00,14.15,14.15,14.15,14.15,94160
2020-07-01 09:15:00,14.85,14.85,14.5,14.85,139670
2020-07-02 09:15:00,15.55,15.55,15.55,15.55,19838
2020-07-03 09:15:00,16.3,16.3,14.8,16.2,136991
2020-07-06 09:15:00,16.8,17.0,15.4,15.4,57705
2020-07-07 09:15:00,14.65,14.65,14.65,14.65,3090
2020-07-08 09:15:00,14.0,14.0,13.95,13.95,6521
2020-07-09 09:15:00,13.3,13.3,13.3,13.3,2671
2020-07-10 15:10:01,12.65,12.65,12.65,12.65,9395
