,Open,High,Low,Close,Volume
2020-04-29 09:15:00,1.45,1.45,1.35,1.35,22997
2020-04-30 09:15:00,1.4,1.4,1.35,1.4,42545
2020-05-04 09:15:00,1.4,1.4,1.35,1.4,40119
2020-05-05 09:15:00,1.4,1.45,1.35,1.45,18512
2020-05-06 09:15:00,1.5,1.5,1.4,1.45,16259
2020-05-07 09:15:00,1.4,1.5,1.4,1.4,22481
2020-05-08 09:15:00,1.35,1.45,1.35,1.4,37135
2020-05-11 09:15:00,1.35,1.45,1.35,1.4,25788
2020-05-12 09:15:00,1.35,1.35,1.35,1.35,5137
2020-05-13 09:15:00,1.3,1.4,1.3,1.4,21677
2020-05-14 09:15:00,1.4,1.45,1.35,1.45,34173
2020-05-15 09:15:00,1.5,1.5,1.4,1.45,17803
2020-05-18 09:15:00,1.5,1.5,1.4,1.45,19131
2020-05-19 09:15:00,1.4,1.45,1.4,1.45,6578
2020-05-20 09:15:00,1.45,1.5,1.4,1.45,36174
2020-05-21 09:15:00,1.5,1.5,1.5,1.5,7297
2020-05-22 09:15:00,1.55,1.55,1.55,1.55,10589
2020-05-26 09:15:00,1.6,1.6,1.6,1.6,5894
2020-05-27 09:15:00,1.65,1.65,1.65,1.65,4469
2020-05-28 09:15:00,1.7,1.7,1.7,1.7,5693
2020-05-29 09:15:00,1.75,1.75,1.75,1.75,12821
2020-06-01 09:15:00,1.75,1.8,1.75,1.75,18665
2020-06-02 09:15:00,1.75,1.8,1.75,1.8,2657
2020-06-03 09:15:00,1.8,1.85,1.8,1.85,3944
2020-06-04 09:15:00,1.9,1.9,1.9,1.9,4112
2020-06-05 09:15:00,1.95,1.95,1.95,1.95,1500
2020-06-08 09:15:00,2.0,2.0,2.0,2.0,29881
2020-06-09 09:15:00,2.1,2.1,2.1,2.1,27138
2020-06-10 09:15:00,2.2,2.2,2.2,2.2,15657
2020-06-11 09:15:00,2.3,2.3,2.3,2.3,9644
2020-06-12 09:15:00,2.4,2.4,2.2,2.4,87920
2020-06-15 09:15:00,2.45,2.5,2.3,2.45,68079
2020-06-16 09:15:00,2.55,2.55,2.5,2.55,13426
2020-06-17 09:15:00,2.55,2.65,2.55,2.65,28673
2020-06-18 09:15:00,2.75,2.75,2.75,2.75,25388
2020-06-19 09:15:00,2.85,2.85,2.85,2.85,25218
2020-06-22 09:15:00,2.95,2.95,2.95,2.95,22621
2020-06-23 09:15:00,3.05,3.05,3.05,3.05,24187
2020-06-24 09:15:00,3.2,3.2,3.2,3.2,36902
2020-06-25 09:15:00,3.2,3.35,3.2,3.35,27365
2020-06-26 09:15:00,3.5,3.5,3.5,3.5,20874
2020-06-29 09:15:00,3.65,3.65,3.5,3.65,102333
2020-06-30 09:15:00,3.8,3.8,3.8,3.8,44550
2020-07-01 09:15:00,3.95,3.95,3.8,3.95,54434
2020-07-02 09:15:00,4.05,4.1,3.8,3.95,94327
2020-07-03 09:15:00,4.1,4.1,3.8,3.8,66810
2020-07-06 09:15:00,3.8,3.8,3.65,3.65,33159
2020-07-07 09:15:00,3.5,3.5,3.5,3.5,20685
2020-07-08 09:15:00,3.35,3.35,3.35,3.35,17531
2020-07-09 09:15:00,3.2,3.2,3.2,3.2,28582
2020-07-10 09:15:00,3.05,3.05,3.05,3.05,38161
2020-07-13 09:15:00,2.9,2.9,2.9,2.9,22566
2020-07-14 09:15:00,2.8,2.8,2.8,2.8,21680
2020-07-15 09:15:00,2.8,2.8,2.7,2.7,32264
2020-07-16 09:15:00,2.6,2.6,2.6,2.6,24035
2020-07-17 09:15:00,2.6,2.7,2.55,2.6,21135
2020-07-20 09:15:00,2.6,2.7,2.5,2.5,24684
2020-07-21 09:15:00,2.6,2.6,2.55,2.6,25315
2020-07-22 09:15:00,2.6,2.7,2.5,2.7,15111
2020-07-23 15:24:33,2.7,2.8,2.6,2.65,34000
