,Open,High,Low,Close,Volume
2012-06-01 00:00:00,34.83,35.67,30.5,33.17,7800
2012-07-01 00:00:00,35.0,38.17,30.0,31.17,18034
2012-08-01 00:00:00,30.83,38.67,30.33,32.0,15431
2012-09-01 00:00:00,32.67,43.33,30.33,37.33,25855
2012-10-01 00:00:00,31.83,44.17,31.83,36.5,20505
2012-11-01 00:00:00,36.0,51.17,36.0,44.17,54525
2012-12-01 00:00:00,43.33,49.83,35.0,43.33,26067
2013-01-01 00:00:00,41.67,49.67,37.67,41.67,12299
2013-02-01 00:00:00,40.67,41.67,30.33,33.33,9716
2013-03-01 00:00:00,33.33,42.83,26.0,28.5,12715
2013-04-01 00:00:00,27.67,34.83,25.17,27.67,1183
2013-05-01 00:00:00,27.67,44.0,27.67,40.0,176
2013-06-01 00:00:00,40.0,40.0,33.67,38.33,91
2013-07-01 00:00:00,38.33,38.33,33.17,33.17,119
2013-08-01 00:00:00,33.17,33.17,28.5,28.5,0
2013-09-01 00:00:00,28.5,29.5,26.17,26.17,1609
2013-10-01 00:00:00,26.83,29.67,25.33,28.0,1957
2013-11-01 00:00:00,27.67,31.33,27.0,27.0,1750
2013-12-01 00:00:00,28.33,29.83,25.33,29.83,3058
2014-01-01 00:00:00,30.33,36.5,28.67,30.5,9453
2014-02-01 00:00:00,28.0,32.67,26.33,26.67,7381
2014-03-01 00:00:00,26.33,34.33,25.17,34.33,15847
2014-04-01 00:00:00,33.0,44.33,28.5,33.0,54528
2014-05-01 00:00:00,33.0,50.83,30.17,46.33,64125
2014-06-01 00:00:00,46.67,59.33,42.33,55.0,99043
2014-07-01 00:00:00,56.17,58.83,43.0,47.67,44163
2014-08-01 00:00:00,46.33,53.33,43.33,45.17,30517
2014-09-01 00:00:00,48.0,82.0,37.33,56.5,248006
2014-10-01 00:00:00,58.33,63.5,50.83,55.0,12154
2014-11-01 00:00:00,54.17,59.67,44.17,49.0,22273
2014-12-01 00:00:00,47.0,55.0,38.0,45.17,26240
2015-01-01 00:00:00,43.67,51.5,40.67,42.33,21834
2015-02-01 00:00:00,41.17,46.17,34.5,39.83,34230
2015-03-01 00:00:00,39.83,45.83,29.33,35.0,42958
2015-04-01 00:00:00,33.83,45.67,30.33,35.33,12990
2015-05-01 00:00:00,35.33,39.67,30.0,32.67,6216
2015-06-01 00:00:00,31.0,37.33,23.5,24.83,18599
2015-07-01 00:00:00,26.33,33.0,24.33,27.33,21518
2015-08-01 00:00:00,26.67,29.17,19.0,22.67,14164
2015-09-01 00:00:00,22.5,24.83,20.17,21.83,5524
2015-10-01 00:00:00,22.33,30.0,20.0,26.83,18450
2015-11-01 00:00:00,27.0,36.0,23.0,29.5,18315
2015-12-01 00:00:00,28.33,33.67,25.0,33.0,18490
2016-01-01 00:00:00,32.33,38.67,25.67,26.83,39937
2016-02-01 00:00:00,26.67,29.5,20.33,22.67,9668
2016-03-01 00:00:00,22.5,30.33,22.33,24.33,7245
2016-04-01 00:00:00,25.5,29.17,24.0,27.17,9309
2016-05-01 00:00:00,25.67,29.83,23.0,25.33,10835
2016-06-01 00:00:00,25.17,32.5,23.33,30.17,13775
2016-07-01 00:00:00,31.67,42.5,29.33,38.67,54091
2016-08-01 00:00:00,38.67,44.33,36.33,40.5,50317
2016-09-01 00:00:00,40.0,44.33,35.17,38.5,23790
2016-10-01 00:00:00,36.33,61.67,36.33,55.0,210795
2016-11-01 00:00:00,59.83,59.83,42.17,51.83,47638
2016-12-01 00:00:00,56.5,76.67,46.33,54.0,397793
2017-01-01 00:00:00,54.83,68.5,51.67,54.67,71834
2017-02-01 00:00:00,55.5,65.17,53.5,54.5,54993
2017-03-01 00:00:00,56.0,59.67,51.83,55.0,35915
2017-04-01 00:00:00,53.5,87.67,53.5,78.67,347919
2017-05-01 00:00:00,78.67,101.5,73.33,93.83,403459
