,Open,High,Low,Close,Volume
2007-01-01 00:00:00,26.88,28.75,24.5,24.84,637410
2007-02-01 00:00:00,25.3,28.5,21.0,23.0,1063300
2007-03-01 00:00:00,24.0,25.88,18.61,21.16,343420
2007-04-01 00:00:00,21.0,27.5,20.53,25.01,741670
2007-05-01 00:00:00,25.8,28.25,22.23,25.67,447240
2007-06-01 00:00:00,26.39,35.08,25.0,29.45,2301840
2007-07-01 00:00:00,30.0,30.0,23.0,26.85,642600
2007-08-01 00:00:00,26.31,28.5,22.6,26.2,700360
2007-09-01 00:00:00,26.5,36.99,26.01,33.99,4572510
2007-10-01 00:00:00,33.99,45.7,31.0,45.08,1438930
2007-11-01 00:00:00,45.4,48.0,35.31,39.9,520260
2007-12-01 00:00:00,39.12,49.99,35.71,41.83,843980
2008-01-01 00:00:00,42.25,48.47,26.0,33.46,614620
2008-02-01 00:00:00,35.2,42.5,32.2,36.69,1103360
2008-03-01 00:00:00,36.7,38.6,24.1,28.4,607780
2008-04-01 00:00:00,27.8,34.97,24.0,31.4,261130
2008-05-01 00:00:00,30.6,36.0,29.0,29.65,340790
2008-06-01 00:00:00,29.5,32.9,22.68,25.59,100430
2008-07-01 00:00:00,23.9,31.0,21.51,27.18,288990
2008-08-01 00:00:00,27.9,32.0,24.18,29.9,879460
2008-09-01 00:00:00,29.05,31.41,24.0,25.6,204000
2008-10-01 00:00:00,26.8,27.99,13.4,18.41,11765580
2008-11-01 00:00:00,17.6,21.1,12.1,12.19,1183330
2008-12-01 00:00:00,12.2,15.0,11.58,14.5,389180
2009-01-01 00:00:00,13.75,16.0,11.62,11.68,107040
2009-02-01 00:00:00,11.8,13.14,9.6,11.16,837070
2009-03-01 00:00:00,11.1,11.6,9.02,10.59,7906950
2009-04-01 00:00:00,10.41,15.05,10.37,14.44,1828570
2009-05-01 00:00:00,14.44,24.19,14.2,22.16,6505620
2009-06-01 00:00:00,23.0,29.7,22.0,24.35,1431550
2009-07-01 00:00:00,24.82,31.0,21.7,29.3,609990
2009-08-01 00:00:00,28.5,33.28,25.3,31.0,463430
2009-09-01 00:00:00,31.5,35.69,30.0,32.11,1105420
2009-10-01 00:00:00,31.5,37.2,28.52,32.79,994650
2009-11-01 00:00:00,33.0,43.79,32.31,38.4,3510910
2009-12-01 00:00:00,39.45,42.5,35.05,38.3,3156275
2010-01-01 00:00:00,38.0,45.35,35.5,37.3,16296795
2010-02-01 00:00:00,37.0,40.55,31.0,35.2,7492138
2010-03-01 00:00:00,35.0,40.4,33.45,33.9,8579310
2010-04-01 00:00:00,34.4,41.8,34.0,38.55,11905335
2010-05-01 00:00:00,38.4,39.35,30.1,31.6,6226841
2010-06-01 00:00:00,31.6,33.6,30.1,31.9,3221692
2010-07-01 00:00:00,31.6,34.4,31.2,32.1,3071680
2010-08-01 00:00:00,32.15,33.3,22.2,25.85,18434337
2010-09-01 00:00:00,26.5,29.0,25.9,26.4,6669656
2010-10-01 00:00:00,27.5,29.45,26.1,27.05,3111894
2010-11-01 00:00:00,27.5,32.55,22.55,24.95,7543965
