,Open,High,Low,Close,Volume
2020-06-01 09:15:00,12.1,12.7,12.1,12.5,28636
2020-06-01 09:45:00,12.5,12.55,12.35,12.55,14894
2020-06-01 10:15:00,12.55,12.6,12.5,12.55,8913
2020-06-01 10:45:00,12.55,12.55,12.5,12.5,3557
2020-06-01 11:15:00,12.5,12.55,12.4,12.45,11302
2020-06-01 11:45:00,12.4,12.55,12.3,12.3,10401
2020-06-01 12:15:00,12.4,12.4,12.3,12.4,8748
2020-06-01 12:45:00,12.4,12.4,12.35,12.4,4349
2020-06-01 13:15:00,12.4,12.75,12.4,12.6,50955
2020-06-01 13:45:00,12.6,12.6,12.5,12.6,2765
2020-06-01 14:15:00,12.6,12.65,12.55,12.6,8636
2020-06-01 14:45:00,12.55,12.6,12.55,12.55,13876
2020-06-01 15:15:00,12.6,12.7,12.55,12.6,17467
2020-06-02 09:15:00,12.95,13.2,12.6,13.2,34627
2020-06-02 09:45:00,13.2,13.25,12.8,13.0,19948
2020-06-02 10:15:00,13.0,13.1,12.8,12.9,29014
2020-06-02 10:45:00,12.9,13.0,12.9,13.0,25713
2020-06-02 11:15:00,13.0,13.0,12.8,12.95,5885
2020-06-02 11:45:00,13.0,13.15,12.95,13.0,3670
2020-06-02 12:15:00,13.1,13.2,13.0,13.05,14023
2020-06-02 12:45:00,13.05,13.45,13.0,13.1,57298
2020-06-02 13:15:00,13.1,13.2,13.05,13.15,6699
2020-06-02 13:45:00,13.05,13.2,13.05,13.1,45682
2020-06-02 14:15:00,13.15,13.15,12.95,12.95,20524
2020-06-02 14:45:00,13.0,13.0,12.85,12.9,16167
2020-06-02 15:15:00,12.95,13.15,12.85,12.95,16911
2020-06-03 09:15:00,13.0,13.5,13.0,13.2,62370
2020-06-03 09:45:00,13.2,13.2,13.1,13.15,27356
2020-06-03 10:15:00,13.15,13.2,13.1,13.15,14528
2020-06-03 10:45:00,13.2,13.2,13.1,13.1,13587
2020-06-03 11:15:00,13.15,13.15,13.05,13.05,19632
2020-06-03 11:45:00,13.15,13.25,13.15,13.15,75447
2020-06-03 12:15:00,13.15,13.15,13.1,13.15,25492
2020-06-03 12:45:00,13.1,13.2,13.1,13.2,29552
2020-06-03 13:15:00,13.2,13.2,13.15,13.15,46377
2020-06-03 13:45:00,13.1,13.15,13.1,13.15,3146
2020-06-03 14:15:00,13.1,13.15,13.05,13.05,54815
2020-06-03 14:45:00,13.05,13.1,12.9,12.9,27105
2020-06-03 15:15:00,12.9,12.95,12.85,12.9,31972
2020-06-04 09:15:00,12.9,13.3,12.2,12.85,15356
2020-06-04 09:45:00,12.85,12.9,12.7,12.85,8290
2020-06-04 10:15:00,12.85,12.9,12.8,12.8,16190
2020-06-04 10:45:00,12.8,12.9,12.8,12.85,8379
2020-06-04 11:15:00,12.85,13.05,12.75,12.8,12719
2020-06-04 11:45:00,12.8,12.9,12.8,12.8,4770
2020-06-04 12:15:00,12.8,12.8,12.75,12.8,1904
2020-06-04 12:45:00,12.95,12.95,12.65,12.75,3650
2020-06-04 13:15:00,12.7,12.8,12.65,12.8,4000
2020-06-04 13:45:00,12.9,12.9,12.55,12.55,7649
2020-06-04 14:15:00,12.55,12.65,12.5,12.65,4109
2020-06-04 14:45:00,12.6,12.75,12.6,12.7,6257
2020-06-04 15:15:00,12.7,12.9,12.65,12.9,11105
2020-06-05 09:15:00,12.8,13.05,12.75,12.95,77759
2020-06-05 09:45:00,13.0,13.35,13.0,13.3,49570
2020-06-05 10:15:00,13.3,13.35,13.1,13.15,12749
2020-06-05 10:45:00,13.2,13.2,13.1,13.2,19445
2020-06-05 11:15:00,13.15,13.3,13.1,13.2,31586
2020-06-05 11:45:00,13.25,13.45,13.2,13.4,33270
2020-06-05 12:15:00,13.4,13.45,13.35,13.35,13942
2020-06-05 12:45:00,13.35,13.4,13.15,13.2,26923
2020-06-05 13:15:00,13.4,13.4,13.25,13.3,4463
2020-06-05 13:45:00,13.3,13.4,13.2,13.2,26765
2020-06-05 14:15:00,13.15,13.35,13.1,13.3,24603
2020-06-05 14:45:00,13.25,13.4,13.2,13.3,51269
2020-06-05 15:15:00,13.2,13.35,13.1,13.25,29719
2020-06-08 09:15:00,13.75,14.1,13.55,14.05,43354
2020-06-08 09:45:00,13.9,14.25,13.85,14.05,57213
2020-06-08 10:15:00,14.05,14.2,13.95,14.1,23034
2020-06-08 10:45:00,14.15,14.25,13.85,14.0,41041
2020-06-08 11:15:00,14.0,14.0,13.9,13.95,36136
2020-06-08 11:45:00,14.0,14.0,13.9,13.95,15078
2020-06-08 12:15:00,14.0,14.0,13.75,13.9,15935
2020-06-08 12:45:00,13.85,14.0,13.6,13.85,26982
2020-06-08 13:15:00,13.85,13.9,13.65,13.75,5186
2020-06-08 13:45:00,13.75,13.9,13.7,13.8,15257
2020-06-08 14:15:00,13.8,13.95,13.6,13.9,28243
2020-06-08 14:45:00,13.9,13.95,13.8,13.85,8598
2020-06-08 15:15:00,13.85,14.0,13.8,13.95,31218
2020-06-09 09:15:00,14.25,14.4,13.8,13.8,18690
