,Open,High,Low,Close,Volume
2020-05-22 09:15:00,56.6,57.8,56.1,56.35,11773
2020-05-26 09:15:00,56.6,58.65,55.75,56.7,55310
2020-05-27 09:15:00,57.5,57.6,56.75,57.45,14921
2020-05-28 09:15:00,57.85,61.3,57.0,59.4,99097
2020-05-29 09:15:00,58.95,60.2,58.4,59.2,29142
2020-06-01 09:15:00,59.15,61.85,59.15,60.75,46691
2020-06-02 09:15:00,60.7,61.9,60.65,61.25,22565
2020-06-03 09:15:00,61.6,63.4,60.7,62.65,59490
2020-06-04 09:15:00,63.1,63.7,61.75,63.05,33866
2020-06-05 09:15:00,63.5,68.8,63.4,66.9,134153
2020-06-08 09:15:00,67.85,68.7,63.4,64.6,64688
2020-06-09 09:15:00,66.0,67.05,61.65,61.95,75718
2020-06-10 09:15:00,63.45,69.8,62.1,68.05,255448
2020-06-11 09:15:00,69.0,74.9,67.95,69.65,165807
2020-06-12 09:15:00,66.8,69.5,66.4,68.5,47696
2020-06-15 09:15:00,70.75,70.75,66.1,67.45,15584
2020-06-16 09:15:00,68.8,70.0,65.2,66.65,58637
2020-06-17 09:15:00,66.05,75.0,65.9,71.3,232954
2020-06-18 09:15:00,71.25,81.6,70.45,76.75,624386
2020-06-19 09:15:00,77.95,78.3,73.5,74.1,86861
2020-06-22 09:15:00,76.4,77.7,73.5,75.2,91338
2020-06-23 09:15:00,76.5,80.1,75.0,78.1,170975
2020-06-24 09:15:00,78.0,79.55,76.25,77.45,93310
2020-06-25 09:15:00,77.45,82.4,77.3,81.75,277600
2020-06-26 09:15:00,85.0,86.9,80.55,82.05,449160
2020-06-29 09:15:00,80.8,81.05,73.65,75.45,231425
2020-06-30 09:15:00,76.2,76.2,70.1,71.35,94853
2020-07-01 09:15:00,72.2,75.9,71.25,72.75,124481
2020-07-02 09:15:00,73.55,74.7,72.0,73.35,79078
2020-07-03 09:15:00,73.4,76.45,72.75,73.5,107190
2020-07-06 09:15:00,75.9,79.5,73.6,76.85,225506
2020-07-07 09:15:00,77.1,77.75,75.05,75.8,43440
2020-07-08 09:15:00,75.8,86.9,74.55,85.65,636939
2020-07-09 09:15:00,87.5,92.4,86.8,88.9,1526062
2020-07-10 09:15:00,87.5,88.5,84.1,84.8,186679
2020-07-13 09:15:00,82.55,84.4,80.05,81.65,231775
2020-07-14 09:15:00,80.35,82.95,79.0,80.15,148813
2020-07-15 09:15:00,81.2,83.95,80.95,82.3,101956
2020-07-16 09:15:00,81.6,84.5,81.1,83.85,128931
2020-07-17 09:15:00,84.0,88.3,83.05,85.5,253542
2020-07-20 09:15:00,85.95,86.2,81.55,81.85,74328
2020-07-21 09:15:00,82.5,83.7,81.5,82.25,56920
2020-07-22 09:15:00,82.5,82.5,80.0,80.45,61566
2020-07-23 09:15:00,85.7,87.05,83.15,84.4,282559
2020-07-24 09:15:00,84.8,85.95,82.0,83.25,61577
2020-07-27 09:15:00,83.6,84.4,81.0,81.95,30904
2020-07-28 09:15:00,83.9,89.5,82.15,87.45,303351
2020-07-29 09:15:00,88.95,95.35,87.0,91.65,642264
2020-07-30 09:15:00,92.2,93.75,87.25,89.35,255547
2020-07-31 09:15:00,89.2,91.3,87.25,88.35,212172
2020-08-03 09:15:00,88.35,92.7,87.5,89.05,139595
2020-08-04 09:15:00,89.65,96.9,88.35,95.9,386628
2020-08-05 09:15:00,99.5,100.0,95.6,98.05,741011
2020-08-06 09:15:00,96.0,98.5,93.75,94.9,186515
2020-08-07 09:15:00,93.85,96.9,93.2,94.35,83209
2020-08-10 09:15:00,94.4,98.25,94.4,96.55,142665
2020-08-11 09:15:00,101.0,101.5,97.0,97.4,140617
2020-08-12 09:15:00,97.15,98.95,94.1,94.7,77216
2020-08-13 09:15:00,96.0,98.2,95.0,95.75,114893
2020-08-14 14:13:31,96.5,96.55,92.5,93.5,49249
