,Open,High,Low,Close,Volume
2015-08-10 00:00:00,46.5,54.75,46.5,54.65,226107
2015-08-17 00:00:00,55.9,63.85,48.95,51.4,1828574
2015-08-24 00:00:00,50.0,50.0,43.0,46.7,191437
2015-08-31 00:00:00,46.0,47.5,43.0,44.1,66459
2015-09-07 00:00:00,43.5,47.45,42.55,45.75,111902
2015-09-14 00:00:00,45.9,47.85,43.0,44.05,68239
2015-09-21 00:00:00,43.5,48.4,43.5,45.6,46002
2015-09-28 00:00:00,45.25,46.95,42.0,44.45,64407
2015-10-05 00:00:00,43.2,51.95,43.2,48.7,257468
2015-10-12 00:00:00,48.7,50.6,46.9,48.3,153391
2015-10-19 00:00:00,48.9,50.0,47.0,47.9,74131
2015-10-26 00:00:00,47.7,50.95,45.4,46.6,124901
2015-11-02 00:00:00,46.4,47.7,43.9,44.9,106719
2015-11-09 00:00:00,43.2,49.5,43.05,48.95,127848
2015-11-16 00:00:00,48.6,60.9,48.0,56.05,1307294
2015-11-23 00:00:00,56.4,58.4,55.25,55.75,274545
2015-11-30 00:00:00,55.75,58.0,53.0,53.6,292669
2015-12-07 00:00:00,54.55,62.5,53.15,56.75,1716135
2015-12-14 00:00:00,56.75,62.8,55.1,58.8,849343
2015-12-21 00:00:00,58.8,62.5,57.55,58.9,325644
2015-12-28 00:00:00,58.95,65.0,56.3,61.65,1288717
2016-01-04 00:00:00,60.75,64.1,56.6,60.5,523953
2016-01-11 00:00:00,59.85,66.6,52.5,52.75,555274
2016-01-18 00:00:00,52.1,55.0,48.7,52.05,202946
2016-01-25 00:00:00,52.1,58.25,50.25,55.6,266747
2016-02-01 00:00:00,55.9,56.0,48.4,50.8,119042
2016-02-08 00:00:00,50.15,52.4,40.85,42.95,188696
2016-02-15 00:00:00,44.7,47.5,42.1,44.9,127312
2016-02-22 00:00:00,44.5,46.0,40.5,40.9,53931
2016-02-29 00:00:00,42.0,47.7,39.6,45.95,183552
2016-03-07 00:00:00,45.95,48.0,44.8,45.95,132878
2016-03-14 00:00:00,47.9,54.2,47.85,48.8,569190
2016-03-21 00:00:00,49.45,53.9,48.15,50.75,516583
2016-03-28 00:00:00,50.95,58.95,47.8,58.2,874162
2016-04-04 00:00:00,58.45,63.35,55.65,60.7,1187322
2016-04-11 00:00:00,61.4,62.35,58.2,59.25,558614
2016-04-18 00:00:00,59.1,74.75,58.6,71.6,1715987
2016-04-25 00:00:00,71.8,72.75,65.3,66.65,707596
2016-05-02 00:00:00,66.5,68.45,62.25,64.45,482757
2016-05-09 00:00:00,64.75,68.95,63.0,63.45,336951
2016-05-16 00:00:00,62.2,65.8,60.1,60.9,133555
2016-05-23 00:00:00,60.5,64.3,58.8,61.85,241882
2016-05-30 00:00:00,62.75,62.75,55.6,57.3,201884
2016-06-06 00:00:00,56.95,66.6,56.05,62.35,949602
2016-06-13 00:00:00,62.8,75.8,61.0,68.45,3246709
2016-06-20 00:00:00,68.0,74.2,61.0,65.95,1204744
2016-06-27 00:00:00,66.0,83.75,65.65,82.85,2617657
2016-07-04 00:00:00,82.0,92.0,78.5,85.2,4527837
2016-07-11 00:00:00,86.7,93.6,85.0,86.15,2823498
2016-07-18 00:00:00,86.2,89.9,82.5,86.2,1679601
2016-07-25 00:00:00,86.6,91.45,83.45,85.15,2178744
2016-08-01 00:00:00,84.1,86.15,72.25,76.95,1161599
2016-08-08 00:00:00,77.55,79.8,72.8,73.25,559408
2016-08-15 00:00:00,73.25,76.7,69.95,75.95,678590
2016-08-22 00:00:00,75.9,77.25,72.1,72.65,461478
2016-08-29 00:00:00,73.1,75.9,70.2,72.45,404590
2016-09-05 00:00:00,72.45,83.4,72.45,77.3,1542707
2016-09-12 00:00:00,75.0,76.5,73.5,74.2,399268
2016-09-19 00:00:00,75.7,77.2,72.8,74.6,819199
2016-09-26 00:00:00,74.6,78.55,68.0,71.6,623626
2016-10-03 00:00:00,72.1,79.3,72.1,76.25,1177571
2016-10-10 00:00:00,75.75,76.95,71.95,74.85,344289
2016-10-17 00:00:00,75.55,77.3,73.7,74.3,365339
2016-10-24 00:00:00,74.45,81.5,73.2,75.1,1446627
2016-10-31 00:00:00,75.1,77.8,68.5,69.6,242568
2016-11-07 00:00:00,70.5,72.0,56.05,62.2,259098
2016-11-14 00:00:00,62.2,62.2,55.55,57.5,145876
2016-11-21 00:00:00,57.15,62.7,55.2,60.9,212104
2016-11-28 00:00:00,61.1,65.75,60.0,61.25,175567
2016-12-05 00:00:00,61.05,65.25,60.2,63.3,145857
2016-12-12 00:00:00,63.2,67.8,61.95,63.9,442041
2016-12-19 00:00:00,64.1,71.5,62.85,63.85,685644
2016-12-26 00:00:00,62.65,69.35,60.4,68.6,361591
2017-01-02 00:00:00,68.1,81.0,65.9,76.55,1565680
2017-01-09 00:00:00,77.0,82.35,74.3,80.35,1243612
2017-01-16 00:00:00,79.85,85.4,76.2,84.85,1222613
2017-01-23 00:00:00,84.5,84.9,81.5,82.25,1036558
2017-01-30 00:00:00,82.9,84.9,78.55,82.6,793647
2017-02-06 00:00:00,83.4,93.75,80.3,88.15,2282057
2017-02-13 00:00:00,88.1,91.2,81.7,86.3,1049635
2017-02-20 00:00:00,86.2,94.35,86.0,87.9,1229193
2017-02-27 00:00:00,87.2,91.5,85.2,86.65,891044
2017-03-06 00:00:00,87.35,87.8,81.2,81.55,274507
2017-03-13 00:00:00,81.55,89.5,81.35,85.95,557394
2017-03-20 00:00:00,86.1,87.8,80.1,83.2,697543
2017-03-27 00:00:00,83.9,84.5,81.1,83.6,280404
2017-04-03 00:00:00,82.6,91.2,82.6,86.2,1423543
2017-04-10 00:00:00,86.85,90.6,84.75,85.4,407251
2017-04-17 00:00:00,85.0,86.65,82.1,84.1,310506
2017-04-24 00:00:00,85.0,101.9,84.3,97.15,2465086
2017-05-01 00:00:00,97.15,102.45,90.25,91.5,1121503
2017-05-08 00:00:00,92.25,98.0,89.2,89.6,534640
2017-05-15 00:00:00,90.45,96.1,87.75,91.0,836964
2017-05-22 00:00:00,90.1,92.8,82.0,86.55,239675
2017-05-29 00:00:00,86.45,87.9,79.2,84.2,455931
2017-06-05 00:00:00,84.2,86.6,81.6,85.45,425849
2017-06-12 00:00:00,84.8,86.4,80.5,84.9,740887
2017-06-19 00:00:00,85.0,85.7,77.3,78.95,292541
2017-06-26 00:00:00,78.95,79.7,74.0,76.1,194286
2017-07-03 00:00:00,76.85,83.55,76.55,80.95,550801
2017-07-10 00:00:00,81.7,83.4,76.0,76.85,460512
2017-07-17 00:00:00,77.4,82.25,74.7,81.75,653358
2017-07-24 00:00:00,81.15,82.85,76.8,78.2,197203
2017-07-31 00:00:00,79.8,86.2,78.65,81.85,1695451
2017-08-07 00:00:00,82.0,83.05,70.35,72.75,286618
2017-08-14 00:00:00,74.0,79.25,73.25,76.1,247085
2017-08-21 00:00:00,76.1,78.75,72.75,74.5,193722
2017-08-28 00:00:00,75.4,84.4,74.0,80.05,658630
2017-09-04 00:00:00,80.05,80.45,76.1,76.5,488820
2017-09-11 00:00:00,77.6,80.0,76.5,77.45,359480
2017-09-18 00:00:00,78.6,80.45,74.2,74.65,416646
2017-09-25 00:00:00,74.6,78.6,72.0,73.4,278933
2017-10-02 00:00:00,73.4,79.0,73.25,77.45,240520
2017-10-09 00:00:00,77.6,80.8,75.45,77.15,419374
2017-10-16 00:00:00,77.7,78.9,76.5,77.75,170021
2017-10-23 00:00:00,78.4,80.5,76.3,77.95,242734
2017-10-30 00:00:00,78.5,86.4,78.2,82.85,1010186
2017-11-06 00:00:00,82.0,92.0,82.0,86.75,1144129
2017-11-13 00:00:00,87.4,88.8,81.4,84.95,600154
2017-11-20 00:00:00,84.9,99.2,84.9,92.95,3327410
2017-11-27 00:00:00,92.95,124.85,92.5,113.2,12191116
2017-12-04 00:00:00,114.25,114.25,93.5,97.1,2325172
2017-12-11 00:00:00,97.1,97.95,91.65,93.2,195308
2017-12-18 00:00:00,92.0,103.1,88.75,102.5,253521
2017-12-25 00:00:00,102.5,106.0,97.0,98.45,103122
2018-01-01 00:00:00,97.55,99.45,95.0,95.75,99973
2018-01-08 00:00:00,95.75,99.0,94.5,95.9,133132
2018-01-15 00:00:00,95.9,98.4,90.0,91.1,145677
2018-01-22 00:00:00,92.25,93.7,88.0,89.55,76163
2018-01-29 00:00:00,90.0,91.25,82.15,83.1,97789
2018-02-05 00:00:00,82.2,89.6,76.35,88.35,165194
2018-02-12 00:00:00,88.0,92.75,83.0,85.05,184061
2018-02-19 00:00:00,86.8,86.8,80.4,83.15,60531
2018-02-26 00:00:00,84.0,86.05,82.15,83.75,92981
2018-03-05 00:00:00,83.05,85.35,78.4,78.9,196840
2018-03-12 00:00:00,78.55,83.75,77.0,81.95,147250
2018-03-19 00:00:00,83.75,83.75,71.25,73.3,160470
2018-03-26 00:00:00,73.4,75.9,71.5,73.4,138649
2018-04-02 00:00:00,74.55,84.5,74.2,83.0,113918
2018-04-09 00:00:00,82.05,109.7,82.0,101.25,990405
2018-04-16 00:00:00,101.0,110.0,96.1,99.8,694816
2018-04-23 00:00:00,100.05,115.5,99.6,108.05,1337594
2018-04-30 00:00:00,107.35,124.75,107.35,115.05,980080
2018-05-07 00:00:00,116.2,118.95,104.15,104.9,375052
2018-05-14 00:00:00,104.8,106.4,93.0,94.8,324982
2018-05-21 00:00:00,95.0,104.9,92.5,98.6,206184
2018-05-28 00:00:00,97.5,100.0,92.1,92.6,152664
2018-06-04 00:00:00,90.1,94.5,79.7,90.75,406778
2018-06-11 00:00:00,89.75,104.4,87.65,97.1,1158478
2018-06-18 00:00:00,96.95,111.0,95.75,103.6,1955483
2018-06-25 00:00:00,105.9,105.9,88.5,93.95,424777
2018-07-02 00:00:00,94.85,94.85,89.1,90.4,260125
2018-07-09 00:00:00,91.5,96.0,89.25,89.85,157249
2018-07-16 00:00:00,89.7,98.0,81.8,82.85,484113
2018-07-23 00:00:00,82.55,91.5,82.55,88.55,275481
2018-07-30 00:00:00,89.2,91.8,88.1,89.25,165461
2018-08-06 00:00:00,89.6,97.3,84.1,86.8,375936
2018-08-13 00:00:00,85.95,92.65,84.55,87.8,239848
2018-08-20 00:00:00,87.8,100.35,83.2,98.35,1155315
2018-08-27 00:00:00,99.25,108.65,93.8,104.3,1540538
2018-09-03 00:00:00,104.4,105.65,94.4,100.05,359879
2018-09-10 00:00:00,100.0,102.7,93.15,99.15,220815
2018-09-17 00:00:00,99.0,112.2,85.0,95.95,833128
2018-09-24 00:00:00,96.0,96.0,81.6,83.15,239627
