,Open,High,Low,Close,Volume
2020-05-14 14:15:00,59.0,59.05,58.6,58.8,0
2020-05-14 15:15:00,58.8,59.0,58.2,58.55,13152
2020-05-15 09:15:00,58.5,59.7,58.45,58.6,0
2020-05-15 10:15:00,58.8,59.0,58.3,58.55,8079
2020-05-15 11:15:00,58.55,58.65,58.3,58.45,2877
2020-05-15 12:15:00,58.65,59.25,58.35,58.9,9532
2020-05-15 13:15:00,58.7,59.25,58.4,59.0,9720
2020-05-15 14:15:00,58.9,59.0,58.4,58.45,4139
2020-05-15 15:15:00,58.85,59.4,58.45,58.75,4584
2020-05-18 09:15:00,59.45,59.45,57.3,57.65,0
2020-05-18 10:15:00,58.4,58.4,57.25,57.4,10687
2020-05-18 11:15:00,57.5,57.8,56.75,56.8,8500
2020-05-18 12:15:00,56.8,58.8,56.2,56.85,76862
2020-05-18 13:15:00,57.05,57.05,56.3,56.75,3698
2020-05-18 14:15:00,56.65,57.5,56.05,56.15,7188
2020-05-18 15:15:00,56.7,56.7,56.05,56.3,8812
2020-05-19 09:15:00,57.0,57.8,56.5,57.6,0
2020-05-19 10:15:00,56.95,57.8,55.15,55.7,37352
2020-05-19 11:15:00,57.25,57.5,57.1,57.5,40006
2020-05-19 12:15:00,57.1,57.75,57.0,57.0,5021
2020-05-19 13:15:00,57.25,57.35,56.8,57.0,1498
2020-05-19 14:15:00,57.35,57.35,56.55,56.55,46744
2020-05-19 15:15:00,56.7,57.6,56.55,57.25,9633
2020-05-20 09:15:00,57.95,57.95,57.1,57.45,0
2020-05-20 10:15:00,57.5,57.5,56.9,56.9,5569
2020-05-20 11:15:00,57.0,57.0,56.75,56.8,392
2020-05-20 12:15:00,56.8,57.3,56.8,57.3,1069
2020-05-20 13:15:00,56.9,57.45,56.8,57.05,1991
2020-05-20 14:15:00,57.4,57.45,56.8,57.15,3327
2020-05-20 15:15:00,57.25,57.45,57.0,57.1,7429
2020-05-21 09:15:00,57.15,58.35,57.15,57.7,0
2020-05-21 10:15:00,57.7,58.65,57.45,58.0,6928
2020-05-21 11:15:00,57.7,58.65,57.45,58.0,7062
2020-05-21 12:15:00,57.95,58.0,57.5,57.5,1085
2020-05-21 13:15:00,57.5,58.0,57.5,58.0,860
2020-05-21 14:15:00,57.8,57.8,57.45,57.45,3360
2020-05-21 15:15:00,57.5,57.8,57.35,57.5,3556
2020-05-22 09:15:00,56.6,57.7,56.6,57.65,0
2020-05-22 10:15:00,57.65,57.7,56.6,56.85,2976
2020-05-22 11:15:00,56.65,56.95,56.6,56.95,869
2020-05-22 12:15:00,56.95,56.95,56.5,56.5,872
2020-05-22 13:15:00,56.5,56.55,56.1,56.5,3892
2020-05-22 14:15:00,56.3,56.5,56.2,56.25,737
2020-05-22 15:15:00,56.5,56.7,56.2,56.35,2599
2020-05-26 09:15:00,57.4,57.4,56.7,56.85,0
2020-05-26 10:15:00,57.1,57.25,55.8,57.0,21845
2020-05-26 11:15:00,55.85,57.7,55.8,56.8,32854
2020-05-26 12:15:00,57.15,58.65,56.3,57.3,27506
2020-05-26 13:15:00,57.75,58.65,57.0,57.0,9764
2020-05-26 14:15:00,57.05,57.05,56.55,57.0,4188
2020-05-26 15:15:00,56.75,57.0,56.55,56.7,7589
2020-05-27 09:15:00,57.5,57.5,56.75,57.0,0
2020-05-27 10:15:00,56.85,57.3,56.8,57.1,2645
2020-05-27 11:15:00,57.1,57.3,56.9,57.15,2430
