,Open,High,Low,Close,Volume
2002-07-01 00:00:00,22.25,26.1,12.0,12.3,662961
2002-08-01 00:00:00,13.5,14.4,10.1,10.4,80616
2002-09-01 00:00:00,11.0,12.9,9.8,10.4,81350
2002-10-01 00:00:00,10.0,11.25,8.95,9.3,58864
2002-11-01 00:00:00,9.95,11.1,8.3,10.6,73648
2002-12-01 00:00:00,10.65,14.7,9.95,13.8,237919
2003-01-01 00:00:00,14.2,14.8,10.15,10.9,106715
2003-02-01 00:00:00,11.0,11.95,10.1,11.35,77686
2003-03-01 00:00:00,12.2,12.4,8.5,8.9,101689
2003-04-01 00:00:00,9.5,11.1,7.6,9.4,77105
2003-05-01 00:00:00,9.3,14.85,9.25,12.65,258349
2003-06-01 00:00:00,12.45,18.35,12.25,17.85,625253
2003-07-01 00:00:00,17.2,19.4,13.7,14.4,473881
2003-08-01 00:00:00,14.1,24.25,14.1,20.85,1417666
2003-09-01 00:00:00,20.5,21.4,13.65,13.65,135454
2003-10-01 00:00:00,13.75,16.9,13.45,14.9,40447
2003-11-01 00:00:00,15.5,21.5,13.7,20.7,195113
2003-12-01 00:00:00,21.0,62.4,19.15,49.7,1427750
2004-01-01 00:00:00,51.95,60.0,30.0,31.1,744852
2004-02-01 00:00:00,30.1,35.7,25.35,26.0,306039
2004-03-01 00:00:00,26.45,28.0,19.0,22.75,388014
2004-04-01 00:00:00,23.95,34.0,23.75,29.5,384856
2004-05-01 00:00:00,30.55,39.0,24.1,28.25,722331
2004-06-01 00:00:00,28.5,30.9,24.2,26.8,667536
2004-07-01 00:00:00,27.05,30.15,23.0,28.4,704449
2004-08-01 00:00:00,29.8,43.8,28.35,42.55,2178846
2004-09-01 00:00:00,42.6,46.8,38.15,38.9,1644978
2004-10-01 00:00:00,40.05,46.9,38.0,44.35,2343051
2004-11-01 00:00:00,44.9,72.25,43.0,63.85,6932314
2004-12-01 00:00:00,64.05,75.0,60.15,62.5,4437221
2005-01-01 00:00:00,63.3,76.05,62.0,68.8,4468077
2005-02-01 00:00:00,68.5,81.0,64.85,75.25,4505898
2005-03-01 00:00:00,78.0,78.0,64.5,69.6,2568905
2005-04-01 00:00:00,70.9,90.0,68.0,78.6,5023992
2005-05-01 00:00:00,79.85,108.0,73.85,104.3,9058991
2005-06-01 00:00:00,105.0,117.2,91.05,93.25,7640403
2005-07-01 00:00:00,91.6,120.45,89.5,108.45,4040061
2005-08-01 00:00:00,101.85,136.7,101.85,120.15,5473787
2005-09-01 00:00:00,118.5,153.95,104.5,118.45,7145218
2005-10-01 00:00:00,120.9,132.5,88.0,89.25,1857484
2005-11-01 00:00:00,90.9,107.9,88.9,98.75,1335495
2005-12-01 00:00:00,99.7,115.0,90.0,100.65,2904152
2006-01-01 00:00:00,101.9,123.9,99.5,107.35,4187233
2006-02-01 00:00:00,108.5,193.0,98.5,167.7,62466205
2006-03-01 00:00:00,170.15,193.75,141.15,157.85,22649682
2006-04-01 00:00:00,159.0,167.9,124.25,135.8,4170504
2006-05-01 00:00:00,139.5,153.85,98.5,120.0,4049717
2006-06-01 00:00:00,124.5,124.95,73.0,81.95,1384579
2006-07-01 00:00:00,83.65,85.85,63.3,71.4,899369
2006-08-01 00:00:00,71.1,97.8,68.1,89.2,3830719
2006-09-01 00:00:00,90.6,98.2,85.95,89.95,2271235
2006-10-01 00:00:00,89.0,95.8,86.25,87.5,1323221
2006-11-01 00:00:00,89.9,92.3,75.6,76.25,822009
2006-12-01 00:00:00,79.8,89.8,66.1,86.0,1076909
2007-01-01 00:00:00,86.25,94.0,83.0,88.7,857861
2007-02-01 00:00:00,89.0,90.2,68.25,72.5,242767
2007-03-01 00:00:00,73.05,79.0,63.65,66.85,862673
2007-04-01 00:00:00,66.5,75.0,64.0,70.4,368911
2007-05-01 00:00:00,70.15,76.0,67.75,71.45,414325
2007-06-01 00:00:00,71.2,73.2,63.5,68.35,509445
2007-07-01 00:00:00,66.25,74.0,66.1,70.7,402933
2007-08-01 00:00:00,70.0,73.0,58.3,60.9,365779
2007-09-01 00:00:00,49.1,77.5,49.1,69.5,2454706
2007-10-01 00:00:00,70.0,88.0,63.0,80.7,745172
2007-11-01 00:00:00,80.0,116.8,72.6,93.55,2460381
2007-12-01 00:00:00,92.2,128.8,92.2,118.45,2309109
2008-01-01 00:00:00,120.0,147.0,55.2,75.95,2184985
2008-02-01 00:00:00,72.1,98.95,58.55,85.95,4883621
2008-03-01 00:00:00,82.25,82.25,55.25,63.7,1397112
2008-04-01 00:00:00,65.9,88.25,63.15,84.3,3707360
2008-05-01 00:00:00,85.35,130.75,80.5,100.8,14020889
2008-06-01 00:00:00,101.0,102.35,75.0,75.3,4775824
2008-07-01 00:00:00,73.5,104.0,65.7,100.3,2686020
2008-08-01 00:00:00,100.0,113.8,82.55,99.6,3823737
2008-09-01 00:00:00,97.15,107.0,80.15,84.3,1316922
2008-10-01 00:00:00,70.55,88.5,41.35,43.4,1100910
2008-11-01 00:00:00,37.6,49.8,34.0,34.6,914528
2008-12-01 00:00:00,36.0,41.7,28.1,39.5,1496495
2009-01-01 00:00:00,32.2,44.7,27.15,31.7,1168126
2009-02-01 00:00:00,30.65,37.05,29.3,35.0,1023817
2009-03-01 00:00:00,33.95,41.25,30.0,41.25,1624430
2009-04-01 00:00:00,44.8,54.6,38.35,48.9,2207684
2009-05-01 00:00:00,48.9,87.0,48.9,70.65,11091283
2009-06-01 00:00:00,73.1,88.55,68.35,75.55,14960436
2009-07-01 00:00:00,76.6,82.4,65.0,77.7,3278849
2009-08-01 00:00:00,78.15,111.9,77.15,105.2,16567424
2009-09-01 00:00:00,106.25,138.25,105.0,126.3,19874779
2009-10-01 00:00:00,126.7,129.7,99.2,101.95,6785529
2009-11-01 00:00:00,101.65,123.4,99.0,120.4,14573476
2009-12-01 00:00:00,121.0,142.5,120.55,134.0,6044368
2010-01-01 00:00:00,134.5,147.8,106.95,115.35,11703698
2010-02-01 00:00:00,112.1,123.3,105.05,109.75,1879583
2010-03-01 00:00:00,110.3,142.4,108.55,134.1,4354981
2010-04-01 00:00:00,134.2,157.45,133.25,140.6,5224404
2010-05-01 00:00:00,149.6,150.0,108.15,118.25,1993627
2010-06-01 00:00:00,117.2,133.4,114.1,130.5,2732351
2010-07-01 00:00:00,130.9,140.8,129.25,132.95,2631749
2010-08-01 00:00:00,133.0,144.9,70.0,95.7,4812375
2010-09-01 00:00:00,99.7,99.95,85.2,90.45,4247424
2010-10-01 00:00:00,92.15,93.5,81.5,82.65,1352262
2010-11-01 00:00:00,83.5,93.75,72.65,73.7,1063990
2010-12-01 00:00:00,75.0,85.85,67.2,74.7,1156059
2011-01-01 00:00:00,83.0,93.8,77.0,79.9,8233730
2011-02-01 00:00:00,80.0,85.5,65.5,78.2,1125975
2011-03-01 00:00:00,83.8,89.95,75.5,75.95,5859646
2011-04-01 00:00:00,79.3,87.2,75.65,79.65,2082395
2011-05-01 00:00:00,79.5,80.9,73.1,76.15,760616
2011-06-01 00:00:00,77.2,81.65,67.2,71.95,934554
2011-07-01 00:00:00,72.05,84.35,71.2,76.9,1006000
2011-08-01 00:00:00,77.0,79.5,57.6,62.0,511408
2011-09-01 00:00:00,63.75,69.6,60.1,65.35,464149
2011-10-01 00:00:00,63.0,88.95,62.15,84.95,816729
2011-11-01 00:00:00,84.1,85.05,59.65,61.25,295750
2011-12-01 00:00:00,63.95,66.15,50.2,62.8,1001344
2012-01-01 00:00:00,66.0,79.4,64.05,76.85,1562503
2012-02-01 00:00:00,76.6,83.5,70.5,72.15,1192150
2012-03-01 00:00:00,72.7,74.5,64.55,69.65,1053301
2012-04-01 00:00:00,68.3,84.8,67.55,78.6,2400736
2012-05-01 00:00:00,78.85,79.35,66.1,68.15,533815
2012-06-01 00:00:00,67.2,71.75,64.4,67.85,519141
2012-07-01 00:00:00,68.0,83.9,66.7,67.85,1001775
2012-08-01 00:00:00,68.3,69.35,58.75,60.0,361282
2012-09-01 00:00:00,59.9,67.4,59.0,66.05,530374
2012-10-01 00:00:00,65.9,69.4,58.15,60.1,384597
2012-11-01 00:00:00,61.2,71.3,60.1,65.6,1946086
2012-12-01 00:00:00,66.25,67.2,60.5,61.1,431126
2013-01-01 00:00:00,61.15,65.65,55.5,56.95,712569
2013-02-01 00:00:00,57.9,60.45,51.7,54.1,238775
2013-03-01 00:00:00,53.75,56.0,45.3,46.75,194300
2013-04-01 00:00:00,46.95,50.8,45.0,46.1,164388
2013-05-01 00:00:00,46.55,50.7,41.9,42.15,161052
2013-06-01 00:00:00,42.15,42.15,38.0,39.85,108869
2013-07-01 00:00:00,39.9,41.5,32.2,33.4,104043
2013-08-01 00:00:00,33.25,44.7,29.75,42.45,348357
2013-09-01 00:00:00,42.2,46.4,36.15,37.0,350233
2013-10-01 00:00:00,37.8,41.8,37.15,39.8,101537
2013-11-01 00:00:00,39.5,49.7,38.75,39.6,305379
2013-12-01 00:00:00,40.0,53.3,39.6,50.7,980102
2014-01-01 00:00:00,51.5,59.45,43.75,45.95,1286889
2014-02-01 00:00:00,46.75,49.85,43.15,46.4,325991
2014-03-01 00:00:00,46.05,51.65,45.25,47.85,468189
2014-04-01 00:00:00,47.9,54.9,44.85,48.5,611090
2014-05-01 00:00:00,48.5,75.0,46.0,60.75,2586580
2014-06-01 00:00:00,60.65,71.4,59.0,67.5,2685334
2014-07-01 00:00:00,68.0,70.35,57.1,60.85,504931
2014-08-01 00:00:00,60.85,68.2,52.15,58.15,1958007
2014-09-01 00:00:00,58.0,75.65,56.7,63.05,2965846
2014-10-01 00:00:00,78.4,78.4,63.0,66.25,1788221
2014-11-01 00:00:00,66.35,68.8,56.7,59.1,809726
2014-12-01 00:00:00,59.0,60.95,48.8,53.35,692889
2015-01-01 00:00:00,53.4,57.0,49.5,50.1,1025253
2015-02-01 00:00:00,49.0,54.8,45.1,48.3,452052
2015-03-01 00:00:00,48.2,52.5,41.4,43.2,716099
2015-04-01 00:00:00,44.0,54.0,43.9,48.8,354097
2015-05-01 00:00:00,46.65,49.5,43.0,44.35,212563
2015-06-01 00:00:00,44.7,47.7,39.1,41.45,136782
2015-07-01 00:00:00,41.8,52.85,41.6,49.5,1241486
2015-08-01 00:00:00,49.35,63.85,43.0,46.3,3408847
2015-09-01 00:00:00,46.0,48.4,42.0,44.65,335599
2015-10-01 00:00:00,44.55,51.95,43.2,49.15,736350
2015-11-01 00:00:00,46.4,60.9,43.05,54.45,1849493
2015-12-01 00:00:00,54.85,65.0,53.0,61.4,7046229
2016-01-01 00:00:00,61.25,66.6,48.7,55.6,2116515
2016-02-01 00:00:00,55.9,56.0,39.95,40.15,509259
2016-03-01 00:00:00,40.0,54.2,39.6,49.6,1783713
2016-04-01 00:00:00,50.45,74.75,49.4,66.65,4641893
2016-05-01 00:00:00,66.5,68.95,55.8,56.7,1282832
2016-06-01 00:00:00,57.6,75.8,55.6,69.8,6086400
2016-07-01 00:00:00,70.6,93.6,70.0,85.15,13256189
2016-08-01 00:00:00,84.1,86.15,69.95,73.75,3165870
2016-09-01 00:00:00,73.85,83.4,68.0,71.6,3484595
2016-10-01 00:00:00,72.1,81.5,71.95,75.1,3333826
2016-11-01 00:00:00,76.0,77.8,55.2,63.5,992756
2016-12-01 00:00:00,63.6,71.5,60.2,68.6,1677590
2017-01-01 00:00:00,68.1,85.4,65.9,79.5,5512185
2017-02-01 00:00:00,79.4,94.35,78.55,88.6,5099516
2017-03-01 00:00:00,88.25,91.5,80.1,83.6,2512186
2017-04-01 00:00:00,82.6,101.9,82.1,97.15,4606386
2017-05-01 00:00:00,97.15,102.45,79.2,82.2,3004074
2017-06-01 00:00:00,82.55,86.6,74.0,76.1,1838202
2017-07-01 00:00:00,76.85,85.8,74.7,85.3,2367339
2017-08-01 00:00:00,86.0,86.2,70.35,80.2,2500765
2017-09-01 00:00:00,80.2,81.9,72.0,73.4,1619155
2017-10-01 00:00:00,73.4,82.5,73.25,79.15,1408139
2017-11-01 00:00:00,79.95,124.85,79.2,118.95,16921975
2017-12-01 00:00:00,120.1,123.0,88.75,98.45,3892653
2018-01-01 00:00:00,97.55,99.45,82.55,85.25,1004095
2018-02-01 00:00:00,85.0,92.75,76.35,84.5,534245
2018-03-01 00:00:00,85.45,86.0,71.25,73.4,651575
2018-04-01 00:00:00,74.55,115.5,74.2,112.4,3316258
2018-05-01 00:00:00,112.4,124.75,92.5,96.3,1829274
2018-06-01 00:00:00,94.0,111.0,79.7,93.95,3975679
2018-07-01 00:00:00,94.85,98.0,81.8,89.0,1246373
2018-08-01 00:00:00,89.5,108.65,83.2,104.3,3407693
2018-09-01 00:00:00,104.4,112.2,81.6,83.15,1653449
2018-10-01 00:00:00,83.3,96.9,76.0,84.4,1473092
2018-11-01 00:00:00,85.3,92.45,81.0,81.2,791401
2018-12-01 00:00:00,82.35,86.95,79.45,85.65,663693
2019-01-01 00:00:00,85.45,88.3,77.15,78.95,887859
2019-02-01 00:00:00,79.65,80.8,61.7,67.5,428599
2019-03-01 00:00:00,68.4,79.4,67.45,70.75,670433
2019-04-01 00:00:00,71.65,73.6,66.0,66.65,530673
2019-05-01 00:00:00,66.65,74.8,62.15,69.75,358842
2019-06-01 00:00:00,69.55,75.8,62.45,72.2,520288
2019-07-01 00:00:00,72.95,74.1,50.15,51.35,349534
