,Open,High,Low,Close,Volume
2020-07-30 09:15:00,92.5,92.55,92.0,92.05,1218.0
2020-07-30 09:17:00,92.05,92.05,91.25,91.5,762.0
2020-07-30 09:19:00,91.6,92.25,91.6,92.0,1111.0
2020-07-30 09:21:00,92.0,92.0,91.25,91.9,931.0
2020-07-30 09:23:00,91.45,91.75,91.45,91.55,1148.0
2020-07-30 09:25:00,91.55,91.55,90.5,90.65,2600.0
2020-07-30 09:27:00,90.45,91.45,90.35,91.15,8371.0
2020-07-30 09:29:00,91.1,91.3,91.1,91.1,547.0
2020-07-30 09:31:00,91.1,91.65,91.1,91.65,1465.0
2020-07-30 09:33:00,91.4,91.6,91.35,91.6,187.0
2020-07-30 09:35:00,91.2,91.2,90.45,91.05,1275.0
2020-07-30 09:37:00,90.75,91.0,90.6,91.0,548.0
2020-07-30 09:39:00,91.3,91.3,90.95,91.15,193.0
2020-07-30 09:41:00,91.1,91.25,90.95,91.25,234.0
2020-07-30 09:43:00,91.3,91.3,91.15,91.2,305.0
2020-07-30 09:45:00,91.2,91.3,91.15,91.3,1194.0
2020-07-30 09:47:00,91.35,91.55,91.1,91.5,4462.0
2020-07-30 09:49:00,91.15,91.3,90.9,91.0,485.0
2020-07-30 09:51:00,90.9,91.0,90.9,91.0,4.0
2020-07-30 09:53:00,90.95,91.0,90.8,91.0,355.0
2020-07-30 09:55:00,91.15,91.15,91.1,91.15,125.0
2020-07-30 09:57:00,91.15,91.15,91.05,91.15,510.0
2020-07-30 09:59:00,91.15,91.15,91.15,91.15,0.0
2020-07-30 10:01:00,91.2,91.2,90.65,90.65,2060.0
2020-07-30 10:03:00,90.15,90.55,89.6,89.7,1782.0
2020-07-30 10:05:00,89.9,89.9,89.9,89.9,99.0
2020-07-30 10:07:00,90.0,90.0,89.6,89.7,1250.0
2020-07-30 10:09:00,89.8,89.95,89.6,89.6,619.0
2020-07-30 10:11:00,89.6,89.6,89.6,89.6,0.0
2020-07-30 10:13:00,89.65,89.8,89.6,89.8,242.0
2020-07-30 10:15:00,89.8,91.5,89.8,91.5,9819.0
2020-07-30 10:17:00,91.55,92.65,91.55,92.65,6801.0
2020-07-30 10:19:00,92.7,93.75,92.6,93.6,9850.0
2020-07-30 10:21:00,93.6,93.6,90.9,92.45,35512.0
2020-07-30 10:23:00,92.45,93.1,92.05,93.0,15482.0
2020-07-30 10:25:00,93.35,93.35,92.95,93.15,7432.0
2020-07-30 10:27:00,92.95,93.1,92.5,92.6,1565.0
2020-07-30 10:29:00,92.55,93.1,92.55,93.1,1592.0
2020-07-30 10:31:00,92.9,93.0,92.65,93.0,506.0
2020-07-30 10:33:00,93.0,93.0,92.7,92.7,905.0
2020-07-30 10:35:00,92.75,92.75,92.75,92.75,0.0
