,Open,High,Low,Close,Volume
2014-06-16 00:00:00,190.15,190.15,179.65,181.27,522
2014-06-23 00:00:00,179.65,193.71,174.72,187.02,2883
2014-06-30 00:00:00,183.49,200.75,179.69,197.55,44679
2014-07-07 00:00:00,197.23,202.87,188.35,191.24,12691
2014-07-14 00:00:00,191.24,211.32,190.19,198.22,66383
2014-07-21 00:00:00,206.39,206.39,185.26,196.35,6135
2014-07-28 00:00:00,190.89,198.64,190.33,196.98,23618
2014-08-04 00:00:00,196.98,231.74,195.89,197.26,39914
2014-08-11 00:00:00,193.95,207.02,192.09,201.88,10127
2014-08-18 00:00:00,198.64,201.46,192.3,192.37,5761
2014-08-25 00:00:00,193.71,202.48,191.59,194.87,13996
2014-09-01 00:00:00,199.27,202.87,191.77,197.23,8650
2014-09-08 00:00:00,199.34,209.84,195.12,203.29,26984
2014-09-15 00:00:00,225.3,267.6,202.87,258.62,241942
2014-09-22 00:00:00,264.85,264.85,224.0,231.71,112338
2014-09-29 00:00:00,231.04,234.56,222.06,226.46,19111
2014-10-06 00:00:00,226.46,232.38,210.09,213.11,35115
2014-10-13 00:00:00,213.43,216.95,207.79,210.86,18360
2014-10-20 00:00:00,208.85,214.7,206.39,211.56,7518
2014-10-27 00:00:00,214.84,234.84,214.13,218.75,38443
2014-11-03 00:00:00,221.74,221.74,210.65,211.46,24163
2014-11-10 00:00:00,216.14,221.53,212.02,217.48,22906
2014-11-17 00:00:00,220.44,223.15,200.75,217.66,187199
2014-11-24 00:00:00,214.84,220.37,212.06,216.28,48511
2014-12-01 00:00:00,219.74,239.46,214.88,232.55,73864
2014-12-08 00:00:00,222.62,232.8,213.92,214.84,41184
2014-12-15 00:00:00,218.36,224.0,211.32,218.43,34602
2014-12-22 00:00:00,219.07,225.34,214.84,220.44,26060
2014-12-29 00:00:00,219.1,237.59,217.66,225.44,483950
2015-01-05 00:00:00,226.81,231.74,214.84,226.5,29034
2015-01-12 00:00:00,224.1,228.15,216.95,223.08,43395
2015-01-19 00:00:00,222.62,247.21,219.77,237.7,91031
2015-01-26 00:00:00,237.7,251.47,220.47,226.04,70571
2015-02-02 00:00:00,231.74,246.47,223.47,225.65,41225
2015-02-09 00:00:00,223.29,246.54,217.45,224.0,27205
2015-02-16 00:00:00,224.0,226.11,219.14,222.24,40312
2015-02-23 00:00:00,221.88,225.34,218.4,221.88,26762
2015-03-02 00:00:00,223.29,227.94,218.36,222.66,17741
2015-03-09 00:00:00,222.59,225.4,219.17,222.62,44910
2015-03-16 00:00:00,220.47,224.0,219.17,222.59,40099
2015-03-23 00:00:00,222.62,227.87,217.66,222.59,119030
2015-03-30 00:00:00,222.62,227.45,221.88,224.35,199140
2015-04-06 00:00:00,224.35,226.6,211.42,222.62,61565
2015-04-13 00:00:00,223.93,232.41,222.59,225.05,25726
2015-04-20 00:00:00,228.93,228.93,222.59,223.29,225502
2015-04-27 00:00:00,222.62,224.7,221.88,222.59,28142
2015-05-04 00:00:00,223.33,232.31,222.1,228.36,43989
2015-05-11 00:00:00,225.34,226.81,221.95,223.29,9823
2015-05-18 00:00:00,225.34,225.34,221.88,223.33,8656
2015-05-25 00:00:00,224.0,245.62,223.29,223.47,37483
2015-06-01 00:00:00,222.24,228.22,221.88,223.68,20785
2015-06-08 00:00:00,223.33,226.11,223.29,223.82,23484
2015-06-15 00:00:00,224.7,243.01,224.0,231.85,29193
2015-06-22 00:00:00,233.15,245.83,224.49,237.1,31889
2015-06-29 00:00:00,232.45,267.67,232.41,251.71,70400
2015-07-06 00:00:00,251.71,260.7,245.9,255.38,41768
2015-07-13 00:00:00,256.4,330.85,255.69,303.59,547244
2015-07-20 00:00:00,313.35,316.27,296.58,301.76,84195
2015-07-27 00:00:00,295.14,316.27,271.33,314.16,50041
2015-08-03 00:00:00,313.45,316.2,291.62,292.85,17939
2015-08-10 00:00:00,288.1,299.33,281.76,290.0,17136
2015-08-17 00:00:00,288.1,295.84,274.71,294.82,23103
2015-08-24 00:00:00,283.13,293.38,253.58,283.83,50235
2015-08-31 00:00:00,269.78,295.84,268.44,276.54,62832
2015-09-07 00:00:00,274.71,281.76,267.67,271.19,34238
2015-09-14 00:00:00,277.88,286.69,272.64,280.21,16061
2015-09-21 00:00:00,278.23,283.87,268.37,279.99,13651
2015-09-28 00:00:00,285.49,285.49,257.1,270.63,28458
2015-10-05 00:00:00,267.67,283.48,267.67,271.44,19841
2015-10-12 00:00:00,278.23,295.14,278.23,288.45,41829
2015-10-19 00:00:00,283.87,343.29,283.87,303.14,386740
2015-10-26 00:00:00,312.05,316.91,292.67,304.16,52993
2015-11-02 00:00:00,302.89,310.64,285.28,297.36,20508
2015-11-09 00:00:00,283.98,315.57,283.98,291.34,7288
2015-11-16 00:00:00,288.84,298.66,285.28,294.65,19273
2015-11-23 00:00:00,293.73,295.84,278.3,287.92,22230
2015-11-30 00:00:00,290.88,306.9,279.78,297.22,57537
2015-12-07 00:00:00,299.37,308.52,282.46,285.52,15158
2015-12-14 00:00:00,283.9,293.73,281.83,292.39,12663
2015-12-21 00:00:00,304.3,304.3,279.08,290.07,51941
2015-12-28 00:00:00,294.4,294.4,286.19,292.15,15229
2016-01-04 00:00:00,295.14,295.63,279.99,288.17,179338
2016-01-11 00:00:00,291.62,293.03,280.03,284.5,26200
2016-01-18 00:00:00,279.99,292.39,277.53,285.56,37799
2016-01-25 00:00:00,285.56,292.32,283.87,285.35,115635
2016-02-01 00:00:00,285.67,288.1,278.23,285.88,104199
2016-02-08 00:00:00,286.69,287.39,274.71,281.51,90619
2016-02-15 00:00:00,283.48,285.28,273.8,276.44,8704
2016-02-22 00:00:00,275.77,282.46,275.77,280.63,13818
2016-02-29 00:00:00,278.27,285.21,278.27,280.91,32181
2016-03-07 00:00:00,280.91,285.14,280.35,282.95,10001
2016-03-14 00:00:00,284.5,288.73,283.17,285.38,12224
2016-03-21 00:00:00,288.1,292.32,285.45,287.25,34626
2016-03-28 00:00:00,285.7,292.32,285.28,290.91,8415
2016-04-04 00:00:00,292.25,299.3,288.8,292.57,21965
2016-04-11 00:00:00,291.76,316.77,291.76,310.21,8462
2016-04-18 00:00:00,310.21,316.98,302.89,314.69,20151
2016-04-25 00:00:00,316.98,324.02,309.23,317.82,19729
2016-05-02 00:00:00,316.98,318.74,303.59,309.44,20439
2016-05-09 00:00:00,309.93,310.64,298.03,300.18,30202
2016-05-16 00:00:00,300.21,327.51,298.13,300.35,67785
2016-05-23 00:00:00,300.77,311.34,299.44,305.99,38079
2016-05-30 00:00:00,309.93,316.27,299.37,312.01,71368
2016-06-06 00:00:00,346.35,346.35,311.41,330.54,83065
2016-06-13 00:00:00,330.29,334.3,314.86,317.64,30178
2016-06-20 00:00:00,317.68,333.88,297.64,317.26,41294
2016-06-27 00:00:00,327.54,327.54,309.23,317.26,43265
2016-07-04 00:00:00,320.5,357.2,314.16,341.95,156975
2016-07-11 00:00:00,348.25,398.8,326.66,351.51,205412
2016-07-18 00:00:00,351.56,355.01,325.43,329.03,43501
2016-07-25 00:00:00,327.89,340.22,309.65,322.52,44134
2016-08-01 00:00:00,331.94,333.32,302.8,316.6,30119
2016-08-08 00:00:00,373.75,373.75,316.7,322.42,20673
2016-08-15 00:00:00,322.42,334.3,313.3,326.81,16040
2016-08-22 00:00:00,330.36,351.81,315.67,336.33,45255
2016-08-29 00:00:00,342.19,349.98,323.46,334.99,68379
2016-09-05 00:00:00,334.99,354.86,331.39,337.26,54835
