,Open,High,Low,Close,Volume
2020-07-01 09:15:00,582.3,584.2,578.5,582.85,123161
2020-07-01 09:20:00,582.85,583.0,580.1,580.95,67364
2020-07-01 09:25:00,580.5,583.5,580.2,582.25,61744
2020-07-01 09:30:00,582.25,582.45,581.05,581.1,79580
2020-07-01 09:35:00,581.05,581.95,580.5,581.25,28636
2020-07-01 09:40:00,581.45,581.9,580.7,580.9,31386
2020-07-01 09:45:00,581.0,581.45,578.5,579.0,70584
2020-07-01 09:50:00,579.35,580.0,578.7,579.8,24328
2020-07-01 09:55:00,579.8,579.8,579.0,579.25,15442
2020-07-01 10:00:00,579.15,579.5,577.85,578.7,50250
2020-07-01 10:05:00,578.7,578.9,578.1,578.3,14772
2020-07-01 10:10:00,578.2,578.9,577.75,577.75,22964
2020-07-01 10:15:00,577.5,577.9,576.0,576.65,59546
2020-07-01 10:20:00,576.65,577.25,575.4,575.9,41210
2020-07-01 10:25:00,575.6,575.95,572.1,574.3,137598
2020-07-01 10:30:00,574.0,575.15,573.25,575.0,52696
2020-07-01 10:35:00,575.25,576.15,575.0,575.15,49216
2020-07-01 10:40:00,575.15,575.4,573.4,573.6,39054
2020-07-01 10:45:00,573.6,575.05,573.05,574.9,24040
2020-07-01 10:50:00,574.55,575.0,574.35,574.4,22554
2020-07-01 10:55:00,574.65,575.1,573.5,573.95,55660
2020-07-01 11:00:00,573.8,575.1,573.8,575.1,25818
2020-07-01 11:05:00,575.0,575.05,574.55,574.95,21982
2020-07-01 11:10:00,574.5,575.0,574.1,574.4,16050
2020-07-01 11:15:00,574.4,574.85,573.35,573.7,21804
2020-07-01 11:20:00,573.7,574.15,573.5,573.7,8776
2020-07-01 11:25:00,573.8,575.85,573.1,575.15,81282
2020-07-01 11:30:00,575.15,575.95,575.0,575.5,47636
2020-07-01 11:35:00,575.45,576.0,575.25,575.8,10492
2020-07-01 11:40:00,575.8,576.0,575.2,575.45,8012
2020-07-01 11:45:00,575.05,576.0,575.0,575.0,20032
2020-07-01 11:50:00,575.05,575.45,575.0,575.45,27630
2020-07-01 11:55:00,575.05,575.5,575.0,575.2,16864
2020-07-01 12:00:00,575.4,575.4,575.0,575.1,54448
2020-07-01 12:05:00,575.0,575.75,575.0,575.2,135788
2020-07-01 12:10:00,575.2,575.5,575.0,575.2,8456
2020-07-01 12:15:00,575.15,575.45,574.9,575.0,32192
2020-07-01 12:20:00,575.0,575.15,575.0,575.0,7640
2020-07-01 12:25:00,575.05,575.25,575.0,575.0,49290
2020-07-01 12:30:00,575.0,575.25,575.0,575.25,19976
2020-07-01 12:35:00,575.2,575.5,574.95,575.3,156674
2020-07-01 12:40:00,575.5,576.0,574.95,574.95,74448
2020-07-01 12:45:00,575.45,575.7,574.45,574.9,37594
2020-07-01 12:50:00,574.9,575.05,574.45,574.7,29790
2020-07-01 12:55:00,574.7,575.65,574.55,575.25,29756
2020-07-01 13:00:00,575.35,575.5,574.7,574.9,136108
2020-07-01 13:05:00,574.9,575.2,574.2,574.35,23332
2020-07-01 13:10:00,574.5,574.5,573.0,573.6,28048
2020-07-01 13:15:00,573.55,574.5,573.3,574.2,23914
2020-07-01 13:20:00,574.0,574.9,574.0,574.8,62488
2020-07-01 13:25:00,574.8,574.8,574.05,574.8,5848
2020-07-01 13:30:00,574.55,574.9,574.55,574.75,12638
2020-07-01 13:35:00,575.0,575.3,574.15,574.15,28504
2020-07-01 13:40:00,574.35,574.65,574.1,574.1,6480
2020-07-01 13:45:00,574.05,574.5,574.0,574.5,55956
2020-07-01 13:50:00,574.5,574.9,574.0,574.4,16042
2020-07-01 13:55:00,574.4,575.3,574.4,575.0,10908
2020-07-01 14:00:00,575.0,575.65,574.65,575.1,32234
2020-07-01 14:05:00,575.1,575.55,574.8,575.1,6014
2020-07-01 14:10:00,575.1,575.1,574.65,574.85,3454
2020-07-01 14:15:00,574.75,575.4,574.75,574.8,8680
2020-07-01 14:20:00,574.8,575.35,574.2,575.3,10194
2020-07-01 14:25:00,575.1,575.2,574.55,575.0,3796
2020-07-01 14:30:00,574.75,574.95,574.4,574.85,6792
2020-07-01 14:35:00,574.8,575.0,574.3,574.45,16266
2020-07-01 14:40:00,574.4,574.85,574.35,574.6,8158
2020-07-01 14:45:00,574.5,574.5,574.0,574.0,31566
2020-07-01 14:50:00,574.0,574.6,574.0,574.4,13152
2020-07-01 14:55:00,574.35,575.2,574.25,574.75,17176
2020-07-01 15:00:00,574.95,574.95,574.2,574.5,28060
2020-07-01 15:05:00,574.5,574.6,574.0,574.2,37630
2020-07-01 15:10:00,574.2,574.85,574.0,574.5,83964
2020-07-01 15:15:00,574.65,575.15,574.2,574.8,82520
2020-07-01 15:20:00,574.95,575.2,574.05,574.1,76022
2020-07-01 15:25:00,574.15,575.3,574.0,574.0,61364
2020-07-02 09:15:00,577.9,582.5,577.9,581.95,82593
2020-07-02 09:20:00,582.35,582.35,579.1,580.2,66302
2020-07-02 09:25:00,580.2,583.0,580.2,582.6,95772
2020-07-02 09:30:00,582.9,582.9,580.1,580.55,33754
2020-07-02 09:35:00,580.85,581.5,580.5,581.05,13158
2020-07-02 09:40:00,581.0,581.5,579.65,580.85,27898
2020-07-02 09:45:00,580.9,581.0,579.65,579.9,19320
2020-07-02 09:50:00,579.9,579.95,578.2,578.65,42220
2020-07-02 09:55:00,579.2,579.95,578.85,579.0,19166
2020-07-02 10:00:00,579.0,579.25,578.2,578.2,15994
2020-07-02 10:05:00,578.15,580.35,578.0,578.45,60812
2020-07-02 10:10:00,578.85,579.5,578.4,579.4,7630
2020-07-02 10:15:00,579.4,579.6,578.1,578.35,22016
2020-07-02 10:20:00,578.05,578.05,576.5,577.0,46722
2020-07-02 10:25:00,576.7,577.9,576.6,577.0,12594
2020-07-02 10:30:00,577.05,578.15,577.0,577.8,12390
2020-07-02 10:35:00,577.5,578.05,576.6,577.35,8538
2020-07-02 10:40:00,577.35,577.65,576.3,576.75,22170
2020-07-02 10:45:00,576.6,577.35,576.45,577.3,11628
2020-07-02 10:50:00,577.0,577.0,576.5,576.85,5580
2020-07-02 10:55:00,577.15,577.7,577.15,577.3,15226
2020-07-02 11:00:00,577.0,578.5,576.85,577.95,13046
2020-07-02 11:05:00,577.8,578.35,577.0,577.2,16556
2020-07-02 11:10:00,576.95,577.35,576.3,577.2,28108
2020-07-02 11:15:00,576.65,581.0,576.65,580.55,94340
2020-07-02 11:20:00,580.3,580.95,580.05,580.2,27666
2020-07-02 11:25:00,580.2,581.5,580.0,581.4,42594
2020-07-02 11:30:00,581.45,581.6,580.5,580.9,15914
2020-07-02 11:35:00,580.9,584.0,580.9,583.8,130046
2020-07-02 11:40:00,583.8,583.85,582.55,583.0,41790
2020-07-02 11:45:00,583.0,583.5,581.6,582.0,26902
2020-07-02 11:50:00,581.6,582.7,581.6,582.45,13916
2020-07-02 11:55:00,582.35,582.9,582.0,582.8,24492
2020-07-02 12:00:00,582.5,583.0,582.0,582.7,22900
2020-07-02 12:05:00,582.65,583.5,582.65,583.35,12224
2020-07-02 12:10:00,583.5,583.6,582.5,583.45,28420
2020-07-02 12:15:00,583.6,583.6,582.85,583.2,12784
2020-07-02 12:20:00,583.3,584.0,581.65,581.95,89234
2020-07-02 12:25:00,581.8,582.9,581.75,582.85,32220
2020-07-02 12:30:00,583.25,583.45,582.45,582.95,16192
2020-07-02 12:35:00,582.7,583.4,582.15,583.25,13780
2020-07-02 12:40:00,583.15,583.95,583.0,583.95,25766
2020-07-02 12:45:00,584.0,584.05,583.1,583.7,25626
2020-07-02 12:50:00,583.75,583.85,582.9,583.35,15158
2020-07-02 12:55:00,583.35,583.75,583.15,583.6,7722
2020-07-02 13:00:00,583.25,583.6,583.05,583.05,8594
2020-07-02 13:05:00,583.0,583.1,582.05,582.6,21966
2020-07-02 13:10:00,582.6,582.95,582.5,582.5,21192
2020-07-02 13:15:00,582.5,584.0,582.45,583.6,15312
2020-07-02 13:20:00,583.3,583.6,582.6,583.0,16590
2020-07-02 13:25:00,582.9,583.0,582.0,582.35,24734
2020-07-02 13:30:00,582.3,582.85,582.1,582.2,21758
2020-07-02 13:35:00,582.3,582.5,581.2,582.0,38216
2020-07-02 13:40:00,581.75,582.55,581.7,582.0,15318
2020-07-02 13:45:00,582.35,582.75,582.05,582.35,15728
2020-07-02 13:50:00,582.25,582.8,582.0,582.5,20852
2020-07-02 13:55:00,582.6,582.95,582.05,582.2,20492
2020-07-02 14:00:00,582.3,582.7,581.55,581.6,24364
2020-07-02 14:05:00,581.6,582.0,581.0,581.5,31962
2020-07-02 14:10:00,581.55,582.0,581.0,581.95,36876
2020-07-02 14:15:00,581.55,581.85,581.0,581.5,32440
2020-07-02 14:20:00,581.2,581.5,580.35,580.55,31546
2020-07-02 14:25:00,580.55,581.0,580.4,580.55,28750
2020-07-02 14:30:00,580.55,581.0,580.5,580.55,34628
2020-07-02 14:35:00,580.55,581.45,580.5,581.0,48390
2020-07-02 14:40:00,580.75,581.4,580.6,580.95,46602
2020-07-02 14:45:00,580.6,581.0,580.4,580.9,24930
2020-07-02 14:50:00,581.0,581.05,580.4,580.8,27288
2020-07-02 14:55:00,580.8,580.95,580.05,580.55,26542
2020-07-02 15:00:00,580.55,581.4,580.25,580.25,77890
2020-07-02 15:05:00,580.35,581.3,580.25,581.0,126314
2020-07-02 15:10:00,581.0,581.65,580.8,581.3,137998
2020-07-02 15:15:00,581.5,582.0,581.3,581.4,68680
2020-07-02 15:20:00,581.4,581.7,581.05,581.25,60580
2020-07-02 15:25:00,581.25,581.55,580.0,581.05,61838
2020-07-03 09:15:00,584.0,588.9,583.2,584.4,76292
2020-07-03 09:20:00,584.65,586.6,584.15,585.25,91748
2020-07-03 09:25:00,585.0,586.0,584.35,585.0,43610
2020-07-03 09:30:00,585.15,586.7,584.55,586.3,55996
2020-07-03 09:35:00,586.25,586.65,585.05,585.2,33284
2020-07-03 09:40:00,585.2,585.35,584.0,585.25,65976
2020-07-03 09:45:00,584.6,585.9,584.15,585.2,23344
2020-07-03 09:50:00,585.55,586.15,585.15,585.15,19776
2020-07-03 09:55:00,585.5,587.0,585.0,586.75,76370
2020-07-03 10:00:00,586.75,588.5,586.05,587.35,76980
2020-07-03 10:05:00,587.5,588.0,586.9,587.0,24948
2020-07-03 10:10:00,587.0,587.35,586.1,586.7,17220
2020-07-03 10:15:00,586.75,587.0,586.15,586.6,18386
2020-07-03 10:20:00,586.75,587.35,585.5,585.5,42966
2020-07-03 10:25:00,585.65,587.5,585.65,587.25,20774
2020-07-03 10:30:00,587.45,587.9,587.05,587.05,18828
2020-07-03 10:35:00,587.05,587.1,586.2,586.6,17358
2020-07-03 10:40:00,586.2,586.6,585.15,585.7,18456
2020-07-03 10:45:00,585.7,586.6,585.5,586.3,11066
2020-07-03 10:50:00,586.2,586.2,585.6,586.2,9298
2020-07-03 10:55:00,586.15,586.15,584.6,585.8,22144
2020-07-03 11:00:00,585.75,586.0,585.0,585.6,10382
2020-07-03 11:05:00,586.0,586.0,584.6,584.7,16860
2020-07-03 11:10:00,584.7,584.95,584.0,584.8,35834
2020-07-03 11:15:00,584.5,584.8,583.25,583.8,38724
2020-07-03 11:20:00,583.95,584.0,583.5,583.7,13046
2020-07-03 11:25:00,583.7,583.9,582.0,582.7,62184
2020-07-03 11:30:00,582.75,584.35,582.6,583.95,25638
2020-07-03 11:35:00,583.95,586.3,583.95,585.85,48128
2020-07-03 11:40:00,586.25,586.3,585.5,586.3,19522
2020-07-03 11:45:00,586.4,587.3,586.1,586.1,35796
2020-07-03 11:50:00,586.3,586.7,586.0,586.25,13878
2020-07-03 11:55:00,586.3,586.3,584.95,585.55,22260
2020-07-03 12:00:00,585.85,585.85,585.1,585.5,9150
2020-07-03 12:05:00,585.15,585.8,585.05,585.4,11522
2020-07-03 12:10:00,585.4,586.0,585.4,585.8,9144
2020-07-03 12:15:00,585.5,586.0,585.45,586.0,14384
2020-07-03 12:20:00,586.0,586.5,585.85,586.05,16856
2020-07-03 12:25:00,586.05,586.05,585.3,585.8,5440
2020-07-03 12:30:00,585.9,586.05,585.35,585.7,8794
2020-07-03 12:35:00,585.4,585.7,584.4,584.45,26024
2020-07-03 12:40:00,585.0,585.1,584.5,585.05,8754
2020-07-03 12:45:00,584.65,584.9,584.1,584.5,15338
2020-07-03 12:50:00,584.6,585.0,584.25,584.5,14522
2020-07-03 12:55:00,584.5,585.0,584.25,585.0,8402
2020-07-03 13:00:00,585.15,585.35,584.0,584.8,24672
2020-07-03 13:05:00,584.55,584.75,584.1,584.25,8898
2020-07-03 13:10:00,584.25,584.35,583.35,583.75,39962
2020-07-03 13:15:00,583.55,584.0,583.4,583.9,12880
2020-07-03 13:20:00,583.9,584.3,583.75,584.3,5134
2020-07-03 13:25:00,584.3,584.4,583.0,583.2,22772
2020-07-03 13:30:00,583.2,583.3,581.7,583.2,65116
2020-07-03 13:35:00,582.9,583.05,582.0,582.3,17418
2020-07-03 13:40:00,582.6,582.6,581.2,581.9,20144
2020-07-03 13:45:00,581.8,583.2,581.8,583.0,10676
2020-07-03 13:50:00,582.8,583.95,582.65,583.25,37164
2020-07-03 13:55:00,583.1,583.95,583.0,583.6,13568
2020-07-03 14:00:00,583.55,583.55,582.55,582.9,8252
2020-07-03 14:05:00,582.95,582.95,582.0,582.0,8882
2020-07-03 14:10:00,582.0,582.8,582.0,582.4,6240
2020-07-03 14:15:00,582.7,582.7,581.75,582.0,49932
2020-07-03 14:20:00,581.8,582.75,581.8,581.9,9900
2020-07-03 14:25:00,582.25,582.55,581.5,581.5,14476
2020-07-03 14:30:00,581.25,581.5,579.5,580.1,82814
2020-07-03 14:35:00,579.75,580.6,578.3,578.9,34288
2020-07-03 14:40:00,578.6,580.2,578.15,580.2,36822
2020-07-03 14:45:00,580.2,580.9,580.0,580.8,29642
2020-07-03 14:50:00,580.7,580.95,580.05,580.3,28710
2020-07-03 14:55:00,580.55,580.85,580.25,580.3,10170
2020-07-03 15:00:00,580.3,580.7,580.25,580.5,31134
2020-07-03 15:05:00,580.3,581.0,580.0,580.55,35118
2020-07-03 15:10:00,580.15,580.65,579.6,580.1,66172
2020-07-03 15:15:00,580.5,580.65,579.7,580.4,143658
2020-07-03 15:20:00,580.35,580.35,579.35,579.4,52560
2020-07-03 15:25:00,579.35,580.4,578.55,580.05,58852
2020-07-06 09:15:00,580.3,583.05,578.75,580.5,30980
2020-07-06 09:20:00,580.5,582.95,580.3,582.0,45418
2020-07-06 09:25:00,582.05,582.3,581.0,582.1,21352
2020-07-06 09:30:00,582.1,583.5,581.25,581.8,51270
2020-07-06 09:35:00,581.8,582.55,581.3,582.5,14424
2020-07-06 09:40:00,582.2,582.8,581.0,581.1,20476
2020-07-06 09:45:00,580.9,581.55,580.55,580.65,19352
2020-07-06 09:50:00,580.65,581.65,579.9,581.05,26762
2020-07-06 09:55:00,581.05,583.45,581.05,583.45,45348
2020-07-06 10:00:00,583.05,584.9,583.0,584.7,74742
2020-07-06 10:05:00,584.85,585.8,583.9,583.9,103228
2020-07-06 10:10:00,583.9,584.4,583.5,584.0,35582
2020-07-06 10:15:00,584.0,584.85,583.8,584.7,30928
2020-07-06 10:20:00,584.45,585.0,583.7,584.0,36552
2020-07-06 10:25:00,584.0,584.0,582.3,583.75,24356
2020-07-06 10:30:00,583.45,584.0,583.05,583.1,15754
2020-07-06 10:35:00,583.5,583.9,582.65,582.7,10178
2020-07-06 10:40:00,583.0,584.0,582.85,584.0,10120
2020-07-06 10:45:00,584.0,584.4,583.95,584.2,22194
2020-07-06 10:50:00,584.0,584.5,583.6,584.2,12294
2020-07-06 10:55:00,584.2,584.35,583.2,583.7,4950
2020-07-06 11:00:00,583.7,584.0,583.2,583.7,4480
2020-07-06 11:05:00,583.7,584.0,583.4,583.8,7186
2020-07-06 11:10:00,583.8,584.0,583.5,584.0,17024
2020-07-06 11:15:00,583.95,585.4,583.95,585.0,31240
2020-07-06 11:20:00,585.0,585.2,584.15,584.65,11230
2020-07-06 11:25:00,584.9,585.4,584.5,585.4,13348
2020-07-06 11:30:00,585.15,585.3,584.25,584.5,9888
2020-07-06 11:35:00,584.35,584.35,581.2,581.95,87768
2020-07-06 11:40:00,581.75,582.1,580.95,582.0,59894
2020-07-06 11:45:00,581.85,582.35,581.65,582.25,18020
2020-07-06 11:50:00,582.5,583.0,581.9,582.85,108256
2020-07-06 11:55:00,582.85,583.4,582.0,583.2,27902
