,Open,High,Low,Close,Volume
2002-07-01 00:00:00,1.65,1.69,1.5,1.56,346118400
2002-08-01 00:00:00,1.62,1.62,1.48,1.58,302816000
2002-09-01 00:00:00,1.62,1.62,1.48,1.52,267724800
2002-10-01 00:00:00,1.6,1.6,1.39,1.44,269056000
2002-11-01 00:00:00,1.5,1.5,1.4,1.41,62169600
2002-12-01 00:00:00,1.44,1.51,1.26,1.41,20966400
2003-01-01 00:00:00,1.5,1.5,1.34,1.43,60652800
2003-02-01 00:00:00,1.48,1.49,1.34,1.39,27040000
2003-03-01 00:00:00,1.44,1.49,1.19,1.46,50720000
2003-04-01 00:00:00,1.5,1.5,1.31,1.37,13657600
2003-05-01 00:00:00,1.38,1.46,1.31,1.39,248313600
2003-06-01 00:00:00,1.39,1.56,1.33,1.39,35347200
2003-07-01 00:00:00,1.41,2.09,1.38,1.96,1798035200
2003-08-01 00:00:00,1.95,2.44,1.88,2.23,10527686400
2003-09-01 00:00:00,2.24,2.57,2.1,2.52,11397868800
2003-10-01 00:00:00,2.54,3.09,2.49,2.74,12535673600
2003-11-01 00:00:00,2.71,3.12,2.56,2.83,9709350560
2003-12-01 00:00:00,2.87,3.92,2.85,3.83,13103564800
2004-01-01 00:00:00,3.9,4.22,3.17,3.21,5979382400
2004-02-01 00:00:00,3.22,3.42,2.85,2.97,2950876800
2004-03-01 00:00:00,3.02,3.38,2.58,2.74,2622649600
2004-04-01 00:00:00,2.82,6.2,2.78,2.85,1638907920
2004-05-01 00:00:00,2.91,3.3,2.33,2.59,1647171200
2004-06-01 00:00:00,2.65,2.92,2.54,2.62,3042380800
2004-07-01 00:00:00,2.67,3.3,2.6,3.13,6404505600
2004-08-01 00:00:00,3.17,3.72,3.07,3.6,21148572800
2004-09-01 00:00:00,3.61,4.05,3.12,4.0,9266950400
2004-10-01 00:00:00,4.04,8.62,3.91,4.37,4402558960
2004-11-01 00:00:00,4.32,4.84,4.07,4.51,3025187200
2004-12-01 00:00:00,4.55,7.25,4.38,6.97,5230384000
2005-01-01 00:00:00,7.12,7.12,5.39,6.43,2786342400
2005-02-01 00:00:00,6.45,7.94,6.45,6.92,5933232000
2005-03-01 00:00:00,6.89,7.62,5.95,6.61,2182672000
2005-04-01 00:00:00,6.68,7.9,6.21,7.73,2456809600
2005-05-01 00:00:00,7.75,10.0,7.65,9.45,8012156800
2005-06-01 00:00:00,9.25,19.36,9.25,9.75,1601254360
2005-07-01 00:00:00,9.77,16.09,9.62,15.22,5481911440
2005-08-01 00:00:00,15.27,16.0,14.01,14.73,1348803200
2005-09-01 00:00:00,14.6,18.81,14.6,17.49,1071412800
2005-10-01 00:00:00,17.01,19.45,16.25,17.22,953535200
2005-11-01 00:00:00,17.49,20.35,16.85,18.23,932004120
2005-12-01 00:00:00,18.35,21.05,17.98,19.82,674840000
2006-01-01 00:00:00,20.12,21.94,19.35,19.56,226953600
2006-02-01 00:00:00,19.84,22.22,18.85,21.7,293559200
2006-03-01 00:00:00,22.23,29.39,21.6,27.28,784711600
2006-04-01 00:00:00,27.75,33.22,25.05,30.12,301349320
2006-05-01 00:00:00,30.75,39.22,28.6,30.51,837943600
2006-06-01 00:00:00,31.5,31.5,19.51,27.57,432985200
2006-07-01 00:00:00,28.25,31.95,25.6,29.78,258245910
2006-08-01 00:00:00,29.8,30.8,27.7,28.33,10340180
2006-09-01 00:00:00,28.6,31.1,27.3,30.56,13869750
2006-10-01 00:00:00,30.6,34.47,30.15,31.07,41205890
2006-11-01 00:00:00,31.4,34.0,30.0,33.42,25775200
2006-12-01 00:00:00,34.8,38.6,31.13,37.26,20302280
2007-01-01 00:00:00,37.35,53.78,36.3,48.86,56991170
2007-02-01 00:00:00,49.47,53.3,38.15,45.6,37649190
2007-03-01 00:00:00,45.5,50.54,40.11,43.65,22848680
2007-04-01 00:00:00,43.0,50.0,40.73,45.73,7356570
2007-05-01 00:00:00,46.38,51.9,46.0,48.88,14194310
2007-06-01 00:00:00,49.19,51.2,45.5,48.24,12166570
2007-07-01 00:00:00,48.9,56.6,46.51,49.9,25532920
2007-08-01 00:00:00,49.66,51.3,35.47,50.89,9503530
2007-09-01 00:00:00,51.4,54.08,46.04,50.46,20624790
2007-10-01 00:00:00,49.5,74.67,48.6,63.88,67466290
2007-11-01 00:00:00,64.57,70.6,58.5,62.52,18273770
2007-12-01 00:00:00,63.77,73.0,61.3,69.81,21710840
2008-01-01 00:00:00,70.49,71.9,38.55,56.18,21304510
2008-02-01 00:00:00,58.2,59.5,50.5,55.79,4613550
2008-03-01 00:00:00,50.73,55.7,39.22,46.74,5144570
2008-04-01 00:00:00,48.72,52.3,45.6,51.04,7124360
2008-05-01 00:00:00,51.0,52.3,42.45,47.84,5761120
2008-06-01 00:00:00,48.79,48.8,33.51,34.06,6917140
2008-07-01 00:00:00,34.2,44.99,31.0,35.81,13330900
2008-08-01 00:00:00,35.81,40.2,34.53,35.99,3288780
2008-09-01 00:00:00,35.52,37.5,27.2,29.8,5455840
2008-10-01 00:00:00,31.0,31.0,13.62,17.31,10820190
2008-11-01 00:00:00,19.4,19.9,11.36,11.58,2728100
2008-12-01 00:00:00,11.9,13.99,10.51,12.26,10979690
2009-01-01 00:00:00,12.3,14.59,10.7,11.6,10317280
2009-02-01 00:00:00,11.43,12.9,10.44,10.61,6689410
2009-03-01 00:00:00,10.6,16.0,10.0,14.44,18733150
2009-04-01 00:00:00,14.38,17.84,12.12,15.1,8018130
2009-05-01 00:00:00,15.1,29.29,15.1,27.17,177492560
2009-06-01 00:00:00,27.5,33.49,23.62,25.91,27163480
2009-07-01 00:00:00,25.8,31.79,21.56,29.97,41099400
2009-08-01 00:00:00,30.47,31.4,26.01,29.69,13648740
2009-09-01 00:00:00,29.85,32.77,28.8,31.28,45975470
2009-10-01 00:00:00,31.01,35.27,29.6,30.41,50062200
2009-11-01 00:00:00,30.58,37.3,28.08,36.67,32128610
2009-12-01 00:00:00,37.0,60.27,36.8,51.47,249771390
2010-01-01 00:00:00,51.42,63.38,51.15,55.33,239605360
2010-02-01 00:00:00,55.47,58.3,51.34,51.88,112025500
2010-03-01 00:00:00,52.85,61.14,51.5,59.72,137463880
2010-04-01 00:00:00,60.01,67.36,53.0,61.33,127232800
2010-05-01 00:00:00,61.0,63.25,54.2,56.86,36842950
2010-06-01 00:00:00,56.59,65.57,56.03,62.81,131095390
2010-07-01 00:00:00,62.1,69.3,61.9,65.96,77271940
2010-08-01 00:00:00,66.34,84.9,66.11,79.27,143862940
2010-09-01 00:00:00,79.79,82.3,76.81,80.15,41244630
2010-10-01 00:00:00,80.6,89.19,80.25,82.88,44946925
2010-11-01 00:00:00,83.83,84.6,71.56,76.37,23717720
2010-12-01 00:00:00,77.8,82.97,72.4,79.26,23832385
2011-01-01 00:00:00,79.99,80.38,65.22,69.12,9782935
2011-02-01 00:00:00,69.8,69.8,58.0,63.4,16645135
2011-03-01 00:00:00,64.4,76.78,63.27,74.14,33556030
2011-04-01 00:00:00,74.74,84.54,63.6,79.4,29023985
2011-05-01 00:00:00,79.94,83.2,62.52,81.89,29937150
2011-06-01 00:00:00,82.02,90.25,75.2,76.9,58174900
2011-07-01 00:00:00,77.55,80.77,71.19,72.61,49794405
2011-08-01 00:00:00,73.2,74.34,62.67,67.01,30030925
2011-09-01 00:00:00,67.41,75.0,65.98,73.09,19254895
2011-10-01 00:00:00,73.0,74.39,67.2,71.09,12259975
2011-11-01 00:00:00,70.8,86.16,70.8,82.75,47515195
2011-12-01 00:00:00,83.7,89.05,73.2,77.04,32114185
2012-01-01 00:00:00,77.04,96.96,76.95,96.19,33233590
2012-02-01 00:00:00,96.0,120.34,94.4,108.52,48556585
2012-03-01 00:00:00,108.4,123.16,100.6,114.42,38506445
2012-04-01 00:00:00,113.95,121.16,108.24,111.06,23650475
2012-05-01 00:00:00,111.45,120.59,102.86,111.81,34366540
2012-06-01 00:00:00,111.34,116.88,102.65,116.64,26563020
2012-07-01 00:00:00,117.47,122.75,106.56,107.34,31498075
2012-08-01 00:00:00,107.6,112.7,105.68,108.77,19399365
2012-09-01 00:00:00,108.82,127.33,108.5,124.9,22259430
2012-10-01 00:00:00,123.0,141.67,112.82,115.39,27404385
2012-11-01 00:00:00,115.94,121.3,112.93,114.76,21085875
2012-12-01 00:00:00,114.91,129.3,114.02,127.32,29683855
2013-01-01 00:00:00,127.93,139.94,127.0,131.66,32732635
2013-02-01 00:00:00,131.94,141.2,118.44,127.58,23750240
2013-03-01 00:00:00,127.63,133.98,111.4,128.76,18497930
2013-04-01 00:00:00,127.56,135.56,119.6,131.69,14730550
2013-05-01 00:00:00,131.69,150.4,130.76,147.77,60057355
2013-06-01 00:00:00,147.0,153.2,133.21,147.05,28281370
2013-07-01 00:00:00,146.4,163.49,119.94,121.69,47895980
2013-08-01 00:00:00,122.94,129.58,117.2,120.48,30676815
2013-09-01 00:00:00,120.04,132.89,119.0,127.17,32404680
2013-10-01 00:00:00,127.2,153.49,126.78,147.93,32388980
2013-11-01 00:00:00,148.94,159.6,144.2,150.78,18804175
2013-12-01 00:00:00,151.38,163.39,143.57,158.18,15456255
2014-01-01 00:00:00,159.0,169.0,144.0,155.74,26646190
2014-02-01 00:00:00,154.72,158.73,150.27,153.76,24312405
