,Open,High,Low,Close,Volume
2020-05-18 09:15:00,551.0,569.0,536.0,547.5,751209
2020-05-19 09:15:00,550.95,558.95,520.0,527.7,143853
2020-05-20 09:15:00,521.0,534.2,510.15,530.55,38909
2020-05-21 09:15:00,540.55,544.75,530.0,534.45,46159
2020-05-22 09:15:00,534.0,546.7,530.1,534.75,50590
2020-05-26 09:15:00,540.0,540.0,529.5,531.1,18915
2020-05-27 09:15:00,535.0,535.95,522.65,529.25,20254
2020-05-28 09:15:00,531.5,580.25,531.5,555.55,370507
2020-05-29 09:15:00,555.35,560.75,548.0,556.15,44173
2020-06-01 09:15:00,560.0,575.0,558.0,560.9,76852
2020-06-02 09:15:00,555.15,572.9,555.15,565.2,34008
2020-06-03 09:15:00,570.0,602.7,560.75,584.3,265605
2020-06-04 09:15:00,589.35,609.0,586.0,598.55,145511
2020-06-05 09:15:00,605.0,636.0,600.1,631.1,241533
2020-06-08 09:15:00,635.7,678.0,633.5,660.05,170077
2020-06-09 09:15:00,662.0,663.0,649.6,655.7,49173
2020-06-10 09:15:00,652.0,661.95,652.0,655.5,22713
2020-06-11 09:15:00,658.0,675.0,652.05,662.55,47589
2020-06-12 09:15:00,620.0,659.95,619.0,655.5,49518
2020-06-15 09:15:00,663.7,672.7,655.0,658.45,31285
2020-06-16 09:15:00,670.0,746.0,651.05,712.95,179940
2020-06-17 09:15:00,728.0,738.95,700.0,708.3,302143
2020-06-18 09:15:00,710.85,727.9,703.3,713.05,73391
2020-06-19 09:15:00,714.5,721.7,705.0,708.05,47065
2020-06-22 09:15:00,711.0,722.0,706.2,712.85,63774
2020-06-23 09:15:00,715.0,717.45,707.0,712.1,27253
2020-06-24 09:15:00,712.0,715.0,695.0,698.65,37786
2020-06-25 09:15:00,699.8,817.9,691.0,792.15,1078699
2020-06-26 09:15:00,795.0,795.95,754.0,761.75,309514
2020-06-29 09:15:00,765.0,814.0,744.65,761.5,353992
2020-06-30 09:15:00,790.0,798.4,761.1,772.15,189924
2020-07-01 09:15:00,765.0,777.95,761.1,763.7,52213
2020-07-02 09:15:00,766.0,788.9,754.7,775.3,95740
2020-07-03 09:15:00,813.95,865.0,805.1,852.4,2235833
2020-07-06 09:15:00,856.0,994.6,825.0,953.9,3963561
2020-07-07 09:15:00,955.0,1028.0,926.15,980.05,3294009
2020-07-08 09:15:00,984.05,1015.0,938.0,945.3,1232986
2020-07-09 09:15:00,967.0,967.0,901.1,929.85,1021311
2020-07-10 09:15:00,910.0,975.5,909.85,942.4,1364514
2020-07-13 09:15:00,950.0,965.0,923.9,929.5,328059
2020-07-14 09:15:00,941.0,948.95,900.0,904.85,398611
2020-07-15 09:15:00,909.95,913.0,855.05,867.85,329174
2020-07-16 09:15:00,868.3,877.6,825.0,842.95,276077
2020-07-17 09:15:00,850.55,945.0,832.0,937.25,1556978
2020-07-20 09:15:00,944.0,954.0,915.0,923.4,736801
2020-07-21 09:15:00,924.0,940.0,911.65,915.1,408746
2020-07-22 09:15:00,915.1,935.5,897.95,908.55,408219
2020-07-23 09:15:00,914.05,952.8,908.6,931.65,720512
2020-07-24 09:15:00,924.95,936.35,906.0,909.7,266481
2020-07-27 09:15:00,912.0,917.4,883.05,890.5,435327
2020-07-28 09:15:00,893.05,915.0,881.0,903.3,254919
2020-07-29 09:15:00,911.45,929.9,903.3,909.15,329256
2020-07-30 09:15:00,912.1,913.0,875.6,879.9,158060
2020-07-31 09:15:00,884.8,884.8,865.65,872.45,115765
2020-08-03 09:15:00,861.55,904.95,860.1,894.1,215153
2020-08-04 09:15:00,904.3,957.7,900.0,950.2,1209208
2020-08-05 09:15:00,955.0,985.0,937.05,965.3,771610
2020-08-06 09:15:00,966.0,987.0,950.35,967.45,375327
2020-08-07 09:15:00,966.0,976.05,942.0,949.45,243398
2020-08-10 15:30:00,1033.0,1070.0,1006.5,1031.3,1251175
