,Open,High,Low,Close,Volume
2020-07-13 09:15:00,950.6,965.0,940.25,941.95,62226
2020-07-13 09:45:00,942.0,948.85,941.0,944.35,18656
2020-07-13 10:15:00,944.0,946.0,943.0,944.55,9721
2020-07-13 10:45:00,943.35,945.45,932.8,935.9,21719
2020-07-13 11:15:00,935.9,944.0,935.0,937.05,16160
2020-07-13 11:45:00,937.1,938.35,932.0,933.1,14063
2020-07-13 12:15:00,933.9,940.0,933.0,939.7,7003
2020-07-13 12:45:00,939.7,939.7,935.0,936.9,8537
2020-07-13 13:15:00,937.75,937.95,930.0,933.3,16174
2020-07-13 13:45:00,933.35,936.0,926.0,928.25,17369
2020-07-13 14:15:00,928.5,933.0,923.9,928.5,23905
2020-07-13 14:45:00,930.0,933.2,927.2,928.55,26779
2020-07-13 15:15:00,927.85,941.45,925.0,929.5,45648
2020-07-14 09:15:00,944.7,948.9,930.45,930.5,154378
2020-07-14 09:45:00,930.5,937.8,926.0,935.25,77466
2020-07-14 10:15:00,934.15,934.9,926.0,927.0,43506
2020-07-14 10:45:00,927.0,928.0,916.0,920.0,79964
2020-07-14 11:15:00,919.0,923.5,918.25,920.05,19180
2020-07-14 11:45:00,920.5,921.25,917.0,917.1,18762
2020-07-14 12:15:00,917.1,919.25,915.0,918.0,22502
2020-07-14 12:45:00,918.8,919.5,903.1,905.55,81342
2020-07-14 13:15:00,903.75,908.5,903.75,907.0,56740
2020-07-14 13:45:00,907.0,907.0,902.95,903.6,29326
2020-07-14 14:15:00,904.25,906.95,902.2,906.15,30810
2020-07-14 14:45:00,906.0,907.0,901.8,904.1,67324
2020-07-14 15:15:00,904.55,908.45,904.2,905.0,52208
2020-07-15 09:15:00,909.95,913.0,886.1,887.7,124692
2020-07-15 09:45:00,887.1,888.0,881.0,885.0,93552
2020-07-15 10:15:00,884.95,895.65,883.2,887.25,57188
2020-07-15 10:45:00,888.15,895.0,887.0,889.1,32176
2020-07-15 11:15:00,890.1,892.9,887.0,887.75,12858
2020-07-15 11:45:00,887.75,889.15,885.0,886.0,26168
2020-07-15 12:15:00,886.85,887.05,885.0,885.7,11184
2020-07-15 12:45:00,885.7,885.95,877.0,881.0,40918
2020-07-15 13:15:00,880.65,881.0,872.0,873.65,54162
2020-07-15 13:45:00,873.1,878.5,872.4,877.0,34120
2020-07-15 14:15:00,877.7,877.9,870.4,872.05,33312
2020-07-15 14:45:00,872.0,876.0,855.1,863.85,65962
2020-07-15 15:15:00,864.55,873.8,863.9,872.0,35376
2020-07-16 09:15:00,874.0,877.6,830.45,838.65,131877
2020-07-16 09:45:00,838.85,843.0,832.0,837.5,50934
2020-07-16 10:15:00,837.1,839.0,835.0,836.9,33796
2020-07-16 10:45:00,836.5,836.9,825.0,828.7,49316
2020-07-16 11:15:00,828.0,837.0,826.25,835.0,35824
2020-07-16 11:45:00,835.5,835.95,832.0,832.15,9744
2020-07-16 12:15:00,832.6,836.8,832.0,836.8,13954
2020-07-16 12:45:00,836.0,836.95,832.1,832.95,8902
2020-07-16 13:15:00,832.95,835.0,828.3,829.2,26592
2020-07-16 13:45:00,829.2,832.25,829.0,831.8,12822
2020-07-16 14:15:00,831.9,836.95,830.3,831.9,34616
2020-07-16 14:45:00,831.9,847.0,831.9,843.8,57972
2020-07-16 15:15:00,843.5,854.0,841.5,849.0,55944
2020-07-17 09:15:00,850.0,885.8,832.2,872.1,282880
2020-07-17 09:45:00,871.95,884.5,870.15,884.5,85598
2020-07-17 10:15:00,883.95,899.0,879.7,891.0,562594
2020-07-17 10:45:00,890.3,894.0,886.05,892.7,167048
2020-07-17 11:15:00,892.05,892.7,888.0,889.05,53808
2020-07-17 11:45:00,889.05,889.5,882.1,888.0,62960
2020-07-17 12:15:00,887.9,890.0,886.05,888.95,34080
2020-07-17 12:45:00,888.75,888.75,881.3,884.0,38168
2020-07-17 13:15:00,884.4,888.0,883.55,884.15,24412
2020-07-17 13:45:00,884.4,886.5,884.0,886.5,29092
2020-07-17 14:15:00,886.45,945.0,886.0,931.2,903304
2020-07-17 14:45:00,931.95,939.0,926.3,939.0,527080
2020-07-17 15:15:00,938.0,945.0,936.0,939.6,311012
2020-07-20 09:15:00,939.85,943.55,915.2,923.9,85592
2020-07-20 09:45:00,923.3,923.9,915.0,919.0,28180
2020-07-20 10:15:00,918.7,953.95,916.0,939.9,197755
2020-07-20 10:45:00,940.05,945.0,931.1,936.0,63839
2020-07-20 11:15:00,936.15,942.0,927.15,933.85,33941
2020-07-20 11:45:00,933.8,936.2,932.0,934.1,8739
2020-07-20 12:15:00,934.1,934.85,928.0,931.3,17443
2020-07-20 12:45:00,931.4,932.85,930.05,930.5,8514
2020-07-20 13:15:00,929.95,931.4,921.0,923.9,47092
2020-07-20 13:45:00,925.5,942.0,925.0,932.9,109484
2020-07-20 14:15:00,935.0,935.0,927.0,930.0,20827
2020-07-20 14:45:00,930.0,932.0,921.4,922.95,29875
2020-07-20 15:15:00,923.0,929.85,919.0,923.0,36864
2020-07-21 09:15:00,924.0,933.35,911.65,925.95,74514
2020-07-21 09:45:00,924.8,926.5,920.2,921.1,51108
2020-07-21 10:15:00,921.15,923.5,919.0,921.1,12591
2020-07-21 10:45:00,920.05,922.4,915.9,919.2,18244
2020-07-21 11:15:00,918.3,923.0,916.0,918.15,38891
2020-07-21 11:45:00,918.15,919.85,917.45,918.95,4819
2020-07-21 12:15:00,918.9,922.2,918.0,921.1,7879
2020-07-21 12:45:00,921.9,940.0,916.9,927.4,93155
2020-07-21 13:15:00,927.9,930.0,923.0,924.0,11450
2020-07-21 13:45:00,924.0,924.0,915.0,919.05,28618
2020-07-21 14:15:00,919.95,920.5,915.0,918.9,7876
2020-07-21 14:45:00,918.9,919.7,915.0,916.1,12900
2020-07-21 15:15:00,916.05,916.7,912.0,915.1,26094
2020-07-22 09:15:00,914.7,920.25,903.15,905.4,71399
2020-07-22 09:45:00,905.1,912.25,905.1,908.45,31746
2020-07-22 10:15:00,908.65,926.8,907.4,923.0,129238
2020-07-22 10:45:00,923.0,929.95,921.15,924.8,75120
2020-07-22 11:15:00,924.0,927.9,922.15,926.3,84506
2020-07-22 11:45:00,926.25,935.45,923.3,929.45,83440
2020-07-22 12:15:00,928.5,929.8,924.5,925.25,23768
2020-07-22 12:45:00,925.85,929.55,924.5,924.65,60704
2020-07-22 13:15:00,926.0,927.0,918.0,922.0,38954
2020-07-22 13:45:00,922.5,924.85,907.45,911.0,50362
2020-07-22 14:15:00,911.15,914.7,898.0,900.0,70184
2020-07-22 14:45:00,899.95,912.0,899.6,905.05,41020
2020-07-22 15:15:00,905.7,911.85,903.6,911.0,41848
2020-07-23 09:15:00,914.0,935.0,910.05,927.6,150630
2020-07-23 09:45:00,927.9,929.9,922.55,925.05,52312
2020-07-23 10:15:00,926.6,949.0,925.5,944.1,274720
2020-07-23 10:45:00,944.25,952.65,944.1,945.95,333240
2020-07-23 11:15:00,945.15,946.8,936.25,940.2,96800
